date,open,high,low,close,volume
2016-04-22,70.5636,71.2295,70.2487,71.0765,229300
2016-04-25,70.7075,70.8965,69.8977,70.2486,208000
2016-04-26,70.5186,71.5354,70.2037,71.4634,212800
2016-04-27,71.5534,72.4352,70.9505,71.7334,249000
2016-04-28,71.7873,71.8953,69.4118,69.6008,296700
2016-04-29,69.5198,69.8618,68.611,69.0429,771100
2016-05-02,69.1149,70.0867,68.692,69.9787,167500
2016-05-03,69.2769,69.8347,68.539,69.1149,181400
2016-05-04,68.818,69.5558,67.9361,68.0261,269000
2016-05-05,68.431,68.8989,67.9991,68.2331,180900
2016-05-06,67.9361,68.638,67.7382,68.548,254500
2016-05-09,68.1881,68.9709,67.7652,68.719,164500
2016-05-10,68.755,69.9787,68.404,69.9787,204000
2016-05-11,69.5648,70.4286,69.4748,69.8257,225000
2016-05-12,70.0057,70.7076,69.4298,70.3207,212600
2016-05-13,70.2487,70.5996,69.1149,69.4749,176800
2016-05-16,69.5198,70.5546,69.5198,69.8797,190900
2016-05-17,69.5738,70.4106,68.476,68.8,290100
2016-05-18,68.62,69.7628,67.9541,68.3231,275300
2016-05-19,68.0531,68.3591,67.0273,67.5582,305500
2016-05-20,67.5942,68.431,67.5942,68.1521,396000
2016-05-23,68.3231,69.0429,68.0801,68.548,466000
2016-05-24,75.3506,79.0758,73.5689,78.8329,1913600
2016-05-25,78.869,80.2314,78.4088,79.2931,720300
2016-05-26,78.6073,79.8074,78.075,79.5187,388500
2016-05-27,78.851,80.4841,78.6615,79.8254,479900
2016-05-31,78.3186,79.6269,77.4163,78.481,488000
2016-06-01,77.8404,78.7698,77.2449,78.5261,345600
2016-06-02,78.5171,79.6269,78.2554,79.6269,303200
2016-06-03,79.5908,79.5908,78.4359,79.2931,283300
2016-06-06,79.6089,80.1863,79.266,79.8435,301800
2016-06-07,79.9878,80.1954,79.257,79.3653,739900
2016-06-08,79.3653,80.1412,79.1217,79.2209,531600
2016-06-09,78.5081,79.9067,78.2284,78.463,476400
2016-06-10,77.8404,78.1833,76.4689,76.5862,417400
2016-06-13,76.4689,77.8584,76.4419,76.5592,319000
2016-06-14,76.1441,76.8479,76.0268,76.6043,214900
2016-06-15,77.1817,79.4014,76.514,76.6945,216200
2016-06-16,76.099,77.1005,75.2328,76.3155,214400
2016-06-17,76.514,76.8659,75.8734,76.3877,342300
2016-06-20,77.5607,78.9682,76.7306,77.687,168900
2016-06-21,77.5517,77.687,76.6674,76.8569,138700
2016-06-22,77.1366,79.257,76.6403,76.6584,142200
2016-06-23,77.5336,78.86,77.5336,78.8329,296000
2016-06-24,75.6388,76.3697,73.1124,73.1575,547800
2016-06-27,71.9304,71.9304,70.5229,70.992,393600
2016-06-28,71.8943,72.5981,71.4251,72.2913,285900
2016-06-29,73.347,74.1591,72.7966,73.6087,231300
2016-06-30,73.8252,75.4403,73.7079,75.4403,269100
2016-07-01,75.5305,76.6313,75.0343,76.4509,298100
2016-07-05,75.7561,76.3787,73.7621,74.511,164900
2016-07-06,74.0147,75.72,73.5184,75.6208,246900
2016-07-07,75.9456,76.6133,74.9801,75.6839,156200
2016-07-08,76.3155,77.5066,76.3155,77.4885,228500
2016-07-11,77.8223,78.3998,77.7321,78.0479,130400
2016-07-12,78.4991,79.4736,78.3457,79.0044,234200
2016-07-13,79.0585,79.1036,77.8494,77.9757,204500
2016-07-14,78.5893,79.1217,78.0209,78.0299,179500
2016-07-15,78.4449,78.5983,77.9848,78.2194,107100
2016-07-18,78.2645,78.2645,77.687,77.9757,97700
2016-07-19,77.9487,78.1111,77.3441,77.5968,94700
2016-07-20,77.7411,78.3727,77.4434,78.2103,167900
2016-07-21,77.8314,78.6886,77.5697,78.1833,202700
2016-07-22,78.1923,79.5276,77.5336,79.5096,187800
2016-07-25,79.4014,79.5548,78.463,78.7698,123500
2016-07-26,78.7788,79.9608,78.5261,79.9247,172900
2016-07-27,80.024,80.6826,79.4826,80.1864,214600
2016-07-28,80.0239,80.2676,79.4375,79.7803,124100
2016-07-29,79.9066,80.0961,78.9592,79.663,246100
2016-08-01,79.5367,79.9698,79.0675,79.672,133600
2016-08-02,79.6089,80.1503,79.1848,79.3563,246400
2016-08-03,79.4645,79.9969,79.1848,79.6811,152400
2016-08-04,79.6269,81.0526,79.5277,80.1232,189800
2016-08-05,80.6375,81.7834,80.2314,81.5578,187700
2016-08-08,81.7563,82.3067,81.3593,81.9097,152600
2016-08-09,82.0992,82.0992,81.0435,81.5578,160100
2016-08-10,81.8285,81.9819,81.1879,81.9187,137200
2016-08-11,82.0811,82.5955,81.7744,82.3699,170700
2016-08-12,82.4511,82.4511,81.3774,81.7383,169800
2016-08-15,82.0451,82.5413,81.7473,82.1263,222700
2016-08-16,82.027,82.3338,81.3773,81.5578,121700
2016-08-17,81.6841,81.9007,81.0886,81.2961,130900
2016-08-18,81.1608,82.397,81.1608,82.2436,176100
2016-08-19,82.1169,83.5377,81.8001,83.4381,289500
2016-08-22,83.2481,84.0807,81.5739,83.4834,698900
2016-08-23,87.782,92.4878,87.0218,92.2706,1745300
2016-08-24,91.9177,92.1982,89.7005,90.4788,439100
2016-08-25,89.5919,90.6688,89.3928,90.5693,334900
2016-08-26,90.343,91.2661,89.601,90.0987,224100
2016-08-29,90.3883,91.2571,89.9901,90.2797,300600
2016-08-30,90.4788,90.4969,89.1304,89.7186,362300
2016-08-31,89.4381,89.8996,88.8317,89.3476,196300
2016-09-01,89.6553,89.8363,88.696,89.7639,237100
2016-09-02,90.3611,91.0308,90.1258,91.0127,243900
2016-09-06,91.0127,91.8091,89.9449,90.506,279500
2016-09-07,90.6236,92.2887,90.3159,90.4064,333600
2016-09-08,90.4245,90.4245,89.4743,89.6643,162900
2016-09-09,88.6689,88.696,86.7594,86.8137,196800
2016-09-12,87.0761,88.4245,85.8815,88.3612,196000
2016-09-13,87.7639,89.248,85.9901,86.2435,207900
2016-09-14,86.4879,87.0671,85.5739,86.2164,260100
2016-09-15,86.3612,87.972,86.1259,87.6553,204500
2016-09-16,87.0309,87.5829,86.3159,87.1304,481400
2016-09-19,87.8091,88.9765,87.791,88.2616,152400
2016-09-20,88.8679,88.8679,87.782,87.8272,197500
2016-09-21,88.2707,89.4109,88.0625,89.3657,194800
2016-09-22,90.2978,91.5738,89.6372,91.3928,280000
2016-09-23,90.7593,90.9494,88.9584,89.0761,194000
2016-09-26,88.4426,89.4109,87.8996,88.6327,121300
2016-09-27,88.7231,89.6734,88.1892,89.6372,148100
2016-09-28,89.8996,90.9041,89.2571,90.7503,167300
2016-09-29,90.3702,90.8589,89.4471,89.9449,178900
2016-09-30,90.4969,90.5783,89.7186,90.162,263500
2016-10-03,90.3792,90.6598,89.5105,89.601,290100
2016-10-04,89.8001,90.2797,88.8227,89.3204,183100
2016-10-05,89.9358,91.0942,88.6598,90.7231,162200
2016-10-06,90.4607,91.1847,89.429,91.0308,134700
2016-10-07,91.0761,92.2797,89.3476,89.6281,309900
2016-10-10,90.1258,91.0851,89.1394,89.2028,118700
2016-10-11,89.058,89.058,87.2481,87.8272,149500
2016-10-12,88.1259,88.705,87.4381,88.1711,131600
2016-10-13,87.239,87.2661,86.3883,86.6598,232700
2016-10-14,86.9313,87.9811,86.8046,86.9675,199000
2016-10-17,86.9042,87.4019,86.2888,86.9313,163900
2016-10-18,87.8815,87.8815,86.9675,87.1394,168400
2016-10-19,87.0851,91.2118,86.8861,90.9584,599100
2016-10-20,90.5874,91.5014,90.2254,90.9494,402600
2016-10-21,90.0715,91.067,89.9539,90.9132,224800
2016-10-24,91.3113,92.8226,90.6598,91.2661,188900
2016-10-25,90.9584,91.619,90.2887,90.8136,243400
2016-10-26,90.1892,91.6733,90.1892,90.8046,201000
2016-10-27,90.9403,91.3657,89.7548,90.1711,223100
2016-10-28,90.2344,91.2299,89.3838,89.5105,273200
2016-10-31,89.8091,90.9675,89.3023,90.6145,486900
2016-11-01,90.9946,90.9946,87.7729,88.1711,180800
2016-11-02,87.8001,88.6417,87.4924,87.6824,150400
2016-11-03,88.0173,89.9087,87.4109,87.7458,101600
2016-11-04,87.8363,88.515,86.9223,87.2662,199800
