date,open,high,low,close,volume
2016-04-21,22.3186,22.3225,21.7782,21.8692,9754800
2016-04-22,21.9738,22.183,21.9331,22.1656,6966800
2016-04-25,22.1404,22.1714,22.0513,22.1714,4530800
2016-04-26,22.2198,22.398,22.1191,22.3747,7878000
2016-04-27,22.4057,22.859,22.3515,22.6401,10262400
2016-04-28,22.429,22.8028,22.2992,22.5587,8615200
2016-04-29,22.5084,22.8067,22.3031,22.7737,9361200
2016-05-02,22.8222,23.0023,22.7156,22.8667,7651600
2016-05-03,22.9209,23.0391,22.7466,22.9364,5263200
2016-05-04,22.859,23.3277,22.8047,23.1379,6705600
2016-05-05,23.1301,23.3277,22.8474,23.0197,8386400
2016-05-06,23.0604,23.0681,22.7582,22.95,5848800
2016-05-09,22.9791,23.0662,22.8803,23.0275,4924800
2016-05-10,23.103,23.2405,23.0313,23.165,4637200
2016-05-11,23.1979,23.3103,22.9519,23.1824,5758800
2016-05-12,23.2173,23.5117,23.1011,23.4652,7977200
2016-05-13,23.4187,23.5001,23.1844,23.3897,5877200
2016-05-16,23.3083,23.5349,23.2057,23.5291,5292800
2016-05-17,23.4555,23.4923,23.0372,23.1999,8535200
2016-05-18,23.0856,23.3994,22.7408,22.859,9197200
2016-05-19,22.6866,22.9423,22.5646,22.9345,8242800
2016-05-20,22.9713,23.1224,22.8299,23.1127,8964400
2016-05-23,23.1359,23.1456,22.8299,22.8532,4948400
2016-05-24,22.9035,23.256,22.8706,23.2212,7466000
2016-05-25,23.165,23.2367,23.0217,23.0682,5688000
2016-05-26,23.0642,23.394,23.0623,23.3784,4618800
2016-05-27,23.394,23.4311,23.2594,23.3823,4366800
2016-05-31,23.3823,23.5832,23.3062,23.4369,13375600
2016-06-01,23.4369,23.5754,23.3374,23.4428,6606800
2016-06-02,23.3803,23.4525,23.1598,23.3764,5515600
2016-06-03,23.5793,23.8759,23.5384,23.7647,7846400
2016-06-06,23.8193,23.9403,23.6418,23.7549,5638800
2016-06-07,23.8096,23.8974,23.6223,23.6301,6731600
2016-06-08,23.6028,23.9969,23.5754,23.9832,7323600
2016-06-09,23.993,24.2213,23.9735,24.19,5551600
2016-06-10,24.1783,24.3598,24.0222,24.1608,5889600
2016-06-13,24.1686,24.2603,24.0691,24.1139,4673200
2016-06-14,24.1393,24.393,23.9754,24.3852,6342400
2016-06-15,24.3169,24.3286,24.0593,24.1627,7671200
2016-06-16,24.2271,24.4027,24.1627,24.3598,6134800
2016-06-17,24.3949,24.4339,24.1413,24.4086,11624400
2016-06-20,24.3695,24.4086,24.0398,24.2408,6514000
2016-06-21,24.2993,24.3832,24.11,24.2466,7440400
2016-06-22,24.272,24.2974,24.0944,24.1237,5465200
2016-06-23,24.1413,24.1569,23.993,24.1569,5585600
2016-06-24,23.8291,24.4066,23.6574,24.1549,16309600
2016-06-27,24.1647,25.0173,24.1647,24.951,13596000
2016-06-28,24.8827,25.0837,24.6408,25.0641,10236400
2016-06-29,25.1383,25.2261,24.8359,24.9256,9655200
2016-06-30,24.9685,25.4485,24.8554,25.4427,12484800
2016-07-01,25.6124,25.6124,25.0876,25.3119,6346800
2016-07-05,25.31,25.6222,25.269,25.5344,10086000
2016-07-06,25.4953,25.7509,25.2612,25.5383,9991600
2016-07-07,25.4622,25.5227,24.9685,25.0388,7687600
2016-07-08,24.992,25.3607,24.7129,25.351,7956400
2016-07-11,25.2495,25.3139,24.992,25.3041,5507600
2016-07-12,25.1793,25.3627,24.83,24.8437,9178400
2016-07-13,24.949,25.0817,24.8593,25.0076,8285600
2016-07-14,24.8339,24.9939,24.6895,24.8261,9823200
2016-07-15,24.8846,25.031,24.7968,24.8924,5394000
2016-07-18,24.9237,25.1051,24.8944,25.0232,8186400
2016-07-19,24.9568,25.0349,24.8281,24.992,6388800
2016-07-20,25.0856,25.1012,24.8085,24.8203,6747200
2016-07-21,24.7793,25.0642,24.6603,25.0251,6518000
2016-07-22,24.9763,25.3939,24.9256,25.3275,6752800
2016-07-25,25.228,25.3256,25.0973,25.2651,5101600
2016-07-26,25.2456,25.2885,24.9744,25.0583,7142000
2016-07-27,25.0056,25.109,24.4964,24.8125,9644000
2016-07-28,24.7832,24.9939,24.6915,24.8612,7392800
2016-07-29,24.832,25.0739,24.832,25.031,9340000
2016-08-01,25.0134,25.1324,24.9549,25.0719,8235600
2016-08-02,24.9256,25.0368,24.7481,24.9022,6613200
2016-08-03,24.8944,25.0642,24.791,24.992,20291600
2016-08-04,24.9432,25.0505,24.789,24.8671,9086000
2016-08-05,24.7364,24.8105,24.4495,24.5822,7072800
2016-08-08,24.631,24.7812,24.5022,24.5822,7976400
