date,open,high,low,close,volume
2016-04-22,52.7553,52.7904,51.6946,52.0978,8294300
2016-04-25,52.0189,52.0891,51.5105,51.905,6117700
2016-04-26,51.9926,52.5712,51.9576,52.1943,5582200
2016-04-27,52.2732,52.3608,51.3965,51.9576,8094600
2016-04-28,51.677,52.5011,51.2124,51.3176,6028600
2016-04-29,51.2037,51.7998,50.9319,51.6683,8178700
2016-05-02,51.7998,52.3783,51.7121,52.2381,8647800
2016-05-03,51.9313,52.466,51.7472,52.1767,8061300
2016-05-04,51.9225,52.5624,51.5631,51.8173,8062800
2016-05-05,51.6683,51.7033,50.8443,51.0108,7846000
2016-05-06,50.9845,51.23,50.3008,51.2212,7308000
2016-05-09,51.3615,51.8874,51.2387,51.4754,5604900
2016-05-10,51.379,52.5887,51.379,51.8962,7600200
2016-05-11,51.2826,51.4403,49.8361,49.9764,12823000
2016-05-12,50.4235,51.1423,50.2394,50.8355,8083700
2016-05-13,50.6163,50.9495,50.2131,50.2394,7392600
2016-05-16,50.2043,50.4322,49.6433,50.0903,8045900
2016-05-17,50.0991,50.3007,49.6608,50.0553,7620700
2016-05-18,49.7572,49.8537,48.8017,49.1962,11532800
2016-05-19,48.9332,50.2306,48.8017,50.0027,9376500
2016-05-20,48.9858,50.0202,48.5738,49.5118,13745300
2016-05-23,49.617,49.9413,49.0472,49.0822,7780700
2016-05-24,49.1348,49.766,48.9683,49.6082,11098700
2016-05-25,49.503,49.6959,48.8894,49.0822,9921500
2016-05-26,49.1348,49.4066,48.7404,48.9508,9063100
2016-05-27,49.24,49.5556,49.0735,49.2576,8525900
2016-05-31,49.4504,49.503,48.3634,48.4072,14233600
2016-06-01,46.7504,48.2494,46.391,48.153,28409300
2016-06-02,47.6695,48.0651,47.6695,47.942,13901700
2016-06-03,47.731,47.9772,46.9485,46.9925,17265800
2016-06-06,47.2738,47.9508,47.2035,47.7398,13808300
2016-06-07,47.6167,47.7838,47.0804,47.0804,13334000
2016-06-08,47.3266,47.775,47.1771,47.5815,12068500
2016-06-09,47.5728,48.3992,47.3706,48.3025,11609800
2016-06-10,48.0387,48.6717,47.9596,48.4519,12183600
2016-06-13,48.3552,48.9179,48.2497,48.2761,8582200
2016-06-14,47.986,48.3025,47.5464,47.5815,9585600
2016-06-15,47.687,48.408,47.687,47.7486,7498400
