date,open,high,low,close,volume
2016-04-21,171.2353,171.8061,170.281,170.4003,835000
2016-04-22,170.5963,171.7976,169.7698,171.0393,853300
2016-04-25,170.6133,171.1926,169.9913,171.0222,698600
2016-04-26,171.15,173.7998,171.15,173.4419,1390600
2016-04-27,176.3643,178.0598,170.8689,176.3643,1476800
2016-04-28,175.9383,176.9437,174.6774,175.18,995200
2016-04-29,175.1034,175.8276,174.2514,175.7338,938000
2016-05-02,176.2536,177.7531,175.3675,177.4804,1039800
2016-05-03,176.7392,178.7414,176.1513,178.5795,954800
2016-05-04,177.7275,179.5508,177.2845,179.3889,1282000
2016-05-05,179.4912,180.6329,179.2867,180.5647,1100700
2016-05-06,180.3943,182.4732,180.292,182.4135,821500
2016-05-09,182.5839,183.6915,181.4508,182.8651,830500
2016-05-10,183.2485,185.4296,182.9418,185.2507,904900
2016-05-11,185.2677,186.0771,182.4476,182.601,874700
2016-05-12,182.797,186.452,182.797,185.7193,1337500
2016-05-13,184.8844,185.3104,181.8853,182.3113,1184100
2016-05-16,182.3113,184.3135,181.4763,183.8023,671100
2016-05-17,183.9983,184.6032,180.8033,181.9875,1063700
2016-05-18,181.6808,183.6659,181.2292,182.4476,789900
2016-05-19,181.0504,181.4849,178.6477,179.832,929400
2016-05-20,180.8714,181.4934,179.8831,181.2378,729300
2016-05-23,181.2633,181.5189,180.4454,180.7607,602800
2016-05-24,181.1867,183.6915,181.1867,182.9077,616800
2016-05-25,183.8193,184.109,182.5669,182.6095,613100
2016-05-26,182.2857,183.0099,181.7575,182.2857,514100
2016-05-27,182.1323,182.8821,181.783,182.6861,582400
2016-05-31,182.6862,183.6064,179.9513,181.1952,1026700
2016-06-01,180.2579,182.6776,180.0109,182.4731,918900
2016-06-02,182.5758,182.9608,181.4207,182.5672,681100
2016-06-03,182.2507,184.7576,180.839,184.1073,868000
2016-06-06,184.1501,184.9715,183.7993,184.3298,565500
2016-06-07,184.3983,185.3993,184.3983,184.5437,699900
2016-06-08,184.5522,186.4945,184.1416,186.2292,596300
2016-06-09,185.81,187.1447,185.3993,187.0164,461200
2016-06-10,186.1265,186.9565,185.5447,185.9725,456000
2016-06-13,185.3822,186.0924,183.8336,183.9962,490700
2016-06-14,182.7897,185.7416,182.7897,185.5876,501200
2016-06-15,186.2549,186.5201,185.3394,185.8271,542900
2016-06-16,185.3566,185.7672,183.3801,185.4421,722200
2016-06-17,185.6645,185.6645,181.5833,183.3716,871400
2016-06-20,184.8945,185.4849,183.9192,184.0903,652600
2016-06-21,184.9544,185.117,183.7566,183.825,425500
2016-06-22,184.4582,184.8175,183.7651,183.8592,544400
2016-06-23,185.3479,185.3479,182.9694,183.6966,554700
2016-06-24,178.8198,183.9448,178.2123,181.9941,3184600
2016-06-27,181.2925,183.4315,179.7524,183.2261,1502700
2016-06-28,184.0731,184.9629,182.148,184.9202,1065700
2016-06-29,185.8357,186.195,184.8089,185.8699,1120400
2016-06-30,186.4517,190.8922,185.9469,190.1821,1485900
2016-07-01,190.3704,191.1575,189.1469,189.7715,755200
2016-07-05,189.5661,190.1564,188.7532,189.5575,962500
2016-07-06,189.6431,190.0024,188.4624,189.7115,851500
2016-07-07,189.4292,189.9682,188.0688,188.6591,755000
2016-07-08,189.5148,190.1051,188.488,189.9169,1796100
2016-07-11,190.1992,191.4826,189.6174,189.9083,1308100
2016-07-12,190.2934,190.5073,188.4453,188.6335,954500
2016-07-13,189.1982,189.934,188.6506,189.7543,1500800
2016-07-14,190.8922,190.9692,188.9329,189.1982,1216800
2016-07-15,189.9425,189.9425,188.8816,189.4805,1745700
2016-07-18,190.0708,190.0794,188.8131,188.9243,907500
2016-07-19,189.0869,191.7564,186.6314,189.5575,2129700
2016-07-20,190.1564,190.9863,189.5147,190.4131,1284200
2016-07-21,190.627,190.6441,185.8784,186.6998,1042800
2016-07-22,186.2207,188.18,185.6645,187.8891,814200
2016-07-25,187.7522,187.7522,186.1009,187.4869,917600
2016-07-26,187.564,188.1201,186.4774,186.8196,1024400
2016-07-27,189.9939,190.1992,184.9801,186.3576,1423500
2016-07-28,186.3319,187.2731,184.4838,185.8613,1219200
2016-07-29,185.8614,186.4774,185.3309,185.348,769400
2016-08-01,184.6892,186.2549,184.6122,185.3993,1199100
2016-08-02,185.3993,187.3758,184.6977,187.102,1062900
2016-08-03,187.3329,187.8292,186.349,187.0848,811400
2016-08-04,187.6067,188.1971,186.5458,186.811,548400
2016-08-05,187.0677,187.7779,186.6656,187.333,602700
2016-08-08,187.2388,187.2388,184.441,184.8688,731200
2016-08-09,185.1512,185.5277,184.7405,185.4421,490700
2016-08-10,185.5875,186.1436,184.8346,185.8185,641000
2016-08-11,186.195,186.8025,185.2367,186.5116,820400
2016-08-12,186.5116,186.9051,185.6645,186.6998,559000
2016-08-15,186.6228,188.6763,186.3833,188.0688,687800
2016-08-16,187.333,187.7693,185.1768,185.7501,622900
2016-08-17,185.9725,187.1533,185.3223,186.9907,1052100
2016-08-18,186.9479,187.3757,186.2463,186.6399,477300
2016-08-19,186.0924,186.9394,185.4592,186.0239,666100
2016-08-22,185.9811,187.2388,185.4677,186.7426,576600
2016-08-23,187.2388,187.2901,183.2859,183.5255,1035700
2016-08-24,182.9523,183.6026,181.5235,183.0978,958900
2016-08-25,181.6972,184.0085,180.9669,183.3899,830600
2016-08-26,183.6476,184.4896,181.3965,182.0924,808600
2016-08-29,181.8519,183.6047,181.6543,183.0978,589100
2016-08-30,183.2868,183.682,182.0667,182.6853,712300
2016-08-31,182.522,182.5478,181.2762,182.2127,706100
2016-09-01,182.3244,183.0376,180.6404,182.0065,645700
2016-09-02,182.4619,183.5445,182.2041,183.218,591300
2016-09-06,183.304,184.5928,182.9001,184.524,656900
2016-09-07,183.8796,183.8968,182.2557,182.8915,782900
2016-09-08,182.1698,183.1579,181.7917,182.7798,595400
2016-09-09,181.448,181.8948,179.7382,179.7812,800900
2016-09-12,179.0251,181.2161,177.5902,180.6662,937600
2016-09-13,179.5921,180.6575,178.793,179.025,829000
2016-09-14,178.9134,179.8585,178.7931,179.4117,893500
2016-09-15,179.2657,182.3158,178.8532,181.6285,668800
2016-09-16,181.3536,182.0753,180.9497,181.2934,1134400
2016-09-19,181.5082,182.4361,181.2762,181.4308,729500
2016-09-20,182.3245,182.8143,181.5942,182.2472,578400
2016-09-21,182.376,185.6582,182.3073,185.4606,751700
2016-09-22,186.3971,186.6119,185.409,186.0105,879400
2016-09-23,185.3231,186.8697,184.5928,186.4916,781600
2016-09-26,186.0878,186.9814,185.6152,186.4487,611800
2016-09-27,186.6807,187.8836,186.0792,187.3509,535400
2016-09-28,187.6687,187.6687,186.1737,187.2219,618700
2016-09-29,186.6463,186.6463,182.4104,183.5359,985200
2016-09-30,184.0601,184.8419,180.9497,183.8281,1021700
2016-10-03,183.0118,185.0395,182.9001,184.8161,719700
2016-10-04,185.1083,185.2457,182.3158,182.8657,659200
2016-10-05,184.4037,184.4037,182.3502,182.565,566000
2016-10-06,182.9087,184.9536,182.1698,184.0515,921400
2016-10-07,183.5617,185.4949,182.4705,185.0997,1058700
2016-10-10,185.4692,186.337,185.2372,186.1222,704300
2016-10-11,185.7785,185.9847,184.4639,184.9193,682500
2016-10-12,184.7475,187.222,184.6873,186.3198,933000
2016-10-13,185.4434,188.0897,184.799,187.6258,919800
2016-10-14,188.399,188.8115,186.9642,188.0983,923400
2016-10-17,188.0382,189.3442,188.0382,188.2874,678300
2016-10-18,189.2926,189.3786,187.9866,188.5451,491400
2016-10-19,188.4506,188.5881,186.8181,187.4454,729000
2016-10-20,187.5312,188.0639,185.9245,186.7579,627900
2016-10-21,185.5293,185.8815,184.3779,185.4691,729500
2016-10-24,186.6033,187.2649,185.8816,185.9847,603100
2016-10-25,186.3542,189.0521,186.0191,188.6225,1572200
2016-10-26,194.972,197.1458,192.4631,195.9429,2458700
2016-10-27,195.8742,195.9,192.4717,193.6231,1473800
2016-10-28,193.8293,197.6184,193.8121,196.2265,1672000
2016-10-31,196.8451,197.395,195.9257,196.7592,1173900
2016-11-01,197.1888,197.9793,195.3329,196.2609,1179600
2016-11-02,196.0203,198.2199,195.4446,196.4757,962800
2016-11-03,196.7592,197.1458,193.0818,193.7863,1711000
2016-11-04,193.9066,195.161,193.245,193.5199,1176100
2016-11-07,195.7711,197.7645,195.4532,197.6699,1093200
2016-11-08,197.7644,198.5807,196.8279,197.5067,987100
2016-11-09,210.3089,214.7854,205.4802,208.1867,2841200
2016-11-10,214.0293,214.6909,208.5046,210.6526,2190500
2016-11-11,210.8503,213.0842,209.3896,212.6546,1341400
2016-11-14,213.5654,217.4576,213.2303,215.765,1747400
2016-11-15,215.911,216.4179,211.4603,212.6116,1839000
2016-11-16,212.8608,213.5138,210.034,210.8417,1265100
2016-11-17,211.1853,211.7352,209.5099,210.2144,843900
2016-11-18,210.0769,211.3829,209.6559,210.9018,971700
2016-11-21,211.5118,212.2593,210.5667,211.6149,978800
2016-11-22,212.5429,213.5739,212.3367,213.1443,1021700
2016-11-23,213.7544,214.0293,211.6321,212.7319,885700
2016-11-25,212.9467,214.0121,212.6889,213.5825,524200
2016-11-28,212.1133,215.5329,210.8331,213.909,893900
2016-11-29,213.7629,218.0676,213.5653,216.3492,1039700
2016-11-30,216.6671,217.0881,214.5018,214.5018,1277200
2016-12-01,214.5882,215.7695,213.7,214.7779,848300
2016-12-02,215.2521,216.3559,214.2863,216.33,603700
2016-12-05,217.2009,217.3216,213.0963,213.4153,1221000
2016-12-06,212.7686,213.9672,211.3889,213.7171,1322100
2016-12-07,213.3205,213.674,211.7338,213.1135,1349100
2016-12-08,213.1136,213.1998,204.1541,204.9906,2847500
2016-12-09,204.4731,206.9135,204.1713,205.6027,1680900
2016-12-12,201.4722,201.4722,190.3311,200.1184,2921800
2016-12-13,200.058,201.9896,198.7387,199.6786,1483100
2016-12-14,200.0667,203.3607,199.739,200.1443,1379800
2016-12-15,200.9376,202.4726,199.9201,200.0494,1043400
2016-12-16,200.1184,201.843,199.2216,199.7993,1603000
2016-12-19,200.6703,201.8516,198.8853,201.386,1110200
2016-12-20,201.7568,202.9382,201.3946,202.7657,850300
2016-12-21,203.1193,203.2314,200.998,201.0497,918700
2016-12-22,201.4464,202.1966,200.4978,201.5412,891400
2016-12-23,199.601,202.1017,199.4027,200.9117,852100
2016-12-27,201.7569,202.0845,200.3427,201.1274,479400
2016-12-28,201.1273,201.5067,199.6786,200.0149,500100
2016-12-29,200.2563,201.6274,200.1442,200.6013,538500
2016-12-30,200.8169,201.2136,199.808,200.5582,740900
2017-01-03,201.8689,202.852,201.0411,202.5502,1178900
2017-01-04,202.8519,204.361,202.4984,202.8605,664100
2017-01-05,202.8261,204.7318,202.0845,203.4987,891200
2017-01-06,203.4211,204.8008,203.309,204.1368,619200
2017-01-09,204.2317,205.163,203.24,203.3435,703600
2017-01-10,203.0417,203.3262,200.6617,201.0152,1361200
2017-01-11,201.6102,202.507,198.4541,199.67,1142300
2017-01-12,199.5234,199.8769,196.4967,197.6004,1159100
2017-01-13,197.4711,199.1871,197.0399,198.48,1007400
2017-01-17,199.006,199.006,196.1172,197.0227,978900
2017-01-18,197.0054,199.2647,196.6088,198.5404,863600
2017-01-19,199.4199,201.6016,198.4196,200.3943,966800
2017-01-20,201.0152,201.0583,198.9887,200.1529,864500
2017-01-23,200.9204,201.2136,198.4455,199.7907,779200
2017-01-24,197.8161,200.8773,196.169,200.5669,1034300
2017-01-25,201.0842,201.1273,198.342,199.0578,1073000
2017-01-26,197.6522,199.0578,193.056,195.712,2499100
2017-01-27,195.7723,202.2828,195.7723,198.1868,1948300
2017-01-30,198.4196,199.9201,196.4708,197.885,1270700
2017-01-31,196.5139,198.0919,194.8927,197.5401,1495800
2017-02-01,197.2297,198.4628,196.3759,197.3159,1148800
2017-02-02,196.9536,198.4541,196.5483,198.204,916000
2017-02-03,198.3851,200.8599,197.9108,199.5061,1297900
2017-02-06,199.6786,201.2911,199.5492,200.7651,1097600
2017-02-07,200.3426,201.6706,200.1443,200.9031,817000
2017-02-08,200.8428,201.2739,200.2823,200.4202,972100
2017-02-09,200.4202,202.9727,200.0408,202.507,1094400
2017-02-10,202.2828,203.9902,201.8431,203.7229,949200
2017-02-13,204.4127,206.8272,203.9557,206.1633,1029500
2017-02-14,206.1029,207.2412,205.6028,206.6289,790800
2017-02-15,206.215,208.6726,206.0512,208.3277,739700
2017-02-16,208.3363,210.1299,207.6551,210.0006,951100
2017-02-17,209.8798,210.3972,208.5864,210.0437,778000
2017-02-21,208.9141,211.1216,208.4225,210.5094,828900
2017-02-22,209.8454,210.0006,208.6899,209.5263,949600
2017-02-23,208.9572,210.3972,208.3363,210.2851,724900
2017-02-24,210.0523,211.5183,209.1469,211.3113,815100
2017-02-27,211.777,215.0883,211.3631,214.3726,1041800
2017-02-28,213.424,214.1138,211.7166,213.0704,1564400
2017-03-01,213.7431,214.614,212.0271,212.0702,1899100
2017-03-02,212.0442,212.3817,209.9583,210.3738,1172500
2017-03-03,210.3132,210.971,209.5343,210.2526,866100
2017-03-06,209.8199,210.8844,209.4217,210.244,932700
2017-03-07,209.8891,211.1094,209.5083,210.9883,917200
2017-03-08,211.1787,212.1135,210.3652,210.8066,675600
2017-03-09,211.248,211.8192,210.7633,211.2826,611200
2017-03-10,211.6634,211.8971,209.8372,210.8239,688600
2017-03-13,210.7806,211.8105,210.1055,211.5422,750600
2017-03-14,210.7633,211.499,210.0969,210.9797,460700
2017-03-15,211.0056,211.5682,210.4257,211.0402,756200
2017-03-16,211.1787,211.2912,207.4744,207.9591,1081700
2017-03-17,208.6861,211.7845,208.3139,211.3951,1225000
2017-03-20,211.8452,212.4424,210.045,210.3046,527000
2017-03-21,210.9191,210.9191,207.1542,207.4744,805700
2017-03-22,207.4831,209.4478,206.9379,208.7034,677500
2017-03-23,208.5822,208.9111,206.9638,207.284,596500
2017-03-24,207.0676,207.5696,204.7654,205.0164,753200
2017-03-27,204.0644,204.575,201.8314,204.1077,969000
2017-03-28,203.4845,205.9684,202.8267,205.2847,733000
2017-03-29,204.826,205.0511,203.4499,204.7049,612700
2017-03-30,204.4972,207.0417,203.8654,206.9032,853000
2017-03-31,206.6089,206.7907,205.7175,205.8473,964700
2017-04-03,205.6224,206.4705,204.9473,205.8214,671500
2017-04-04,205.1117,206.0464,204.627,205.6742,701900
2017-04-05,205.9858,207.5523,204.1336,204.3414,958200
2017-04-06,204.2462,205.5704,203.5278,204.8347,703900
2017-04-07,207.4744,207.8206,205.4579,206.6868,722700
2017-04-10,206.5397,208.1063,205.9772,207.1456,712800
2017-04-11,207.0416,208.712,206.1762,208.6255,679400
2017-04-12,208.539,208.539,206.8859,207.1629,560000
2017-04-13,206.8858,209.2659,206.8858,207.8898,739100
2017-04-17,207.9937,210.5555,207.9418,210.3998,750500
2017-04-18,210.0017,211.8538,209.8112,210.469,894300
2017-04-19,210.7892,211.5509,209.9324,210.9537,694700
2017-04-20,211.0576,212.8664,210.7547,211.9144,662400
2017-04-21,212.1481,214.1473,211.9404,213.1953,802200
2017-04-24,215.4888,216.1552,214.2771,215.6273,1059900
2017-04-25,214.7532,216.0428,214.1041,214.7532,1539100
2017-04-26,216.1985,216.3716,210.3565,214.6926,1753500
2017-04-27,215.4715,216.2158,214.13,214.9868,1010300
2017-04-28,215.4196,215.8177,212.5635,212.8751,856400
2017-05-01,213.1693,213.3684,211.4557,211.473,778900
2017-05-02,211.5768,212.6327,210.746,212.3298,882600
2017-05-03,211.9663,212.7712,211.1354,212.4855,614200
2017-05-04,212.4336,212.927,210.8585,212.6933,893500
2017-05-05,213.1607,215.5407,212.4769,215.4282,719400
2017-05-08,215.2465,215.7744,214.6666,215.6273,619500
2017-05-09,215.5927,216.0687,215.2032,215.9302,732100
2017-05-10,216.3283,217.2458,213.6886,214.7359,780100
2017-05-11,213.853,214.6839,213.0914,214.2252,628700
2017-05-12,213.9137,214.7705,213.3424,214.1647,523500
2017-05-15,213.8704,215.0648,213.7233,214.8571,674300
2017-05-16,214.7358,215.8263,213.7665,214.104,549300
2017-05-17,214.104,215.2811,212.5115,213.1866,1030500
2017-05-18,212.8404,215.4975,210.6508,213.6713,1033600
2017-05-19,214.658,216.7005,214.2945,216.2678,716900
2017-05-22,218.8988,219.8336,215.861,215.8956,1062600
2017-05-23,216.3716,217.6266,215.1426,216.9342,801400
2017-05-24,217.4534,219.47,217.2371,219.2969,775000
2017-05-25,219.9201,222.2742,219.4008,222.0146,976500
2017-05-26,222.0146,223.2349,221.8242,222.4214,552700
2017-05-30,222.3434,222.7069,220.6557,221.7462,584600
