date,open,high,low,close,volume
2016-04-21,67.7154,68.3091,67.1462,67.195,2020300
2016-04-22,72.6272,74.3512,71.8303,74.2699,6173300
2016-04-25,74.2048,74.3024,72.7411,74.3024,2571300
2016-04-26,74.1316,76.368,73.9283,75.6686,2475300
2016-04-27,75.6198,76.5225,74.9774,75.815,1742800
2016-04-28,75.4572,76.2135,74.6114,74.7985,1085500
2016-04-29,74.4651,74.7903,72.7817,73.2778,2555900
2016-05-02,73.8552,74.0422,73.1151,73.7738,1390100
2016-05-03,73.6112,73.6112,71.6351,72.489,1828000
2016-05-04,72.0224,73.2503,72.0224,72.7509,1608000
2016-05-05,72.9802,73.8725,72.5954,72.8164,1217800
2016-05-06,72.006,73.6269,71.8914,73.3976,1292500
2016-05-09,72.9965,73.5041,72.0306,72.268,1649600
2016-05-10,72.6281,74.249,72.2761,73.9297,1197200
2016-05-11,73.7333,74.0853,72.6936,72.71,1438000
2016-05-12,73.0375,73.3731,71.7359,72.1861,1313300
2016-05-13,71.8832,72.5545,69.8203,70.3769,1828400
2016-05-16,70.4015,71.7358,70.4015,70.5979,1587900
2016-05-17,70.4915,72.0387,70.1559,70.2869,2171800
2016-05-18,70.1149,71.8504,69.2554,70.0003,2085200
2016-05-19,70.0085,70.2705,68.4941,69.0344,1624800
2016-05-20,69.411,70.1968,69.2063,69.9431,1418800
2016-05-23,69.8776,70.2296,69.1244,69.3291,1669600
2016-05-24,69.5829,69.9431,66.7013,67.3153,3320100
2016-05-25,67.3726,68.5596,67.2498,68.1994,3812500
2016-05-26,68.3222,68.9934,67.8228,68.6251,1726400
2016-05-27,68.7151,69.0508,68.1257,68.7642,1000500
2016-05-31,68.7397,70.115,68.0766,68.8133,1695000
2016-06-01,68.1912,68.2813,66.9551,67.9538,1525700
2016-06-02,67.6182,68.1339,67.1761,68.0848,1003600
2016-06-03,67.6018,68.3303,67.0533,68.0356,1554800
2016-06-06,68.3876,69.0098,67.6018,68.1666,1493700
2016-06-07,68.1994,69.4028,68.1994,68.5514,1139900
2016-06-08,68.7561,70.9664,68.4941,70.3606,1862800
2016-06-09,69.8203,70.1886,68.6169,70.074,1817600
2016-06-10,69.6975,69.7139,68.3222,68.8379,1168100
2016-06-13,68.7642,69.0917,68.1175,68.1339,1617000
2016-06-14,68.1339,68.9689,67.6018,67.7819,1071000
2016-06-15,68.1339,68.9771,67.6427,68.3549,1774700
2016-06-16,67.9702,69.1735,67.3562,68.9198,1553700
2016-06-17,68.887,70.1723,68.6332,69.7384,2195200
2016-06-20,70.5734,71.2119,69.9758,70.115,1777000
2016-06-21,69.0262,70.0249,69.0262,69.591,1200500
2016-06-22,69.7711,70.8435,69.5992,70.4424,1488700
2016-06-23,71.1628,71.6294,70.5652,71.2201,1291900
2016-06-24,68.666,69.4601,67.5281,67.6509,2196800
2016-06-27,66.8405,67.0942,64.4501,65.2278,2009000
2016-06-28,66.1283,67.4954,65.8336,67.3153,1538100
2016-06-29,67.962,68.9198,67.8719,68.5596,951500
2016-06-30,68.8952,69.6893,68.1339,69.6893,1460800
2016-07-01,69.4928,70.1068,69.3373,69.7466,1239900
2016-07-05,69.4355,69.7056,68.1339,68.6824,1406700
2016-07-06,68.6251,69.7957,68.1912,69.5419,1839000
2016-07-07,69.5992,69.9103,68.4859,68.797,1452000
