date,open,high,low,close,volume
2016-04-21,18.929,19.3364,18.6683,18.9073,2505300
2016-04-22,18.8801,19.5699,18.8801,19.4504,2738900
2016-04-25,19.445,19.5862,18.9725,19.2169,2783500
2016-04-26,19.4341,19.7818,19.2875,19.684,2555300
2016-04-27,19.8415,20.8789,19.8361,20.1348,4204200
2016-04-28,20.0658,20.1652,19.5135,19.6405,3780700
2016-04-29,19.762,20.2812,19.6515,19.9663,3742600
2016-05-02,19.8614,19.9387,19.2704,19.8725,2413600
2016-05-03,19.3477,19.8283,19.0882,19.7675,3645100
2016-05-04,20.1376,21.43,20.0105,21.082,6083200
2016-05-05,21.3969,21.9547,21.2643,21.5184,3594400
2016-05-06,21.3361,22.0707,21.2698,21.9657,2408600
2016-05-09,22.0928,22.3855,21.303,21.673,2644100
2016-05-10,21.9326,22.4573,21.8111,22.137,2776000
2016-05-11,22.137,22.5291,21.6951,22.1314,2858300
2016-05-12,22.4684,22.7169,21.9216,22.253,2456500
2016-05-13,22.1701,23.0759,22.148,22.6672,2589300
2016-05-16,23.0483,23.2968,22.8053,23.0925,2316400
2016-05-17,23.0207,23.5122,22.8992,23.2085,2864000
2016-05-18,22.9765,23.0262,22.0099,22.1646,4001000
2016-05-19,21.8498,23.0372,21.662,22.9434,2662300
2016-05-20,22.982,23.2361,22.4628,23.2195,2086800
2016-05-23,22.9268,23.3079,22.7279,23.0151,2183900
2016-05-24,22.9433,23.1587,22.7058,23.0317,3002700
2016-05-25,23.1974,23.9817,23.0925,23.7884,2435400
2016-05-26,24.0148,24.0314,23.3742,23.5122,1492200
2016-05-27,23.341,23.7608,23.1311,23.6006,1929600
2016-05-31,23.7111,24.4622,23.6117,23.8878,2990200
2016-06-01,23.8878,24.2358,23.446,24.175,2896100
2016-06-02,23.8105,24.2303,23.584,24.1529,1907200
2016-06-03,24.1806,24.4567,24.0867,24.3186,2145400
2016-06-06,24.534,25.2631,24.4843,24.9096,2280200
2016-06-07,25.0587,25.4398,24.8709,25.2741,2014600
2016-06-08,25.3404,25.4233,24.998,25.2189,2304500
2016-06-09,24.7605,25.843,24.6555,25.6994,2466400
2016-06-10,25.2134,25.4398,24.7384,24.9593,2883000
2016-06-13,24.7439,25.1416,24.4954,24.8433,2323300
2016-06-14,24.7771,25.2576,24.5119,25.23,2804700
2016-06-15,25.1195,25.2355,24.5782,24.8654,2908400
2016-06-16,24.6334,24.9317,24.1529,24.7991,2862100
2016-06-17,24.8323,25.3294,24.6224,25.1692,5527500
2016-06-20,25.5724,25.7712,25.3459,25.4288,3649300
2016-06-21,25.3846,26.1026,24.9925,25.8541,3127900
2016-06-22,26.0805,26.1468,25.6,25.6276,2392200
2016-06-23,25.9866,26.0032,25.4785,25.8817,2180200
2016-06-24,24.7826,26.0308,24.777,25.3073,4944500
2016-06-27,25.1526,25.727,24.3794,24.6445,3475500
2016-06-28,25.1968,25.6663,24.5837,25.3459,2890900
2016-06-29,25.6663,26.307,25.4343,26.1413,2674600
2016-06-30,26.1137,26.2297,25.5779,26.2076,2831000
2016-07-01,26.2296,26.3788,26.1026,26.2738,1817400
2016-07-05,26.0198,26.1081,25.4951,26.0308,2721300
2016-07-06,25.948,26.2076,25.4067,26.1855,3338400
2016-07-07,26.4064,26.9421,25.6773,25.9535,2868300
2016-07-08,26.2462,26.4064,25.9645,26.1579,1920600
2016-07-11,26.2186,26.6549,26.1965,26.202,1781500
2016-07-12,26.4782,27.1134,26.4782,26.7985,2399700
2016-07-13,26.677,26.92,26.0253,26.1468,2964400
2016-07-14,26.4064,26.539,26.0198,26.2297,2141800
2016-07-15,26.3733,26.7046,26.2904,26.5776,2008600
2016-07-18,26.4119,26.4837,26.1413,26.3456,1777800
2016-07-19,26.3788,26.4009,25.9811,26.2407,2237200
2016-07-20,26.1302,26.2849,25.4233,26.0916,2204000
2016-07-21,26.0971,26.4119,25.4895,25.5613,1753400
2016-07-22,25.7602,25.9535,25.1692,25.4343,1886200
2016-07-25,25.1471,25.3846,24.7715,25.0919,2445300
2016-07-26,24.9759,25.2631,24.8544,25.0311,2035600
