date,open,high,low,close,volume
2016-04-21,59.3238,59.8631,59.2103,59.6219,1950800
2016-04-22,59.5013,60.3173,59.2458,59.4445,1802900
2016-04-25,59.2529,59.4161,58.6639,59.2671,1824200
2016-04-26,59.4729,59.7993,59.1394,59.5297,1570300
2016-04-27,59.48,59.8774,59.0258,59.6999,1066700
2016-04-28,59.3451,59.5793,58.9123,59.0258,1199100
2016-04-29,59.0116,59.0329,58.5149,58.8768,1643600
2016-05-02,59.2245,59.4658,58.8768,59.331,1129100
2016-05-03,59.0471,59.3168,58.9478,59.2174,1331300
2016-05-04,58.8697,59.338,58.7632,59.1464,1313800
2016-05-05,59.111,59.3026,58.7774,59.0826,1441100
2016-05-06,59.0471,59.7496,58.9974,59.5793,1320300
2016-05-09,59.3877,59.9341,59.3309,59.3735,1044900
2016-05-10,59.3735,60.0406,59.2529,60.0193,1460100
2016-05-11,59.6219,59.7993,59.2813,59.6929,2232600
2016-05-12,59.8632,59.9199,59.409,59.7922,1876000
2016-05-13,59.629,59.8773,59.1393,59.4161,1289900
2016-05-16,59.3026,60.0548,59.1961,59.7922,1076700
2016-05-17,59.6432,59.9625,58.962,59.111,1266600
2016-05-18,59.0826,59.3593,58.7065,59.0613,1807600
2016-05-19,58.8271,58.8981,58.1317,58.4794,1874200
2016-05-20,58.7562,59.1181,58.7136,58.7491,1626400
2016-05-23,58.8484,58.9548,58.2807,58.3233,1549000
2016-05-24,58.5362,58.9265,58.3659,58.8129,1641700
2016-05-25,58.9052,59.0471,57.8762,58.2311,2143500
2016-05-26,58.1672,58.5929,58.0536,58.3233,2193600
2016-05-27,58.4865,58.7207,58.3943,58.6426,651200
2016-05-31,58.7349,59.189,58.4723,59.1323,1803600
2016-06-01,58.9974,59.0116,58.6142,58.8626,1423700
2016-06-02,58.8768,58.9762,58.5575,58.9265,1942500
2016-06-03,58.6852,58.7349,57.5924,58.1459,2027700
2016-06-06,58.1672,58.6426,57.8336,58.5007,1360000
2016-06-07,58.6781,59.1819,58.4652,59.0897,1474100
2016-06-08,59.2245,60.8495,59.189,60.5799,2527800
2016-06-09,60.1871,60.4585,59.9871,60.2799,1679600
2016-06-10,59.9514,60.0228,59.4443,59.5157,1540300
2016-06-13,59.13,59.4228,56.7445,58.6729,1385600
2016-06-14,58.5801,58.6586,57.8873,58.4586,2107600
2016-06-15,58.4944,58.7443,58.223,58.2944,1695400
2016-06-16,58.1301,58.5015,57.423,58.3587,1374700
2016-06-17,58.2587,58.273,57.6587,58.1016,1445000
2016-06-20,58.8015,59.3943,58.7158,59.2443,1252500
2016-06-21,59.48,59.7442,58.9729,59.48,1344000
2016-06-22,59.7442,60.0585,59.2657,59.8799,1574100
2016-06-23,60.587,60.6799,60.2228,60.6799,1328700
2016-06-24,58.6872,58.7086,57.5302,57.6302,3364300
2016-06-27,57.0302,57.0517,55.2233,55.4018,2595500
2016-06-28,55.9017,56.3517,55.6161,56.3017,1634700
2016-06-29,56.5088,57.2659,54.0019,57.2088,2292600
2016-06-30,57.423,58.2015,56.9517,58.2015,1600600
2016-07-01,58.2015,58.5443,58.0944,58.3444,1489000
2016-07-05,58.0015,58.0015,57.4302,57.6658,1622700
2016-07-06,58.7372,59.4228,57.0945,58.1515,1812300
2016-07-07,58.2087,58.93,57.973,58.7872,1879800
2016-07-08,59.1943,59.4657,58.9158,59.3657,1308800
2016-07-11,59.3657,60.1656,58.88,59.9657,1900800
2016-07-12,60.1871,60.9156,60.0442,60.3799,2482700
2016-07-13,60.4013,61.0084,60.1799,60.6799,2508300
2016-07-14,59.3443,59.9228,58.6515,59.3657,2778500
2016-07-15,59.7157,59.7157,58.83,59.1229,1909100
2016-07-18,59.08,59.53,58.88,59.3086,1043400
2016-07-19,59.1372,59.5585,58.9229,59.5086,1118200
2016-07-20,59.9085,59.9228,59.3871,59.7657,1653500
2016-07-21,59.53,59.53,58.123,58.4444,1905900
2016-07-22,58.5658,59.2871,57.473,59.0443,2077400
2016-07-25,58.9657,59.28,58.8443,59.1229,1027300
2016-07-26,59.1157,59.1586,58.4158,59.0086,980400
2016-07-27,58.9943,59.3514,58.73,58.8229,1772700
2016-07-28,58.7872,59.28,58.7872,59.0729,1030300
2016-07-29,58.9015,58.9943,58.4586,58.7729,1113000
2016-08-01,58.8872,59.0872,58.5586,58.9943,1415000
2016-08-02,59.0729,59.1657,57.5873,58.0301,1296500
2016-08-03,58.0444,58.1444,57.7587,57.9301,830200
2016-08-04,58.023,58.4444,57.7944,58.2301,1059600
2016-08-05,58.4801,58.9158,58.3801,58.88,790500
2016-08-08,58.9872,58.9872,58.4372,58.5229,829900
2016-08-09,58.4872,58.7086,58.2373,58.4729,650000
2016-08-10,58.5658,58.8372,58.4444,58.73,718300
2016-08-11,58.7443,59.4371,58.6086,59.3871,1104100
2016-08-12,59.5014,60.2942,59.2157,60.1799,1833500
2016-08-15,60.5584,61.2798,60.2799,60.9084,2255400
2016-08-16,60.6299,60.6299,59.8871,60.0299,1266500
2016-08-17,59.9013,60.4156,59.9013,60.4013,766700
2016-08-18,60.2728,60.437,60.0299,60.1299,1008600
2016-08-19,59.9442,60.437,59.7157,60.2442,1058500
2016-08-22,60.1656,60.4727,59.9585,60.3013,892400
2016-08-23,60.5299,60.7013,60.2799,60.4727,1019100
2016-08-24,61.6226,61.6226,60.2085,60.2942,1018000
2016-08-25,60.2513,60.4442,60.0513,60.2656,861400
2016-08-26,60.337,60.9727,60.0585,60.387,682200
2016-08-29,60.4799,61.6869,60.437,61.3084,1796200
2016-08-30,61.4512,61.7797,61.3655,61.6797,1649200
2016-08-31,61.5298,61.7655,61.2084,61.5155,915500
2016-09-01,61.6012,61.7655,60.9298,61.6012,859800
2016-09-02,61.9155,62.0155,61.5226,61.9226,648200
2016-09-06,61.844,61.9155,61.3298,61.6869,1024800
2016-09-07,61.5084,62.494,61.5084,62.244,1019100
2016-09-08,62.0012,62.0583,61.4298,61.4655,1054600
2016-09-09,60.9441,61.0441,59.8085,59.8157,1471300
2016-09-12,59.4943,61.0513,59.38,60.9227,1429300
2016-09-13,60.4156,60.4585,59.6442,59.8157,1365200
2016-09-14,59.9228,60.1728,59.4586,59.68,699400
2016-09-15,59.63,60.6799,59.4228,60.4299,997900
2016-09-16,60.1656,60.2371,59.7085,59.9657,1133000
2016-09-19,60.2371,60.5942,59.9299,60.0014,1091000
2016-09-20,60.3608,60.6915,60.1451,60.4255,1200200
2016-09-21,60.5406,61.1229,60.3249,61.0366,945600
2016-09-22,61.2738,61.5111,61.0222,61.3673,740000
2016-09-23,61.0366,61.1301,60.5549,60.5549,1008300
2016-09-26,60.1955,60.3752,59.9295,60.2961,931000
2016-09-27,60.3105,61.1229,60.138,61.0798,1039200
2016-09-28,61.1229,61.3817,60.8065,61.3098,777700
2016-09-29,61.1876,61.4033,60.3177,60.4255,826000
2016-09-30,60.7418,61.3961,60.5621,61.1085,1353400
2016-10-03,60.7203,61.0797,60.5549,60.7059,938800
2016-10-04,60.785,61.0007,59.8216,59.9007,1248000
2016-10-05,60.217,60.3321,59.5844,59.6347,1252000
2016-10-06,59.57,59.9942,59.1386,59.7138,1512100
2016-10-07,59.6707,59.9079,58.9014,59.1243,1837900
2016-10-10,59.2968,59.7713,59.2968,59.4262,938600
2016-10-11,59.4046,59.455,58.7648,58.9086,1649900
2016-10-12,59.038,59.6994,58.8654,59.4406,1312200
2016-10-13,59.1243,59.3831,58.5348,59.0021,2102100
2016-10-14,59.419,59.9726,59.3975,59.5772,1678600
2016-10-17,59.4766,60.1595,59.4334,59.5485,2699500
2016-10-18,57.8661,58.7936,57.5139,58.1393,3826600
2016-10-19,57.9596,58.1322,57.4492,57.7583,4122000
2016-10-20,57.6505,57.6649,56.795,57.2479,2835800
2016-10-21,56.9603,57.4276,56.6368,57.3341,2150000
2016-10-24,57.5211,58.204,57.327,57.8374,1578300
2016-10-25,57.7871,57.9165,57.5426,57.5714,1512800
2016-10-26,57.1976,57.7799,57.1544,57.2263,1220500
2016-10-27,57.3701,57.4061,56.6728,56.8812,1616800
2016-10-28,56.9675,57.7152,56.9675,57.2623,1168800
2016-10-31,57.5426,57.5858,57.0753,57.3845,1324200
2016-11-01,57.5139,57.5858,56.6296,56.9459,1291000
2016-11-02,56.9963,57.5642,56.5577,56.795,1577400
2016-11-03,56.9747,57.3198,56.7303,56.9603,1407500
2016-11-04,56.9675,57.5211,56.5793,57.1688,1693200
2016-11-07,57.8949,58.2832,57.7511,57.9381,1337500
2016-11-08,57.8518,58.7001,57.8518,58.4916,1234900
2016-11-09,57.9021,58.4772,56.9603,58.0962,2153100
2016-11-10,57.9956,58.3047,57.3773,57.7799,1809100
2016-11-11,57.6792,58.5995,57.5858,58.4701,1420200
2016-11-14,58.7217,59.987,58.7145,59.8144,2358000
2016-11-15,59.9295,60.4974,59.6707,60.3393,1662300
2016-11-16,60.2242,61.1444,60.2242,61.051,1822500
2016-11-17,61.0222,62.9418,60.8928,62.7477,2446000
2016-11-18,62.4026,62.6901,60.9647,61.0007,2195100
2016-11-21,61.2451,62.0934,61.0941,62.0718,1404600
2016-11-22,62.1437,63.4162,62.1437,63.0711,1884000
2016-11-23,63.0855,63.5528,62.9561,63.0855,1221300
2016-11-25,63.294,63.8332,63.1287,63.6032,396200
2016-11-28,63.3947,63.7901,63.2221,63.409,1237900
2016-11-29,63.3659,63.7398,63.2581,63.5097,1002800
2016-11-30,63.4162,63.5672,62.4601,62.5032,1967400
2016-12-01,62.4026,63.0999,62.1725,62.9849,1804500
2016-12-02,62.9058,63.5816,61.813,62.0718,2003800
2016-12-05,62.381,62.496,61.3889,61.8634,1903200
2016-12-06,61.849,62.913,58.6138,60.5765,8100300
2016-12-07,60.5837,61.4536,60.0229,61.3745,2305000
2016-12-08,61.2667,61.5758,60.9288,61.4176,1731400
2016-12-09,61.3817,62.4745,61.3098,62.4529,1590400
2016-12-12,62.2013,62.8483,62.0,62.7764,1471300
2016-12-13,63.028,64.4587,62.7836,63.4953,2673500
2016-12-14,63.4378,63.7613,62.8267,63.1862,2426000
2016-12-15,62.8823,64.0326,62.8823,63.6781,1276400
2016-12-16,63.613,63.7288,62.007,62.347,2226100
2016-12-19,62.1372,62.81,61.9563,62.1299,1949500
2016-12-20,62.2023,62.5062,61.7827,62.3976,1395300
2016-12-21,62.2602,62.5713,61.9274,62.1734,1368500
2016-12-22,62.0431,62.4555,61.8623,62.3253,1842600
2016-12-23,62.2602,62.6219,62.1444,62.4844,760300
2016-12-27,62.5351,63.2007,62.441,62.8317,873600
2016-12-28,62.7883,63.0343,62.1589,62.1878,1087300
2016-12-29,62.3759,62.5423,61.9274,61.9853,1348600
2016-12-30,61.9563,62.0649,61.0593,61.5729,1736900
2017-01-03,62.1516,62.1516,61.1822,61.5439,2368600
2017-01-04,61.884,62.318,61.4499,61.9997,1622200
2017-01-05,61.7827,61.9853,61.0448,61.5367,1439800
2017-01-06,61.7031,62.47,61.4354,62.0793,982100
2017-01-09,61.9563,62.195,61.6308,61.7754,1184400
2017-01-10,61.7899,62.1444,61.3342,61.6669,970900
2017-01-11,61.6308,62.1082,61.4644,62.101,755900
2017-01-12,61.7103,61.9925,61.4499,61.8189,1252600
2017-01-13,61.8478,62.3036,61.5078,61.7176,743700
2017-01-17,61.3703,61.884,61.1099,61.3631,1630000
2017-01-18,61.4354,61.7393,61.3631,61.6163,1138400
2017-01-19,61.5295,61.7104,61.0882,61.175,1206500
2017-01-20,61.3848,61.8261,61.1316,61.5873,950400
2017-01-23,61.5512,61.6308,61.1967,61.4499,1151900
2017-01-24,61.5801,62.3832,61.5729,62.1444,988800
2017-01-25,62.3325,62.8679,62.1517,62.4917,1220600
2017-01-26,62.2602,63.0849,62.0721,62.9619,988300
2017-01-27,63.0704,63.1138,62.5495,62.9257,1423000
2017-01-30,63.0704,63.0704,62.5568,63.0053,1274600
2017-01-31,62.8172,63.0632,61.7755,61.9636,1865200
2017-02-01,61.978,62.101,61.1099,61.515,1747900
2017-02-02,61.4716,61.9274,61.2401,61.6452,1256300
2017-02-03,61.8333,62.3687,61.638,61.9997,1407400
2017-02-06,61.884,63.2513,61.8623,63.2224,3227600
2017-02-07,61.3341,62.3687,60.6396,60.958,3898500
2017-02-08,60.9507,61.6669,60.9363,61.4716,1861500
2017-02-09,61.052,61.6018,61.0231,61.2401,1921200
2017-02-10,61.6163,62.007,61.2763,61.7321,1447300
2017-02-13,62.0504,62.3181,61.7248,62.1661,1103800
2017-02-14,61.6669,62.1227,61.4644,61.515,1771400
2017-02-15,61.4933,62.0142,61.4933,61.9563,1484200
2017-02-16,61.8478,62.0865,61.609,61.7248,1113900
2017-02-17,61.6887,62.0866,61.3197,61.7393,1090300
2017-02-21,61.7104,62.1661,61.5512,61.7321,1098300
2017-02-22,61.2618,61.8695,60.9435,61.6886,1762800
2017-02-23,61.7104,61.9057,61.4355,61.7393,765200
2017-02-24,61.4065,62.3397,61.4065,62.3325,1218300
2017-02-27,62.3759,62.3976,62.007,62.347,996100
2017-02-28,62.2529,62.2529,61.5078,61.5656,1486600
2017-03-01,62.0865,62.7304,62.007,62.4555,1185200
2017-03-02,62.3253,62.6291,62.1227,62.4338,1112000
2017-03-03,62.0938,62.0938,61.1026,61.7754,1752800
2017-03-06,61.4065,61.4065,60.8929,61.1388,2595100
2017-03-07,61.168,61.6049,61.066,61.2335,1682000
2017-03-08,61.8961,62.4423,61.6486,61.969,1627300
2017-03-09,62.0127,62.3695,61.634,61.9326,1138200
2017-03-10,62.0418,62.1728,61.3354,61.5248,1805900
2017-03-13,61.6631,61.7505,61.1679,61.3937,2672900
2017-03-14,61.3646,61.685,61.1752,61.4228,1316100
2017-03-15,61.583,61.9835,61.3791,61.7942,1429200
2017-03-16,61.8306,62.1656,61.6413,61.7796,1688500
2017-03-17,62.0199,62.2166,61.634,61.8525,1595000
2017-03-20,61.8961,62.0491,61.3718,61.6267,958500
2017-03-21,61.9544,62.253,61.168,61.4228,2155300
2017-03-22,61.35,61.7359,61.1971,61.6486,1111500
2017-03-23,61.6413,62.1874,61.3427,61.5466,1383200
2017-03-24,61.6704,61.8816,61.1388,61.4083,1785500
2017-03-27,61.1679,61.5466,60.9276,61.3136,1955000
2017-03-28,61.3864,62.5661,61.3864,62.1219,1549600
2017-03-29,61.8889,62.151,61.6922,61.9762,1036600
2017-03-30,61.9617,62.7044,61.9617,62.5515,1475300
2017-03-31,62.3622,62.9739,62.3622,62.7773,1453200
2017-04-03,62.8209,63.1268,61.9981,62.4059,1731800
2017-04-04,62.384,62.5734,62.1292,62.4787,1348400
2017-04-05,62.7336,62.9302,62.2457,62.3258,1106200
2017-04-06,62.2165,62.3403,61.5757,62.3039,1844500
2017-04-07,62.2311,62.5952,62.0928,62.4204,1889300
2017-04-10,62.384,62.6899,61.8816,61.8961,1559400
2017-04-11,61.8816,62.0272,61.2626,61.7286,2133900
2017-04-12,61.3937,62.0709,61.3063,61.6558,2032600
2017-04-13,61.6558,62.0491,61.4884,61.5029,1504300
2017-04-17,61.8088,63.1413,61.7651,62.7481,3318600
2017-04-18,61.7068,61.8961,60.2213,60.8039,4970900
2017-04-19,60.6801,61.0514,60.5344,60.8403,2072900
2017-04-20,61.117,61.3282,60.8111,61.2262,1425600
2017-04-21,61.0296,61.0296,60.5563,60.6218,1913100
2017-04-24,61.3282,61.5175,60.5344,60.6218,2211900
2017-04-25,60.833,61.0806,60.6655,60.833,1461200
2017-04-26,60.8767,61.2699,60.3742,60.4252,2210300
2017-04-27,60.5271,60.6873,59.8499,60.5053,2747900
2017-04-28,60.4834,60.5781,59.515,59.799,2701400
2017-05-01,60.0029,60.4762,59.7917,60.2067,2279000
2017-05-02,60.3888,60.549,60.2359,60.4106,1968600
2017-05-03,60.3961,60.7674,60.1994,60.4106,2340300
2017-05-04,60.3742,60.7019,60.1703,60.3888,1857400
2017-05-05,60.6218,60.9786,60.3524,60.9422,1416300
2017-05-08,60.9641,61.2044,60.7092,60.9714,1489700
2017-05-09,61.0733,61.3354,60.6655,61.1679,1473400
2017-05-10,60.9568,61.5321,60.884,61.2189,1772100
2017-05-11,60.9568,61.2699,60.5053,61.1461,2161400
