date,open,high,low,close,volume
2016-08-15,35.3138,35.865,35.3138,35.6497,12774900
2016-08-16,35.5721,35.7013,35.5205,35.5894,8109100
2016-08-17,35.6411,35.6411,35.374,35.4946,9876400
2016-08-18,35.2707,35.598,35.2707,35.4343,8544600
2016-08-19,35.3482,35.6066,35.3224,35.5894,9109900
2016-08-22,35.4085,35.6497,35.4085,35.5032,9834700
2016-08-23,35.6324,35.865,35.6238,35.7444,10631800
2016-08-24,35.6152,35.7186,35.2965,35.374,9830300
2016-08-25,35.4171,35.486,35.3138,35.3999,7567200
2016-08-26,35.4085,35.8133,35.374,35.5377,9228200
2016-08-29,35.7272,35.7703,35.5377,35.5808,9168500
2016-08-30,35.6497,35.6583,35.443,35.5808,6840300
2016-08-31,35.5463,35.5894,35.3913,35.5032,9694700
2016-09-01,35.2965,35.5377,35.1243,35.4516,10652500
2016-09-02,35.5377,35.6755,35.3396,35.5291,9020200
2016-09-06,35.6324,35.6324,35.3741,35.5291,8308300
2016-09-07,35.4343,35.5808,35.2707,35.5291,10415300
2016-09-08,35.2535,35.3137,34.9692,35.0726,16732100
2016-09-09,34.7367,35.0898,34.4783,34.4783,14477500
2016-09-12,34.418,35.0984,34.1768,35.0381,14927200
2016-09-13,34.7711,34.9089,34.4266,34.6075,13395200
2016-09-14,34.4697,34.9348,34.4697,34.6678,11626900
2016-09-15,34.6075,35.3396,34.53,35.1932,18403700
2016-09-16,34.1165,34.4094,33.3413,33.5222,50703500
2016-09-19,33.7031,34.0648,33.6342,33.7892,19801900
2016-09-20,34.0649,34.1079,33.6428,33.6514,12121300
2016-09-21,33.7548,34.0907,33.7548,34.0304,10994000
2016-09-22,34.1768,34.2802,34.0046,34.0304,9679300
2016-09-23,33.927,33.9529,33.617,33.7892,14017300
2016-09-26,33.5911,33.6773,33.3844,33.617,9840900
2016-09-27,33.505,34.0132,33.4705,33.8495,10644600
2016-09-28,33.7892,34.0218,33.7289,33.9701,8103500
2016-09-29,33.8065,34.1252,33.6601,33.6945,8795200
2016-09-30,33.8065,33.9701,33.6686,33.8323,12861900
2016-10-03,33.7634,33.8151,33.4705,33.5825,10403500
2016-10-04,33.6256,33.7634,33.3844,33.4792,9199300
2016-10-05,33.6859,33.884,33.4964,33.7203,8269200
2016-10-06,33.6859,33.7979,33.2725,33.4792,9789100
2016-10-07,33.5829,33.7213,33.3841,33.4705,11442000
2016-10-10,33.6002,33.7213,33.3668,33.3927,9475400
2016-10-11,33.3408,33.4186,32.6923,32.8653,14964000
2016-10-12,32.7961,32.9863,32.5454,32.8999,8944900
2016-10-13,32.7356,33.0209,32.5281,32.8826,14117600
2016-10-14,33.0814,33.3668,33.0209,33.2111,11601200
2016-10-17,33.3235,33.3235,33.0382,33.1074,9419000
2016-10-18,33.3754,33.4532,33.1679,33.2198,7121900
2016-10-19,33.3062,33.41,33.1247,33.1592,8310900
2016-10-20,32.9604,33.1592,32.8653,32.9344,11197000
2016-10-21,32.848,32.9604,32.6578,32.7961,13413400
2016-10-24,32.9604,33.2198,32.9604,33.0901,13550500
2016-10-25,33.0901,33.2284,32.9431,33.1679,11627100
2016-10-26,32.9863,33.41,32.9863,33.1247,9723100
2016-10-27,33.2111,33.3408,32.9863,33.0468,7588900
2016-10-28,33.116,33.2457,32.8826,33.0036,7803300
2016-10-31,33.1247,33.2976,33.0296,33.2198,10485300
2016-11-01,33.3581,33.3581,33.0555,33.2544,12018200
2016-11-02,33.2544,33.2803,32.8393,32.8826,9488400
2016-11-03,32.848,33.1852,32.848,33.1247,12393100
2016-11-04,33.1247,33.3581,33.0036,33.0987,14288900
2016-11-07,33.4878,33.851,33.4792,33.7991,9506900
2016-11-08,33.8596,34.0239,33.704,33.8337,7574700
2016-11-09,33.3408,34.3611,33.1938,34.1968,19497300
2016-11-10,34.2833,34.6378,33.9807,34.2228,26707200
2016-11-11,34.1882,34.4216,33.8769,34.1104,12217700
2016-11-14,34.0585,34.3006,33.8164,33.9807,15417100
2016-11-15,33.6262,33.9115,33.4446,33.8683,13594300
2016-11-16,33.8077,34.413,33.6521,34.3265,12597000
2016-11-17,34.413,34.8367,34.3006,34.8021,13316600
2016-11-18,34.828,35.0096,34.3006,34.4649,12890600
2016-11-21,34.56,34.6118,34.3006,34.4908,8073100
2016-11-22,34.6637,34.6897,34.4216,34.6637,10993100
2016-11-23,34.6291,34.6724,34.4476,34.6724,11070100
2016-11-25,34.6205,34.8886,34.6205,34.8194,4013100
2016-11-28,34.6983,35.0442,34.6292,34.8453,12118300
2016-11-29,34.8799,35.2258,34.6983,35.0615,10157400
2016-11-30,35.1566,35.1912,34.7502,34.7502,14374600
2016-12-01,34.681,34.7416,33.2544,33.4619,22740200
2016-12-02,33.2543,33.5743,32.5453,33.2889,19120300
2016-12-05,33.3754,33.8164,33.3235,33.6953,13681500
2016-12-06,33.7299,34.1363,33.6175,34.1276,13524700
2016-12-07,34.1536,34.9058,34.1449,34.8626,15170600
2016-12-08,34.8626,35.0096,34.6551,34.8885,10109700
2016-12-09,34.9404,35.2517,34.828,35.0355,11219100
2016-12-12,34.8885,35.1912,34.8885,35.0269,10891400
2016-12-13,34.9923,35.4506,34.9923,35.243,12493100
2016-12-14,35.3382,35.5284,35.122,35.3468,25102400
2016-12-15,35.4073,35.5716,35.2257,35.3295,17783500
2016-12-16,34.7761,34.7761,33.5138,33.8077,46224200
2016-12-19,33.7472,33.8856,33.3668,33.6348,15135100
2016-12-20,33.6867,33.8164,33.5483,33.7213,14006400
2016-12-21,33.7731,33.7731,33.3841,33.5743,11966400
2016-12-22,33.6607,33.9288,33.3754,33.6867,11226300
2016-12-23,33.5397,33.7386,33.4014,33.531,8143600
2016-12-27,33.5224,33.7559,33.5137,33.5656,5073700
2016-12-28,33.6089,33.6521,33.4014,33.4446,8264100
2016-12-29,33.3841,33.5829,33.3841,33.4532,5711800
2016-12-30,33.5051,33.6002,33.1506,33.2457,10820200
2017-01-03,33.3759,33.5842,33.2457,33.4627,11051300
2017-01-04,33.4627,33.7839,33.4627,33.6276,9545500
2017-01-05,33.5669,33.8099,33.3412,33.5408,12064700
2017-01-06,33.6363,33.6363,33.3152,33.3759,14829700
2017-01-09,33.4454,34.2439,33.3933,33.8794,15587900
2017-01-10,33.8533,33.9141,33.5582,33.5582,11316600
2017-01-11,33.5408,33.9662,33.5408,33.9488,10403100
2017-01-12,33.8794,34.1311,33.4974,34.0269,11526900
2017-01-13,33.9922,34.1398,33.8794,34.079,9455300
2017-01-17,33.9141,34.0964,33.7578,33.9401,11081400
2017-01-18,34.0964,34.1485,33.8794,34.0183,10394000
2017-01-19,33.9575,34.1832,33.9401,34.0356,12232400
2017-01-20,34.2526,34.7474,34.244,34.6085,25439100
2017-01-23,34.513,34.7995,34.2266,34.4436,13251200
2017-01-24,34.5912,34.895,34.5044,34.8082,12216500
2017-01-25,34.9991,35.0512,34.678,34.8516,13164800
2017-01-26,34.9036,34.9384,34.678,34.8342,10556500
2017-01-27,34.895,35.0599,34.8342,34.921,9232700
2017-01-30,34.8169,34.9384,34.5564,34.921,10589600
2017-01-31,34.9036,34.9384,34.4349,34.8168,10766700
2017-02-01,34.9123,34.9123,34.4696,34.5825,11837000
2017-02-02,34.5217,34.7214,34.4436,34.704,10120300
2017-02-03,34.7821,35.0946,34.678,35.0946,12941200
2017-02-06,35.1033,35.1033,34.7908,34.8082,7871300
2017-02-07,34.8603,34.9818,34.7561,34.7821,8848700
