date,open,high,low,close,volume
2020-03-19,36.566,42.0509,36.566,41.3653,7000
2020-03-20,41.1459,42.0601,41.1368,41.1368,3600
2020-03-23,38.3943,38.3943,36.5477,36.566,11900
2020-03-24,36.566,36.566,35.6519,36.566,77800
2020-03-25,36.566,40.9539,34.7377,37.4893,7000
2020-03-26,41.1368,43.4222,40.4512,41.1368,29100
2020-03-27,41.1368,43.4222,41.1276,41.3516,263200
2020-03-30,40.4512,45.7075,40.4512,45.7075,118100
2020-03-31,42.508,45.7075,40.9357,45.7075,210300
2020-04-01,42.0418,44.3363,40.2226,42.6908,1206100
2020-04-02,41.1587,44.4826,39.4913,40.2226,9264200
2020-04-03,39.9941,45.0676,38.2115,43.2576,22551600
2020-04-06,42.9651,43.7421,40.8625,41.9961,10294200
2020-04-07,41.2739,42.9559,39.2445,40.4786,12146500
2020-04-08,38.5863,41.3196,37.7179,40.3049,22265800
2020-04-09,40.2683,45.9361,40.2226,44.9214,17355600
2020-04-13,44.382,44.4917,41.795,42.0509,8545100
2020-04-14,41.9687,42.3252,40.1952,41.9504,10152100
2020-04-15,40.3963,40.9997,39.1256,40.7254,7935500
2020-04-16,40.2958,42.423,39.8113,41.7036,8740200
2020-04-17,42.9651,44.3912,41.9778,42.188,7878100
2020-04-20,41.1368,42.9468,41.0454,41.4933,5407500
2020-04-21,40.6797,43.1479,40.6797,41.9595,6939700
2020-04-22,43.2485,45.2962,42.0509,43.0108,6801900
2020-04-23,43.3673,43.9158,42.4897,43.3947,5174800
2020-04-24,43.8975,44.3363,42.3343,43.7421,6446900
2020-04-27,43.9524,44.4277,43.5227,44.0803,5541100
2020-04-28,44.8574,46.576,44.4734,45.5795,5368200
2020-04-29,46.4114,47.289,45.4424,46.7588,4343900
2020-04-30,46.5943,47.1702,46.1646,46.5394,6123800
2020-05-01,46.0092,46.192,44.1626,45.4424,3089700
2020-05-04,44.6563,45.4059,43.4313,45.2779,5676600
2020-05-05,45.2779,46.2926,43.8427,43.9615,4103600
2020-05-06,44.4369,44.7934,43.7787,44.1626,2931800
2020-05-07,44.8117,48.7151,44.7842,47.3621,4803200
2020-05-08,47.6455,49.5195,47.6364,48.4043,4289400
2020-05-11,47.5358,47.9015,46.6765,47.3621,3150600
2020-05-12,47.7095,47.8009,45.4241,45.4516,3059800
