date,open,high,low,close,volume
2016-04-21,39.3439,39.4325,38.5465,38.6056,1979500
2016-04-22,38.5982,38.8862,38.4506,38.5909,1652300
2016-04-25,38.5908,38.8123,38.421,38.8123,2266200
2016-04-26,38.7607,38.9895,38.6278,38.8714,2261800
2016-04-27,38.8862,39.307,38.7607,39.2184,1619000
2016-04-28,38.864,39.3439,38.6056,38.9969,1993500
2016-04-29,38.613,38.8345,38.2438,38.4801,2286600
2016-05-02,38.5613,38.8788,38.4801,38.8345,1264900
2016-05-03,38.5982,38.8714,38.4727,38.6868,1503500
2016-05-04,38.4358,38.6573,38.3251,38.6056,1369600
2016-05-05,38.6726,38.7619,38.0548,38.0995,2502200
2016-05-06,38.0028,38.6354,38.0028,38.6354,1972900
2016-05-09,38.6875,38.8587,38.5312,38.6949,1316700
2016-05-10,38.8512,39.3945,38.7172,39.3648,1638300
2016-05-11,39.3276,39.3276,38.7768,38.8587,1629200
2016-05-12,38.9778,39.0894,38.6354,38.7842,1891300
2016-05-13,38.7842,38.9777,38.4642,38.4865,1270900
2016-05-16,38.4865,38.9926,38.3377,38.747,1590000
2016-05-17,38.6875,38.7991,38.1739,38.3079,1441700
2016-05-18,38.2633,38.7098,38.1442,38.5014,1405500
2016-05-19,38.2707,38.5535,38.0251,38.4865,1236800
2016-05-20,38.6131,38.948,38.5907,38.7247,1573600
2016-05-23,38.7694,38.8363,38.4865,38.5014,1200700
2016-05-24,38.7321,39.5434,38.6652,39.5062,1886600
2016-05-25,39.6178,39.9751,39.5955,39.9453,1959200
2016-05-26,39.8635,40.2282,39.8114,40.1686,2108300
2016-05-27,40.243,40.4365,40.0793,40.4365,1711900
2016-05-31,40.578,40.6226,39.9528,40.3547,2442900
2016-06-01,40.2728,40.5556,40.1686,40.5333,1584900
2016-06-02,40.5035,40.898,40.3249,40.8905,2254300
2016-06-03,40.6747,40.8012,40.3398,40.7194,1869500
2016-06-06,40.7789,41.084,40.7342,40.8756,2177200
2016-06-07,40.9054,41.2627,40.8757,41.0171,2143900
2016-06-08,40.9799,41.0617,40.8012,41.0245,1479500
2016-06-09,40.9203,41.1808,40.8384,41.0915,964100
2016-06-10,40.4514,40.8608,40.3398,40.6077,1594900
2016-06-13,40.4142,40.6598,40.3175,40.3621,1773500
2016-06-14,40.2058,40.6524,40.1909,40.6226,1588800
2016-06-15,40.6449,40.9277,40.444,40.5779,1396500
2016-06-16,40.4663,40.9426,40.2802,40.8608,1099700
2016-06-17,40.8384,40.8533,40.377,40.63,2229200
2016-06-20,41.0319,41.4115,41.0096,41.1287,1548900
2016-06-21,41.218,41.419,41.0766,41.3148,1555500
2016-06-22,41.3892,41.419,41.0766,41.1659,1344800
2016-06-23,41.419,41.9028,41.3818,41.8953,1447400
2016-06-24,40.0272,41.2924,39.8709,40.6673,4584400
2016-06-27,40.4142,40.6524,40.0272,40.3919,3694300
2016-06-28,40.5705,41.3743,40.4365,41.3297,3701000
2016-06-29,41.5604,41.8804,41.4711,41.7837,3521100
2016-06-30,42.0367,44.3217,41.7316,44.2844,7536300
2016-07-01,43.9942,44.3589,43.5551,44.2398,4418200
2016-07-05,44.1356,44.8799,44.1058,44.7236,3608600
2016-07-06,45.3934,45.4009,44.798,45.2818,3997700
2016-07-07,45.3711,45.6018,44.9989,45.0957,3855900
2016-07-08,45.453,45.773,45.1999,45.6465,2690300
2016-07-11,45.9516,46.0484,45.5571,45.5795,2719500
2016-07-12,45.6986,45.9144,45.3413,45.4083,2846600
2016-07-13,45.5199,45.639,45.3413,45.4827,2003600
2016-07-14,45.773,45.773,45.3413,45.4902,1635600
2016-07-15,45.6837,45.706,45.2669,45.3413,1773100
2016-07-18,45.2446,45.4976,45.1404,45.2222,1699000
2016-07-19,45.252,45.4009,45.0138,45.1776,1578500
2016-07-20,45.118,45.1925,44.865,45.0362,2618700
2016-07-21,44.9394,45.2446,44.7236,44.9096,1802600
2016-07-22,45.1552,45.3562,44.8724,45.2073,1457600
