date,open,high,low,close,volume
2016-04-21,20.2452,20.5024,20.2329,20.3554,36025298
2016-04-22,20.3615,20.5146,20.2513,20.3738,27548714
2016-04-25,20.288,20.3738,20.2084,20.337,25569513
2016-04-26,20.3309,20.4105,20.1594,20.239,30293330
2016-04-27,20.1962,20.337,20.1472,20.2084,27503603
2016-04-28,20.1901,20.3187,20.0553,20.1533,34818995
2016-04-29,20.1288,20.1778,19.8594,20.0308,36061134
2016-05-02,19.939,20.2084,19.9022,20.086,40122407
2016-05-03,20.6065,20.8024,20.3615,20.6371,75396414
2016-05-04,20.6187,20.7596,20.4105,20.4534,38021364
2016-05-05,20.435,20.6555,20.3921,20.5575,25047467
2016-05-06,20.4411,20.5697,20.3309,20.5636,24422234
2016-05-09,20.5391,20.7963,20.5269,20.7106,33182766
2016-05-10,20.7167,20.7412,20.5024,20.6983,26125498
2016-05-11,20.6736,20.7354,20.4821,20.4883,32037384
2016-05-12,20.5253,20.5624,20.34,20.5068,26746515
2016-05-13,20.5933,20.6674,20.4759,20.5068,21622494
2016-05-16,20.3461,20.6551,20.272,20.6242,23239224
2016-05-17,20.5562,20.5995,20.34,20.4079,33175177
2016-05-18,20.3956,20.6242,20.3709,20.4944,21034889
2016-05-19,20.4883,20.6551,20.3647,20.6242,28095740
2016-05-20,20.686,20.9455,20.6674,20.8466,36437939
2016-05-23,20.9022,20.9517,20.791,20.8034,25126833
2016-05-24,20.8157,21.1185,20.8157,21.069,29890808
2016-05-25,21.0814,21.2544,21.0505,21.2235,22152761
2016-05-26,21.1679,21.4089,21.1679,21.2729,26656292
2016-05-27,21.242,21.4707,21.242,21.3842,21569056
2016-05-31,21.4212,21.4707,21.242,21.4398,34547274
2016-06-01,21.4398,21.5881,21.3903,21.4707,24361207
2016-06-02,21.4336,21.6189,21.3285,21.5448,31807717
2016-06-03,21.5448,21.551,21.2853,21.4336,28377580
2016-06-06,21.4398,21.6189,21.3903,21.5819,21526791
2016-06-07,21.5263,21.6189,21.4707,21.5263,24776905
2016-06-08,21.483,21.829,21.4212,21.7796,23703195
2016-06-09,21.656,21.934,21.6437,21.8167,25440187
2016-06-10,21.6931,21.8661,21.6375,21.8043,21645366
2016-06-13,21.6375,21.7178,21.4398,21.4645,31296000
2016-06-14,21.378,21.6437,21.3656,21.6189,33410430
2016-06-15,21.6313,21.7425,21.4089,21.4954,21372696
2016-06-16,21.4274,21.4954,21.2668,21.4707,23540563
2016-06-17,21.4892,21.5077,21.0443,21.1432,35423464
2016-06-20,21.3038,21.4398,21.1185,21.3162,23814919
2016-06-21,21.3224,21.551,21.3224,21.4707,26725962
2016-06-22,21.4645,21.5942,21.2606,21.2977,26515583
2016-06-23,21.4398,21.4645,21.1926,21.3718,25111339
2016-06-24,20.8837,21.2853,20.8466,20.9887,46376211
2016-06-27,20.8837,20.9949,20.7169,20.8837,31359662
2016-06-28,21.0999,21.2977,20.9578,21.2791,25068547
2016-06-29,21.3903,21.7178,21.3594,21.6313,26206761
2016-06-30,21.7116,21.7919,21.5881,21.7549,28451465
2016-07-01,21.7178,22.0267,21.6993,21.9773,20371290
2016-07-05,21.9588,22.1935,21.9032,22.1256,21972843
2016-07-06,22.1318,22.1812,21.8599,22.1565,27226928
2016-07-07,22.1132,22.1997,21.9711,22.1009,19081089
2016-07-08,22.1688,22.3604,22.0576,22.3171,18752873
2016-07-11,22.2862,22.4592,22.2615,22.3357,17406915
2016-07-12,22.3357,22.4283,22.2615,22.3913,17066368
2016-07-13,22.416,22.5087,22.3727,22.4345,14611497
2016-07-14,22.5457,22.8361,22.3974,22.8114,29155116
2016-07-15,22.8423,22.9782,22.6322,22.7187,26445387
2016-07-18,22.6693,22.8547,22.5828,22.6384,17827567
2016-07-19,22.6569,22.7805,22.5828,22.6384,17614975
2016-07-20,22.7991,22.8176,22.6631,22.6631,12937112
2016-07-21,22.6569,22.7496,22.5643,22.6817,13772091
2016-07-22,22.7373,22.762,22.6631,22.7002,14209501
