date,open,high,low,close,volume
2016-04-21,29.8568,30.1601,29.7465,29.8499,1652100
2016-04-22,29.9946,30.5668,29.9946,30.4014,1788300
2016-04-25,30.1601,30.2911,29.6706,29.9395,1637900
2016-04-26,30.1394,30.2704,29.9257,30.2704,1229300
2016-04-27,30.229,30.4565,30.0636,30.3531,1552400
2016-04-28,29.9257,30.0705,29.4983,29.5534,2285300
2016-04-29,29.2984,29.6224,29.0778,29.4224,2912800
2016-05-02,29.643,29.8705,29.2846,29.8568,1408300
2016-05-03,29.3811,29.3811,28.4987,28.7951,2478500
2016-05-04,28.3126,28.9537,28.2988,28.9399,2089600
2016-05-05,29.0709,29.3466,28.7882,29.126,2148000
2016-05-06,28.9123,29.2915,28.74,29.0915,1530000
2016-05-09,29.0915,29.1949,28.7882,28.8916,1283800
2016-05-10,29.0433,29.6224,29.0433,29.6086,1447500
2016-05-11,29.4431,29.7671,29.2984,29.3121,979500
2016-05-12,29.519,29.6913,29.0571,29.2639,1231200
2016-05-13,29.2156,29.6224,28.7813,28.864,958900
2016-05-16,28.864,29.2087,28.864,29.064,1271900
2016-05-17,29.0502,29.4087,28.8916,29.0088,1255800
2016-05-18,29.0088,30.0429,28.9537,29.9671,1879900
2016-05-19,29.712,29.9188,28.9606,29.2019,1998700
2016-05-20,29.4018,29.905,29.2363,29.774,1707800
2016-05-23,29.6499,29.8912,29.5258,29.7327,1509100
2016-05-24,30.0222,30.5668,29.9808,30.422,1549600
2016-05-25,30.4841,30.9528,30.1049,30.615,1207800
2016-05-26,30.6288,30.6564,30.2979,30.36,1061000
2016-05-27,30.4565,30.6219,30.3324,30.615,1078600
2016-05-31,30.7047,30.8426,30.4634,30.7185,2521500
2016-06-01,30.3117,30.5875,29.9877,30.4772,1378700
2016-06-02,30.4007,30.5537,30.2546,30.5537,1041500
2016-06-03,30.0947,30.0947,29.5869,29.7817,1402500
2016-06-06,29.893,30.4076,29.8095,30.2268,954800
2016-06-07,30.3033,30.4563,30.1016,30.2755,974100
2016-06-08,30.2129,30.5398,30.1712,30.4424,986400
2016-06-09,30.2268,30.345,29.9069,30.0042,998900
2016-06-10,29.6287,29.733,29.3505,29.5452,1397900
2016-06-13,29.2531,29.5869,29.0305,29.0305,1486300
2016-06-14,28.9471,29.2044,28.5924,28.808,1393600
2016-06-15,28.9471,29.3157,28.7593,28.954,1565700
2016-06-16,28.5645,29.3365,28.4602,29.3018,2082600
2016-06-17,29.3505,29.5939,29.1905,29.4478,1952100
2016-06-20,29.8304,30.3103,29.8165,29.8304,1446200
2016-06-21,30.0321,30.2407,29.7747,30.0807,1564300
2016-06-22,30.0668,30.5746,30.0668,30.3937,2004300
2016-06-23,30.6371,31.1727,30.6371,30.964,2851400
2016-06-24,28.8219,29.2461,27.7647,27.7925,4253600
2016-06-27,27.1944,27.25,26.4502,26.5267,2129700
2016-06-28,27.1248,27.2083,26.791,27.1666,2105700
2016-06-29,27.2222,28.0429,27.2222,28.029,1789600
2016-06-30,28.1403,28.6063,27.8064,28.5924,1489500
2016-07-01,28.3837,28.9123,28.3837,28.6063,1494400
2016-07-05,28.1542,28.1542,27.1457,27.4587,2889800
2016-07-06,27.1596,27.7647,27.0136,27.7438,1323700
2016-07-07,27.9038,28.4046,27.6812,27.9455,1164500
2016-07-08,28.5019,28.9888,28.4741,28.9262,1492800
2016-07-11,29.1766,29.4478,29.0097,29.2879,1430900
2016-07-12,29.6913,30.1503,29.6913,30.0321,1327000
2016-07-13,29.9764,30.1781,29.6982,30.0112,1316300
2016-07-14,30.7067,30.8458,30.3798,30.658,1550400
2016-07-15,30.8667,31.0197,30.5676,30.7832,1398400
2016-07-18,30.7137,30.9501,30.505,30.7484,1257700
2016-07-19,30.5189,30.8806,30.4563,30.7624,950800
2016-07-20,30.9501,30.9571,30.6093,30.9154,1073600
2016-07-21,30.9293,31.0197,30.6789,30.7971,875000
2016-07-22,30.8875,31.284,30.7763,31.0684,729700
2016-07-25,31.0058,31.2005,30.9501,31.0892,681400
2016-07-26,31.0405,31.2144,30.8875,31.1866,608900
2016-07-27,31.1518,31.277,30.9014,31.0614,1087700
2016-07-28,30.964,31.1449,30.7623,31.0962,993100
2016-07-29,31.284,32.7932,31.284,32.4315,2352100
2016-08-01,32.5011,32.5985,31.9864,32.1534,1630000
2016-08-02,32.1116,32.2925,31.3744,31.4926,1780400
2016-08-03,31.5622,31.9517,31.5204,31.8752,1607200
2016-08-04,31.7917,31.9517,31.5413,31.9099,1368900
2016-08-05,32.2925,32.8211,32.2438,32.8141,1534700
2016-08-08,32.9671,33.2244,32.7376,33.1758,1435500
2016-08-09,33.1966,33.2662,33.0436,33.1758,914800
2016-08-10,33.134,33.2314,32.5776,32.675,968100
2016-08-11,32.7376,32.9115,32.5498,32.8002,837100
2016-08-12,32.5081,32.6611,32.2716,32.5359,975500
2016-08-15,32.7445,32.8628,32.675,32.7654,1089200
2016-08-16,32.6332,32.7932,32.5359,32.6611,908700
2016-08-17,32.7237,33.0158,32.6263,33.0088,1084800
2016-08-18,32.9462,33.1132,32.7793,32.9671,780000
2016-08-19,32.8628,32.9532,32.5637,32.7724,1123800
2016-08-22,32.6959,32.8419,32.5707,32.8071,829000
2016-08-23,33.0714,33.3496,33.0575,33.1618,932700
2016-08-24,33.2036,33.3635,33.0366,33.1479,767200
2016-08-25,33.1271,33.3775,33.0436,33.3775,871200
2016-08-26,33.4122,33.8574,33.2801,33.5652,1419200
2016-08-29,33.5931,34.226,33.5861,34.1703,1588400
2016-08-30,34.2121,34.4277,34.1425,34.4277,1000700
2016-08-31,34.3646,34.582,34.098,34.4136,1571600
2016-09-01,34.5188,34.6591,33.8105,34.2804,1007700
2016-09-02,34.4698,34.5539,34.1962,34.3996,782800
2016-09-06,34.4487,34.4557,33.9578,34.3646,1178500
2016-09-07,34.1892,34.4417,33.9858,34.4347,977300
2016-09-08,34.4207,34.5679,34.2243,34.3365,925800
2016-09-09,34.084,34.4627,33.9227,33.9227,1377100
2016-09-12,33.6071,34.4207,33.3547,34.3225,1406800
2016-09-13,33.7684,34.1822,33.4599,33.9788,1828700
2016-09-14,33.9718,34.1331,33.6913,33.9367,1536000
2016-09-15,33.9157,34.4627,33.8035,34.3365,1428900
2016-09-16,34.084,34.0981,33.5721,33.9227,2544000
2016-09-19,34.1261,34.624,34.07,34.2383,1362000
2016-09-20,34.4768,34.5679,34.2313,34.3856,1415300
2016-09-21,34.589,34.9607,34.5188,34.9046,1372600
2016-09-22,35.0659,35.1851,34.8905,34.9817,1099100
2016-09-23,34.8414,35.4937,34.7994,34.9256,1398300
2016-09-26,34.5749,34.9817,34.3926,34.6591,1819600
2016-09-27,34.4908,35.3955,34.3926,35.3604,1803800
2016-09-28,35.5568,36.0758,35.4306,36.0617,1927700
2016-09-29,35.9636,36.0898,35.1921,35.4165,1758700
2016-09-30,35.6129,36.2721,35.5357,36.1249,2454500
2016-10-03,35.9495,36.3773,35.9425,36.0547,1430000
2016-10-04,36.2511,36.3984,35.7391,35.8864,1769600
2016-10-05,36.1319,37.0296,36.0267,36.9103,1620500
2016-10-06,37.0085,37.0506,36.6088,36.8542,1205400
2016-10-07,36.5877,36.7981,36.3142,36.6508,1273700
2016-10-10,36.8472,37.1207,36.7771,37.0506,1625000
2016-10-11,36.8963,37.0296,36.5106,36.8192,1854500
2016-10-12,36.9173,37.247,36.7981,36.9664,1082500
2016-10-13,36.4545,36.6719,35.9425,36.4755,1983000
2016-10-14,36.8472,37.1698,36.6579,36.6999,959000
2016-10-17,36.7771,36.9314,36.5947,36.6508,730800
2016-10-18,37.1698,37.1698,36.756,36.9103,1498500
2016-10-19,37.1909,37.1909,36.742,36.9945,1745300
2016-10-20,36.9384,37.1207,36.7631,37.0296,1319000
2016-10-21,36.6579,37.0155,36.5246,36.9033,1151700
2016-10-24,37.2049,37.3101,36.9945,37.1698,1006000
2016-10-25,37.1207,37.2189,36.8472,37.1418,1626500
2016-10-26,36.8683,37.289,36.8122,37.1768,1624400
2016-10-27,37.3522,37.7028,37.0646,37.5626,1897400
2016-10-28,37.5626,39.4982,37.3802,38.7618,3209900
2016-10-31,39.0844,39.0844,38.2849,38.2919,2194100
2016-11-01,38.5584,38.5795,37.5836,37.9763,2418100
2016-11-02,37.794,38.0535,37.3802,37.4924,1731100
2016-11-03,37.7309,37.815,37.3031,37.4013,2120800
2016-11-04,37.4363,37.6467,36.9384,37.261,1806200
2016-11-07,38.0885,38.2288,37.9763,38.0956,2332500
2016-11-08,38.0745,38.355,37.773,38.2148,2561000
2016-11-09,38.6777,39.414,38.341,39.3439,4813200
2016-11-10,39.8769,40.7395,39.7086,40.5922,3308400
2016-11-11,40.2556,40.6063,39.4701,40.1855,2623800
2016-11-14,40.6133,41.2725,40.0592,40.1925,2369900
2016-11-15,39.947,40.4941,39.7226,40.473,1783000
2016-11-16,40.0452,40.4169,39.8769,40.0592,1226600
2016-11-17,40.4309,40.6063,40.1644,40.5291,1638900
2016-11-18,40.5712,40.6203,40.0242,40.438,1219600
2016-11-21,40.5712,40.7115,40.2346,40.5361,1192000
