date,open,high,low,close,volume
2016-04-21,62.1591,62.3662,61.7832,61.975,8802100
2016-04-22,61.6682,62.09,61.2923,62.09,8027700
2016-04-25,62.067,62.4966,61.6835,62.4429,7672800
2016-04-26,62.5119,62.5119,60.7554,61.0162,13742300
2016-04-27,60.9549,61.4764,60.6711,61.277,7689700
2016-04-28,60.9625,61.5685,60.8935,61.1773,7615900
2016-04-29,61.1083,61.4764,60.8782,61.4534,9391000
2016-05-02,61.3767,62.3585,61.3767,62.1054,7862600
2016-05-03,61.975,62.6653,61.8906,62.2051,7617500
2016-05-04,62.0287,62.719,62.0287,62.5886,7365900
2016-05-05,62.5886,62.9644,62.067,62.3585,6399500
2016-05-06,62.4505,63.0872,62.2588,62.9951,6297200
2016-05-09,63.0565,63.4553,62.8724,62.9875,6718800
2016-05-10,63.0105,63.417,62.9874,63.2636,6222400
2016-05-11,63.2789,63.5781,62.9951,63.0105,5975000
2016-05-12,63.2636,63.463,62.9798,63.2099,4925000
2016-05-13,63.2176,63.2176,62.1284,62.3048,6579000
2016-05-16,62.1361,62.811,61.9366,62.6116,6497200
2016-05-17,62.6193,62.9414,61.6145,61.8369,10188200
2016-05-18,61.8139,61.952,60.9088,61.2463,8344100
2016-05-19,61.0852,61.5301,60.9395,61.5071,6242500
2016-05-20,61.6989,61.7449,61.2003,61.3767,6526800
2016-05-23,61.3997,61.6145,61.2463,61.5148,5620600
2016-05-24,61.5915,62.4199,61.5915,62.1054,6293300
2016-05-25,62.1898,62.719,62.1361,62.4966,6049800
2016-05-26,62.4966,62.5886,62.1974,62.2971,4622300
2016-05-27,62.3355,62.6346,62.2511,62.4582,4322200
2016-05-31,62.5732,62.7573,61.9289,62.1591,6705000
2016-06-01,62.0901,62.742,62.021,62.7343,6184100
2016-06-02,62.5349,62.8571,62.3815,62.8571,5186300
2016-06-03,62.8417,63.2712,62.7266,63.2559,6306700
2016-06-06,63.2022,63.532,63.0718,63.486,5292300
2016-06-07,63.4783,63.578,63.0872,63.1409,6327500
2016-06-08,63.1792,63.4707,62.9107,63.394,4712600
2016-06-09,63.3403,63.8619,63.2252,63.7928,6144900
2016-06-10,63.486,63.9232,63.3633,63.8158,6840800
2016-06-13,63.6318,63.9693,63.3019,63.3326,6167400
2016-06-14,63.3173,63.9462,63.1025,63.9309,6868600
2016-06-15,63.9692,64.0459,63.5244,63.6241,7082200
2016-06-16,63.4093,64.1303,63.4016,63.9769,6630100
2016-06-17,63.9002,63.9999,63.1639,63.7621,11741700
2016-06-20,64.0613,64.1993,63.6854,63.6931,6164300
2016-06-21,63.7314,64.2607,63.7314,63.9769,6594700
2016-06-22,64.0459,64.2453,63.8848,64.0996,4940100
2016-06-23,64.2837,64.5905,64.0996,64.5905,7361300
2016-06-24,63.3633,64.2914,62.8877,63.0948,12401100
2016-06-27,62.765,62.8111,62.1284,62.3048,9601800
2016-06-28,62.4659,63.2713,62.0901,63.2482,9257100
2016-06-29,63.6317,64.3604,63.5934,64.3604,7927500
2016-06-30,64.3604,65.0431,64.2914,64.9434,10969300
2016-07-01,64.8283,65.1888,64.8206,65.0277,9531100
2016-07-05,64.7976,65.9251,64.7746,65.534,11403100
2016-07-06,65.4803,65.58,64.997,65.2195,8356500
2016-07-07,65.3729,65.3805,64.836,65.0661,7905700
2016-07-08,65.1811,65.8868,65.02,65.787,6827300
2016-07-11,65.6643,65.9251,65.1274,65.7717,6156800
2016-07-12,65.5723,65.9174,65.3422,65.7717,6649800
2016-07-13,65.8178,66.0786,65.511,65.8791,7572100
2016-07-14,66.301,66.6461,65.8484,65.8638,11342600
2016-07-15,66.1553,66.3317,65.8024,65.9712,8491300
2016-07-18,65.9788,66.0018,65.7334,65.9098,4781300
2016-07-19,65.7104,66.1016,65.626,66.0939,6078200
2016-07-20,66.0011,66.2717,65.8079,65.9547,6289000
2016-07-21,65.7228,65.9934,65.6146,65.9084,5407000
2016-07-22,66.0939,66.4649,66.0552,66.2639,6165600
2016-07-25,66.1171,66.3258,65.8233,66.3258,5605300
2016-07-26,66.233,66.5422,65.8388,65.9161,5379300
2016-07-27,65.8929,65.9393,65.1817,65.2899,7744700
2016-07-28,65.259,65.6919,65.2436,65.5605,5911600
2016-07-29,65.6223,66.318,65.5528,66.1634,7520900
2016-08-01,66.0475,66.9288,66.032,66.7973,10420600
2016-08-02,67.2689,67.3694,66.6659,67.0679,13083200
2016-08-03,66.8747,67.037,66.063,66.4572,8192100
2016-08-04,66.5731,66.8901,66.3258,66.519,5564100
2016-08-05,66.5422,66.8205,66.117,66.3103,6729700
2016-08-08,66.1789,66.4031,65.8079,66.2949,5388200
2016-08-09,66.3722,66.7432,66.233,66.4727,4158800
2016-08-10,66.6814,67.1143,66.4804,66.72,5981400
2016-08-11,67.0215,67.2534,66.7896,67.0447,7387100
2016-08-12,67.1916,67.6013,67.0833,67.2843,8063400
2016-08-15,67.6554,67.694,67.2457,67.2689,6871200
2016-08-16,67.2379,67.5626,66.8437,66.9287,8071100
2016-08-17,66.8283,67.3385,66.4572,67.2225,6762100
2016-08-18,67.207,67.609,67.207,67.5935,7082800
2016-08-19,67.408,67.5704,67.2921,67.493,6199900
2016-08-22,67.3616,67.4157,66.9287,67.1374,5921100
2016-08-23,67.3539,67.6399,67.2843,67.5626,5420100
2016-08-24,67.5008,67.6013,66.9133,67.493,5713300
2016-08-25,67.4853,67.98,67.2843,67.9491,10595500
2016-08-26,67.9259,68.413,67.3848,67.7018,16408200
2016-08-29,67.5549,68.3356,67.5008,68.2583,8934500
2016-08-30,67.81,68.2584,67.609,67.6709,11619400
2016-08-31,67.8332,67.9105,67.2766,67.493,11407800
2016-09-01,67.5317,68.2661,67.2379,68.2661,29793300
2016-09-02,68.3975,68.699,68.0574,68.181,17470400
2016-09-06,68.2197,68.5212,67.9337,68.5212,14472100
2016-09-07,68.2661,68.3434,67.8023,67.9878,17556400
2016-09-08,67.9878,68.1656,67.7404,67.8564,23465700
2016-09-09,67.3307,67.3848,66.6659,66.6659,21955000
2016-09-12,66.5113,68.3202,66.4495,68.2197,16105700
2016-09-13,67.6786,67.9569,67.2612,67.2921,19682700
2016-09-14,67.3462,67.7172,67.1529,67.2612,25397900
2016-09-15,67.0602,68.2352,67.0602,68.0728,13833600
2016-09-16,67.7327,68.1115,67.4853,68.0651,23518300
2016-09-19,67.9646,68.7608,67.4467,68.3125,19173900
2016-09-20,68.413,68.7608,68.1656,68.4748,33986500
2016-09-21,68.4439,68.6371,66.8205,67.8718,55409800
2016-09-22,67.8486,69.0314,67.8486,68.7917,52692700
2016-09-23,68.5134,68.7531,67.6322,67.8409,48281400
2016-09-26,67.5781,68.3588,66.9519,67.9105,60276600
2016-09-27,68.0728,68.6526,67.7636,68.3047,65150800
2016-09-28,68.784,69.3638,68.3898,69.1551,89806000
2016-09-29,68.9232,69.0082,67.6709,68.2042,74587500
2016-09-30,68.2584,69.7426,68.2506,69.3792,123735700
2016-10-03,69.07,69.1473,68.3434,68.5367,26789500
2016-10-04,68.2506,68.5521,67.9878,68.297,23317600
2016-10-05,68.3975,68.7995,68.1888,68.6835,64580300
2016-10-06,68.498,69.3638,68.3898,68.9695,61462800
2016-10-07,68.8072,69.6112,68.2584,69.5725,20518800
2016-10-10,69.7194,69.8276,68.6294,68.8458,15492400
2016-10-11,68.6681,68.8922,68.1811,68.4439,11723100
2016-10-12,68.5985,68.8072,68.2815,68.4671,17118000
2016-10-13,68.0651,68.4671,67.7172,68.212,11158100
2016-10-14,68.413,68.7685,68.1965,68.3588,7369000
2016-10-17,68.3589,68.5289,67.8023,67.895,7610600
2016-10-18,68.1888,68.2352,67.5936,67.6013,10749500
2016-10-19,67.5,67.6324,66.5574,66.6353,12788800
