date,open,high,low,close,volume
2016-04-18,25.2927,25.5579,25.2396,25.5579,3837900
2016-04-19,25.611,25.7247,25.4897,25.5807,3383000
2016-04-20,25.5958,25.6716,25.2244,25.3457,2510100
2016-04-21,25.2472,25.323,24.7621,24.8,3470100
2016-04-22,24.8076,25.0501,24.8076,24.9743,2387100
2016-04-25,24.8758,24.944,24.7621,24.9061,2309500
2016-04-26,24.944,24.9819,24.7242,24.8227,3172600
2016-04-27,24.8606,24.9743,24.7318,24.853,2062100
2016-04-28,24.6636,24.853,24.565,24.6636,2179900
2016-04-29,24.5575,24.7697,24.4513,24.709,2336900
2016-05-02,24.7318,25.1486,24.7318,25.0653,2217400
2016-05-03,24.8455,25.179,24.7621,25.1486,2812600
2016-05-04,25.0122,25.088,24.7924,24.8834,3243100
2016-05-05,24.9743,25.2699,24.8303,24.9213,3484800
2016-05-06,24.8151,25.0577,24.565,24.9819,3161400
2016-05-09,24.9516,25.2169,24.8455,25.1259,2024100
2016-05-10,25.2244,25.4746,25.1335,25.467,2208300
2016-05-11,25.4063,25.4973,25.1108,25.1259,2469500
2016-05-12,25.2396,25.4594,25.1562,25.4367,2467500
2016-05-13,25.3305,25.3988,25.1411,25.1941,2339700
2016-05-16,25.1714,25.232,25.0122,25.0425,4540000
2016-05-17,25.0274,25.1638,24.8076,24.8758,4758900
2016-05-18,24.7697,24.7697,24.2467,24.5423,10880600
2016-05-19,24.4362,24.7772,24.2997,24.6787,4692600
2016-05-20,24.8076,25.0804,24.7469,24.997,3655600
2016-05-23,24.9667,25.0577,24.9061,25.0046,3021400
2016-05-24,25.1638,25.6262,25.0729,25.3836,2874800
2016-05-25,25.4063,25.4518,25.179,25.2093,2651300
2016-05-26,25.179,25.2699,25.1411,25.2017,3123300
2016-05-27,25.2093,25.2548,25.1411,25.2017,3646800
2016-05-31,25.2699,25.3533,25.1032,25.2396,6316600
2016-06-01,25.179,25.3533,25.1335,25.3154,3077600
2016-06-02,24.9667,25.232,24.8076,25.1411,2721900
2016-06-03,24.8682,25.0046,24.709,24.9213,2866300
2016-06-06,24.9061,25.0425,24.7924,24.8379,1642700
2016-06-07,24.9137,24.9743,24.6484,24.656,2811300
2016-06-08,24.5953,24.9061,24.5574,24.8758,2207800
2016-06-09,24.7924,24.944,24.7318,24.9061,2159000
2016-06-10,24.7469,24.9516,24.6787,24.7545,3293200
2016-06-13,24.7697,24.8985,24.4741,24.5044,2665900
2016-06-14,24.4892,24.5499,24.277,24.3225,2877000
2016-06-15,24.277,24.3831,24.0193,24.0648,3325000
2016-06-16,23.9359,24.2239,23.7843,24.2088,2017900
2016-06-17,24.1103,24.2012,24.0041,24.1103,2605000
2016-06-20,24.2997,24.4589,24.1178,24.1406,2490100
2016-06-21,24.2391,24.3604,24.133,24.2846,2011300
2016-06-22,24.2239,24.4362,24.2239,24.277,1821300
2016-06-23,24.512,24.6257,24.368,24.6257,1904000
