date,open,high,low,close,volume
2016-04-21,97.3363,97.5845,96.489,96.5831,876700
2016-04-22,96.9683,98.0381,96.9341,97.5759,820600
2016-04-25,97.5417,98.2007,96.6174,97.0624,1506800
2016-04-26,97.2421,98.4746,96.0011,97.8755,2174000
2016-04-27,98.4232,100.3403,98.3633,100.0665,2265600
2016-04-28,99.2962,100.3232,98.5516,98.7998,1134500
2016-04-29,98.9196,99.7926,98.466,99.2962,1041800
2016-05-02,99.4074,99.4759,97.7984,98.8511,1373800
2016-05-03,98.1493,98.3119,96.8399,97.2935,824000
2016-05-04,96.489,96.7714,94.3151,95.0854,1402000
2016-05-05,95.7529,96.5232,95.5475,95.8129,1179800
2016-05-06,95.6407,96.9059,95.5288,96.9059,735500
2016-05-09,96.5617,96.7769,94.9608,95.5805,814300
2016-05-10,95.9161,97.8097,95.5891,97.5342,997900
2016-05-11,97.3965,98.1023,96.8285,97.1383,753900
2016-05-12,97.6031,97.9732,96.1399,96.8629,1012200
2016-05-13,96.708,97.3105,94.1517,94.4788,1107400
2016-05-16,94.9694,97.1125,94.9694,96.6133,1220100
2016-05-17,96.6391,97.3707,95.9162,96.3207,978100
2016-05-18,95.8215,96.5272,94.6767,95.0899,928800
2016-05-19,94.5735,94.7112,92.7143,93.816,1149900
2016-05-20,94.4099,94.9349,93.8332,94.2206,1017700
2016-05-23,94.0398,94.5734,93.1963,94.3324,1019900
2016-05-24,94.5907,95.7354,94.2378,95.3653,893000
2016-05-25,95.942,97.474,95.46,97.2244,920500
2016-05-26,97.6461,98.5499,97.19,97.8097,1074800
2016-05-27,97.6289,98.4294,97.5515,98.1023,1047500
2016-05-31,98.5241,99.2126,97.87,98.8425,1453900
2016-06-01,98.1023,99.4364,97.1814,99.3245,1075700
2016-06-02,99.0835,99.7549,97.3965,99.7376,757500
2016-06-03,99.8237,99.9442,99.1266,99.8409,661600
2016-06-06,100.1594,100.7016,99.8237,100.0647,976100
2016-06-07,100.3573,101.0545,99.8667,99.9442,811500
2016-06-08,99.8237,101.373,99.8237,100.3573,532700
2016-06-09,99.5483,99.9614,99.1352,99.2901,916100
2016-06-10,98.1109,98.4466,96.5875,97.0006,1418400
2016-06-13,96.0883,97.2072,95.7268,96.028,1035800
2016-06-14,95.6493,96.6391,94.9866,96.3035,973000
2016-06-15,96.7252,96.8457,95.8214,96.0711,1049300
2016-06-16,95.4858,96.2174,94.1431,95.9764,826400
2016-06-17,96.1744,96.9576,95.7526,96.5531,924200
2016-06-20,97.9818,99.247,97.6548,97.9302,900200
2016-06-21,97.9904,97.9904,97.2846,97.5945,810100
2016-06-22,97.9388,98.4036,97.2244,97.2674,773900
2016-06-23,98.4552,99.0405,97.8613,98.1282,966500
2016-06-24,94.7714,95.4428,90.9499,91.1565,3493800
2016-06-27,89.349,89.4695,85.2951,86.5259,2398000
2016-06-28,87.4727,88.2043,87.0596,88.1354,1643600
2016-06-29,89.3232,89.7966,88.2129,89.5642,1291800
2016-06-30,90.1151,92.9984,89.7191,92.9984,2208700
2016-07-01,92.9984,95.1673,92.9984,94.1087,1592800
2016-07-05,93.4288,93.9107,91.3545,92.1549,1469400
2016-07-06,91.9656,93.4374,90.3733,93.291,1862400
2016-07-07,93.3427,94.298,92.4906,93.1447,1901000
2016-07-08,94.4013,95.8731,94.057,95.8215,1152900
2016-07-11,95.8817,96.6994,95.5461,96.3035,617600
2016-07-12,97.1125,97.6634,96.3981,97.474,1054000
2016-07-13,97.9818,98.0248,96.3981,97.3277,850300
2016-07-14,98.5671,98.6962,97.7494,97.9646,770200
2016-07-15,98.3691,98.6015,97.6634,97.8441,653800
2016-07-18,97.5429,97.8183,96.6219,97.3449,569700
2016-07-19,96.8457,97.3277,96.5359,96.7768,649300
2016-07-20,96.8715,97.8957,96.467,97.3793,454600
2016-07-21,97.1814,97.8957,96.2346,96.6391,452300
2016-07-22,96.4239,97.4998,95.8473,97.3793,678400
2016-07-25,97.19,97.3879,96.4756,96.8285,685600
2016-07-26,97.0179,98.7909,97.0179,98.7823,663700
2016-07-27,98.7134,99.3245,97.913,98.92,762600
2016-07-28,98.5413,98.8167,97.6203,98.5241,399800
2016-07-29,98.197,98.6704,97.6117,98.2831,697800
2016-08-01,98.0507,98.3347,96.9146,97.474,1343500
2016-08-02,97.6978,98.3003,96.6219,97.2846,2001400
2016-08-03,96.9576,98.1454,96.7424,97.9302,2423900
2016-08-04,101.6484,104.1358,101.3213,102.3886,2414500
2016-08-05,103.0686,104.2907,102.8964,104.2391,1964600
2016-08-08,104.5145,105.8055,104.3682,105.5818,1674700
2016-08-09,105.5818,105.9949,104.7469,104.9448,875100
2016-08-10,105.4096,105.6248,104.8588,105.1514,560300
2016-08-11,105.7711,106.6576,105.5473,106.3908,662600
2016-08-12,106.2703,106.322,105.2805,105.7023,651500
2016-08-15,106.124,107.1482,105.9605,106.8298,648200
2016-08-16,106.5888,107.2429,106.2445,106.8212,802200
2016-08-17,106.7007,107.4581,106.4683,107.0364,1185200
2016-08-18,107.2085,107.4581,106.3134,106.761,1468400
2016-08-19,106.3134,107.1999,105.8228,107.045,670500
2016-08-22,106.5716,107.2687,106.3564,106.7867,646200
2016-08-23,107.2429,107.4667,106.761,107.1655,551100
2016-08-24,106.8814,106.9503,105.9605,106.1412,863700
2016-08-25,106.0288,107.1102,105.527,106.8939,725300
2016-08-26,107.2399,108.1397,106.1758,106.6171,684300
2016-08-29,106.7036,107.5341,106.1412,107.0496,769200
2016-08-30,106.9977,107.3264,106.1931,106.5824,1118200
2016-08-31,106.1931,106.4786,105.6135,106.0028,754400
2016-09-01,106.1239,106.5478,104.9993,106.2883,731900
2016-09-02,106.842,107.5601,106.4787,106.8507,913600
2016-09-06,106.9198,107.1102,105.7433,106.5997,794800
2016-09-07,106.47,107.5514,106.3662,107.3957,912800
2016-09-08,107.3005,107.9753,106.7295,107.5773,863500
2016-09-09,106.4613,107.1621,104.4802,104.4888,1071000
2016-09-12,103.7102,106.6343,103.1652,106.2883,958400
2016-09-13,104.9214,105.527,104.2466,104.5408,624500
2016-09-14,104.4715,105.3972,104.1947,104.5494,507700
2016-09-15,104.6619,106.4354,103.9611,106.0288,1048800
2016-09-16,105.1983,105.4491,104.5581,105.129,979800
2016-09-19,105.7346,106.6949,105.5011,105.8817,603300
2016-09-20,106.4959,106.9198,105.5616,105.5703,667800
2016-09-21,106.2624,106.9804,105.7865,106.7987,702400
2016-09-22,107.2745,108.0272,106.9891,107.2399,860900
2016-09-23,107.0583,107.0583,105.3713,105.4838,715300
2016-09-26,104.8263,105.6308,104.3072,104.982,916500
2016-09-27,104.6013,106.3489,104.3331,106.1412,734900
2016-09-28,106.6257,108.0704,106.271,107.9493,903400
2016-09-29,107.4476,108.7193,106.8506,107.2659,815200
2016-09-30,107.586,109.5152,107.586,108.5982,1438400
2016-10-03,108.4425,109.074,107.4389,107.8801,1194900
2016-10-04,107.5427,107.9407,106.4354,106.9717,3124800
2016-10-05,108.6241,110.9426,107.6898,110.2246,2664700
2016-10-06,109.8007,109.9564,109.0394,109.8007,1918200
2016-10-07,108.9961,109.6017,106.6171,107.8455,1409400
2016-10-10,108.3213,108.9269,107.8715,108.2175,845400
2016-10-11,108.4857,108.4857,105.7952,106.47,1005800
2016-10-12,106.643,107.7417,106.4094,107.214,738800
2016-10-13,106.4959,107.0669,105.5962,106.7728,768600
2016-10-14,107.2486,108.3213,107.2486,107.7417,804000
2016-10-17,107.7849,108.2175,107.3437,107.6119,739900
2016-10-18,108.676,108.676,106.2018,106.2537,1127600
2016-10-19,106.7987,107.2399,105.6741,107.041,1294100
2016-10-20,106.4873,107.1361,105.9942,106.2364,1871300
2016-10-21,106.1412,107.9666,105.925,106.5824,2081700
2016-10-24,107.2313,107.2313,104.2466,104.4975,1442900
2016-10-25,104.1947,105.2329,103.9006,104.982,1112700
2016-10-26,104.5494,106.0028,104.5235,105.4059,1139000
2016-10-27,105.726,105.925,104.1688,105.2934,1126200
2016-10-28,105.4578,106.6689,105.2328,105.5097,1277700
2016-10-31,105.8385,106.5652,105.4059,106.1932,743400
2016-11-01,106.7814,106.9112,103.9439,104.8349,1067900
2016-11-02,104.6965,105.1636,103.3209,103.7102,1034700
2016-11-03,104.1082,104.1082,102.75,103.1998,900800
2016-11-04,103.0614,105.553,103.0614,104.2899,1023900
2016-11-07,107.2313,109.247,107.1188,108.702,1686800
2016-11-08,109.0063,110.1801,108.4237,109.9105,1134100
2016-11-09,109.3802,115.5795,109.3541,114.7361,2536700
2016-11-10,115.6926,119.3965,115.2926,119.0922,3409500
2016-11-11,118.3445,120.7095,118.0315,120.6312,1844400
2016-11-14,120.1877,121.492,120.1877,120.8486,1648300
2016-11-15,120.4312,121.7876,119.2922,121.7442,1351300
2016-11-16,120.9703,121.5963,119.4052,119.8226,1080700
2016-11-17,120.0225,120.5355,119.04,119.2052,705800
2016-11-18,119.0314,119.1879,117.9011,118.3184,1006800
2016-11-21,119.0314,119.7704,118.8401,119.3183,901100
2016-11-22,119.7704,120.1443,118.8053,119.8313,744600
2016-11-23,119.2835,120.6051,119.1965,120.2399,825000
2016-11-25,120.0313,120.892,119.9791,120.892,254000
2016-11-28,120.2399,120.5443,118.7966,118.9096,676000
2016-11-29,118.2228,119.6487,116.536,119.0748,623700
2016-11-30,120.0921,121.6745,119.3182,120.7964,1191700
2016-12-01,121.7528,125.2481,121.7354,124.7438,2575900
2016-12-02,125.509,125.8046,122.9266,123.3787,1782600
2016-12-05,124.4134,124.8569,122.7614,123.8657,1127000
2016-12-06,123.4396,124.2656,123.0049,123.9439,1385000
2016-12-07,123.77,126.4567,123.3266,126.0568,1016300
2016-12-08,126.1698,126.1698,123.1527,123.3701,1361500
2016-12-09,123.1614,123.9439,122.7093,123.9092,901200
2016-12-12,124.0483,124.2482,122.431,123.0831,800000
2016-12-13,123.57,123.9004,122.0832,122.6049,769600
2016-12-14,122.231,123.4657,121.7354,121.9006,1092300
2016-12-15,121.9876,125.5959,121.6572,124.3352,1485800
2016-12-16,124.909,125.5872,123.7526,124.1178,1956400
2016-12-19,124.2656,124.7177,123.1962,124.1787,740300
2016-12-20,124.909,125.6741,124.283,125.1264,797900
2016-12-21,124.6917,125.0482,123.4483,123.8048,957500
2016-12-22,123.7787,124.6743,123.5179,124.1613,990800
2016-12-23,124.3004,124.5525,123.7961,124.1091,279500
2016-12-27,124.196,124.7699,124.0395,124.5699,355400
2016-12-28,124.7351,124.9959,122.2397,122.4832,774200
2016-12-29,122.4831,123.0744,121.4833,121.9528,429300
2016-12-30,122.118,122.7266,121.2833,121.7267,593400
2017-01-03,123.6396,125.422,122.4484,123.9439,1115000
2017-01-04,123.9004,124.5091,123.3787,124.0222,637900
2017-01-05,123.77,124.0482,121.6571,122.9179,557900
2017-01-06,123.3874,123.8135,122.6484,123.0223,727500
2017-01-09,123.0657,123.5961,122.0484,122.4049,519200
2017-01-10,122.7353,123.5091,122.3701,123.3179,721400
2017-01-11,123.4744,126.3697,122.8483,126.2567,1441300
2017-01-12,125.6393,125.735,123.1874,124.9872,1231400
2017-01-13,125.8133,127.2392,125.4742,127.161,947200
2017-01-17,126.4219,126.4741,124.8134,124.8743,1623900
2017-01-18,125.0481,126.4567,124.8916,125.5524,802000
2017-01-19,125.5437,126.5262,124.4829,124.9872,1174600
2017-01-20,125.6046,125.6394,123.8483,123.9179,1350300
2017-01-23,123.9004,124.1787,122.6484,123.9004,998400
2017-01-24,124.2482,127.0914,124.1004,126.4915,781100
2017-01-25,126.9784,130.3172,126.761,130.0042,1634200
2017-01-26,129.6129,130.4041,128.7086,129.639,1117200
2017-01-27,130.0128,130.5432,129.5259,129.7868,717200
2017-01-30,129.4651,129.4651,126.8132,128.1,983000
2017-01-31,127.6914,128.2652,125.9176,127.9261,1345900
2017-02-01,127.9435,128.7695,126.1524,126.4654,1423200
2017-02-02,129.5347,132.9169,128.7174,130.2042,2040300
2017-02-03,131.0214,131.4214,129.6824,130.6041,1073000
2017-02-06,130.0911,130.5172,128.726,129.2477,945000
2017-02-07,130.7954,130.7954,128.3261,128.6565,1342300
2017-02-08,128.2896,128.9359,126.9708,128.7787,1372400
2017-02-09,129.0757,130.5866,128.7089,130.4556,1002700
2017-02-10,130.7962,131.2941,130.1761,131.2242,1059000
2017-02-13,131.8879,133.7395,131.8792,133.1543,1625200
2017-02-14,132.7089,133.4775,131.8355,133.3028,836200
2017-02-15,134.1849,136.6304,133.6871,135.8007,1762900
2017-02-16,135.7832,136.0277,134.0015,134.8574,823200
2017-02-17,134.2373,134.8312,133.2154,134.4032,1079000
2017-02-21,134.6042,136.2112,134.4994,135.9142,921200
2017-02-22,136.674,136.9797,135.8007,136.1238,1057900
2017-02-23,136.6653,136.6653,133.5299,134.2373,702200
2017-02-24,133.198,135.4688,132.5517,135.4077,647700
2017-02-27,135.233,136.4819,134.674,136.3683,690600
