date,open,high,low,close,volume
2016-04-18,46.2346,46.9365,46.1524,46.7349,669400
2016-04-19,46.9365,47.4444,46.5183,47.1158,735500
2016-04-20,46.9888,47.3996,46.7872,46.8245,1012600
2016-04-21,48.1688,50.0358,47.6087,47.6834,1619800
2016-04-22,47.9821,49.1994,47.8327,49.05,950000
2016-04-25,49.3861,49.7893,48.3107,48.6243,703500
2016-04-26,48.8782,49.6773,48.7139,49.2367,654800
2016-04-27,49.3935,49.9835,48.9902,49.4085,641800
2016-04-28,48.9305,49.8715,48.6168,49.1769,625100
2016-04-29,49.1321,49.5877,48.3181,48.4526,1190200
2016-05-02,48.7363,49.386,48.3779,49.3786,861600
2016-05-03,48.8782,49.0724,48.3256,48.826,719800
2016-05-04,48.5795,49.1172,47.8924,48.3555,806000
2016-05-05,48.4526,48.7961,48.0717,48.5048,526600
2016-05-06,48.4078,48.9977,48.3704,48.7513,473100
2016-05-09,48.5795,49.3711,48.572,48.9902,610300
2016-05-10,49.1097,49.8939,49.0948,49.8491,719500
2016-05-11,49.7968,50.0731,49.3338,49.4085,456300
2016-05-12,49.7594,50.1702,49.2143,49.5354,504800
2016-05-13,49.2591,49.5728,48.587,48.7811,391300
2016-05-16,48.7811,49.8416,48.6766,49.625,602900
2016-05-17,49.2666,49.2666,47.9671,48.6019,1443300
2016-05-18,48.4152,48.9081,47.9447,48.0866,1235500
2016-05-19,47.7954,48.4451,47.1382,47.8924,748300
2016-05-20,48.1314,48.699,47.7207,48.6392,813100
2016-05-23,48.7363,49.3786,48.4899,48.8035,675100
2016-05-24,49.1097,49.4607,48.9006,49.1471,583800
2016-05-25,49.5205,50.678,49.3562,50.4913,717000
2016-05-26,50.5436,50.7751,50.1179,50.4391,688000
2016-05-27,50.3345,51.0888,50.3345,51.029,616100
2016-05-31,51.0589,51.5219,50.6332,50.9543,1098700
2016-06-01,50.6108,51.4995,50.2972,51.4995,640600
2016-06-02,51.4174,52.0073,51.1485,51.8879,1000100
2016-06-03,51.9401,52.0372,51.2979,51.7236,1328100
2016-06-06,51.8953,52.2388,51.5966,52.0895,959700
2016-06-07,52.2762,53.247,52.1044,53.0827,1234700
2016-06-08,53.1873,53.2545,52.7691,52.8811,1063800
2016-06-09,52.6347,52.7317,51.9401,52.0073,870100
2016-06-10,51.5817,51.6489,51.0514,51.6115,1443400
