date,open,high,low,close,volume
2016-04-21,33.7068,33.8948,33.06,33.2706,3602300
2016-04-22,33.5037,33.8497,33.3609,33.767,4853800
2016-04-25,33.6015,34.4363,33.5188,34.4363,3501000
2016-04-26,34.504,34.5792,34.2107,34.4438,2918100
2016-04-27,34.3912,34.6619,34.2332,34.5942,3024500
2016-04-28,34.2708,34.5641,33.9249,34.331,2338700
2016-04-29,34.0904,34.2408,33.6842,34.1505,3624800
2016-05-02,34.1956,34.6619,34.1956,34.6017,2468200
2016-05-03,34.4513,34.5942,34.2332,34.331,2274200
2016-05-04,34.0076,34.5792,33.6692,34.504,2479000
2016-05-05,34.4589,34.8424,34.346,34.677,2397100
2016-05-06,34.4589,35.068,34.3611,35.0454,2081100
2016-05-09,35.2184,35.6245,35.1959,35.5644,2754000
2016-05-10,35.7373,35.9479,35.602,35.9103,2416000
2016-05-11,35.8577,35.8577,35.2635,35.3162,3737000
2016-05-12,35.429,35.7825,35.2485,35.6847,2726000
2016-05-13,35.5719,35.8426,35.3463,35.6772,2779500
2016-05-16,35.6922,36.2337,35.6621,36.166,2138000
2016-05-17,36.181,36.2487,35.602,35.7223,3156800
2016-05-18,35.444,35.5192,34.7446,35.241,3470000
2016-05-19,34.8424,35.1583,34.677,34.9853,2257700
2016-05-20,35.1808,35.3613,34.9778,35.2259,2495600
2016-05-23,35.1583,35.3914,34.9326,35.0003,2710700
2016-05-24,35.3011,35.6546,35.068,35.5418,2718700
2016-05-25,35.5944,35.7073,35.3011,35.414,3381800
2016-05-26,35.4064,35.5493,35.2861,35.429,3134200
2016-05-27,35.5042,35.805,35.429,35.7825,1617600
2016-05-31,35.9479,35.9479,35.5644,35.7449,1973100
2016-06-01,35.6546,35.9705,35.6095,35.9404,2124400
2016-06-02,35.7674,36.1058,35.5944,36.1058,1770300
2016-06-03,36.2939,36.6624,36.2111,36.4443,2766600
2016-06-06,36.4743,36.5871,36.0156,36.339,2615000
2016-06-07,36.3615,36.9256,36.339,36.8579,2748000
2016-06-08,36.8278,37.1737,36.8278,37.1211,2946500
