date,open,high,low,close,volume
2016-04-22,80.0593,80.2993,78.7175,79.4017,463500
2016-04-25,79.1174,79.5351,78.8419,79.4551,241400
2016-04-26,79.4817,80.3704,78.7708,79.224,312500
2016-04-27,79.0018,79.8549,78.833,79.6594,213900
2016-04-28,79.6239,80.166,78.6019,78.7708,149800
2016-04-29,79.0374,79.5884,77.6422,77.6778,250700
2016-05-02,77.6511,78.8863,77.1357,78.5309,321800
2016-05-03,78.2376,78.8241,76.9579,77.5978,187900
2016-05-04,77.4823,78.2287,77.1357,77.7844,212000
2016-05-05,78.1932,78.3709,77.5178,77.6067,219900
2016-05-06,77.3845,78.8419,76.5936,78.7797,340200
2016-05-09,78.7708,80.8236,78.7086,80.1038,301000
2016-05-10,80.6192,81.0813,79.3928,80.2993,239400
2016-05-11,80.7347,81.5967,79.5262,79.9527,365300
2016-05-12,80.3082,81.2235,80.0149,80.708,200800
2016-05-13,80.5126,81.4012,79.7928,80.2993,192300
2016-05-16,80.6281,80.9036,79.7394,79.9527,300300
2016-05-17,80.0686,80.9336,77.8125,78.1871,284600
2016-05-18,77.7412,79.061,76.5909,78.1603,229300
2016-05-19,78.2227,79.1591,77.759,78.2227,427400
2016-05-20,78.3476,79.275,78.0533,78.6686,344100
2016-05-23,78.9896,79.2928,78.1425,78.7043,132600
2016-05-24,79.1947,81.1209,78.9005,80.7196,226100
2016-05-25,80.6215,81.112,79.8279,80.9425,176500
2016-05-26,81.1387,82.0305,79.9527,81.5043,245800
2016-05-27,81.5132,82.5476,81.4597,82.4228,210300
2016-05-31,82.2712,82.4139,81.2457,81.6559,225000
2016-06-01,81.3082,82.0305,81.1655,81.7005,125000
2016-06-02,81.54,83.0738,81.54,83.0024,292600
2016-06-03,82.9579,83.0559,82.3604,82.5387,256300
2016-06-06,82.3961,82.3961,80.7196,81.3884,195700
2016-06-07,81.3171,81.7362,80.7553,81.5222,300600
2016-06-08,81.647,82.2445,80.9693,82.1464,197000
2016-06-09,81.7718,82.1375,81.2725,81.7718,170200
2016-06-10,81.1744,81.5846,80.675,80.7285,159000
2016-06-13,80.1935,80.2916,79.2661,79.5247,315100
2016-06-14,79.2304,79.6763,78.7846,79.5604,224100
2016-06-15,79.9706,81.2457,79.5782,80.4075,216900
2016-06-16,79.8546,80.2916,79.2928,80.2291,160400
2016-06-17,80.3986,80.7909,79.382,79.7565,329900
2016-06-20,80.5769,81.7718,79.8457,80.8712,309600
2016-06-21,80.8623,80.9871,80.1489,80.6483,211200
2016-06-22,80.7018,81.2546,79.8903,80.2024,295500
2016-06-23,80.9247,81.3706,80.2024,81.0228,334300
2016-06-24,78.4903,80.8534,78.2584,79.6317,4161800
2016-06-27,78.8916,79.3463,77.7323,79.061,490000
2016-06-28,79.4712,80.9693,79.168,80.3005,378500
2016-06-29,80.9782,81.5132,80.247,81.4241,408600
2016-06-30,81.4865,83.8496,77.5986,83.8496,455100
2016-07-01,83.591,84.9375,83.5821,84.7591,392400
2016-07-05,84.8037,86.4891,83.7247,84.4738,343500
2016-07-06,84.3757,85.4903,84.1171,84.7948,972100
2016-07-07,85.0266,85.8916,84.7502,84.8661,336200
2016-07-08,85.526,86.6318,85.205,86.2038,270500
2016-07-11,86.0878,86.8547,85.8203,86.2127,347500
2016-07-12,86.5069,86.7655,85.9273,86.6229,301400
2016-07-13,86.6229,86.8636,86.0076,86.284,193600
2016-07-14,86.7031,86.8369,85.8738,85.9273,230200
2016-07-15,84.6521,86.1503,83.7247,85.6955,270500
2016-07-18,85.7311,86.507,84.7324,85.6152,222300
2016-07-19,85.3744,86.0878,85.3744,85.6865,226100
2016-07-20,85.6954,86.9439,85.6419,86.6139,372200
2016-07-21,87.3898,88.0853,86.0165,87.2293,392100
2016-07-22,87.7732,89.628,86.3999,89.4586,727000
2016-07-25,89.4764,90.4484,89.0038,90.056,454900
2016-07-26,89.6637,90.279,89.2446,90.1987,406100
2016-07-27,90.1987,90.8675,89.8599,90.5108,305000
2016-07-28,90.2701,91.5809,90.065,91.3223,402000
2016-07-29,91.4115,91.5452,90.6178,91.2064,244400
2016-08-01,90.9121,91.7147,90.6802,91.4115,162700
2016-08-02,91.5809,91.5809,89.842,89.9223,339300
2016-08-03,89.842,89.851,88.7274,89.8331,278600
2016-08-04,89.7974,90.2166,89.5567,90.1185,470200
2016-08-05,90.386,90.7962,88.977,89.1197,335900
2016-08-08,89.0571,89.3881,88.4578,88.8693,245500
2016-08-09,88.6099,89.1108,87.8138,88.8872,202000
2016-08-10,88.8156,89.2181,88.5651,89.0839,147600
2016-08-11,89.5491,90.2915,88.9408,89.5848,198500
2016-08-12,89.7996,89.7996,89.0303,89.6207,147800
