date,open,high,low,close,volume
2016-04-22,92.6189,94.3157,92.1448,94.1494,2145500
2016-04-25,93.9913,94.2409,93.1346,93.6586,951000
2016-04-26,94.2991,94.7482,93.9996,94.4488,1525900
2016-04-27,94.7316,95.3638,93.6503,93.983,1246900
2016-04-28,93.068,94.324,92.7686,93.8,1617400
2016-04-29,93.4922,93.7667,91.288,91.8204,2308500
2016-05-02,91.6457,92.5357,90.6975,92.5274,1390100
2016-05-03,91.5708,91.679,90.6808,91.0801,1303300
2016-05-04,90.2567,90.9637,89.8324,90.3232,1062100
2016-05-05,90.6975,91.105,90.0237,90.3149,810200
2016-05-06,89.9141,90.4234,89.48,90.4234,1172300
2016-05-09,90.2815,90.3566,89.5718,89.6971,1046600
2016-05-10,89.9976,90.8575,89.5468,90.774,817500
2016-05-11,90.7824,91.1664,89.647,89.6804,1623300
2016-05-12,90.3566,90.6238,88.7954,89.7388,1130300
2016-05-13,89.8056,90.223,88.8873,89.0793,1547600
2016-05-16,89.4883,90.6989,89.4048,90.2981,1488600
2016-05-17,90.0143,90.39,89.0709,89.3381,1227000
2016-05-18,89.2713,89.9893,88.5533,88.8204,1755100
2016-05-19,88.4948,89.0375,87.6266,88.1943,1153900
2016-05-20,88.8121,89.3548,88.4364,88.6702,906300
2016-05-23,88.6535,89.1878,88.3279,88.8538,1485400
2016-05-24,88.9707,90.2898,88.8789,89.9642,1084700
2016-05-25,90.3817,90.774,89.9141,90.4318,800600
2016-05-26,90.4568,90.9994,89.8223,89.9141,685700
2016-05-27,90.1312,90.7573,89.5802,90.6655,732400
2016-05-31,90.7073,90.8909,89.4967,89.8974,1807500
2016-06-01,89.8974,90.3399,88.904,90.1479,998400
2016-06-02,89.6303,90.3315,89.2379,90.3315,759900
2016-06-03,90.223,90.3065,89.2128,89.8891,1338700
2016-06-06,90.2481,90.8909,89.8974,90.2648,935900
2016-06-07,90.2898,90.4651,89.6386,89.9726,1238100
2016-06-08,90.2147,92.8862,89.7555,92.6274,1908000
2016-06-09,92.0096,92.2434,91.4336,92.1933,2689500
2016-06-10,91.6423,91.7174,90.8074,91.1998,1255800
2016-06-13,90.9494,91.2082,89.839,89.9058,1285700
2016-06-14,89.5886,90.0394,88.8539,89.3965,1221800
2016-06-15,89.5802,89.864,88.9123,89.0125,1056500
2016-06-16,88.1776,89.3381,87.7101,89.2963,843400
2016-06-17,89.3297,90.3817,89.0208,90.3149,1807100
2016-06-20,91.2332,91.6089,90.4317,90.5152,1227900
2016-06-21,90.7073,90.7073,90.0227,90.2147,1346300
2016-06-22,90.4985,90.4985,89.8807,90.006,1219400
2016-06-23,91.5838,92.8862,91.3668,92.8528,2078300
2016-06-24,90.2397,90.2397,85.3308,85.7649,3821500
2016-06-27,84.6629,84.713,81.8828,82.3921,3445900
2016-06-28,83.444,83.9533,82.1667,83.9533,1941300
2016-06-29,85.1053,85.7565,84.7964,85.5645,1582800
2016-06-30,85.6313,86.9504,85.1471,86.9504,2193000
2016-07-01,86.9504,88.0691,86.8836,87.2593,1334300
2016-07-05,86.7584,86.7667,84.9885,85.6981,1898800
2016-07-06,85.3224,86.007,84.9217,85.9652,1451500
2016-07-07,86.2241,86.6415,85.5979,86.0153,1547900
2016-07-08,86.9754,89.0041,86.8085,88.762,1649100
2016-07-11,89.0208,89.3631,88.8455,89.0041,892200
2016-07-12,89.7889,91.4169,89.5885,90.749,1404000
2016-07-13,91.0829,91.4586,90.1312,91.3918,1238500
2016-07-14,91.6757,91.826,90.4568,90.6905,1359100
2016-07-15,91.0161,91.4002,90.2815,91.2249,1341000
2016-07-18,90.9994,91.4169,90.6739,91.2499,870100
2016-07-19,90.6989,90.9828,89.9726,90.4818,1424200
2016-07-20,90.8241,91.9512,90.5653,91.8594,2360900
2016-07-21,90.9995,91.9428,89.7973,90.6572,2133100
2016-07-22,90.6571,90.6571,89.5885,89.8724,1708800
2016-07-25,89.5217,89.6219,88.8288,88.9874,1670800
2016-07-26,89.3882,89.3882,88.6451,89.1294,2284800
2016-07-27,89.2212,89.2212,88.2945,88.57,1627400
2016-07-28,88.2611,88.762,87.5097,88.0607,2163000
2016-07-29,87.6517,87.852,86.6081,87.4179,2107700
2016-08-01,86.9086,87.7101,86.6081,87.3845,1641900
2016-08-02,87.5598,87.5598,86.2825,86.5663,1473500
2016-08-03,86.9337,87.1424,85.8818,87.1007,2415800
2016-08-04,87.0756,87.5097,86.6999,86.9086,1282200
2016-08-05,87.3344,87.6517,87.1174,87.1842,1063100
2016-08-08,87.5361,87.7456,87.2009,87.5613,1210900
2016-08-09,87.4523,88.1647,87.3182,87.4691,1044600
2016-08-10,87.7373,88.0557,87.2344,87.7373,1102400
2016-08-11,87.8462,88.3155,87.5193,87.7791,1096100
2016-08-12,87.6702,87.8881,86.916,87.1506,977600
2016-08-15,87.2679,87.7876,87.1758,87.5445,1037100
2016-08-16,87.5864,88.2987,86.8657,86.8657,1287100
2016-08-17,86.8741,87.1841,86.2371,86.8154,1242200
2016-08-18,86.8154,87.1255,86.6227,86.9663,1036900
2016-08-19,86.5053,87.8797,86.5053,87.7708,1089900
2016-08-22,87.5194,88.2317,87.159,88.173,1148500
2016-08-23,88.7262,89.4804,88.4999,89.2039,1341700
2016-08-24,89.0698,89.7738,88.8351,89.162,1808400
2016-08-25,88.9189,89.8324,88.877,89.4637,914100
2016-08-26,89.6481,90.2179,88.3407,88.6256,929700
2016-08-29,88.7597,90.4191,88.7597,90.176,1301700
2016-08-30,89.9665,90.2599,89.3967,89.9079,1036500
2016-08-31,89.7403,89.7403,88.3574,88.7346,1392300
2016-09-01,88.8519,89.0866,88.0725,88.8184,929600
2016-09-02,89.4553,89.7319,89.1033,89.7067,662700
2016-09-06,89.9833,90.4861,89.6816,90.1928,1320400
2016-09-07,89.8743,90.3353,89.1871,89.4469,1337900
2016-09-08,89.2877,89.5726,88.2317,88.2485,1042400
2016-09-09,87.6451,87.6451,84.4437,84.5275,2339500
2016-09-12,84.209,86.3042,84.1587,86.1198,1597200
2016-09-13,85.2398,85.441,84.2928,84.7789,1425400
2016-09-14,84.7034,84.9632,83.7732,84.3766,1098700
2016-09-15,84.385,85.1476,84.1252,84.8459,1193000
2016-09-16,84.3347,84.4939,83.6223,83.9827,1986700
2016-09-19,84.5861,85.1058,84.2509,84.7119,1265600
2016-09-20,84.1503,85.4409,84.1503,84.8627,1317400
2016-09-21,85.3152,85.9354,84.8627,85.8684,1144000
2016-09-22,86.7483,87.3434,86.2539,86.4382,1149800
2016-09-23,86.4131,86.9578,86.1365,86.5472,1649000
2016-09-26,86.3796,86.564,85.4913,85.6002,928400
2016-09-27,85.4829,86.0108,85.1057,85.86,1290400
2016-09-28,86.2539,87.1171,85.793,86.7986,1300300
2016-09-29,86.8656,87.1254,85.4661,85.5331,1162400
2016-09-30,86.0276,87.0333,86.0276,86.6226,1716500
2016-10-03,86.5472,87.1925,86.5472,86.6897,1348300
2016-10-04,86.9914,87.2261,85.3153,85.5248,1560000
2016-10-05,85.7343,86.0947,85.1057,85.1309,912400
2016-10-06,84.98,85.7846,84.8292,85.6421,1078800
2016-10-07,81.4517,81.7115,77.5296,78.552,7136800
2016-10-10,79.0381,79.608,78.1246,78.6526,3251600
2016-10-11,78.1498,78.1498,76.6915,77.3536,4157700
2016-10-12,77.429,77.5715,76.6245,77.0519,2171200
2016-10-13,76.2725,77.4039,75.6859,77.2028,2603400
2016-10-14,77.7307,78.0325,77.5631,77.605,2453200
2016-10-17,77.605,77.8397,77.3033,77.6553,1918800
2016-10-18,78.5688,78.6358,77.7642,77.781,1317500
2016-10-19,77.7894,78.0911,77.2363,77.5715,2165900
2016-10-20,77.6805,79.1722,77.5296,77.6553,2411400
2016-10-21,76.6161,77.5967,75.8283,77.4207,2366900
2016-10-24,77.7307,78.3677,77.6888,78.1414,2011100
2016-10-25,75.887,77.1525,75.1244,76.4485,4338500
2016-10-26,76.2725,77.6218,76.2725,77.538,2515800
2016-10-27,77.9654,78.4682,77.7224,78.2336,2290700
2016-10-28,78.309,79.2225,77.3285,77.8313,2062000
2016-10-31,78.2336,78.309,77.781,78.0492,2173000
2016-11-01,78.1498,78.4347,76.8927,77.7223,2224200
2016-11-02,77.8146,78.77,77.4123,77.4207,2226700
2016-11-03,77.7391,78.0576,76.8172,76.8927,1646900
2016-11-04,77.1189,78.4934,76.7167,77.781,1528600
2016-11-07,78.9124,79.1303,78.4179,79.0716,2066800
2016-11-08,78.9707,80.1153,78.6929,79.7366,1692100
2016-11-09,77.7335,80.7718,76.4878,80.1994,3225500
2016-11-10,80.7213,82.657,80.6118,81.5292,2826800
2016-11-11,81.0663,81.8659,80.3678,80.6034,2013800
2016-11-14,81.1336,81.5124,80.0647,80.8391,2002300
2016-11-15,80.8812,81.2515,80.3846,80.9906,1778800
2016-11-16,80.7633,81.2767,80.6792,81.1,1636400
2016-11-17,81.4451,81.4956,80.8812,81.3104,1118700
2016-11-18,80.9906,80.9906,80.0564,80.1153,1276900
2016-11-21,80.4267,81.0747,80.2163,80.9569,1807100
2016-11-22,81.1757,81.3946,80.8223,81.3188,1513600
2016-11-23,81.2936,82.2194,81.1,82.1352,1089300
2016-11-25,82.1689,82.5897,81.9332,82.5897,482500
2016-11-28,82.4129,82.4382,81.445,81.9332,1251200
2016-11-29,81.9332,82.859,81.5713,82.4803,1467900
2016-11-30,82.8674,83.061,80.6539,80.7381,2704300
2016-12-01,81.1505,81.4703,79.8291,80.1574,2444100
2016-12-02,80.1994,80.3762,79.24,79.6019,2084400
2016-12-05,80.2584,81.6302,80.149,80.7886,1634600
2016-12-06,80.7802,81.1,80.393,80.9822,1358000
2016-12-07,81.0579,82.657,80.9738,82.6318,1581700
2016-12-08,82.6318,83.8858,82.3793,83.667,1494200
2016-12-09,83.7259,84.3066,83.2546,83.5744,1354900
2016-12-12,83.3808,84.0373,82.2783,83.0273,1528900
2016-12-13,82.5897,82.8085,81.3441,81.6807,2145200
2016-12-14,81.6976,82.3793,80.7213,80.9401,1576800
2016-12-15,80.9653,81.7396,80.4856,80.8812,1684600
2016-12-16,80.8559,81.3862,80.6119,80.7297,2050100
2016-12-19,80.8475,81.5292,80.7718,80.9822,1473400
2016-12-20,81.0158,81.1337,80.4267,80.494,1418600
2016-12-21,80.2836,80.9653,79.9974,80.6876,1189500
2016-12-22,80.7465,80.7886,79.8965,79.9554,1177500
2016-12-23,79.989,79.989,78.9454,79.6945,1816200
2016-12-27,79.9975,80.7381,79.8544,80.6708,1200000
2016-12-28,81.0832,81.1926,79.6103,79.6776,1155100
2016-12-29,79.7029,80.2247,79.6776,80.2163,1150100
2016-12-30,80.3173,80.3762,79.5009,79.7534,1248700
2017-01-03,80.3173,80.7718,79.5935,80.1658,1358100
2017-01-04,80.5529,82.0763,80.4856,81.8659,1334500
2017-01-05,81.1841,81.3188,80.292,80.4772,1661900
2017-01-06,80.6034,80.9148,80.1995,80.4519,1379800
2017-01-09,79.9974,81.1841,79.7618,81.0916,1454000
2017-01-10,80.8559,81.3441,80.5193,81.1252,1418100
2017-01-11,81.0074,81.3609,80.4435,81.3272,1169900
2017-01-12,81.1757,81.6218,80.6287,81.5292,1027100
2017-01-13,81.4956,81.7228,80.9401,81.0663,1237900
2017-01-17,80.6202,80.8643,79.6355,80.7717,2251600
2017-01-18,80.7718,81.5124,80.5109,81.3777,2144200
2017-01-19,82.3456,83.3051,80.797,82.0595,3378000
2017-01-20,82.5055,84.012,82.3708,83.3219,2805500
2017-01-23,83.1031,84.4244,83.0694,84.3655,2340700
2017-01-24,84.7864,86.3097,84.5339,85.6785,2264400
2017-01-25,86.0152,86.0825,84.9042,85.0725,2107500
2017-01-26,85.5438,85.8468,84.8032,85.7206,1591700
2017-01-27,85.5859,85.9478,85.1903,85.8636,1333600
2017-01-30,85.9731,85.9731,84.5339,85.8721,1996100
2017-01-31,85.6112,85.729,83.566,84.172,2571500
2017-02-01,83.869,84.8032,83.3219,84.6349,1643600
2017-02-02,84.5928,85.0725,84.1972,84.6517,1971400
2017-02-03,85.0978,85.1314,84.517,84.9547,921600
2017-02-06,84.4329,84.9967,83.7848,84.0962,1606000
2017-02-07,84.1972,84.8537,83.97,84.172,1084100
2017-02-08,84.2309,84.3908,83.8016,84.2477,1029100
2017-02-09,84.3235,84.5675,83.9868,84.2729,726400
2017-02-10,84.3319,84.9631,84.1804,84.618,1304200
2017-02-13,84.9547,85.2156,84.7022,84.8453,980900
2017-02-14,84.9295,85.6365,84.5592,85.485,1531000
2017-02-15,85.3413,85.9074,85.2652,85.7638,877500
2017-02-16,86.0173,86.1778,85.3328,85.9919,878500
2017-02-17,85.9412,86.4989,85.1216,86.4989,1306000
2017-02-21,86.6087,87.141,86.482,87.0312,2263300
2017-02-22,86.5242,87.3185,86.4566,86.8707,1950600
2017-02-23,87.2255,87.2255,86.3468,86.6932,1521200
2017-02-24,86.2961,87.3438,86.1271,87.2931,1348600
2017-02-27,87.0988,87.3692,86.4059,86.5665,1149000
2017-02-28,86.4566,86.8284,86.1524,86.5496,1277500
2017-03-01,87.4114,87.7241,87.0734,87.2762,1680000
2017-03-02,87.2847,87.2847,86.4397,86.5073,1398800
2017-03-03,86.5496,87.1748,85.9158,86.2369,1077300
2017-03-06,86.144,86.1524,85.3075,85.5103,928000
2017-03-07,85.4596,85.5525,85.0624,85.1554,1211900
2017-03-08,85.0371,95.8948,84.7836,90.2674,12605300
2017-03-09,89.5661,89.5661,85.6962,86.9721,5750000
2017-03-10,87.8255,88.3156,86.1356,86.2623,3039000
2017-03-13,86.4059,86.8031,85.8398,86.7608,1442700
2017-03-14,86.5834,86.5834,85.7215,85.9581,1208600
2017-03-15,86.9382,88.2226,86.3468,87.91,1789400
2017-03-16,88.4254,88.4254,87.0481,87.5551,1194400
2017-03-17,88.2057,88.7211,87.3522,88.2902,2972900
2017-03-20,88.0705,89.3295,86.4904,89.2028,2573600
2017-03-21,89.0507,89.7689,88.2395,88.2817,2055700
2017-03-22,88.2142,88.2142,86.727,88.0874,2044200
2017-03-23,87.817,89.1098,87.4537,88.4,1838800
2017-03-24,88.2987,88.6113,87.5044,87.6987,1284300
2017-03-27,86.8284,87.8846,86.3552,87.7241,1588200
2017-03-28,87.7494,88.9746,87.5128,88.6958,1084900
2017-03-29,88.6282,89.5238,88.3409,89.3717,1144100
2017-03-30,89.1014,89.5323,88.8563,88.9155,1413300
2017-03-31,88.6704,89.1605,87.8255,88.7887,1235900
2017-04-03,89.1436,89.245,88.0283,88.7887,1317300
2017-04-04,88.7887,88.9661,88.324,88.5268,1214200
2017-04-05,88.7211,90.1322,88.3409,88.7211,1664000
2017-04-06,88.8732,89.4478,88.7127,88.9493,1247100
2017-04-07,88.8479,89.7351,88.8479,89.6083,1116700
2017-04-10,89.4731,89.9125,88.9408,89.3886,1029700
2017-04-11,89.1352,89.659,88.6113,89.6168,1154400
2017-04-12,89.1436,89.1436,88.3155,88.7718,1174500
2017-04-13,88.7211,88.9831,88.1043,88.2311,857500
2017-04-17,88.569,89.1098,88.1466,89.0507,859800
2017-04-18,88.6113,89.0422,88.1465,88.5014,1148600
2017-04-19,88.6958,89.3971,88.4423,88.7211,1176000
2017-04-20,89.2535,90.0815,88.1804,89.8787,2230500
2017-04-21,90.1238,90.5462,89.5154,89.5154,2044900
2017-04-24,91.2814,91.4419,90.3265,91.2645,2096800
2017-04-25,91.4081,93.8416,91.4081,93.6388,2342600
2017-04-26,93.698,93.698,92.6164,93.3515,1332600
2017-04-27,93.436,94.6274,93.1994,94.0359,1715900
2017-04-28,93.8332,93.8332,92.7854,92.8107,1046800
2017-05-01,92.6671,92.9037,92.1939,92.4897,706500
2017-05-02,92.684,95.4808,92.177,92.4981,1109200
2017-05-03,92.3714,92.6671,92.1348,92.27,927300
2017-05-04,92.3798,93.191,92.2869,92.853,1102100
2017-05-05,92.9459,94.0782,92.8023,93.4191,1214000
2017-05-08,93.0714,93.241,91.7231,91.952,1310000
2017-05-09,91.9859,92.1979,91.1888,91.4602,1257900
2017-05-10,91.5365,92.0453,91.2482,91.4602,1044000
2017-05-11,91.0022,91.3838,90.1203,91.1294,1128600
2017-05-12,90.9853,91.1379,90.5867,90.8411,500500
2017-05-15,90.875,91.9435,90.875,91.5704,730300
2017-05-16,91.5195,91.6467,90.9513,91.087,599800
2017-05-17,91.087,91.087,89.3825,89.4503,1294000
2017-05-18,89.5691,89.9846,88.9585,89.374,1326900
2017-05-19,89.1366,90.8496,89.1366,90.5104,1080600
2017-05-22,90.6969,90.892,90.0185,90.2475,959400
2017-05-23,90.2984,90.7987,89.9676,90.4849,794300
2017-05-24,90.5697,91.1125,90.044,90.6885,510900
2017-05-25,90.8835,91.1718,90.3747,90.663,1340300
2017-05-26,90.5019,91.3075,90.2983,90.9428,664300
2017-05-30,90.7394,90.7394,89.7896,90.2984,975100
2017-05-31,90.4595,90.4595,89.6284,90.1966,1696100
2017-06-01,90.3069,93.682,90.2221,92.5711,2198900
2017-06-02,92.5541,93.8346,92.1725,93.6396,1314500
2017-06-05,93.2834,93.6057,91.8503,91.8927,1066200
2017-06-06,91.4686,92.0623,91.2906,91.9096,1258100
2017-06-07,92.0707,92.2234,91.1888,91.4602,1915100
2017-06-08,91.4602,91.5874,90.434,91.5195,1293600
2017-06-09,91.6467,93.2241,91.6467,93.2241,1617300
2017-06-12,93.2834,93.9958,93.1647,93.4022,2196600
2017-06-13,93.3343,94.6233,93.1562,94.6149,1357600
2017-06-14,94.7081,94.7336,94.1569,94.5555,892800
2017-06-15,93.682,94.6572,93.682,94.4028,978300
2017-06-16,94.3011,94.759,93.9958,94.2671,2188200
2017-06-19,94.564,94.6148,94.106,94.2247,1242200
2017-06-20,94.0297,94.335,93.8007,93.9449,884300
2017-06-21,94.1315,94.2078,93.682,93.8601,1372500
2017-06-22,93.9364,94.0721,93.6226,93.7668,1184200
2017-06-23,93.7075,94.1569,93.5633,93.8601,1442700
2017-06-26,93.7499,94.1823,93.5548,93.9788,734600
2017-06-27,93.699,94.318,93.699,93.699,955900
2017-06-28,94.1315,94.3859,94.0382,94.1908,1967400
2017-06-29,94.1823,94.3859,92.6644,92.9866,835900
2017-06-30,93.4361,93.7329,92.9951,93.2495,786700
2017-07-03,93.8007,94.2162,93.4615,93.8007,381500
2017-07-05,94.318,94.6403,93.47,93.8601,630100
2017-07-06,93.6566,93.8092,93.1308,93.3258,864900
2017-07-07,93.5802,94.2417,93.241,94.1315,721000
2017-07-10,93.9025,94.4707,93.9025,94.1145,1069900
2017-07-11,94.2163,94.3689,93.7498,94.106,749900
2017-07-12,94.6996,95.1321,94.3519,94.8438,1418900
2017-07-13,94.8014,95.5138,94.7506,95.3187,906100
2017-07-14,95.5222,95.9462,95.2509,95.6579,658100
2017-07-17,95.658,96.2176,95.4205,95.7936,466400
2017-07-18,95.6919,95.8191,95.0813,95.7851,826500
2017-07-19,95.9378,96.3957,95.5646,96.3363,1102200
2017-07-20,92.9357,92.9357,89.7471,90.5019,4708100
2017-07-21,90.1033,91.0785,90.1033,90.2051,2676700
2017-07-24,89.2044,89.7556,88.7804,89.374,2567000
2017-07-25,90.0609,91.1803,89.7811,90.8326,1822800
2017-07-26,90.8495,90.9259,90.4086,90.5273,1049800
2017-07-27,90.5952,90.9005,89.4588,90.0185,1896400
2017-07-28,90.0185,90.3493,89.4249,89.9168,1723900
2017-07-31,90.1627,90.2729,89.0348,89.2553,1566000
2017-08-01,89.2807,89.5691,88.7295,89.1366,2103500
2017-08-02,88.9754,90.6121,88.8482,90.0694,1974600
2017-08-03,90.2814,90.2814,88.0765,88.7634,2121600
2017-08-04,88.9924,89.2892,88.4581,89.0518,846600
2017-08-07,89.2129,89.815,89.0008,89.162,1143200
2017-08-08,88.7958,88.9406,87.8845,88.0633,1398200
2017-08-09,87.7567,88.421,87.5523,88.0378,1910100
2017-08-10,87.5523,87.8249,86.2067,86.3004,2084300
2017-08-11,86.4963,86.4963,85.5509,85.7894,1536900
2017-08-14,86.624,87.5524,86.1897,87.348,1304000
2017-08-15,87.382,87.9015,87.0839,87.6716,1332600
2017-08-16,87.8674,88.4721,87.5012,88.3529,1319700
2017-08-17,88.1996,88.5573,87.4501,87.4501,1009600
2017-08-18,87.2372,87.5949,86.8284,86.9391,1778800
2017-08-21,86.9562,87.3224,86.6325,87.2031,1351600
2017-08-22,87.4331,89.2131,87.1861,89.0343,995800
2017-08-23,88.5914,88.932,88.2252,88.2592,891500
2017-08-24,88.4977,89.0598,88.2337,88.3274,685300
2017-08-25,88.5573,88.651,87.9186,88.3359,863200
2017-08-28,88.4721,88.881,88.2081,88.7021,809400
2017-08-29,88.1059,88.6084,87.7482,88.4551,866900
2017-08-30,88.2507,88.8299,88.1145,88.4125,1301300
2017-08-31,88.7617,88.9746,88.421,88.8469,1714400
2017-09-01,89.2557,89.3579,88.6595,89.0768,997600
2017-09-05,88.9661,89.1705,87.9952,88.0974,1009300
2017-09-06,88.5062,89.1194,87.8078,88.7447,1589300
2017-09-07,88.8895,88.8895,87.8078,88.5829,938700
2017-09-08,88.2592,88.5233,86.5389,88.2252,1210300
2017-09-11,88.9832,90.3714,88.5233,90.1925,1038900
2017-09-12,90.3458,90.9165,89.8944,90.8654,796900
2017-09-13,90.6354,90.7376,89.2131,89.4771,1369800
2017-09-14,89.6389,90.8057,89.0854,90.6865,1353300
2017-09-15,90.4906,90.7717,90.2436,90.5332,1856400
2017-09-18,90.448,91.0698,90.2522,90.9591,1278700
2017-09-19,91.1294,92.3047,90.9335,92.2706,1034200
2017-09-20,92.4239,93.0627,92.1344,92.6709,1442100
2017-09-21,92.5432,93.5992,92.5432,92.8242,1018900
2017-09-22,92.7987,92.986,92.3814,92.6283,1123300
2017-09-25,92.1769,93.8207,91.9811,92.969,1914100
2017-09-26,93.1649,93.463,92.0918,92.4154,2132700
2017-09-27,92.5261,92.7731,91.8192,91.9725,1509100
2017-09-28,91.9129,92.7731,91.7255,92.705,1592600
2017-09-29,92.6113,93.3097,92.3388,92.5432,1749300
2017-10-02,92.5432,94.6723,92.3473,94.5361,1329400
2017-10-03,95.0471,95.7454,94.4935,95.3792,1299900
2017-10-04,95.4644,96.1458,95.3707,95.6092,1449900
2017-10-05,95.788,96.3842,95.5325,96.265,1102900
2017-10-06,96.1372,97.2189,95.9584,96.4779,1198000
2017-10-09,96.299,96.299,95.1748,95.9328,1524500
2017-10-10,95.9328,96.018,95.3111,95.7114,1190300
2017-10-11,95.7114,95.8903,95.1238,95.737,801800
2017-10-12,95.6007,96.9378,95.5326,96.5801,1368800
2017-10-13,96.9889,97.0059,96.4098,96.6653,1003700
2017-10-16,96.8952,97.0826,95.9839,96.3842,1321300
