date,open,high,low,close,volume
2016-04-22,23.3538,23.5534,23.3538,23.5084,2863100
2016-04-25,23.5019,23.5792,23.4053,23.5341,3261200
2016-04-26,23.547,23.5985,23.3603,23.4762,6044600
2016-04-27,23.5792,23.9204,23.4762,23.7337,5312300
2016-04-28,23.547,24.0106,23.4504,23.9977,4012300
2016-04-29,24.0106,24.3068,23.811,24.2359,5431000
2016-05-02,24.2359,24.8412,24.2359,24.6931,6228200
2016-05-03,24.6416,24.7639,24.4034,24.5193,4723400
2016-05-04,24.4742,24.8541,24.3712,24.706,3740800
2016-05-05,24.648,24.97,24.5772,24.6738,4598200
2016-05-06,24.6674,24.6931,24.384,24.6609,3081600
2016-05-09,24.6995,24.8412,24.648,24.7511,3210100
2016-05-10,24.8927,24.9249,24.6802,24.7704,4010000
2016-05-11,24.8348,24.9507,24.6738,24.9249,3430300
2016-05-12,24.8863,25.1631,24.7961,25.0537,3079600
2016-05-13,24.9893,25.1052,24.8605,25.0408,4388300
2016-05-16,24.9507,25.0215,24.809,24.9893,5012500
2016-05-17,24.9442,24.97,24.5128,24.6609,3958400
2016-05-18,24.5193,24.5965,23.9591,24.1329,6571100
2016-05-19,24.0041,24.4227,23.8882,24.4034,3854200
2016-05-20,24.4935,24.5192,24.3132,24.442,3891300
2016-05-23,24.4549,24.4999,24.1007,24.1136,4228700
2016-05-24,24.2295,24.5643,24.1522,24.5064,4609200
2016-05-25,24.3583,24.5321,24.2488,24.4677,2796300
2016-05-26,24.4935,24.8412,24.4162,24.8219,3537200
2016-05-27,24.8605,24.9185,24.6802,24.9056,3183000
2016-05-31,24.8476,24.9957,24.6609,24.8154,5127000
2016-06-01,24.7704,24.9507,24.7511,24.8798,4451200
2016-06-02,24.8154,24.8605,24.6094,24.8348,2738300
2016-06-03,25.073,25.3821,25.0408,25.3048,5485300
2016-06-06,25.3048,25.4464,25.1374,25.2533,4101400
2016-06-07,25.2404,25.4336,25.2082,25.2662,4206300
2016-06-08,25.1816,25.2987,25.1621,25.2726,3729600
2016-06-09,25.2792,25.5522,25.2727,25.5197,3420800
2016-06-10,25.4677,25.6433,25.4417,25.5652,4889900
2016-06-13,25.5392,25.6693,25.1686,25.2141,7121800
2016-06-14,25.2662,25.3702,25.0256,25.3572,4726600
2016-06-15,25.4027,25.4222,25.1816,25.2467,6038900
2016-06-16,25.3442,25.3897,25.1036,25.3572,5758400
2016-06-17,25.3182,25.4677,25.2597,25.3832,10131400
2016-06-20,25.4612,25.8903,25.4027,25.7993,7514700
2016-06-21,25.7733,25.9554,25.6433,25.7928,3633100
2016-06-22,25.7928,25.9293,25.5392,25.5587,3676900
2016-06-23,25.6628,25.6888,25.4677,25.6433,5231500
2016-06-24,24.59,25.0321,24.0308,24.1739,16873500
2016-06-27,23.9268,24.0828,23.6277,23.7772,8933500
2016-06-28,23.8943,23.9983,23.6212,23.8358,8182100
2016-06-29,23.9593,24.1023,23.8163,24.0893,5886700
2016-06-30,24.1674,24.5835,24.0958,24.5445,7844300
2016-07-01,24.577,24.629,24.2389,24.4469,4513300
2016-07-05,24.4469,24.538,24.3624,24.4599,5298300
2016-07-06,24.4534,24.5054,23.9593,24.2519,6336100
2016-07-07,24.2714,24.3299,24.0048,24.0373,5092400
2016-07-08,24.1023,24.3689,23.8358,24.3559,3948300
2016-07-11,24.2844,24.4924,24.1608,24.4729,3770100
2016-07-12,24.3104,24.4924,24.2194,24.2519,4980100
2016-07-13,24.3754,24.4209,24.1934,24.3949,4166500
2016-07-14,24.2259,24.3039,24.0958,24.1153,6094300
2016-07-15,24.1543,24.2194,24.0308,24.1543,3766200
2016-07-18,24.2129,24.3429,24.1673,24.2649,3456800
2016-07-19,24.2649,24.3299,24.1023,24.1673,3619200
2016-07-20,24.1934,24.2519,23.9918,24.0243,3804400
2016-07-21,23.9333,24.1608,23.8553,24.1413,3015500
2016-07-22,24.1543,24.538,24.1348,24.5119,4067400
2016-07-25,24.4794,24.5054,24.2194,24.4014,3406200
2016-07-26,24.3884,24.4794,24.0308,24.2714,4495300
2016-07-27,24.2194,24.2714,23.9073,24.0698,3738600
2016-07-28,24.0178,24.2584,23.9788,24.2129,2564000
2016-07-29,24.1999,24.5314,24.1999,24.5184,3644700
2016-08-01,24.4859,24.551,24.3429,24.4469,2768400
2016-08-02,24.3494,24.4209,24.0568,24.1608,3725700
2016-08-03,24.1608,24.2064,23.9853,24.1218,3503800
2016-08-04,24.1673,24.2259,23.9658,24.0308,3035300
2016-08-05,23.9268,24.0113,23.7642,23.9008,4534800
2016-08-08,23.9853,24.0958,23.8032,23.8228,4379100
2016-08-09,23.6472,23.7967,23.2831,23.5692,5184400
2016-08-10,23.4651,23.5367,23.2636,23.4261,4498600
2016-08-11,23.4326,23.6732,23.3416,23.6667,4333000
2016-08-12,23.7707,23.8943,23.5627,23.5757,3372400
2016-08-15,23.5757,23.6602,23.0035,23.0295,5366500
2016-08-16,22.9645,22.971,22.7174,22.7369,4913200
2016-08-17,22.7109,23.062,22.4704,22.997,6565000
2016-08-18,22.932,23.1466,22.932,23.1336,4370200
2016-08-19,23.0035,23.062,22.7239,22.854,4016700
2016-08-22,22.9385,23.0425,22.802,23.0295,4191400
2016-08-23,23.075,23.2506,22.9255,22.9255,3456600
2016-08-24,22.932,23.0165,22.7109,22.9255,4336800
2016-08-25,22.9775,23.023,22.8865,22.9645,2701200
2016-08-26,22.958,23.1531,22.5094,22.5354,3505300
2016-08-29,22.6654,22.7955,22.4899,22.7434,3079000
2016-08-30,22.7304,22.8605,22.3793,22.4379,5063400
2016-08-31,22.4379,22.6199,22.3338,22.6134,6481300
2016-09-01,22.5939,22.6524,22.3533,22.3923,4781500
2016-09-02,22.5029,22.7955,22.4964,22.7759,4873000
2016-09-06,22.8605,23.075,22.828,22.958,4180000
2016-09-07,22.958,22.9712,22.7082,22.8134,3798300
2016-09-08,22.7871,23.004,22.7871,22.9646,4375200
2016-09-09,22.8134,22.8134,22.0904,22.1036,5697000
2016-09-12,22.0378,22.5111,22.0313,22.4848,6921600
2016-09-13,22.4782,22.4848,22.1167,22.1824,4794400
2016-09-14,22.3139,22.6557,22.2679,22.4322,5171900
2016-09-15,22.4191,22.8331,22.3336,22.7937,4838600
2016-09-16,22.7411,23.0829,22.6228,23.0632,7192400
2016-09-19,23.1092,23.142,22.9317,23.0763,3970200
2016-09-20,23.1289,23.1683,22.8397,22.8529,4428400
2016-09-21,22.8528,23.3261,22.8397,23.2998,4460000
2016-09-22,23.4115,23.589,23.3786,23.543,3435500
2016-09-23,23.3326,23.5364,23.2669,23.4641,4155500
2016-09-26,23.4444,23.5364,23.3195,23.5035,4682300
2016-09-27,23.6021,23.6218,23.096,23.1618,4739100
2016-09-28,23.2538,23.3195,22.8857,23.0763,4123000
2016-09-29,23.0172,23.0369,22.82,22.8857,4647400
2016-09-30,22.9186,23.05,22.6097,22.7214,4998500
2016-10-03,22.6622,22.7214,22.1562,22.3139,5283400
2016-10-04,22.3139,22.3468,21.5252,21.6238,9571700
2016-10-05,21.6566,21.6895,21.2623,21.4595,10898300
2016-10-06,21.4003,21.4989,21.2886,21.3609,8117100
2016-10-07,21.3806,21.8472,21.0848,21.1966,8085400
2016-10-10,21.2426,21.4069,21.2031,21.3674,3945700
2016-10-11,21.3346,21.4266,21.1111,21.1571,4339800
2016-10-12,21.3214,21.4989,21.2623,21.374,5738200
2016-10-13,21.3346,21.9524,21.2754,21.6895,12995500
2016-10-14,21.6632,21.8012,21.558,21.6369,5691600
2016-10-17,21.6566,21.7881,21.5975,21.7289,3411400
2016-10-18,21.8735,21.9984,21.7026,21.959,3877400
2016-10-19,21.9064,22.0378,21.8407,21.9261,3401800
2016-10-20,21.9655,22.1364,21.8801,22.0707,5049800
2016-10-21,21.9655,22.0707,21.7815,21.8998,3454500
2016-10-24,21.9721,22.0838,21.8407,22.0378,2485000
2016-10-25,21.9721,22.1759,21.9524,22.1496,2796200
2016-10-26,22.097,22.2876,21.9721,22.2416,2950500
2016-10-27,22.1299,22.235,22.0444,22.1364,3847000
2016-10-28,22.1496,22.3139,22.1036,22.2219,3562300
2016-10-31,22.3205,22.7148,22.2482,22.5702,5208600
2016-11-01,22.9909,22.9909,22.2613,22.3468,6690100
2016-11-02,22.3008,22.4191,22.0313,22.2876,4624500
2016-11-03,22.2876,22.6359,22.2153,22.4125,4768900
2016-11-04,22.5242,22.6425,22.3533,22.3599,3861500
2016-11-07,22.4585,22.7082,22.2416,22.7082,4026800
2016-11-08,22.7477,22.958,22.6688,22.8331,3378400
2016-11-09,22.3796,22.4322,21.9853,22.0707,5569600
2016-11-10,21.959,22.1299,21.3346,21.7618,6914600
2016-11-11,21.7618,22.0576,21.6698,21.7881,4951100
2016-11-14,21.6895,21.7486,21.4266,21.5975,7600700
2016-11-15,21.6895,21.8604,21.6041,21.8472,5239100
2016-11-16,21.913,21.9721,21.4726,21.6041,3562000
2016-11-17,21.558,21.7355,21.5318,21.5778,2987600
2016-11-18,21.6172,21.7552,21.4726,21.5843,2901100
2016-11-21,21.6764,21.9261,21.5909,21.913,4023900
2016-11-22,21.8472,21.9984,21.7355,21.8998,3352100
2016-11-23,21.7026,21.8472,21.4923,21.5646,3219200
2016-11-25,21.6172,21.9918,21.6172,21.8998,1783900
2016-11-28,21.959,22.5505,21.959,22.4453,4966600
2016-11-29,22.3993,22.5965,22.3665,22.4716,4035500
2016-11-30,22.1824,22.4256,21.9918,21.9918,6759900
2016-12-01,21.8735,21.913,21.5449,21.7552,4619000
2016-12-02,21.8998,22.0641,21.7355,21.913,3488700
2016-12-05,21.8012,21.867,21.6041,21.8538,5499000
2016-12-06,21.8867,21.9327,21.6501,21.7421,4690100
2016-12-07,21.8086,22.0147,21.7354,22.008,4298400
2016-12-08,21.8751,22.0945,21.7487,22.0147,4636800
2016-12-09,22.0546,22.3072,22.028,22.2806,4871100
2016-12-12,22.2275,22.6463,22.2009,22.5665,3808900
2016-12-13,22.5931,22.7727,22.5134,22.7461,3751900
2016-12-14,22.8791,23.0187,22.3937,22.4602,4936900
2016-12-15,22.3139,22.766,22.2873,22.7062,4126300
2016-12-16,22.7461,23.2049,22.653,23.0253,9949700
2016-12-19,23.1184,23.165,22.6995,22.9921,3911600
2016-12-20,22.9854,23.0719,22.8724,22.9389,3195300
2016-12-21,22.9123,23.145,22.8791,22.8924,2770100
2016-12-22,22.8724,22.9322,22.7328,22.9123,2621100
2016-12-23,22.9455,22.9455,22.6729,22.7993,1730600
2016-12-27,22.7993,22.8458,22.653,22.7461,2290400
2016-12-28,22.7926,22.8059,22.4602,22.5134,3203200
2016-12-29,22.5998,22.8259,22.5267,22.7793,2885700
2016-12-30,22.8126,22.8458,22.5732,22.6397,2751700
2017-01-03,22.6397,22.7461,22.4602,22.6264,3367000
2017-01-04,22.6397,22.9455,22.6064,22.6729,3187400
2017-01-05,22.7195,22.8192,22.4668,22.8059,3497000
2017-01-06,22.7195,22.9987,22.6596,22.9788,3542700
2017-01-09,22.9655,23.0519,22.7128,22.7527,5474700
2017-01-10,22.7062,22.7394,22.4203,22.5665,3255400
2017-01-11,22.5798,22.8192,22.5599,22.766,2423100
2017-01-12,22.7594,23.0187,22.7328,22.9389,3872000
2017-01-13,22.8791,22.9455,22.7261,22.8458,2692900
2017-01-17,22.7527,23.1251,22.7527,23.0652,6164700
2017-01-18,23.0253,23.0985,22.9256,22.9655,2218800
2017-01-19,22.8126,22.9788,22.6929,22.7594,2359900
2017-01-20,22.7993,22.879,22.6663,22.8724,2596500
2017-01-23,22.9189,23.0253,22.7926,22.8458,2403100
2017-01-24,22.8458,23.0519,22.7793,23.012,2801300
2017-01-25,22.9322,23.0453,22.8658,22.9522,2582700
2017-01-26,22.9389,23.0985,22.7793,22.879,2140400
2017-01-27,22.9389,22.9655,22.7062,22.786,2556100
2017-01-30,22.8325,22.8657,22.6596,22.8591,3147600
2017-01-31,22.8724,23.2181,22.8392,23.165,5204300
2017-02-01,23.0453,23.5306,22.9921,23.2381,4932300
2017-02-02,23.3312,23.5107,23.1982,23.4575,3231900
2017-02-03,23.4908,23.657,23.4708,23.5772,3200200
2017-02-06,23.6437,23.6902,23.4176,23.4309,4001900
2017-02-07,23.4974,23.5971,23.4243,23.5373,2206000
2017-02-08,23.4775,23.7235,23.4708,23.7035,2601200
2017-02-09,23.7035,23.7368,23.4775,23.5506,3444300
2017-02-10,23.504,23.6836,23.4974,23.6038,3707000
2017-02-13,23.6304,23.7567,23.5107,23.7567,2261500
2017-02-14,23.6902,23.7235,23.4775,23.5838,2663700
2017-02-15,23.4243,23.6437,23.3245,23.5905,2317200
2017-02-16,23.524,23.7501,23.504,23.7501,2694700
2017-02-17,23.77,23.7966,23.4974,23.6902,3438400
2017-02-21,23.6769,24.0094,23.5905,23.9562,2632500
2017-02-22,23.9761,24.1158,23.903,24.0692,2367800
