date,open,high,low,close,volume
2016-04-18,48.2427,48.861,48.0387,48.861,1864700
2016-04-19,49.0777,49.6897,48.963,49.4028,1928700
2016-04-20,49.6833,50.4228,49.4219,50.2889,2157500
2016-04-21,50.3016,50.6459,50.0148,50.0976,1817100
2016-04-22,50.2379,50.9773,50.206,50.7287,1699200
2016-04-25,50.3208,50.5885,49.7279,50.2634,1644300
2016-04-26,50.4801,50.8307,50.2124,50.8116,1960500
2016-04-27,50.7861,51.2833,50.4865,50.7734,2590900
2016-04-28,50.1933,50.4355,49.5048,49.6833,2631900
2016-04-29,49.5048,49.8044,49.0012,49.4921,2525000
2016-05-02,49.9,50.2315,49.3008,50.1486,1543200
2016-05-03,49.3072,49.4156,48.4211,49.3837,2347300
2016-05-04,48.9821,49.1351,48.3064,48.6187,4069200
2016-05-05,47.7646,48.9757,47.7646,48.3383,2620900
2016-05-06,48.0259,48.6761,47.8156,48.4785,2122100
2016-05-09,48.4658,48.6443,48.0196,48.2108,1598100
2016-05-10,48.555,49.3837,48.3893,49.1861,2285600
2016-05-11,48.9439,49.4283,48.5805,48.5805,1787600
2016-05-12,48.9757,49.167,48.2172,48.7208,2050000
2016-05-13,48.555,49.2817,47.9494,48.0642,1941900
2016-05-16,48.2299,48.7207,48.0705,48.4148,1736500
2016-05-17,48.4594,48.9948,48.1853,48.3893,1582800
2016-05-18,48.4148,50.563,48.2809,50.3717,3668200
2016-05-19,50.1678,50.5694,49.1542,49.5941,2743800
2016-05-20,50.0379,50.7584,49.8321,49.9607,2383200
2016-05-23,49.7034,50.1344,49.3882,49.6584,1507100
2016-05-24,50.2116,50.932,50.0315,50.6361,1639700
2016-05-25,50.9127,51.7746,50.887,51.2601,1697600
2016-05-26,51.2086,51.3373,50.4367,50.4753,2247200
2016-05-27,50.694,51.1636,50.4046,51.1636,1534200
2016-05-31,51.4595,51.4595,50.6168,50.977,2515900
2016-06-01,50.2309,50.932,49.7098,50.7004,2209800
2016-06-02,50.6425,50.7519,50.3724,50.6425,1994300
2016-06-03,49.6519,49.7549,48.4298,48.9637,4225200
2016-06-06,49.2081,49.9929,49.0473,49.7034,2131300
2016-06-07,49.8835,49.89,49.4011,49.414,1551800
2016-06-08,49.2982,49.7227,49.2403,49.4075,1505400
2016-06-09,49.0087,49.0473,48.1725,48.3397,2716500
2016-06-10,47.7608,47.8251,47.1755,47.3041,2490400
2016-06-13,47.0147,47.5614,46.7831,47.034,2545900
2016-06-14,46.9568,47.2848,45.9276,46.3007,2141100
2016-06-15,46.5772,47.0854,46.1141,46.1656,2981000
2016-06-16,45.5738,46.1656,45.0528,46.1463,3689800
2016-06-17,46.1592,46.6159,45.979,46.4357,3344200
2016-06-20,47.362,47.9988,47.0597,47.0918,2812700
2016-06-21,47.4907,47.6193,46.9439,47.4199,2209800
2016-06-22,47.5678,48.1789,47.5164,47.6193,2180900
2016-06-23,48.4877,49.5104,48.4362,49.4976,2905600
2016-06-24,46.172,46.841,45.4451,45.6124,6561600
2016-06-27,44.5703,44.7247,42.7821,43.0523,4343600
2016-06-28,44.3967,44.4288,43.2903,44.1908,3152900
2016-06-29,44.4931,45.1235,43.8756,45.1171,4230100
2016-06-30,45.2972,45.889,44.8276,45.889,2758900
2016-07-01,45.0978,46.217,45.0978,45.6703,2097900
2016-07-05,44.8405,45.0914,43.7791,44.2165,2633500
2016-07-06,43.8242,44.4996,43.4254,44.4738,2368300
2016-07-07,44.4931,45.3294,44.1008,44.4095,2405900
2016-07-08,45.1878,45.8825,45.027,45.6638,2057600
2016-07-11,46.1591,46.4872,45.9276,46.1913,2054800
2016-07-12,46.9568,47.5421,46.8796,47.2719,2639200
2016-07-13,47.1433,47.4585,46.4808,47.0211,1678000
2016-07-14,48.1789,48.5649,47.9602,48.2561,2698000
2016-07-15,48.6099,48.7,48.0567,48.314,2104900
2016-07-18,48.166,48.7964,47.9473,48.5005,2086300
2016-07-19,48.1017,48.4426,47.9473,48.3526,1541900
