date,open,high,low,close,volume
2016-04-21,38.8184,39.1968,38.3947,39.0984,16728600
2016-04-22,39.1287,40.1729,39.106,39.8324,14029800
2016-04-25,39.8021,39.8929,39.3708,39.6735,6941200
2016-04-26,39.7567,40.0745,39.6886,40.0367,7600100
2016-04-27,39.3708,40.2032,39.3557,40.0291,8256600
2016-04-28,39.7113,40.3167,39.3784,39.4465,7795000
2016-04-29,39.2195,39.3481,37.918,38.2282,11437400
2016-05-02,38.3568,38.72,37.9331,38.6746,7123500
2016-05-03,38.3417,38.5309,37.9785,38.3871,7848600
2016-05-04,37.9785,38.5006,37.9482,38.2055,11981800
2016-05-05,38.3947,38.7957,38.1601,38.6898,10189100
2016-05-06,38.3266,38.6822,38.1223,38.5309,9434500
2016-05-09,38.5914,39.0454,38.4325,38.7428,7173600
2016-05-10,38.7882,39.5222,38.5687,39.4616,8199000
2016-05-11,39.2195,39.7492,39.1135,39.4616,8324100
2016-05-12,39.5978,39.7492,38.8638,38.9773,9516000
2016-05-13,38.9395,39.4086,38.6746,38.8335,6975100
2016-05-16,38.8336,39.4767,38.6822,39.28,6823600
2016-05-17,39.1514,39.56,38.9698,39.3406,9386200
2016-05-18,39.4011,40.3621,39.3481,39.9459,10507200
2016-05-19,39.8854,40.1653,39.5449,39.9232,8614000
2016-05-20,40.0821,41.3004,40.0064,41.255,14003600
2016-05-23,41.0128,41.5123,40.975,40.9977,9685300
2016-05-24,41.1793,42.0873,41.1642,42.0646,13097700
2016-05-25,42.1479,42.5792,42.1403,42.3598,9266500
2016-05-26,42.3522,42.4808,42.0041,42.1782,7020900
2016-05-27,42.2698,42.3157,42.033,42.224,5918200
2016-05-31,42.3157,42.3462,41.8802,41.9566,15093400
2016-06-01,41.6357,41.9948,41.5975,41.8573,12156800
2016-06-02,41.7503,41.9566,41.4753,41.926,9036200
2016-06-03,42.0101,42.0253,41.6128,41.9719,10008100
2016-06-06,42.0024,42.3004,41.758,41.9337,7905100
2016-06-07,41.9719,42.1552,41.7656,41.8955,5400200
2016-06-08,41.8114,42.0559,41.7656,41.9719,6314800
2016-06-09,41.5593,42.0483,41.3989,42.0024,8726200
2016-06-10,41.6052,41.8267,40.7954,41.1239,15791600
2016-06-13,40.9482,41.1774,40.2912,40.3599,12128900
2016-06-14,40.2301,40.6808,40.0849,40.2606,8887300
2016-06-15,40.528,40.9176,40.2377,40.7037,8832400
2016-06-16,40.4669,40.8489,40.0925,40.8107,5907500
2016-06-17,41.0475,41.1163,40.5662,40.91,14548800
2016-06-20,41.3836,41.758,41.1468,41.1697,8680800
2016-06-21,41.4447,41.4447,40.9482,41.1621,6431700
2016-06-22,41.1774,41.9948,41.1774,41.2843,8481600
2016-06-23,41.9031,42.4532,41.6892,42.4379,8952200
2016-06-24,40.4974,41.1162,39.8175,39.8175,17018500
2016-06-27,39.9474,39.9474,38.8397,39.0688,11642700
2016-06-28,39.4967,40.1537,39.3668,40.1155,7470400
2016-06-29,40.5357,41.1315,40.2988,40.91,7126900
2016-06-30,40.4134,40.9253,40.0773,40.9253,9254400
2016-07-01,40.4822,40.7878,40.3676,40.4898,6385000
2016-07-05,40.4516,40.4669,39.6418,39.68,10626200
2016-07-06,39.3973,40.1307,39.0841,40.0085,7740700
2016-07-07,40.1689,40.7801,40.0391,40.4363,5763300
2016-07-08,40.8641,41.5059,40.7343,41.3989,6853900
2016-07-11,41.2232,41.7962,41.2079,41.3454,6941600
2016-07-12,41.5975,41.8191,41.4142,41.7274,7413700
2016-07-13,41.949,42.0177,41.7351,41.8879,5676400
2016-07-14,42.1629,42.3004,41.6816,41.926,6601500
2016-07-15,41.9108,41.9108,41.3836,41.8267,10236900
2016-07-18,42.1247,42.5143,42.0024,42.2851,9225900
2016-07-19,42.5754,42.7053,41.9795,42.1247,8164200
2016-07-20,42.2927,42.7435,42.0483,42.6442,17204300
2016-07-21,45.6847,46.1966,45.1729,45.784,33912300
2016-07-22,45.9979,46.739,45.7076,46.7161,12505700
2016-07-25,46.5709,46.5785,45.9521,46.3952,9166200
2016-07-26,46.6015,46.9835,46.4258,46.8689,11272600
2016-07-27,47.2279,47.8696,47.098,47.755,13395100
2016-07-28,47.7016,47.9689,47.4953,47.6939,8514200
2016-07-29,47.8238,47.9919,47.5488,47.8085,8291000
2016-08-01,47.6481,47.671,47.0446,47.2508,14606200
2016-08-02,47.1668,47.3272,45.8528,46.2959,14732800
2016-08-03,46.2882,46.6855,46.2195,46.6091,6448200
2016-08-04,46.6855,46.7772,46.3952,46.5862,5169600
2016-08-05,46.9987,47.4495,46.8077,47.3654,8320700
2016-08-08,47.4036,47.5106,46.8841,47.0446,8410600
2016-08-09,47.2967,47.7016,47.2356,47.3578,5350300
2016-08-10,47.3654,47.4877,46.9376,47.1439,3836200
2016-08-11,47.2814,47.4877,47.1133,47.1668,4988300
2016-08-12,47.014,47.3578,46.8154,47.1439,4947700
2016-08-15,47.2126,47.7398,47.2126,47.6939,6499000
2016-08-16,47.4265,47.7474,47.1821,47.4189,7650600
2016-08-17,47.5335,47.671,47.205,47.5793,6812400
2016-08-18,47.6328,48.1599,47.5029,48.1599,7935900
2016-08-19,47.8314,48.0072,47.3731,47.946,7093000
2016-08-22,47.9002,48.0301,47.6328,47.9995,5720900
2016-08-23,48.1294,48.6565,47.9995,48.1981,5970600
2016-08-24,48.0683,48.3127,47.7245,47.8314,6902400
2016-08-25,47.8773,48.0988,47.8085,47.8544,4916700
2016-08-26,48.0454,48.519,47.862,48.1065,7255600
2016-08-29,48.0911,48.6073,48.0525,48.5225,5354700
2016-08-30,48.5379,48.9308,48.3145,48.4917,5047600
2016-08-31,48.5225,48.6304,48.1758,48.5919,6516600
2016-09-01,48.4378,48.9231,48.1604,48.9,6906300
2016-09-02,48.9463,49.0772,48.6073,48.8076,6325900
2016-09-06,48.6304,48.8384,48.4455,48.6073,5603000
2016-09-07,48.6843,48.7305,48.014,48.0988,6281600
2016-09-08,47.7906,48.3915,47.7752,48.2991,7698100
2016-09-09,47.7752,47.9909,46.6118,46.6272,10625600
2016-09-12,46.4038,47.9755,46.1727,47.9601,10158600
2016-09-13,47.6288,47.9216,46.9508,47.2205,8397100
2016-09-14,47.2205,47.729,47.0279,47.4516,5982400
2016-09-15,47.7289,48.2837,47.4208,48.1835,8871200
2016-09-16,48.4455,48.8769,48.0525,48.5302,14677700
2016-09-19,48.6381,48.8384,48.353,48.4301,6759900
2016-09-20,48.7459,48.769,48.1758,48.3068,5471400
2016-09-21,48.615,49.031,48.4686,48.9771,7488600
2016-09-22,49.0849,49.3084,48.8153,48.9385,7895700
2016-09-23,48.5379,48.9771,48.2837,48.3453,7794700
2016-09-26,48.145,48.1989,47.6596,48.0063,6207400
2016-09-27,48.1758,48.8153,48.1065,48.7768,5228300
2016-09-28,48.7151,49.0695,48.5379,48.8846,5251900
2016-09-29,48.7536,53.0296,48.3145,51.9664,43098800
2016-09-30,52.6983,54.2392,52.5057,52.7754,34879500
2016-10-03,52.4518,53.3763,51.5195,51.7044,10153600
2016-10-04,52.159,52.159,51.2807,51.3731,9746400
2016-10-05,51.4964,51.9433,51.273,51.4964,6362000
2016-10-06,51.4656,53.4071,51.0265,52.0357,12957200
2016-10-07,52.028,52.6444,51.9972,52.5365,8398100
2016-10-10,52.6521,52.837,51.6659,51.8123,7029800
2016-10-11,51.6197,51.689,50.4255,50.9186,8910600
2016-10-12,51.2268,51.2268,50.125,50.8955,6615700
2016-10-13,50.5026,50.8955,49.5395,50.6181,7236600
2016-10-14,50.803,51.3038,50.4255,50.6181,6743100
2016-10-17,50.4871,50.6258,50.1481,50.2252,6348200
2016-10-18,50.9879,51.0188,50.518,50.9263,5966900
2016-10-19,50.7568,50.9032,50.3176,50.6875,5414700
2016-10-20,50.4486,52.5211,50.4486,51.8816,13579000
2016-10-21,51.7044,53.4996,51.3885,52.3362,19676600
2016-10-24,52.6983,52.7368,51.9895,52.4364,6669600
2016-10-25,52.3131,52.5827,51.9895,52.1667,5370000
2016-10-26,51.8585,52.8678,51.8123,52.5442,9241200
2016-10-27,54.5474,55.1791,53.931,54.0004,33941700
2016-10-28,54.3316,54.3393,52.1282,52.6983,17952700
2016-10-31,53.1606,53.5535,52.914,52.9449,10108300
2016-11-01,53.1606,53.4302,52.0357,52.6521,8910100
2016-11-02,52.7445,52.8524,51.6428,51.689,15183000
2016-11-03,52.1513,52.8293,50.7953,51.5812,15642500
