date,open,high,low,close,volume
2016-04-22,403.8815,408.8181,391.8528,401.6665,849400
2016-04-25,405.4707,406.1958,400.5539,404.1894,376400
2016-04-26,404.0404,408.6493,401.6168,403.9312,430200
2016-04-27,404.1795,404.1795,383.7674,387.6611,975000
2016-04-28,384.5123,399.0839,382.4165,388.6742,923800
2016-04-29,386.0222,390.3629,370.6361,374.1822,889000
2016-05-02,375.4138,382.4165,366.5934,381.9397,729500
2016-05-03,377.0726,379.1685,368.282,368.8283,729200
2016-05-04,367.5768,368.5999,357.8326,358.22,1008800
2016-05-05,374.5993,379.0492,366.6331,375.1953,1500300
2016-05-06,373.8345,374.8973,363.4745,367.4675,884800
2016-05-09,367.7158,378.7612,367.7158,372.9504,946100
2016-05-10,375.4237,384.4925,371.8678,383.2806,741400
2016-05-11,382.4761,383.6979,368.9674,369.3647,706700
2016-05-12,370.5467,372.4836,359.9583,363.1865,979600
2016-05-13,362.1137,369.176,359.2133,366.9808,1159200
2016-05-16,377.4501,391.823,376.1191,389.3199,1304300
2016-05-17,390.3529,390.8594,380.2114,383.7872,1357600
2016-05-18,383.4496,388.863,381.7212,387.6611,1172000
2016-05-19,384.5223,391.3661,376.7845,380.7279,1256200
2016-05-20,380.7975,385.3964,379.4863,383.4098,795000
2016-05-23,383.8667,394.3261,381.7312,390.0053,1086300
2016-05-24,394.5645,399.7792,390.6708,395.0313,1109100
2016-05-25,397.2662,398.2992,390.2734,391.8428,959800
2016-05-26,390.8495,392.2501,385.4758,390.8992,733400
2016-05-27,395.816,395.816,387.0055,393.5612,547900
2016-05-31,395.6869,397.7827,392.3494,396.2531,1017400
2016-06-01,396.0743,405.6099,392.4885,401.597,875100
2016-06-02,402.63,404.8351,397.6238,404.398,714100
2016-06-03,403.1067,404.2689,390.5714,398.0608,1153000
2016-06-06,399.0541,401.8254,394.0479,401.1798,594400
2016-06-07,398.2098,399.6898,391.4753,391.8229,664400
2016-06-08,391.823,392.1607,381.4034,386.3599,844200
2016-06-09,383.817,389.9953,378.5228,378.5228,660400
2016-06-10,376.4965,377.2017,367.1199,369.5335,891100
2016-06-13,369.2157,372.8611,364.438,364.7658,855700
2016-06-14,363.9314,368.9574,356.8194,364.0307,1020000
2016-06-15,366.2358,373.7948,364.0307,365.4412,675000
2016-06-16,363.3453,366.1464,360.4847,364.0605,542900
2016-06-17,364.8452,367.388,351.6245,351.8331,1163900
2016-06-20,357.1075,360.5443,349.6876,350.2935,783700
2016-06-21,351.6245,351.6245,340.45,342.824,1183500
2016-06-22,345.1086,359.5708,338.7118,349.5585,1797900
2016-06-23,353.2039,356.3625,349.8664,354.7435,701600
2016-06-24,339.4071,347.7408,336.4173,337.202,1288300
2016-06-27,333.5864,339.4468,326.8817,328.8285,1475900
2016-06-28,332.2256,338.1456,330.7357,337.5,806000
2016-06-29,340.9764,348.8433,340.1222,345.5257,1081000
2016-06-30,347.2044,347.8898,342.4366,346.8866,781000
2016-07-01,346.6581,357.475,346.0919,356.0943,777100
2016-07-05,359.8192,360.7429,353.1145,357.1969,652500
2016-07-06,355.4984,369.9408,353.2237,369.0767,1031200
2016-07-07,368.3814,369.7918,361.627,368.9575,975400
2016-07-08,370.0997,376.3078,367.7257,375.8111,692400
2016-07-11,377.9865,378.9102,372.9703,373.2187,581800
2016-07-12,374.4702,376.9038,365.908,366.2755,740200
2016-07-13,367.9642,369.9309,361.915,362.0541,624300
2016-07-14,364.5572,364.5572,357.6439,362.8189,743700
2016-07-15,365.4114,372.6823,361.0111,371.3016,1242400
2016-07-18,372.2849,379.824,368.431,378.9797,763100
2016-07-19,378.9698,380.3802,371.6294,374.6191,605700
2016-07-20,374.9469,384.3733,372.9206,382.1185,630800
2016-07-21,383.6581,392.7666,383.0323,386.9061,782600
2016-07-22,388.7736,389.9655,384.8302,388.714,477800
2016-07-25,388.406,392.4686,384.9494,392.2501,386100
2016-07-26,390.3628,395.9749,387.3929,395.5974,593700
2016-07-27,396.9583,413.2085,396.3225,412.3046,1001900
2016-07-28,411.0332,411.1921,402.8187,408.2818,623800
2016-07-29,408.5698,423.0222,407.2388,422.2673,1370500
2016-08-01,422.2375,436.0542,421.1648,431.0877,1405500
2016-08-02,432.3491,434.9118,424.224,431.9816,1250800
2016-08-03,431.783,439.3221,430.6506,438.4082,1102800
2016-08-04,440.3153,441.0106,414.6984,430.4917,2026900
2016-08-05,427.4622,430.4917,419.1682,420.1615,1111500
2016-08-08,419.5953,426.1809,415.5527,418.2147,828600
2016-08-09,417.4002,420.38,414.9467,416.4267,491100
2016-08-10,416.1784,416.7148,409.732,412.692,468100
2016-08-11,413.2283,420.5986,412.235,418.5226,372600
2016-08-12,416.834,419.5258,412.2152,418.7113,296600
2016-08-15,419.9132,423.0619,419.4165,420.0324,368200
2016-08-16,419.3272,419.3272,410.2286,410.8643,529900
2016-08-17,412.4635,413.0297,406.2554,408.9174,460700
2016-08-18,409.7816,410.5564,404.7655,408.1129,641800
2016-08-19,406.5932,407.7454,400.8718,401.587,701700
2016-08-22,404.0801,419.635,402.3816,415.8407,907500
2016-08-23,417.3306,422.1481,415.5526,417.7875,452200
2016-08-24,416.7942,422.0984,400.7924,402.5306,605200
2016-08-25,402.2525,408.1229,389.8562,397.5642,830500
2016-08-26,397.3158,404.3086,393.5513,400.2659,663500
2016-08-29,402.4313,403.2657,393.9188,396.7,554900
2016-08-30,395.7067,399.66,391.7733,392.5679,526900
2016-08-31,393.3526,394.6042,387.4028,389.9158,568900
