date,open,high,low,close,volume
2016-04-18,6.0437,6.1693,5.9809,6.1135,19793300
2016-04-19,6.1972,6.281,6.1344,6.267,27380400
2016-04-20,6.281,6.4136,6.2461,6.3927,28551200
2016-04-21,6.4275,6.4624,6.3647,6.3996,17329000
2016-04-22,6.4206,6.5741,6.3996,6.5183,22043700
2016-04-25,6.4764,6.5252,6.3996,6.4904,16553800
2016-04-26,6.4904,6.5811,6.4415,6.5601,17023300
2016-04-27,6.5671,6.7207,6.5183,6.6927,31436800
2016-04-28,6.609,6.7137,6.5462,6.5741,21401200
2016-04-29,6.5462,6.595,6.4624,6.5462,23878100
2016-05-02,6.595,6.616,6.4764,6.595,18427900
2016-05-03,6.4904,6.5043,6.3508,6.4485,23707300
2016-05-04,6.3438,6.4345,6.2252,6.3089,25300200
2016-05-05,6.3438,6.3857,6.267,6.3089,16834400
2016-05-06,6.2461,6.3438,6.2252,6.3368,20046400
2016-05-09,6.3229,6.3787,6.267,6.3159,13770900
2016-05-10,6.3508,6.4624,6.3368,6.4415,13378600
2016-05-11,6.4066,6.5532,6.4066,6.4345,14905100
2016-05-12,6.4694,6.5322,6.3229,6.3717,17652700
2016-05-13,6.3717,6.4624,6.2042,6.274,16600700
2016-05-16,6.2391,6.3438,6.2252,6.3159,12127300
2016-05-17,6.288,6.4973,6.2461,6.3996,26396900
2016-05-18,6.3857,6.7416,6.3787,6.7276,36225600
2016-05-19,6.6439,6.7695,6.5183,6.609,19345700
2016-05-20,6.6439,6.7137,6.595,6.6369,14869000
2016-05-23,6.623,6.6718,6.5322,6.609,14037600
2016-05-24,6.6509,6.7556,6.6439,6.7346,14450000
2016-05-25,6.7904,6.9091,6.7835,6.8742,17412600
2016-05-26,6.8742,6.8812,6.7556,6.7904,13385400
2016-05-27,6.8393,6.8882,6.7765,6.8882,13114800
2016-05-31,6.9091,6.9719,6.8184,6.8602,24980000
2016-06-01,6.7486,6.951,6.6997,6.93,20315400
2016-06-02,6.8951,6.9789,6.8533,6.9789,11752800
2016-06-03,6.7765,6.8184,6.6299,6.7904,20465100
2016-06-06,6.8533,6.9789,6.8184,6.944,14497500
2016-06-07,6.944,6.9579,6.8533,6.8602,12400100
2016-06-08,6.8567,6.941,6.8497,6.8989,16659900
2016-06-09,6.8216,6.8356,6.7022,6.8146,13663200
