date,open,high,low,close,volume
2016-04-22,30.7714,31.5136,30.6333,31.0245,2747700
2016-04-25,30.9842,31.2086,30.4837,30.7829,1261650
2016-04-26,31.013,31.1914,30.8692,31.1224,1566000
2016-04-27,31.0245,31.2029,30.7196,30.9958,1796700
2016-04-28,30.6563,30.99,30.2363,30.4204,1109850
2016-04-29,30.288,30.3053,29.8335,30.0176,1760550
2016-05-02,30.0349,30.4491,29.7875,30.3801,1521000
2016-05-03,29.9428,29.9428,29.1776,29.5516,871350
2016-05-04,29.3444,29.822,28.9589,29.3674,1776150
2016-05-05,29.4192,29.5515,28.9762,29.3502,890250
2016-05-06,29.0395,29.3674,28.8036,29.2236,1100550
2016-05-09,29.1661,29.4077,28.9071,28.9762,1037100
2016-05-10,29.2524,30.1097,29.1315,30.0694,1238850
2016-05-11,30.0291,30.0694,29.4192,29.471,1196850
2016-05-12,29.6954,29.9313,29.1545,29.5113,1278900
2016-05-13,29.4595,29.9198,28.8956,29.0049,769500
2016-05-16,29.0855,29.4883,28.9934,29.2121,737100
2016-05-17,29.0855,29.5515,28.9186,29.2293,901950
2016-05-18,29.2466,30.4721,29.2408,30.265,1713750
2016-05-19,30.0636,30.3111,29.2869,29.6724,948450
2016-05-20,29.8047,30.3513,29.8047,30.1442,994050
2016-05-23,30.15,30.2478,29.9716,30.1039,1010400
2016-05-24,30.3686,30.8231,30.2478,30.8174,939600
2016-05-25,31.0648,31.41,30.8749,31.2432,692700
2016-05-26,31.2432,31.3582,30.9612,31.3467,998100
2016-05-27,31.3122,31.8703,31.1684,31.8703,1465800
2016-05-31,31.9451,32.3306,31.9048,32.2616,2199300
2016-06-01,31.8416,32.4112,31.5654,32.3421,1053600
2016-06-02,32.181,32.555,32.1753,32.555,1079550
2016-06-03,31.41,31.9912,31.1741,31.8416,2725050
2016-06-06,31.8934,32.6183,31.7783,32.3306,1440450
2016-06-07,32.4515,32.4515,31.8301,31.8301,1285200
2016-06-08,31.8128,31.9451,31.6862,31.7495,896400
2016-06-09,31.5539,31.5539,31.0648,31.2029,1341300
2016-06-10,30.6275,30.6678,30.3111,30.4146,1279950
2016-06-13,30.2363,30.662,30.0234,30.0694,1268700
2016-06-14,29.8738,30.0464,29.3732,29.5573,1171650
2016-06-15,29.8047,30.4376,29.7299,29.9198,1090350
2016-06-16,29.6091,29.9198,29.2408,29.9025,813300
2016-06-17,29.9428,30.3513,29.8335,29.9428,1635150
2016-06-20,30.6275,30.8692,30.2708,30.2995,692700
2016-06-21,30.4146,30.547,29.9946,30.1615,541050
2016-06-22,30.2132,30.5182,30.2132,30.288,731550
2016-06-23,30.8519,31.0706,30.6851,31.059,972750
2016-06-24,28.7633,29.1603,27.7966,28.1304,2975250
2016-06-27,27.2788,27.4457,26.7782,27.0486,2236800
2016-06-28,27.3766,27.601,26.899,27.2098,1867650
2016-06-29,27.4929,28.0303,27.1115,28.0129,1410900
2016-06-30,28.0649,28.4983,27.7471,28.4867,2518350
2016-07-01,28.1978,28.5965,27.9147,28.0996,1070250
2016-07-05,27.672,27.6893,27.0017,27.2502,1293000
2016-07-06,26.9093,27.7182,26.7533,27.6662,1805400
2016-07-07,27.6951,28.2903,27.6951,28.2787,1748550
2016-07-08,28.8103,29.1975,28.8103,28.9143,1137900
2016-07-11,29.2784,29.4402,28.9375,29.0126,842550
2016-07-12,29.469,30.2318,29.4286,30.0758,1073550
2016-07-13,29.8909,30.1162,29.5442,29.706,914100
2016-07-14,30.2664,30.4051,30.0815,30.1509,1066500
2016-07-15,30.486,30.6998,30.1682,30.5149,962100
2016-07-18,30.5149,30.7692,30.3069,30.7345,801000
2016-07-19,30.4571,30.9656,30.2664,30.5611,1246050
2016-07-20,30.7807,30.954,30.2895,30.8847,1586100
2016-07-21,31.0176,31.5839,30.7865,31.0118,1511700
2016-07-22,31.1563,31.2141,30.8616,31.1216,1863000
2016-07-25,31.139,31.3123,31.0292,31.2199,812550
2016-07-26,31.1043,31.4914,31.0061,31.4683,754800
2016-07-27,31.4683,31.7457,31.3412,31.6186,1033500
2016-07-28,31.5319,31.8208,31.3239,31.7283,646350
