date,open,high,low,close,volume
2016-04-22,10.4699,10.5991,10.4699,10.5443,871650
2016-04-25,10.5012,10.5443,10.3995,10.4738,566775
2016-04-26,10.4856,10.5795,10.4464,10.4778,649575
2016-04-27,10.4778,10.6774,10.2586,10.3877,1021500
2016-04-28,10.3682,10.5639,10.329,10.5208,956250
2016-04-29,10.4778,10.5482,10.4425,10.5169,1092150
2016-05-02,10.5286,10.6265,10.4973,10.5795,735300
2016-05-03,10.5208,10.6147,10.4504,10.5678,520650
2016-05-04,10.5052,10.6304,10.5052,10.5678,804825
2016-05-05,10.6108,10.6421,10.5169,10.5795,542700
2016-05-06,10.5167,10.7367,10.442,10.7367,850950
2016-05-09,10.7092,10.7995,10.6817,10.7209,558000
2016-05-10,10.7484,10.8467,10.7052,10.8427,666675
2016-05-11,10.8231,10.8663,10.6777,10.7092,537075
2016-05-12,10.7209,10.882,10.6502,10.8663,1058400
2016-05-13,10.8663,10.8938,10.6934,10.7131,605025
2016-05-16,10.7327,10.7877,10.6895,10.7013,503325
2016-05-17,10.6738,10.7602,10.5599,10.6502,807075
2016-05-18,10.6463,10.7602,10.5913,10.7052,1087200
2016-05-19,10.6542,10.7956,10.6384,10.7838,978300
2016-05-20,10.8506,10.8899,10.7367,10.8388,989775
2016-05-23,10.8663,10.9017,10.8113,10.8113,781200
2016-05-24,10.8467,11.1295,10.8467,11.1256,672525
2016-05-25,11.1256,11.1492,10.9842,11.0117,768375
2016-05-26,11.0195,11.0981,11.0077,11.0784,370125
2016-05-27,11.047,11.2159,11.047,11.1649,684450
2016-05-31,11.1884,11.2513,11.0942,11.1649,2358900
2016-06-01,11.1177,11.2356,11.1059,11.2159,908550
2016-06-02,11.2002,11.3063,11.1688,11.2709,763650
2016-06-03,11.2631,11.2827,11.1374,11.267,1413900
2016-06-06,11.2788,11.3534,11.2002,11.3299,979425
2016-06-07,11.322,11.3809,11.2867,11.3063,663525
2016-06-08,11.2788,11.3299,11.2277,11.3024,644625
2016-06-09,11.2238,11.3417,11.2042,11.3142,388350
2016-06-10,11.2592,11.2749,11.1688,11.2356,435600
2016-06-13,11.1884,11.2395,11.1334,11.157,509400
2016-06-14,11.0981,11.1492,11.0549,11.0863,621225
2016-06-15,11.1217,11.1413,11.0509,11.0627,396450
2016-06-16,11.0038,11.0942,10.9527,11.0784,356400
2016-06-17,11.0902,11.1334,10.882,10.9174,1039950
2016-06-20,11.0117,11.1138,10.9802,10.9959,697275
2016-06-21,11.0195,11.0745,10.9567,11.0313,593100
2016-06-22,11.0313,11.0863,10.9999,11.0234,647100
2016-06-23,11.1177,11.1806,11.0352,11.0784,717300
2016-06-24,10.717,10.9017,10.6149,10.8113,1238175
2016-06-27,10.6856,10.7249,10.5324,10.7013,1182600
2016-06-28,10.7524,10.8702,10.6817,10.8309,924300
2016-06-29,10.9213,11.1649,10.8388,11.1334,1074825
2016-06-30,11.1413,11.4988,11.1177,11.4988,1912725
2016-07-01,11.4792,11.5342,11.4281,11.4792,1089000
2016-07-05,11.4438,11.5342,11.377,11.4949,744300
2016-07-06,11.4281,11.4909,11.377,11.4242,706950
2016-07-07,11.4438,11.4831,11.3377,11.3967,487125
2016-07-08,11.5224,11.5695,11.4909,11.5106,607725
2016-07-11,11.542,11.5774,11.4949,11.5538,418275
2016-07-12,11.6324,11.6716,11.5459,11.5695,627300
2016-07-13,11.5813,11.6441,11.5263,11.5499,538650
2016-07-14,11.6009,11.6206,11.4517,11.4831,713925
2016-07-15,11.5106,11.5106,11.3849,11.4281,676575
2016-07-18,11.4281,11.5027,11.3652,11.3888,603450
2016-07-19,11.3574,11.4045,11.3181,11.3731,346950
2016-07-20,11.4045,11.5263,11.4045,11.4909,518175
2016-07-21,11.5067,11.5459,11.4674,11.4713,535725
2016-07-22,11.4477,11.5813,11.4438,11.5263,342450
2016-07-25,11.5145,11.5577,11.4359,11.4752,624150
2016-07-26,11.4674,11.5342,11.4242,11.4556,497025
2016-07-27,10.8781,11.1924,10.8034,11.0038,1980000
2016-07-28,10.9724,11.0234,10.8506,10.9292,1478025
2016-07-29,10.9213,11.1217,10.8938,11.0706,1629225
2016-08-01,11.0706,11.1138,10.9959,11.0745,1114200
2016-08-02,11.047,11.0942,10.9802,11.0234,839250
2016-08-03,11.0352,11.047,10.9527,11.0156,735300
2016-08-04,11.0077,11.0509,10.8309,10.8467,1143900
2016-08-05,10.9017,10.9174,10.8506,10.8702,981675
2016-08-08,10.8821,10.9451,10.7598,10.7993,1811025
2016-08-09,10.8269,11.0201,10.7953,11.0043,2151675
2016-08-10,11.0161,11.1226,10.9727,11.1029,873675
2016-08-11,11.1502,11.1975,11.0437,11.0595,652725
2016-08-12,11.0477,11.0792,10.9727,11.0516,737100
2016-08-15,11.0477,11.1186,11.0477,11.0555,631125
2016-08-16,11.0398,11.095,10.9767,11.0398,913950
2016-08-17,11.0516,11.0989,11.0201,11.0595,970650
2016-08-18,11.0831,11.1541,11.0516,11.0753,727200
2016-08-19,11.0477,11.1383,11.024,11.0792,1405575
2016-08-22,11.0713,11.095,11.0201,11.0674,744525
2016-08-23,11.095,11.2133,11.0753,11.0831,670050
2016-08-24,11.0989,11.1226,11.0477,11.0634,651150
2016-08-25,11.1068,11.1344,11.0437,11.0713,680400
2016-08-26,11.1029,11.2014,11.0437,11.0674,716625
2016-08-29,11.1107,11.1659,11.0753,11.0989,627975
2016-08-30,11.091,11.1068,11.0437,11.1029,375750
2016-08-31,11.091,11.2487,11.0595,11.2369,938475
2016-09-01,11.2448,11.3946,11.2448,11.3552,1028925
2016-09-02,11.3788,11.5011,11.3788,11.4695,852300
2016-09-06,11.5011,11.5247,11.3946,11.509,767250
2016-09-07,11.5326,11.6391,11.5168,11.6391,1156275
2016-09-08,11.6154,11.6154,11.4301,11.4459,571500
2016-09-09,11.4064,11.4183,11.296,11.3,1155150
2016-09-12,11.2369,11.4301,11.2251,11.4222,911700
2016-09-13,11.3118,11.3552,11.1738,11.1896,677250
2016-09-14,11.1778,11.3631,11.1581,11.3394,755550
2016-09-15,11.3276,11.4616,11.3236,11.4538,706950
2016-09-16,11.4104,11.4695,11.3394,11.4222,1912500
2016-09-19,11.4104,11.5287,11.3867,11.4301,1134225
2016-09-20,11.4774,11.5444,11.3552,11.4025,3770325
2016-09-21,11.4143,11.4853,11.3237,11.4064,721575
2016-09-22,11.4814,11.6115,11.4262,11.5878,934650
2016-09-23,11.5444,11.5839,11.438,11.4774,674325
2016-09-26,11.4143,11.434,11.3158,11.3236,520650
2016-09-27,11.3079,11.3631,11.2487,11.3512,785025
2016-09-28,11.4025,11.4183,11.3,11.4143,607725
2016-09-29,11.4143,11.4656,11.3434,11.3867,1473300
2016-09-30,11.438,11.572,11.367,11.5444,1217475
2016-10-03,11.5129,11.6075,11.4892,11.5168,950625
2016-10-04,11.5287,11.5681,11.4143,11.4222,1244250
2016-10-05,11.4222,11.4656,11.3197,11.3394,943200
2016-10-06,11.3355,11.3512,11.2448,11.2882,465075
2016-10-07,11.2606,11.2763,11.1817,11.1896,787950
2016-10-10,11.2408,11.3355,11.2133,11.2172,593775
2016-10-11,11.2211,11.2448,11.0831,11.0871,1354725
2016-10-12,11.0871,11.1383,11.0792,11.1226,412425
2016-10-13,11.0713,11.1699,11.0477,11.1462,429075
2016-10-14,11.1857,11.2369,11.1107,11.1186,556200
2016-10-17,11.095,11.1659,11.091,11.1147,430650
2016-10-18,11.2093,11.2408,11.1344,11.1423,405450
2016-10-19,11.1738,11.2251,11.095,11.1305,1136025
2016-10-20,11.1305,11.1817,11.0555,11.1186,722250
2016-10-21,11.0871,11.1265,11.0398,11.0989,338625
2016-10-24,11.2132,11.2448,11.0516,11.1423,1539900
2016-10-25,11.1423,11.1659,11.0595,11.095,1463400
2016-10-26,11.1344,11.8165,11.1344,11.8086,2318625
2016-10-27,11.8441,12.1437,11.8441,12.1083,1463625
2016-10-28,12.1713,12.1753,12.0215,12.0925,751050
2016-10-31,12.1201,12.1989,12.0807,12.1516,1334700
2016-11-01,12.1753,12.1832,12.0215,12.0412,1117575
2016-11-02,12.0491,12.2384,12.0491,12.0807,876150
2016-11-03,12.0688,12.1083,12.0018,12.0294,622575
2016-11-04,12.0294,12.1161,11.9584,11.9703,518175
2016-11-07,12.1043,12.1635,12.0609,12.1083,710325
2016-11-08,12.0686,12.2948,12.0686,12.2392,682425
2016-11-09,12.1281,12.4258,12.0567,12.4059,771300
2016-11-10,12.517,12.517,12.2114,12.3742,1083825
2016-11-11,12.398,12.398,12.2511,12.2908,999900
2016-11-14,12.2551,12.3305,12.1718,12.2868,1135350
2016-11-15,12.2868,12.4575,12.2551,12.39,785025
2016-11-16,12.4059,12.4734,12.3146,12.4654,1122075
2016-11-17,12.5012,12.6559,12.4694,12.521,810225
2016-11-18,12.5408,12.771,12.4575,12.7512,1090350
2016-11-21,12.8345,12.8663,12.6162,12.6837,811800
2016-11-22,12.7115,12.8821,12.648,12.8782,2096550
2016-11-23,12.7948,12.8385,12.7115,12.8266,1414800
2016-11-25,12.8782,12.9655,12.8544,12.9298,235125
2016-11-28,12.898,12.9893,12.8425,12.9456,1392750
2016-11-29,12.9377,12.9893,12.8067,12.8583,904500
2016-11-30,12.8821,12.902,12.7432,12.7512,1059075
2016-12-01,12.7948,12.9099,12.7115,12.8464,1021950
2016-12-02,12.8583,12.9258,12.8147,12.9139,661950
2016-12-05,13.0171,13.0449,12.9496,13.029,589050
2016-12-06,13.0568,13.1838,12.9695,13.148,863775
2016-12-07,13.156,13.3306,13.0528,13.3068,998550
2016-12-08,13.3306,13.5449,13.2314,13.529,1024425
2016-12-09,13.529,13.5886,13.4457,13.4695,1041750
2016-12-12,13.4338,13.4338,13.2234,13.2988,1624725
2016-12-13,13.283,13.3703,13.2274,13.2393,1168200
2016-12-14,13.2353,13.3147,13.1282,13.1719,783675
2016-12-15,13.2036,13.275,13.148,13.1996,729450
2016-12-16,13.1877,13.2711,13.1599,13.1719,2168100
2016-12-19,13.1877,13.2671,13.1322,13.2552,905175
2016-12-20,13.3266,13.4536,13.2552,13.3346,849150
2016-12-21,13.2988,13.3822,13.2949,13.2949,651150
2016-12-22,13.3068,13.3068,13.152,13.2433,455175
2016-12-23,13.279,13.3782,13.2234,13.3623,474750
2016-12-27,13.3385,13.4536,13.3385,13.41,437400
2016-12-28,13.4219,13.4854,13.3584,13.3981,643050
2016-12-29,13.4576,13.5092,13.4338,13.4695,524700
2016-12-30,13.5171,13.5171,13.3941,13.406,1057050
2017-01-03,13.4933,13.4933,13.2354,13.2909,1115775
2017-01-04,13.3544,13.4695,13.279,13.41,1201275
2017-01-05,13.3703,13.402,13.2631,13.3425,2436525
2017-01-06,13.3147,13.3782,13.2353,13.2711,927450
2017-01-09,13.1996,13.2631,13.1044,13.148,926325
2017-01-10,13.2195,13.2869,13.1203,13.1401,762750
2017-01-11,13.1004,13.1917,13.0806,13.1838,717075
2017-01-12,13.1758,13.1838,13.025,13.0607,960300
2017-01-13,13.0964,13.3147,13.0964,13.2631,397350
2017-01-17,13.1798,13.3584,13.0964,13.1877,743850
2017-01-18,13.1996,13.3385,13.1957,13.283,500850
2017-01-19,13.3108,13.3623,13.1798,13.2473,706050
2017-01-20,13.2393,13.5806,13.2393,13.5092,1783575
2017-01-23,13.5489,13.5528,13.1123,13.2314,1330200
2017-01-24,13.3227,13.5132,13.2314,13.4457,916875
2017-01-25,13.8822,14.0053,13.5489,13.8624,3708225
2017-01-26,13.9735,14.1521,13.8981,14.0886,1424250
2017-01-27,14.1243,14.1521,13.9338,14.1005,1186650
2017-01-30,14.1084,14.1521,13.8187,13.9616,882000
2017-01-31,13.9854,14.0489,13.8981,13.9934,837450
2017-02-01,14.0846,14.1203,13.8108,13.8822,894150
2017-02-02,13.8822,13.91,13.791,13.8981,791775
2017-02-03,13.9616,14.1323,13.918,14.1164,819900
2017-02-06,14.1362,14.164,14.0449,14.1084,668025
2017-02-07,14.1521,14.2712,14.1362,14.2712,957150
2017-02-08,14.3209,14.3329,14.1457,14.2254,1268550
2017-02-09,14.2254,14.4762,14.2254,14.4284,955575
2017-02-10,14.5359,14.6235,14.4324,14.6036,1053225
2017-02-13,14.7151,14.8465,14.5757,14.6275,1643400
2017-02-14,14.5518,14.6076,14.4921,14.5558,1032750
2017-02-15,14.5479,14.6394,14.52,14.6155,630450
2017-02-16,14.6195,14.7111,14.5956,14.7111,617400
2017-02-17,14.6832,14.7071,14.6235,14.7031,754425
2017-02-21,14.7031,14.7549,14.6195,14.6753,957600
2017-02-22,14.7031,14.7151,14.6155,14.6753,783450
2017-02-23,14.731,14.7668,14.6434,14.6952,756225
2017-02-24,14.6673,14.7031,14.6235,14.6912,862425
2017-02-27,14.7111,14.7748,14.6832,14.7111,1224675
2017-02-28,14.7031,14.7429,14.5479,14.5558,2088000
2017-03-01,14.7191,14.7708,14.6554,14.7031,1978650
2017-03-02,14.6753,14.6753,14.4802,14.4921,983700
2017-03-03,14.5081,14.5797,14.4762,14.5359,903150
2017-03-06,14.4603,14.524,14.4244,14.4603,893025
2017-03-07,14.3767,14.5041,14.3727,14.4005,1041300
