date,open,high,low,close,volume
2016-04-22,38.7312,38.9686,38.6379,38.7905,1323800
2016-04-25,38.6888,38.8584,38.6379,38.8075,986600
2016-04-26,38.9178,39.1637,38.9178,39.1044,1103000
2016-04-27,39.1128,39.4605,39.0619,39.4266,1313800
2016-04-28,39.2061,40.122,39.2061,40.0711,2753100
2016-04-29,40.1135,40.3001,39.6471,39.9185,2905500
2016-05-02,39.9354,40.3849,39.9015,40.334,2205700
2016-05-03,40.2492,40.2747,39.681,39.9778,2164600
2016-05-04,39.7319,40.4019,39.681,40.351,1521700
2016-05-05,40.2662,40.5969,40.0542,40.2323,1130000
2016-05-06,40.1983,40.6987,39.8591,40.6733,1120500
2016-05-09,40.6817,41.0973,40.4443,41.0295,1387800
2016-05-10,41.0125,41.3093,40.8853,41.3093,1098900
2016-05-11,41.3093,41.3772,41.004,41.2245,1025400
2016-05-12,41.233,41.5128,41.1821,41.4196,777600
2016-05-13,41.3772,41.5213,41.0125,41.0973,944300
2016-05-16,41.0464,41.3772,40.8005,41.2245,966600
2016-05-17,41.2415,41.2669,40.2662,40.3425,1809300
2016-05-18,40.3255,40.8344,40.1475,40.4273,1427300
2016-05-19,40.2577,40.5291,40.0881,40.4528,867200
2016-05-20,40.6393,40.8089,40.334,40.4443,1354400
2016-05-23,40.5376,40.5376,40.3086,40.4273,1158000
2016-05-24,40.5206,40.9531,40.5206,40.9192,893600
2016-05-25,41.0464,41.1312,40.5121,40.58,1511200
2016-05-26,40.5121,40.8938,40.4867,40.8853,1073200
2016-05-27,40.9192,41.1566,40.8598,40.9955,696400
2016-05-31,41.0464,41.1651,40.7411,40.9446,3231100
2016-06-01,40.8938,41.0973,40.6648,41.0634,919200
2016-06-02,41.0464,41.3093,40.9616,41.2839,1065200
2016-06-03,41.1567,41.4535,41.0718,41.3941,809800
2016-06-06,41.4111,41.6316,41.4111,41.5807,876900
2016-06-07,41.5807,41.8012,41.5468,41.6825,756100
2016-06-08,41.7333,41.9878,41.674,41.9454,801800
2016-06-09,41.7588,42.2422,41.6401,42.2337,724500
2016-06-10,42.2083,42.3439,41.869,42.0386,1284700
2016-06-13,42.0047,42.2252,41.9199,42.0217,1181400
2016-06-14,41.9454,42.0556,41.6994,41.9963,1056300
2016-06-15,42.0047,42.1659,41.8266,41.8436,1027100
2016-06-16,41.6909,42.4033,41.6485,42.344,1042500
2016-06-17,42.4033,42.4033,41.6909,41.7673,2153300
2016-06-20,41.9199,42.0471,41.7927,41.9369,1494600
2016-06-21,41.9454,42.3185,41.9284,42.1235,1136100
2016-06-22,42.2507,42.4118,42.0556,42.1319,1116500
2016-06-23,42.4118,42.7171,42.1574,42.2761,972400
2016-06-24,41.3348,42.3439,41.2754,42.1319,3089900
2016-06-27,41.9623,42.1828,41.6485,41.886,2373900
2016-06-28,42.0132,42.2422,41.7503,42.2168,1661500
2016-06-29,42.4727,42.9078,42.4386,42.8652,1401000
2016-06-30,43.0187,43.7781,42.9078,43.7781,1349600
2016-07-01,43.7184,44.0853,43.6416,43.9914,1319900
2016-07-05,43.8293,44.4948,43.7098,44.1365,2112800
2016-07-06,44.2474,44.802,43.8634,44.6228,2049400
2016-07-07,44.6825,44.8276,44.3839,44.4436,1860900
2016-07-08,44.3839,44.9299,44.3242,44.8446,1114300
2016-07-11,44.8702,45.0153,44.7849,44.8873,1328200
2016-07-12,44.9982,45.1518,44.5631,44.5972,1114200
2016-07-13,44.6911,45.0323,44.546,44.7678,973300
2016-07-14,45.0153,45.1432,44.6996,44.7593,951400
2016-07-15,44.9044,44.947,44.4607,44.6655,1146600
2016-07-18,44.7422,44.9214,44.418,44.4777,799100
2016-07-19,44.5119,44.7081,44.4863,44.6228,1181200
2016-07-20,44.5972,44.7081,44.546,44.674,718900
2016-07-21,44.6569,44.7337,44.3412,44.4009,866300
2016-07-22,44.4436,44.7252,44.3924,44.6996,792400
2016-07-25,44.6654,44.7337,44.4351,44.7252,648600
2016-07-26,44.8702,44.9641,44.4351,44.6313,899900
2016-07-27,44.7081,44.8105,44.0682,44.1023,1946800
2016-07-28,44.0597,44.3668,44.0426,44.2815,759000
2016-07-29,44.1535,44.3583,43.5477,43.7355,1852300
2016-08-01,43.7611,44.0426,43.6331,43.6928,1350300
2016-08-02,43.5904,43.6928,43.2662,43.4965,1414700
2016-08-03,43.4539,43.5051,43.0955,43.3174,1803400
2016-08-04,43.3942,43.5221,43.3259,43.3856,853100
2016-08-05,43.5478,43.6843,43.4112,43.6075,1251900
2016-08-08,43.6842,43.7354,43.3344,43.3942,1672200
2016-08-09,43.5051,43.6587,43.4795,43.5307,651500
2016-08-10,43.5477,43.9744,43.5307,43.9573,855800
2016-08-11,44.0938,44.3839,44.0682,44.2047,923000
2016-08-12,44.2047,44.3583,43.9914,44.1194,826200
2016-08-15,44.0597,44.2132,43.7696,43.7952,707700
2016-08-16,43.616,43.616,42.7287,42.7457,1474500
2016-08-17,42.8652,43.7867,42.814,43.7013,2318700
2016-08-18,43.6672,43.7099,43.1979,43.5989,1079100
2016-08-19,43.4966,43.6843,43.3856,43.6843,1161800
2016-08-22,43.6843,43.9146,43.5648,43.761,1129000
2016-08-23,43.761,43.889,43.6331,43.7525,919000
2016-08-24,43.6757,43.8208,43.5648,43.744,876900
2016-08-25,43.6587,43.8464,43.5648,43.6245,1078400
2016-08-26,43.7525,43.889,43.0358,43.1382,1518500
2016-08-29,43.2662,43.5222,43.2321,43.2747,1342400
2016-08-30,43.3771,43.4112,42.959,43.1723,747800
2016-08-31,43.1212,43.2321,42.8567,43.1041,1238000
2016-09-01,43.1809,43.2747,42.959,43.2747,623600
2016-09-02,43.4454,43.7525,43.4368,43.5819,836500
2016-09-06,43.4454,43.9402,43.4112,43.6928,1204700
2016-09-07,43.5392,43.6245,43.1979,43.3174,1012200
2016-09-08,43.1553,43.4795,43.087,43.3686,1040400
2016-09-09,43.0102,43.1041,42.2338,42.2509,1477000
2016-09-12,42.2338,42.9932,42.1655,42.8908,1522000
2016-09-13,42.5921,43.1041,42.5836,42.6263,2010300
2016-09-14,42.6177,42.8566,42.43,42.4898,1276300
2016-09-15,42.4812,42.9761,42.4215,42.8652,1182500
2016-09-16,42.7116,42.9334,42.4642,42.8822,2159000
2016-09-19,42.814,43.4027,42.814,43.2662,1616800
2016-09-20,43.5136,43.8378,43.2662,43.3088,1585600
2016-09-21,43.4112,43.8549,43.2918,43.7952,1433300
2016-09-22,43.9402,44.017,43.5478,43.6928,1456000
2016-09-23,43.5307,43.6501,43.2491,43.3259,1298000
2016-09-26,43.1809,43.5222,43.1553,43.3259,939100
2016-09-27,43.4454,43.6757,43.2662,43.3174,1118000
2016-09-28,43.3771,43.471,42.8481,43.1638,1156600
2016-09-29,43.0522,43.2067,42.9234,42.9921,1317300
2016-09-30,43.1209,43.4729,43.1209,43.3184,1523500
2016-10-03,43.3441,43.5073,43.1037,43.2754,1146800
2016-10-04,43.3184,43.3956,42.7345,42.8633,1315900
2016-10-05,42.9234,43.1638,42.6744,42.8032,1533900
2016-10-06,42.6744,42.8118,42.434,42.6916,1775200
2016-10-07,42.7087,42.8032,42.2794,42.4941,1296300
2016-10-10,42.5284,42.9148,42.5284,42.8375,1056700
2016-10-11,42.7774,42.9148,42.3996,42.5885,1226000
2016-10-12,42.6314,42.8032,42.5112,42.6658,1334600
2016-10-13,42.4254,42.7602,42.2279,42.6143,1463500
2016-10-14,42.7431,43.2497,42.7431,42.7774,1262000
2016-10-17,42.7774,43.138,42.7774,43.0608,846400
2016-10-18,43.2067,43.4901,43.0608,43.138,696300
2016-10-19,43.2153,43.3441,42.8633,43.0779,713100
2016-10-20,43.0092,43.1209,42.7517,42.9148,1115400
2016-10-21,42.6744,42.9062,42.4511,42.8719,856700
2016-10-24,43.0693,43.43,43.0608,43.4042,888500
2016-10-25,43.3184,44.074,43.3184,43.7477,1806800
2016-10-26,43.8507,44.323,43.5845,44.0396,1519500
2016-10-27,44.0224,44.28,43.5759,43.7649,1644100
2016-10-28,44.5634,44.8811,43.9795,44.6321,3055400
2016-10-31,44.7695,45.3104,44.7695,45.1902,2013000
2016-11-01,44.9068,44.9755,43.9194,44.0396,2367500
2016-11-02,44.0825,44.3058,43.8679,43.9194,1221100
2016-11-03,43.9452,44.1083,43.6962,43.8164,1277700
2016-11-04,43.9452,44.2629,43.9194,43.9881,1855600
2016-11-07,44.4432,44.6664,44.3573,44.6578,1363300
2016-11-08,44.675,44.9412,44.5806,44.8553,1322000
2016-11-09,44.426,45.4478,44.2972,45.3018,1548600
2016-11-10,45.3362,45.5508,44.8897,45.422,1788900
2016-11-11,45.4049,46.1519,45.3705,46.0832,1661500
2016-11-14,46.066,46.6069,45.7655,46.4524,1660200
2016-11-15,46.6155,47.1565,46.4867,47.1479,1732100
2016-11-16,47.1908,47.4913,46.6842,46.856,2083000
2016-11-17,46.7787,47.0019,46.6928,46.9418,1237700
2016-11-18,46.9247,47.1651,46.7701,46.8903,1396600
2016-11-21,47.2338,47.5515,47.0706,47.5257,1362000
2016-11-22,47.6888,47.8176,47.457,47.5944,1512400
2016-11-23,47.5515,47.7919,47.2595,47.3797,1493400
2016-11-25,47.5085,47.8777,47.5085,47.7661,471900
2016-11-28,47.7318,48.0237,47.5944,47.9636,1236700
2016-11-29,47.9464,48.101,47.8005,47.998,1125500
2016-11-30,47.9378,47.9378,47.6287,47.6459,1318000
2016-12-01,47.6459,47.8348,47.4227,47.6287,1007000
2016-12-02,47.8348,47.9979,47.6717,47.9207,1033500
2016-12-05,47.9636,48.0752,47.2853,47.4656,1535900
2016-12-06,47.5772,47.8606,47.3368,47.8434,1268800
2016-12-07,47.8606,48.3328,47.6888,48.3328,1274200
2016-12-08,48.3414,48.6849,48.2641,48.4616,1592900
2016-12-09,48.4101,48.6849,48.0924,48.5303,1412900
2016-12-12,48.4702,49.0111,48.4273,48.8738,1293000
2016-12-13,49.0111,49.2516,48.6677,48.9854,1412900
2016-12-14,49.0455,49.1485,48.4702,48.5217,1265600
2016-12-15,48.4101,48.7965,48.2899,48.6419,1073300
2016-12-16,48.7621,48.9425,48.5045,48.5904,2404300
2016-12-19,48.8308,49.4147,48.8308,49.2945,978500
2016-12-20,49.3632,49.8011,49.243,49.3718,1195900
2016-12-21,49.3718,49.5692,49.1914,49.1914,786600
2016-12-22,49.1657,49.3288,49.0455,49.2172,942200
2016-12-23,49.2086,49.3546,49.0455,49.2516,662500
2016-12-27,49.3546,49.4233,49.1915,49.2945,543400
2016-12-28,49.3031,49.4147,49.1743,49.2172,598200
2016-12-29,49.2776,49.4158,49.2604,49.3467,632100
2016-12-30,49.4935,49.6317,49.1395,49.2604,693000
2017-01-03,49.3122,49.3899,48.8546,49.105,1174700
2017-01-04,49.2949,49.5712,49.1827,49.1913,1348600
2017-01-05,49.2086,49.6921,49.174,49.3985,1113100
2017-01-06,49.3035,49.4849,49.1568,49.2431,1147500
2017-01-09,49.2777,49.3985,48.7078,48.7164,1374900
