date,open,high,low,close,volume
2016-04-21,52.6223,52.8217,52.4677,52.5575,4176528
2016-04-22,52.707,52.9961,52.3082,52.692,4865359
2016-04-25,52.4378,52.4428,51.9842,52.4428,4398352
2016-04-26,52.5674,52.7269,51.6552,52.2434,8763335
2016-04-27,53.0011,53.375,52.2833,52.7868,10072194
2016-04-28,52.4179,52.6372,51.6901,51.9592,7421266
2016-04-29,51.6103,52.3132,51.6103,52.029,4852806
2016-05-02,51.7897,52.2932,51.6153,52.029,6711300
2016-05-03,51.5754,51.7798,50.7828,50.9124,7612263
2016-05-04,50.5435,50.7379,49.9652,50.1846,8943369
2016-05-05,50.4089,50.4637,49.8057,49.9951,5609647
2016-05-06,49.9802,50.4936,49.7558,50.4089,5951600
2016-05-09,50.0151,50.5335,49.8406,49.8954,6092544
2016-05-10,50.0001,51.057,49.9503,50.9273,5834808
2016-05-11,51.1218,51.1866,50.5684,50.6482,4442685
2016-05-12,50.7379,50.9872,50.4238,50.5784,4555186
2016-05-13,50.4687,50.708,49.8306,49.9852,5212715
2016-05-16,49.8755,50.8875,49.8755,50.7578,5512877
2016-05-17,50.6781,50.8177,49.721,49.8805,6659499
2016-05-18,49.9056,50.4325,49.5744,49.8253,5307896
2016-05-19,49.5142,49.6496,49.1478,49.4339,4987712
2016-05-20,49.755,50.1264,49.5142,49.7299,6851927
2016-05-23,49.6547,49.7149,49.3134,49.6296,4224992
2016-05-24,49.9256,50.3622,49.8905,50.1364,4693429
2016-05-25,50.3271,50.6533,50.3271,50.3422,3740824
2016-05-26,50.4024,50.6834,50.3271,50.3873,3980127
2016-05-27,50.4275,50.568,50.2267,50.563,4243107
2016-05-31,50.568,50.7838,50.3572,50.4726,8367197
2016-06-01,50.2267,50.4325,49.5543,50.3572,4460164
2016-06-02,50.307,50.588,50.2167,50.578,3922447
2016-06-03,50.5579,50.573,50.1264,50.3973,3577634
2016-06-06,50.5529,50.9694,50.4375,50.864,5989259
2016-06-07,51.0748,51.3859,50.9092,50.9092,4035583
2016-06-08,50.9092,51.2454,50.8741,51.2203,4078645
2016-06-09,50.9694,51.3608,50.9293,51.3458,5733748
2016-06-10,50.9594,51.3809,50.7888,51.1852,5723101
2016-06-13,51.1752,51.3859,50.7787,50.7888,7141761
2016-06-14,50.7888,51.14,50.4375,50.7787,5887563
2016-06-15,50.9343,51.0547,50.4525,50.4525,7118720
2016-06-16,50.3271,50.9544,49.8554,50.7436,7229791
2016-06-17,50.6081,51.0296,50.3472,50.7837,9044429
2016-06-20,51.1952,51.6168,51.0146,51.0346,7067713
2016-06-21,51.1802,51.2354,50.8841,50.9694,5273732
2016-06-22,51.0698,51.1702,50.7336,50.859,4186221
2016-06-23,51.4361,51.4361,51.0497,51.3508,4885857
2016-06-24,49.8905,50.3873,49.5593,49.6246,11832330
2016-06-27,49.1779,49.2833,48.6209,48.7815,9909799
2016-06-28,49.2532,49.74,49.1428,49.6948,8871705
2016-06-29,50.1715,50.5328,49.9106,50.4174,7527570
2016-06-30,50.6182,51.4712,50.4676,51.4612,9276105
2016-07-01,51.4261,52.2842,51.3558,51.5515,10453872
2016-07-05,51.2354,51.3558,50.2869,50.4927,6850338
2016-07-06,50.4576,50.9293,49.8353,50.8741,8306498
2016-07-07,50.9493,51.2554,50.8691,51.1701,4848992
2016-07-08,51.6418,52.0584,51.4712,52.0182,5566108
2016-07-11,52.0182,52.4347,51.9881,52.1688,5270872
2016-07-12,52.3042,52.7208,52.234,52.4397,5945085
2016-07-13,52.7258,52.796,52.4849,52.7358,4687709
2016-07-14,53.1824,53.1874,52.6605,52.7609,5255459
2016-07-15,52.8663,53.0168,52.6254,52.9415,4507834
2016-07-18,52.9315,53.1573,52.6304,52.9365,3472442
2016-07-19,52.6856,53.1623,52.6354,53.0018,5551807
2016-07-20,53.0369,53.333,52.9717,53.2125,4746979
2016-07-21,53.3781,53.5638,52.9968,53.1172,6052342
2016-07-22,52.5752,52.791,52.4397,52.7559,5583587
2016-07-25,52.7157,52.791,52.3996,52.515,5500006
2016-07-26,53.7143,54.176,53.4434,54.1409,7014482
2016-07-27,54.2262,54.442,53.9351,54.0405,6348691
2016-07-28,54.0405,54.1911,53.7445,53.9853,4459846
2016-07-29,53.9452,54.2362,53.7896,54.0205,5136601
2016-08-01,53.9251,54.0205,53.4434,53.6642,4864882
2016-08-02,53.4383,53.5588,53.1372,53.3279,3788335
2016-08-03,53.328,53.4534,53.2025,53.338,4743801
2016-08-04,53.4684,53.7294,53.353,53.3731,2960148
2016-08-05,53.619,54.0656,53.5337,54.0656,4252323
2016-08-08,54.0656,54.3667,53.9402,54.0907,4800210
2016-08-09,54.2011,54.3968,54.1309,54.3667,3516616
2016-08-10,54.4269,54.447,54.0857,54.2563,2635674
2016-08-11,54.447,54.8434,54.4269,54.7882,3186263
2016-08-12,54.7079,54.7882,54.4721,54.6327,2873548
2016-08-15,54.7832,55.1144,54.7832,55.0442,3248711
2016-08-16,54.8033,55.009,54.6979,54.7782,3835369
2016-08-17,54.8034,55.0357,54.6267,55.0003,3508512
2016-08-18,55.0559,55.2427,54.9549,55.1972,3114122
2016-08-19,55.0357,55.2427,54.9801,55.1013,3795803
2016-08-22,54.7883,55.0256,54.5965,54.7782,3893845
2016-08-23,55.0306,55.2073,54.5258,54.5258,4868855
2016-08-24,54.5359,54.6873,54.3238,54.5056,3884628
2016-08-25,54.3995,54.5964,54.2279,54.3844,2850030
2016-08-26,54.4955,54.6722,53.9906,54.1774,3990138
2016-08-29,54.3137,54.6015,54.238,54.5106,2849236
2016-08-30,54.4601,54.5864,54.1168,54.1976,3798981
2016-08-31,54.0158,54.1168,53.6927,53.7331,5321879
2016-09-01,53.8896,54.0057,53.3646,53.8795,5134854
2016-09-02,54.1168,54.3844,53.7584,53.9855,4872986
2016-09-06,54.0209,54.2683,53.2535,53.5211,5832742
2016-09-07,53.3747,53.6624,53.1576,53.4403,4010954
2016-09-08,53.3191,53.5968,53.2737,53.3898,4465408
2016-09-09,53.0112,53.0616,51.8348,51.8399,6766280
2016-09-12,51.5975,52.683,51.441,52.5214,6120510
2016-09-13,52.0368,52.1781,51.5218,51.6581,5630304
2016-09-14,51.5925,51.9307,51.2138,51.3249,6502506
2016-09-15,51.2138,51.956,51.1229,51.855,4989301
2016-09-16,51.7843,51.7843,50.4111,50.5373,12273754
2016-09-19,50.7393,51.0826,50.6029,50.709,5269283
2016-09-20,50.8756,51.2441,50.608,50.608,4941949
2016-09-21,50.815,51.5369,50.7241,51.4764,4997087
2016-09-22,51.8651,52.2438,51.8096,52.0014,5680039
2016-09-23,51.547,52.0014,51.4511,51.7793,4205130
2016-09-26,51.5773,51.9812,51.3855,51.6127,5330459
2016-09-27,51.5369,51.8651,51.3855,51.6733,6831588
2016-09-28,51.8399,51.9358,51.3299,51.6733,7962002
2016-09-29,51.8903,51.8903,50.9311,51.022,5911080
2016-09-30,51.2037,51.5117,51.022,51.2946,8030012
2016-10-03,51.2946,51.8348,51.1381,51.7137,6311031
2016-10-04,51.7843,51.9055,51.1431,51.2088,5091474
2016-10-05,51.3451,51.6632,51.2088,51.6228,4360375
2016-10-06,51.5521,51.6076,51.1734,51.5369,5802234
2016-10-07,50.9715,50.9967,50.3909,50.7796,6257800
2016-10-10,50.5676,51.0068,50.3051,50.4767,7178784
2016-10-11,50.2596,50.4212,49.7093,49.8658,6856217
