date,open,high,low,close,volume
2016-04-21,95.6313,95.7139,94.3653,94.4937,778500
2016-04-22,94.4845,95.2827,93.9433,95.1726,563500
2016-04-25,95.2551,95.4937,94.1909,94.9432,429600
2016-04-26,95.4019,95.879,94.5304,95.7138,740000
2016-04-27,95.457,96.246,94.7964,96.1634,637000
2016-04-28,95.4295,96.8148,94.8056,95.457,590500
2016-04-29,94.8698,95.6313,93.6864,94.5304,731500
2016-05-02,94.9799,96.6771,93.8974,96.5028,1331200
2016-05-03,91.7414,93.2919,89.5488,90.8515,5441700
2016-05-04,90.2552,91.5855,89.7598,91.5488,1927600
2016-05-05,92.1543,93.2827,91.5213,91.7048,875500
2016-05-06,91.1635,93.9524,90.5396,92.5946,998300
2016-05-09,92.8515,93.246,91.2644,91.9341,2314400
2016-05-10,91.9616,93.7506,91.402,93.7047,1115700
2016-05-11,93.1451,94.3102,93.0075,93.2735,678000
2016-05-12,93.7506,93.9341,92.0075,92.824,755500
2016-05-13,92.5671,93.2735,91.4112,91.7415,1082600
2016-05-16,91.8699,92.1543,91.246,91.6405,802700
2016-05-17,91.6864,91.8332,90.3562,91.0075,1132800
2016-05-18,91.0534,91.0534,89.0718,90.3195,755000
2016-05-19,90.2644,90.2644,88.6956,89.3929,1641800
2016-05-20,89.6681,89.7231,88.6956,89.2644,2250900
2016-05-23,89.4846,91.2644,88.9433,89.5672,1077700
2016-05-24,89.8241,90.5396,89.3103,90.347,970400
2016-05-25,90.8149,90.9433,89.7323,90.402,803100
2016-05-26,90.2185,90.8332,89.8149,90.5488,694700
2016-05-27,90.558,91.1451,90.0809,90.6864,922700
2016-05-31,91.136,91.3011,89.9433,91.191,3815100
2016-06-01,91.5671,92.1726,90.136,90.2369,1195300
2016-06-02,89.8516,93.4203,89.8516,93.3469,1107900
2016-06-03,93.2827,93.6863,91.8974,93.5763,900100
2016-06-06,94.0075,94.1451,93.5304,93.7139,601300
2016-06-07,94.2368,95.9982,94.0533,95.7964,861100
2016-06-08,96.2643,96.3193,94.5946,95.512,723300
2016-06-09,95.1267,95.4845,94.2827,95.2643,472100
2016-06-10,94.035,95.09,92.5946,92.6772,712300
2016-06-13,92.1634,93.8148,92.1634,92.4387,1030800
2016-06-14,92.3469,92.4295,91.6038,91.9616,730500
2016-06-15,92.3928,92.9616,91.5671,92.1543,600000
2016-06-16,91.8607,92.3378,91.1084,92.1635,1131500
2016-06-17,92.1268,92.1268,91.3561,91.4662,1048200
2016-06-20,92.9066,94.2919,92.5763,93.6497,655800
2016-06-21,93.5671,94.3286,92.9433,94.1818,1261300
2016-06-22,94.0533,95.0258,93.668,94.4019,662000
2016-06-23,95.6221,98.512,95.3285,98.4019,1456600
2016-06-24,94.1175,97.0991,93.8882,94.7781,2778200
2016-06-27,93.7598,94.3836,92.035,92.6405,1199400
2016-06-28,93.5579,95.0625,92.7781,94.9891,1040000
2016-06-29,95.9799,98.8789,95.8882,98.567,1185800
2016-06-30,98.8606,99.356,97.6588,99.0257,1463600
2016-07-01,99.2459,101.2092,99.2459,100.8147,1299700
2016-07-05,100.4569,101.044,98.9615,99.9431,798700
2016-07-06,99.4477,100.5945,98.6955,100.5945,741500
2016-07-07,101.1266,102.7137,100.1908,101.4844,1529400
2016-07-08,102.3559,105.099,101.4293,104.9614,1527400
2016-07-11,105.0348,105.0348,103.6403,103.9431,1439200
2016-07-12,104.4568,104.7779,103.2642,103.466,1675500
2016-07-13,103.7229,103.7229,102.3743,102.833,943800
2016-07-14,103.6311,104.2091,102.9798,104.099,786300
2016-07-15,104.9798,105.7687,103.5761,104.6128,1275500
2016-07-18,104.5485,104.7137,104.1907,104.3651,598100
2016-07-19,104.3651,104.4568,103.4844,103.5302,656900
2016-07-20,103.4109,103.4476,102.0899,103.3192,745800
2016-07-21,103.1082,103.3101,102.2,102.7137,759600
2016-07-22,103.1541,103.9155,102.7321,103.8238,864100
2016-07-25,103.466,104.0532,103.2091,103.5302,482700
2016-07-26,103.6954,103.7137,102.4568,103.099,655100
2016-07-27,103.3376,104.0073,103.1999,103.4385,676500
2016-07-28,103.1908,103.9798,102.411,103.1908,972200
2016-07-29,105.4568,105.6861,102.5761,105.5026,1624700
2016-08-01,105.1357,106.6495,105.1357,106.4293,1384000
2016-08-02,105.9981,106.0898,103.0532,103.9247,672200
2016-08-03,103.9706,104.0807,101.6128,103.8605,557300
2016-08-04,103.6495,104.2917,101.778,104.2091,570200
2016-08-05,104.6219,105.0715,104.0715,104.4568,413200
2016-08-08,104.3467,105.9247,103.8788,105.4751,940000
2016-08-09,105.6587,106.8513,105.4843,106.7962,904000
2016-08-10,107.2457,107.9522,106.3559,106.5669,885900
2016-08-11,106.5485,107.1907,105.9706,106.5577,559500
2016-08-12,105.5577,107.4567,105.5577,106.7136,616000
2016-08-15,107.1265,107.3375,106.1999,106.2182,625100
2016-08-16,106.2917,107.0806,104.8788,104.8972,549000
2016-08-17,104.4385,105.099,103.7137,105.0073,578200
2016-08-18,105.6403,105.6403,104.622,105.2366,378900
2016-08-19,104.6219,104.888,103.3467,103.8605,545400
2016-08-22,103.9798,104.2733,103.099,104.1082,605600
2016-08-23,104.7779,104.9247,103.4293,103.6311,930800
2016-08-24,103.9339,105.2366,103.6954,103.9339,643200
2016-08-25,103.9706,104.7229,103.732,104.6953,493600
2016-08-26,105.0807,106.7962,103.8605,104.4476,425900
2016-08-29,104.2733,105.1265,104.0256,104.7963,459800
2016-08-30,104.8788,105.4476,103.9981,104.5577,410900
2016-08-31,104.255,105.1357,103.8238,104.7229,481700
2016-09-01,105.0715,105.3284,104.1908,104.7504,652600
2016-09-02,105.2733,106.7228,105.2733,106.3008,426700
2016-09-06,106.6219,107.9063,106.576,107.9063,631300
2016-09-07,107.5393,108.7778,107.4843,108.6861,566600
2016-09-08,108.1173,108.6861,107.1265,107.6494,463800
2016-09-09,106.0531,106.787,101.0715,101.2092,1649800
2016-09-12,100.4018,102.8697,100.0349,102.3009,1215100
2016-09-13,102.2,102.2,99.4753,99.989,1244700
2016-09-14,100.2642,100.567,99.0073,99.7505,915500
2016-09-15,99.5028,100.2826,99.0441,99.9064,858600
2016-09-16,99.8147,99.8239,98.4936,99.3927,1188100
2016-09-19,99.6496,101.2734,99.6496,101.2275,586800
2016-09-20,101.9615,101.9615,99.8881,100.1817,731400
2016-09-21,100.3101,101.6403,99.5486,101.411,708600
2016-09-22,102.3009,103.6587,101.833,103.3926,696500
2016-09-23,102.5486,103.3743,102.2092,102.6495,548100
2016-09-26,102.3284,102.8605,102.0348,102.2,540900
2016-09-27,101.8055,103.2275,100.4018,102.6495,552000
2016-09-28,102.8146,103.8972,102.1725,103.7963,511100
2016-09-29,103.8146,104.3834,102.0348,102.3834,456000
2016-09-30,102.7779,103.2733,101.7137,102.8972,721600
2016-10-03,102.5303,103.3376,101.7688,102.5486,482600
2016-10-04,103.2366,104.8238,101.8055,102.4752,1120300
2016-10-05,102.9431,103.099,99.8514,100.044,961700
2016-10-06,100.0716,100.9339,99.2184,100.5119,802700
2016-10-07,100.7963,101.3743,99.4844,100.1633,596300
2016-10-10,100.5211,101.1358,100.2459,100.7596,294700
2016-10-11,100.6587,100.9798,99.4661,99.5211,956700
2016-10-12,99.8055,101.6037,99.3009,101.3743,716300
2016-10-13,100.9982,102.255,100.2734,102.0073,511900
2016-10-14,102.3468,105.044,102.3468,102.6495,673700
2016-10-17,102.8513,104.8146,101.5486,101.6771,499900
2016-10-18,102.622,103.8972,102.1174,102.1541,378200
2016-10-19,102.6587,103.0532,101.7229,102.7963,809700
2016-10-20,102.989,102.989,101.3284,102.3192,724200
2016-10-21,102.1449,104.5761,102.1358,104.1265,907100
2016-10-24,104.6403,106.1448,104.6403,105.677,864300
2016-10-25,105.8513,106.576,105.3742,105.6219,648200
2016-10-26,105.5118,106.1265,105.1174,105.7412,779700
2016-10-27,106.4201,106.5577,104.3743,105.1908,798700
2016-10-28,105.1724,106.6678,103.8146,104.3192,707800
2016-10-31,104.7871,105.0256,103.732,103.9247,985400
2016-11-01,104.2183,104.4935,101.0257,101.7321,1315700
2016-11-02,100.0165,100.7597,96.3744,98.5579,3455800
2016-11-03,98.2918,100.145,98.1542,99.0257,1819800
2016-11-04,98.5212,99.3652,97.2276,97.2368,1704100
2016-11-07,99.0257,99.2367,98.1633,98.7046,1608700
2016-11-08,98.723,100.6679,97.4661,99.9523,1058600
2016-11-09,97.7505,97.7505,94.3836,95.0074,2987000
2016-11-10,95.1084,95.9065,91.1635,91.7415,4107400
2016-11-11,91.7415,92.7781,90.5947,90.8424,1969900
2016-11-14,89.8883,90.4204,87.7599,88.9066,3357800
2016-11-15,89.558,90.2185,88.98,89.0443,2253300
2016-11-16,88.3745,91.0901,88.3745,91.0442,1514400
2016-11-17,91.1543,92.6589,90.5947,92.3194,1354900
2016-11-18,91.7323,93.6038,91.7323,92.4295,940400
2016-11-21,92.9708,93.7598,92.558,93.2277,1142100
2016-11-22,93.7139,93.9524,92.8148,93.5579,1060100
2016-11-23,93.1451,93.8607,92.1267,92.191,1001700
2016-11-25,92.4937,93.0533,92.0901,92.7322,282300
2016-11-28,92.7781,92.7965,91.3011,91.3928,773200
2016-11-29,91.5121,92.0717,90.5763,91.5671,1078100
2016-11-30,93.0075,93.9157,90.7598,90.7873,2430400
2016-12-01,90.9158,92.4203,87.8516,88.1635,2002200
2016-12-02,88.081,89.8974,87.8608,88.6865,1134300
2016-12-05,89.0809,90.347,88.9066,89.9617,800600
2016-12-06,89.4112,90.7782,89.136,89.7323,1001500
2016-12-07,90.2644,92.2185,89.6497,92.09,967900
2016-12-08,91.7873,93.3011,90.8974,91.0901,933600
2016-12-09,91.1726,91.3011,89.9525,90.4112,889400
2016-12-12,90.3653,92.035,89.7415,91.5121,1131300
2016-12-13,92.2093,94.8882,92.2001,94.668,1373400
2016-12-14,94.4111,94.7506,92.6038,92.9891,968800
2016-12-15,93.2093,94.1175,92.0258,93.5396,614400
2016-12-16,93.7231,94.1634,93.0167,93.3745,1061300
2016-12-19,93.3286,96.6771,92.3561,96.0808,960200
2016-12-20,96.4661,96.8423,94.9249,95.3469,658400
2016-12-21,95.3836,96.5303,94.6221,95.934,552300
2016-12-22,95.7597,96.3193,94.8698,95.9891,579000
2016-12-23,95.6588,96.7781,95.6588,96.1817,408700
2016-12-27,96.5579,97.145,95.6313,96.6313,417400
2016-12-28,96.879,96.879,95.3744,95.5028,586100
2016-12-29,95.7872,95.9615,95.035,95.3652,463200
2016-12-30,95.5946,95.5946,94.301,94.7322,609900
2017-01-03,96.5579,96.9248,95.5854,96.8147,1269300
2017-01-04,97.0441,97.3377,96.0441,96.9523,704600
2017-01-05,96.3285,96.6221,94.6313,95.668,691400
2017-01-06,95.778,96.4845,94.9065,94.9707,623600
2017-01-09,94.9891,95.1175,93.7873,94.4845,823200
2017-01-10,94.2368,94.3653,93.6313,94.1267,910600
2017-01-11,93.8515,96.2735,93.8515,96.0625,1244300
2017-01-12,95.6038,96.5854,94.5671,96.4386,526200
2017-01-13,96.3194,98.3193,96.1542,96.8515,759100
2017-01-17,96.8515,96.8515,96.8515,96.8515,0
2017-01-18,96.8606,99.0716,96.8606,98.2184,782500
2017-01-19,98.1817,98.1817,96.3652,97.0258,507700
2017-01-20,97.567,98.3193,95.6129,96.8147,846600
2017-01-23,96.5028,96.8515,95.934,96.1817,585800
2017-01-24,96.0166,96.145,94.4386,95.5028,1025800
2017-01-25,94.9249,95.1451,93.8423,94.9524,1100000
2017-01-26,94.879,96.8882,94.879,96.246,1641200
2017-01-27,96.5487,96.9982,94.3744,95.4386,450400
2017-01-30,95.4661,95.9524,94.9065,95.6863,458000
2017-01-31,95.8331,97.3102,95.8331,96.5671,1092700
2017-02-01,97.0441,97.7964,94.7689,95.2827,1082800
2017-02-02,95.3286,96.1542,95.0258,95.7689,746000
2017-02-03,96.6588,98.2184,96.0808,96.9615,1028200
2017-02-06,96.7505,96.7505,95.2551,95.7781,1306100
2017-02-07,95.7872,96.3377,95.5212,96.1359,666300
2017-02-08,96.1267,98.3285,94.9616,98.0349,1117200
2017-02-09,98.0074,98.9799,97.5854,98.7413,1171700
2017-02-10,98.7872,98.7872,97.145,98.1266,768500
2017-02-13,98.2918,100.622,97.0074,100.567,1067100
2017-02-14,100.411,100.7137,99.2092,99.7505,608700
2017-02-15,99.3743,99.5578,98.9156,99.356,502500
2017-02-16,99.778,100.1633,98.4386,99.934,689300
2017-02-17,100.1633,100.4752,99.145,99.512,1008900
2017-02-21,99.8055,101.7137,99.4661,101.567,900600
2017-02-22,101.833,102.8238,101.6495,102.4385,772100
2017-02-23,102.778,103.4752,101.0624,102.0073,578500
2017-02-24,102.0532,102.3743,101.3743,101.9798,724000
2017-02-27,101.8055,103.622,101.7688,103.4752,958000
2017-02-28,103.2091,107.0623,102.5394,106.2091,2793700
2017-03-01,106.5669,106.6494,103.6678,105.8329,1334100
2017-03-02,106.0623,106.6861,104.4385,105.7595,1000600
2017-03-03,105.9155,106.2091,105.2917,105.4843,1256500
2017-03-06,104.7137,105.8788,103.4201,105.6586,1089000
2017-03-07,105.2641,106.7045,105.2641,105.8788,905000
2017-03-08,105.5761,106.2274,104.8697,105.1816,1070700
2017-03-09,104.9155,107.0256,104.7504,106.9613,1369900
2017-03-10,107.5944,108.6035,107.099,108.0714,1357700
2017-03-13,108.154,108.4384,106.9613,107.9246,1623500
2017-03-14,107.8788,108.0898,106.3651,106.5302,1342600
2017-03-15,106.943,107.8237,105.677,107.0531,1437300
2017-03-16,107.576,107.9246,106.1265,106.5485,1012300
2017-03-17,106.2091,106.6586,105.9338,106.099,4900100
2017-03-20,106.099,107.9338,106.099,107.3925,1077700
2017-03-21,107.5302,108.6953,107.31,107.4109,1057800
2017-03-22,107.3375,108.2366,106.7871,107.2274,1171300
2017-03-23,107.4476,108.4659,106.9705,108.3742,1885900
2017-03-24,108.1815,109.1999,107.6861,108.521,1090900
2017-03-27,107.1265,108.6953,106.5302,108.0714,768100
2017-03-28,107.9705,108.9063,105.8696,108.7595,1006200
2017-03-29,108.7595,110.1264,108.5668,109.8879,824600
2017-03-30,109.8145,110.0989,108.787,109.0989,815100
2017-03-31,108.9338,110.5576,108.4476,110.4292,1366300
2017-04-03,110.0439,110.4567,108.8971,109.6769,1122600
2017-04-04,109.6219,110.2457,109.4017,109.576,1226400
2017-04-05,109.9429,110.053,109.1356,109.2457,1005200
2017-04-06,109.631,110.3007,108.7962,110.154,947400
2017-04-07,110.154,111.5209,109.6586,111.1631,1287300
2017-04-10,111.42,112.264,110.9704,111.9154,789100
2017-04-11,112.9796,114.1814,112.3191,113.7961,1798800
2017-04-12,113.1814,113.7411,112.0805,112.9062,909600
2017-04-13,112.9796,113.897,112.475,113.5759,997200
2017-04-17,113.4658,114.686,113.1172,114.6493,855600
2017-04-18,114.53,115.0896,114.1998,114.8144,1083900
2017-04-19,115.2456,115.7685,114.5667,114.741,924600
2017-04-20,114.7777,114.9704,113.5484,114.0163,873900
2017-04-21,113.8144,114.2273,113.0163,113.5576,656500
2017-04-24,113.7594,114.2273,112.7594,113.264,807800
2017-04-25,113.9979,114.1631,112.842,113.7777,966400
2017-04-26,113.741,114.6676,112.9429,113.4383,752700
2017-04-27,113.7411,115.4841,112.3191,114.9796,1087300
2017-04-28,114.7135,116.5575,114.0071,116.0437,885200
2017-05-01,116.2731,117.2822,115.6492,116.741,1317400
2017-05-02,118.3556,119.9795,117.0713,118.3281,1472000
2017-05-03,118.6034,118.8878,117.0254,117.2823,1041200
2017-05-04,117.4199,118.3465,116.3098,117.6034,945600
2017-05-05,117.9153,118.9886,117.6859,118.9152,1049600
2017-05-08,119.2364,121.1079,118.5483,120.5666,1251000
2017-05-09,120.3464,120.7225,118.7776,119.0345,1048600
2017-05-10,119.0804,119.4473,118.3098,118.5208,811700
2017-05-11,118.007,118.5208,116.6951,117.1722,1513200
2017-05-12,116.9979,117.6401,116.3465,116.9979,1174700
2017-05-15,117.4566,120.007,116.796,119.64,1395500
2017-05-16,119.9244,121.6675,119.5024,119.9703,1024000
2017-05-17,119.3006,125.0803,119.3006,123.007,2640800
2017-05-18,122.1079,122.1904,116.3557,121.0987,2084900
2017-05-19,120.9061,122.4106,120.0437,121.8326,855200
2017-05-22,121.6033,123.3188,120.9336,122.7776,595300
2017-05-23,123.2087,123.5665,122.7042,123.2179,583700
2017-05-24,123.4106,123.75,122.9427,122.9978,578000
2017-05-25,123.6216,125.7133,123.0987,124.3555,1098000
2017-05-26,124.3096,124.8968,123.8693,124.7867,665200
2017-05-30,124.7867,126.8325,124.7867,126.5848,1858200
2017-05-31,126.8417,128.7866,126.1078,126.7683,1692600
2017-06-01,126.8784,127.3463,126.1629,126.8326,750600
2017-06-02,127.7683,128.2087,126.8784,127.2362,826700
2017-06-05,126.7133,127.8876,126.3922,126.539,705600
2017-06-06,126.5206,127.3096,125.5207,125.6766,1197900
2017-06-07,126.2454,126.2638,123.5849,124.6766,1064900
2017-06-08,124.7225,125.0619,122.0253,123.1812,1311500
2017-06-09,124.117,124.4381,122.2822,123.2088,924800
2017-06-12,121.3556,121.9978,118.7134,121.484,1170900
2017-06-13,122.4381,122.4565,120.7134,121.1446,1119800
2017-06-14,122.0712,123.75,121.5758,121.9336,966500
2017-06-15,121.4749,121.9886,120.8418,121.3005,692300
2017-06-16,121.1538,122.8143,121.1538,122.062,964700
2017-06-19,122.0161,122.6216,121.6675,121.9794,677600
2017-06-20,121.9794,122.7501,120.4198,120.6951,894100
2017-06-21,120.695,121.218,119.9428,120.2547,742700
2017-06-22,120.4749,121.3923,120.1263,120.4015,580300
2017-06-23,120.484,121.8969,120.4749,121.0161,2864600
2017-06-26,121.7225,122.6124,121.2914,121.8326,723300
2017-06-27,123.8968,127.1078,123.8326,124.5299,1640600
2017-06-28,124.5023,124.5849,122.9152,123.2546,979800
2017-06-29,122.6858,123.8051,121.9794,123.4106,860000
2017-06-30,123.4932,124.6308,122.9427,123.7592,1076500
2017-07-03,123.8968,124.4748,122.6583,123.1904,648200
2017-07-05,122.9794,124.1721,122.6308,123.3097,580300
2017-07-06,122.9794,123.9152,122.6583,123.2638,925400
2017-07-07,123.3188,125.7041,123.3188,125.3922,1045200
2017-07-10,125.8417,126.0711,123.1445,123.3831,924000
2017-07-11,123.1721,124.3005,122.2638,122.5666,794700
2017-07-12,123.5299,125.7775,123.5299,124.9977,692500
2017-07-13,125.1445,125.4656,124.2362,124.6858,297600
2017-07-14,125.7409,126.2454,124.6766,125.2179,704800
2017-07-17,124.7959,125.2455,123.8601,124.7684,1130900
2017-07-18,124.7683,126.5756,124.5757,126.1353,1028500
2017-07-19,127.4839,127.4839,125.1261,127.0252,1064700
2017-07-20,126.75,127.5115,124.3555,124.5941,1095900
2017-07-21,124.7684,125.8968,124.1904,125.3188,993200
2017-07-24,125.0895,125.4105,123.8693,124.9335,666600
2017-07-25,125.1078,125.8876,123.6033,124.2638,830200
2017-07-26,124.6766,125.2271,123.9794,124.3739,642100
2017-07-27,124.5941,125.5299,123.9427,124.7684,1024600
2017-07-28,124.4197,126.7041,124.4197,126.2729,1021000
2017-07-31,126.906,127.3922,125.1262,126.1904,853300
2017-08-01,123.9427,127.3738,123.3922,126.0803,1089400
2017-08-02,126.4289,127.1996,125.6675,126.6032,832400
2017-08-03,126.9243,127.2729,126.0069,126.9335,1347500
2017-08-04,127.3371,129.8967,126.7683,128.4013,1037900
2017-08-07,127.8601,128.7041,126.5207,127.9977,535500
2017-08-08,127.3646,128.016,126.383,126.805,493900
2017-08-09,126.9426,127.7866,126.3096,127.5481,576600
2017-08-10,126.9702,128.1445,126.4656,127.539,454000
2017-08-11,127.594,127.8234,125.8417,126.8509,733500
2017-08-14,128.1353,129.5389,127.6032,128.8875,673700
2017-08-15,128.3647,130.3371,127.2638,129.6307,586200
2017-08-16,129.8967,132.1994,129.8784,131.8508,1123900
2017-08-17,131.6582,132.8508,130.4472,130.4655,788400
2017-08-18,130.2912,131.5847,130.2728,131.0985,573600
2017-08-21,131.0159,132.6673,130.548,132.1627,493000
2017-08-22,132.4563,133.7132,132.1719,133.5664,759900
2017-08-23,132.9793,134.3829,132.9793,134.1535,558600
2017-08-24,134.704,136.0893,134.2544,135.8507,992300
2017-08-25,139.2819,139.9424,138.3645,139.5388,4331700
2017-08-28,139.3278,141.0984,138.9333,139.7773,2211700
2017-08-29,139.5663,140.4837,139.1534,139.447,1792100
2017-08-30,138.6305,140.5112,138.3002,140.4011,2149100
2017-08-31,140.4286,141.9332,139.5663,140.869,23507200
2017-09-01,141.6672,141.7406,138.3645,138.4379,2486900
2017-09-05,139.4195,139.7222,137.8599,138.6764,1809600
2017-09-06,139.3002,139.4195,137.9516,138.0709,1351000
2017-09-07,137.9883,138.7314,137.4837,138.2085,1169000
2017-09-08,137.6489,137.9791,136.7865,137.1076,857500
2017-09-11,137.4745,138.3461,136.9516,137.7314,1253800
2017-09-12,137.2819,137.759,136.0801,137.3736,1373200
2017-09-13,136.9149,137.5113,135.7957,136.8324,1279200
2017-09-14,135.7957,137.3737,135.4838,136.4838,1288300
2017-09-15,136.6305,138.0984,136.0526,137.603,1898800
2017-09-18,137.915,139.2819,137.5847,138.0984,974200
2017-09-19,138.1534,138.5204,132.6857,133.4104,2382500
2017-09-20,134.1261,135.2178,133.3738,134.016,2256200
2017-09-21,133.2728,134.2178,132.7407,133.0343,949000
2017-09-22,132.7958,132.9976,130.7683,130.8417,1529400
2017-09-25,130.3738,131.4288,129.0068,129.7775,1740100
2017-09-26,129.86,131.1719,129.438,130.649,1466600
2017-09-27,131.9976,132.6306,130.4288,131.1719,988300
2017-09-28,130.4196,132.1077,130.3554,131.8875,1007900
2017-09-29,131.7315,133.0251,131.3371,132.1536,992600
2017-10-02,131.9426,132.8875,130.915,131.071,1052500
2017-10-03,130.5573,132.6031,130.5573,131.8967,894700
2017-10-04,132.1077,135.5847,131.7499,135.0526,1022000
2017-10-05,135.3278,136.0801,134.6306,134.7406,1245400
2017-10-06,134.3095,135.392,133.1719,135.1535,575500
2017-10-09,135.1902,136.3186,134.7407,135.5297,635400
2017-10-10,136.2177,137.1351,135.8416,136.1626,760600
2017-10-11,136.6214,139.0525,136.1994,138.8507,1047300
2017-10-12,138.9057,139.869,138.7131,139.6488,1147300
2017-10-13,139.9057,139.9516,137.6305,138.4745,838700
2017-10-16,137.8782,138.3369,136.0709,136.7957,1040900
2017-10-17,136.8966,137.9791,135.6397,136.1994,1051400
2017-10-18,135.9333,136.3461,134.5939,135.2269,1360200
2017-10-19,135.0801,136.1718,134.6031,135.7773,1625200
2017-10-20,136.1168,136.7406,135.3186,135.6764,834200
2017-10-23,136.1535,136.3461,134.9884,135.7682,595000
2017-10-24,135.2819,136.3736,135.2819,135.9883,737500
2017-10-25,135.9242,136.6306,134.1077,134.3829,772400
2017-10-26,135.0801,135.0801,133.7682,134.4471,1522100
2017-10-27,134.1811,135.4012,133.9334,134.6031,1079000
2017-10-30,134.8415,140.9607,134.3003,137.7681,2414500
2017-10-31,137.7865,145.9974,136.1076,144.1992,2151700
2017-11-01,144.2634,144.6212,138.9241,139.9791,1937400
2017-11-02,140.6488,143.6212,139.502,143.2084,1195100
2017-11-03,142.2818,143.2818,141.0983,141.7681,715000
2017-11-06,145.4285,153.6118,145.1441,150.8412,2398600
2017-11-07,150.4468,152.1807,149.1349,151.9697,1369500
2017-11-08,151.3734,156.4467,151.3734,155.5018,878000
2017-11-09,155.1439,156.7127,154.2357,155.5109,886200
2017-11-10,153.9513,155.7219,152.9146,154.9972,698800
2017-11-13,155.7036,156.1439,151.3183,151.5569,1945500
2017-11-14,151.3459,152.9238,149.6854,151.8596,1488000
2017-11-15,151.0156,152.1624,148.6854,151.6486,1360900
2017-11-16,152.4101,154.2449,150.8963,151.0706,903100
2017-11-17,150.6853,152.2174,149.7587,151.566,1063500
2017-11-20,151.1899,152.566,151.0339,151.9972,692900
2017-11-21,152.4835,154.2082,151.8229,153.9697,1047700
2017-11-22,153.8962,154.465,152.2908,153.1898,481500
2017-11-24,153.9421,157.1439,153.7036,155.7036,568200
2017-11-27,156.8779,158.6485,156.5751,158.1164,1134600
2017-11-28,158.3457,159.6026,157.7035,157.8779,1005100
2017-11-29,157.4833,157.8503,153.8871,155.7402,1285200
2017-11-30,156.4375,156.8779,153.7495,155.7311,1372100
2017-12-01,155.777,156.5476,153.8779,155.1898,807400
2017-12-04,155.1807,155.2357,148.7312,148.8046,914600
2017-12-05,148.3735,152.1716,147.9148,150.3367,1246700
2017-12-06,150.3734,152.9605,149.3918,152.6578,623800
2017-12-07,152.3733,153.1807,151.5018,152.9146,1232900
2017-12-08,153.2082,153.9513,151.2082,151.5477,564900
2017-12-11,151.8321,153.0247,150.722,152.8504,1090600
2017-12-12,153.7037,153.9972,151.3092,151.9881,878600
2017-12-13,152.6578,153.7495,151.4193,151.7679,954400
2017-12-14,151.4835,153.7954,150.9514,152.1073,1046100
2017-12-15,152.9697,152.9697,148.8321,150.1624,1995900
