date,open,high,low,close,volume
2016-04-18,89.9753,90.4069,89.2184,90.2094,1627500
2016-04-19,90.4678,90.6805,90.0544,90.6745,1716000
2016-04-20,90.8234,91.6775,89.9419,91.1973,2716800
2016-04-21,92.1031,93.9269,88.9509,90.3917,5533500
2016-04-22,90.6319,91.1912,89.2944,90.9176,2178900
2016-04-25,90.5437,91.2885,90.3249,90.9632,2079900
2016-04-26,91.1608,91.4556,90.8811,91.2277,3489600
2016-04-27,91.2763,91.331,90.1303,90.8203,2376300
2016-04-28,90.1759,90.7048,87.8809,88.0329,3502800
2016-04-29,87.963,88.0816,86.7836,87.3338,2243400
2016-05-02,86.7319,88.1728,85.9416,88.0025,2368200
2016-05-03,87.6195,87.8506,86.8839,87.8475,1727400
2016-05-04,87.5375,87.9782,87.118,87.8475,1549200
2016-05-05,88.1515,88.5284,87.3824,87.811,1527900
2016-05-06,87.732,88.2974,87.5709,88.2974,1201200
2016-05-09,87.7837,88.9114,87.7837,88.6986,1607100
2016-05-10,88.9935,90.1516,88.9935,89.9753,2351100
2016-05-11,90.0999,90.0999,88.96,89.3673,1866600
2016-05-12,90.2397,90.5285,89.3673,90.03,3107700
2016-05-13,89.875,90.5528,89.0056,89.1151,2073000
2016-05-16,89.5193,90.5802,89.4038,90.486,1314000
2016-05-17,90.0118,90.641,88.7868,88.9661,1951200
2016-05-18,88.9783,89.5453,88.3961,88.7802,1554300
2016-05-19,88.7222,89.0058,87.6339,87.8992,1419300
2016-05-20,88.4052,88.9387,88.0912,88.2863,1099800
2016-05-23,88.6094,89.3136,88.1308,89.2344,2098200
2016-05-24,88.6399,89.6124,87.5852,88.9905,2063100
2016-05-25,89.3258,89.713,88.7314,88.7863,1756200
2016-05-26,88.7619,89.3655,87.9235,87.9235,1931700
2016-05-27,88.0638,89.1277,87.9906,88.9509,1394400
2016-05-31,89.085,89.6246,88.3412,88.7375,1727400
2016-06-01,88.6003,88.9051,88.2162,88.8137,1047000
2016-06-02,88.7802,89.0271,88.1949,89.024,1603500
2016-06-03,88.6978,89.0515,87.8565,88.71,1371600
2016-06-06,88.8716,90.0209,88.7101,89.463,2217600
2016-06-07,89.527,89.9142,89.3563,89.5728,1755900
2016-06-08,89.6246,90.2282,89.3502,90.0209,2028900
2016-06-09,89.399,89.8258,88.643,89.3289,1359900
2016-06-10,88.9204,89.649,88.4875,89.0301,1693800
2016-06-13,88.9204,89.3136,88.3595,88.8472,1902600
2016-06-14,88.518,89.1002,88.1217,89.0606,2088600
2016-06-15,89.4112,89.6185,88.6277,88.6857,2355300
2016-06-16,88.5211,88.6796,87.6096,88.5698,1538700
2016-06-17,88.3839,88.6064,87.3992,87.89,2236200
2016-06-20,88.7741,89.3197,88.1949,88.2711,1625700
2016-06-21,88.5942,88.7009,87.5669,87.6431,1407600
2016-06-22,87.6431,88.4875,87.64,88.3808,1638000
2016-06-23,89.2405,89.396,88.0577,88.079,3021300
2016-06-24,86.0335,87.64,85.8415,86.4999,5037300
2016-06-27,85.8171,86.4603,84.9726,85.4543,2813400
2016-06-28,86.1768,88.6277,86.1615,88.4235,3028800
2016-06-29,89.1155,89.3106,87.7681,88.5302,1894500
2016-06-30,88.8472,89.6795,88.0912,89.524,1875300
2016-07-01,89.6917,89.9813,89.1521,89.5636,1322400
2016-07-05,89.1368,90.0453,88.8899,89.8258,1584900
2016-07-06,89.2618,91.6,89.082,91.3897,3020100
2016-07-07,91.3073,92.4383,91.3073,92.0938,2211900
2016-07-08,92.7279,93.8802,92.5816,93.4413,1875600
2016-07-11,92.9535,94.2552,92.3682,93.6455,1625700
2016-07-12,93.9564,94.3954,93.1699,93.1852,1747800
2016-07-13,93.2645,94.0205,93.234,93.5541,1015200
2016-07-14,94.0601,94.0601,93.0724,93.3589,1359000
2016-07-15,93.2706,94.1119,93.0114,93.2523,1536600
2016-07-18,92.8956,93.8436,92.7188,93.6638,1225800
2016-07-19,93.8985,94.2461,93.3742,94.1973,1455600
2016-07-20,94.5021,95.2581,94.0601,95.1423,2863500
2016-07-21,90.9659,91.4537,86.9572,88.5973,10390800
2016-07-22,88.8747,90.0453,88.8747,89.4965,3504600
2016-07-25,89.7709,90.027,89.4081,89.9873,2052000
2016-07-26,90.094,90.2312,88.7985,89.2893,1818900
2016-07-27,89.4844,89.7404,88.5851,89.1064,2060100
2016-07-28,89.1064,90.9202,88.6674,90.8104,1834500
2016-07-29,90.8592,91.3714,90.5513,91.3714,2472600
2016-08-01,90.2343,91.4049,90.2343,90.6489,1536900
2016-08-02,90.8562,92.042,90.6214,91.981,2208000
2016-08-03,92.2707,92.3347,91.2128,91.914,1577100
2016-08-04,92.1304,92.2706,91.2342,91.4628,1188300
2016-08-05,91.7189,91.856,90.9933,91.5695,1417800
2016-08-08,91.7067,91.9231,90.4263,90.7129,1812000
2016-08-09,90.8348,91.1062,90.0179,90.0179,2034900
2016-08-10,90.2983,90.4507,89.9691,90.3745,1210200
2016-08-11,90.8806,91.036,90.1611,90.4599,1596000
2016-08-12,90.0209,90.2617,89.5392,90.1764,1258800
2016-08-15,90.6062,90.783,90.1855,90.3349,1019400
2016-08-16,90.3867,90.7373,88.832,88.8716,1747200
2016-08-17,88.731,88.8288,87.6885,87.9422,3317100
2016-08-18,87.9086,88.6056,87.8902,88.2265,1365900
2016-08-19,87.9453,88.0829,87.2268,87.9789,2834100
2016-08-22,87.7618,88.7279,87.6151,88.0156,3432300
2016-08-23,88.5201,89.5687,88.0187,89.0062,2165400
2016-08-24,88.5965,88.8196,87.5142,87.6854,1432800
2016-08-25,87.4867,87.9483,87.3766,87.5937,1916400
2016-08-26,87.6517,88.4008,87.1045,87.3827,1618200
2016-08-29,87.4041,88.0431,87.0953,87.6457,2464500
2016-08-30,87.4836,88.2357,87.398,87.6548,1933200
2016-08-31,87.7466,87.8077,86.649,86.7377,1508100
2016-09-01,86.6337,87.5203,86.4289,87.2146,3056400
2016-09-02,87.3002,87.8535,87.0189,87.5692,1274100
2016-09-06,87.8597,87.8597,86.8538,87.1718,1110900
2016-09-07,87.0067,87.7741,86.5022,87.5876,2036700
2016-09-08,87.1901,87.4653,86.4961,86.6276,1805400
2016-09-09,85.9244,86.0742,83.8883,83.8883,3446100
2016-09-12,83.5826,85.6187,83.549,85.4047,2965500
2016-09-13,85.2243,85.4352,83.659,83.6926,3028800
2016-09-14,84.0259,84.7351,83.9005,84.2613,2094900
2016-09-15,84.4539,84.9919,84.0748,84.6067,2083500
2016-09-16,84.4386,84.57,83.0628,83.7629,2888400
2016-09-19,83.3105,84.2032,83.0965,83.6254,2578500
2016-09-20,84.0748,84.7199,83.925,84.1268,2382900
2016-09-21,84.0778,85.1387,83.5092,85.1081,1745400
2016-09-22,85.4047,85.8174,85.0562,85.4872,1646100
2016-09-23,85.6462,86.8049,85.5422,86.5206,2288400
2016-09-26,86.2577,86.5022,85.6523,85.6982,1622100
2016-09-27,85.5545,86.4472,85.1448,86.331,1290000
2016-09-28,86.7713,86.7713,85.796,86.1904,1975800
2016-09-29,86.1445,86.3677,84.46,84.7779,2199900
2016-09-30,85.2151,85.5117,84.0411,84.5823,2174400
2016-10-03,84.356,84.4997,84.0534,84.3316,1827900
2016-10-04,84.3927,84.6006,82.8519,82.8519,2787600
2016-10-05,83.1148,83.4694,82.7357,83.1851,2238000
2016-10-06,83.0659,83.9861,82.702,83.7904,2494200
2016-10-07,82.9069,82.9069,79.9138,82.1609,7021800
2016-10-10,83.0139,84.0656,82.5461,82.7723,2233800
2016-10-11,82.4361,82.5584,81.2009,81.7543,3750600
2016-10-12,81.7757,82.4483,81.473,82.2496,1563900
2016-10-13,81.684,82.7051,81.3446,82.381,1851900
2016-10-14,82.8824,82.9222,82.0509,82.057,1602300
2016-10-17,82.0814,82.6776,82.0325,82.4208,1522800
2016-10-18,82.9467,83.017,82.1487,82.806,1257600
2016-10-19,82.7785,83.2035,82.2465,83.0047,1886100
2016-10-20,83.3288,84.7535,83.2371,84.3285,2870700
2016-10-21,83.659,84.8788,83.4572,84.729,2208300
2016-10-24,85.154,85.3191,84.4478,84.9553,2767800
2016-10-25,78.1284,78.8774,75.4166,75.7009,18016200
2016-10-26,75.6795,77.0186,75.5144,76.1962,4842600
2016-10-27,76.2146,76.4439,75.2485,75.6979,3520500
