date,open,high,low,close,volume
2016-04-18,94.5479,95.3205,94.1874,95.1954,718100
2016-04-19,95.4382,96.0048,95.0777,95.3058,886800
2016-04-20,95.0703,95.4603,94.5553,94.5773,488300
2016-04-21,94.3272,94.3272,91.4355,91.6636,1416200
2016-04-22,91.7667,92.8851,91.4724,92.8188,933600
2016-04-25,92.4141,94.1211,92.0757,93.7606,687800
2016-04-26,94.0476,94.8349,93.5767,93.6724,757700
2016-04-27,93.871,94.5111,93.3192,94.1359,467900
2016-04-28,93.687,94.5038,93.5105,94.0181,421200
2016-04-29,93.6723,94.3566,92.554,93.4295,684400
2016-05-02,93.6208,94.3713,93.4442,93.9446,921200
2016-05-03,93.7091,94.1506,93.0175,93.3118,566100
2016-05-04,93.2235,94.489,92.7526,94.2904,749900
2016-05-05,94.5038,95.2543,94.2021,94.4596,534900
2016-05-06,94.4523,95.3058,93.6944,95.1145,746200
2016-05-09,95.1733,95.7546,94.7245,95.2248,458600
2016-05-10,95.5707,96.6228,95.4603,96.586,792900
2016-05-11,96.6378,97.015,96.1275,96.4825,846600
2016-05-12,96.8523,97.4661,96.1867,97.259,761000
2016-05-13,96.8449,97.4365,96.2163,96.5639,452200
2016-05-16,96.2754,97.0445,96.268,96.7561,373900
2016-05-17,96.3937,96.5934,94.1233,94.4709,831200
2016-05-18,94.1899,94.6484,93.0658,93.7166,767900
2016-05-19,93.3912,94.0272,92.94,93.9828,564900
2016-05-20,94.4709,94.6188,93.4207,93.6278,517700
2016-05-23,93.8571,94.1825,93.3542,93.8792,370100
2016-05-24,94.1011,94.8999,93.258,94.6114,503000
2016-05-25,95.4841,95.95,94.6632,95.2474,565200
2016-05-26,95.1365,95.9722,95.033,95.7503,526400
2016-05-27,95.6246,96.024,95.2252,95.5654,341400
2016-05-31,95.5654,96.1423,94.8851,95.5137,770700
2016-06-01,95.4175,96.1201,95.0034,95.9352,453100
2016-06-02,95.5137,96.4381,95.388,96.4381,659700
2016-06-03,96.5195,97.5697,96.2828,97.4144,448500
2016-06-06,97.4143,97.8581,97.0076,97.5696,566900
2016-06-07,97.5253,98.5163,97.407,98.0134,674500
2016-06-08,98.0134,98.5533,97.3626,98.1465,1453500
2016-06-09,102.7983,106.363,102.7983,105.9267,3681500
2016-06-10,105.2832,107.7533,105.2832,106.6736,2745400
2016-06-13,106.4961,107.6794,105.9414,106.6588,1352800
2016-06-14,107.036,107.6054,105.7713,106.5553,1510800
2016-06-15,106.8955,107.3392,105.8897,106.1411,1207200
2016-06-16,106.1263,107.8495,105.7935,107.5315,1044700
2016-06-17,107.6128,107.672,106.289,107.0286,1009200
2016-06-20,107.2208,108.1379,107.2208,107.354,994700
2016-06-21,107.5832,108.4263,106.9028,107.9752,1204600
2016-06-22,108.7,108.8553,107.9308,108.7813,1157400
2016-06-23,108.5668,109.018,107.635,108.3894,1190900
2016-06-24,106.5035,108.3524,106.3334,107.4797,1474900
2016-06-27,107.2208,108.6482,106.888,108.5298,1163000
2016-06-28,108.9588,109.0328,107.6128,108.7,993200
2016-06-29,109.2694,110.3861,108.9292,110.2752,1118100
2016-06-30,110.0386,112.8563,110.0016,112.7158,1626700
2016-07-01,112.9598,113.4553,111.9614,112.1463,951900
2016-07-05,112.1463,113.5514,112.1463,112.5087,969100
2016-07-06,112.5234,113.4183,112.4717,113.1891,1408600
2016-07-07,113.7955,114.4167,112.9006,113.3074,738600
2016-07-08,113.5514,114.2466,113.0338,113.9508,883700
2016-07-11,113.8251,113.8916,113.1077,113.337,1240700
2016-07-12,113.2778,113.3814,112.1389,112.309,1031200
2016-07-13,112.5974,113.0041,112.3681,112.9154,673600
2016-07-14,112.8563,113.374,111.5843,112.0428,1443200
2016-07-15,112.3977,113.5071,111.9466,112.9746,1182400
2016-07-18,113.1003,113.337,112.1463,112.9598,746800
2016-07-19,112.5974,113.1521,112.0871,113.0264,461100
2016-07-20,113.1595,113.1595,112.4495,112.701,561200
2016-07-21,112.8489,112.9968,112.3238,112.9598,490400
2016-07-22,112.908,113.4109,112.7897,113.1299,588500
