date,open,high,low,close,volume
2016-04-21,60.9407,61.7544,60.3982,60.4811,8294100
2016-04-22,58.5597,61.0462,58.5597,60.2249,9933400
2016-04-25,59.9461,60.1269,58.7405,59.3509,6684400
2016-04-26,59.6221,59.7879,59.0871,59.6749,5452600
2016-04-27,60.1119,61.1667,59.9763,60.7297,7311700
2016-04-28,60.2701,61.2722,59.8482,60.1119,6661100
2016-04-29,60.2701,61.2345,59.5618,60.5338,8606600
2016-05-02,60.24,60.8202,58.9892,59.8256,7388100
2016-05-03,59.0193,59.0947,57.6329,58.1905,8861400
2016-05-04,58.1754,58.5371,56.661,57.0603,7859000
2016-05-05,57.8364,57.9494,56.4575,56.8117,7306900
2016-05-06,56.5329,57.2713,56.2089,56.6007,8083800
2016-05-09,55.3725,55.9753,54.5136,54.83,10161700
2016-05-10,55.252,56.1637,55.0711,55.9527,7380900
2016-05-11,55.7644,56.3973,55.3575,55.6137,5815800
2016-05-12,55.9376,56.3897,55.4554,55.8246,5058100
2016-05-13,55.4253,55.9829,54.5663,54.5739,6090400
2016-05-16,55.2294,56.0959,55.0184,55.7568,5407100
2016-05-17,55.9377,56.6911,55.8322,56.4199,7226300
2016-05-18,56.1336,56.2843,54.7396,55.1315,6077900
2016-05-19,54.6794,56.0281,54.2499,55.9075,8874800
2016-05-20,56.2616,56.6158,55.8924,56.4801,7389400
2016-05-23,56.9021,57.0076,56.0431,56.5178,6250900
2016-05-24,56.887,57.3014,56.5932,56.9774,6500600
2016-05-25,57.2638,58.7707,57.2035,58.7029,7489300
2016-05-26,59.057,59.5016,58.5296,58.6803,7932200
2016-05-27,58.43,58.5817,57.9219,58.521,5050300
2016-05-31,58.4452,58.8471,57.4897,57.8613,5780000
2016-06-01,57.8613,57.8916,56.8072,57.5276,5542200
2016-06-02,57.2319,57.4139,56.5797,57.2167,4827300
2016-06-03,57.4063,57.7096,56.7693,57.3532,4342200
2016-06-06,58.0584,60.1211,57.8006,59.977,8019200
2016-06-07,60.25,60.9477,60.1211,60.743,8546400
2016-06-08,61.2207,61.7364,60.6747,61.2814,6979900
2016-06-09,60.2652,60.7581,60.1439,60.6368,5030200
2016-06-10,59.6737,60.2804,59.3476,59.5524,5585100
2016-06-13,59.158,59.8633,58.8244,58.8774,5115400
2016-06-14,58.5286,59.067,58.1039,58.741,5361900
2016-06-15,58.5286,59.067,58.1874,58.2784,5384800
2016-06-16,57.7475,57.9978,56.8148,57.8916,6033100
2016-06-17,58.3011,58.9912,57.8006,58.7713,6583900
2016-06-20,59.8178,59.9998,58.7865,58.8395,5257200
2016-06-21,58.7713,59.886,58.5286,59.5448,5634800
2016-06-22,59.9164,60.015,59.3021,59.3552,5274000
2016-06-23,59.9012,60.3562,59.6737,60.3562,4734400
2016-06-24,58.1115,58.976,57.8082,58.1343,9561500
2016-06-27,57.1864,57.4063,56.519,56.9285,7036800
2016-06-28,57.6034,58.1874,57.2698,58.1115,5555300
2016-06-29,58.794,59.8254,58.6955,59.0215,5854500
2016-06-30,59.1201,60.015,59.0367,59.9695,4941300
2016-07-01,60.0149,60.5989,59.9164,60.3031,4050100
2016-07-05,59.704,59.8784,58.3011,58.8699,5656900
2016-07-06,58.7182,59.2339,58.2632,59.1959,4562800
2016-07-07,59.378,60.0756,58.3997,58.923,4922500
2016-07-08,59.3931,59.8861,59.2415,59.7116,4217400
2016-07-11,59.9088,60.0681,59.1201,59.1656,4702800
2016-07-12,60.015,60.7885,59.6737,60.4017,6356300
2016-07-13,60.4017,60.7657,59.3855,59.8178,5328900
2016-07-14,60.4927,60.614,59.8936,59.9846,3817600
