date,open,high,low,close,volume
2016-04-21,127.361,127.361,124.6958,125.9459,823200
2016-04-22,126.1345,127.6361,125.5999,126.2996,900700
2016-04-25,126.4176,127.1488,125.3877,127.1016,632600
2016-04-26,127.644,128.5324,126.6927,127.188,385100
2016-04-27,127.188,128.1314,126.3153,127.8955,432400
2016-04-28,127.2587,129.1849,126.2917,126.6613,411700
2016-04-29,125.8594,126.567,125.0339,125.2226,415200
2016-05-02,125.5371,125.8673,124.6802,125.3484,390900
2016-05-03,124.3342,124.7038,122.1958,123.0371,600400
2016-05-04,122.4946,124.1377,122.2115,123.9883,493600
2016-05-05,124.0198,125.1519,123.7132,124.5701,416900
2016-05-06,124.2163,126.0245,124.1141,125.8279,385800
2016-05-09,125.6236,126.0796,124.8059,125.3484,380400
2016-05-10,125.9774,127.872,125.5292,127.8642,335500
2016-05-11,127.6676,128.7682,127.1251,128.0371,518400
2016-05-12,128.1079,128.7683,126.7478,128.3752,453000
2016-05-13,128.0686,128.4774,126.5827,127.0544,408300
2016-05-16,127.1959,129.1221,126.6928,128.7761,416100
2016-05-17,128.6818,129.979,128.2101,128.9648,642800
2016-05-18,128.6255,129.6119,128.0652,128.8622,461400
2016-05-19,128.0652,128.0889,126.4949,127.6154,409700
2016-05-20,128.2073,128.4045,127.2288,127.9942,1189900
2016-05-23,127.6865,128.3493,127.1499,127.9706,277500
2016-05-24,128.6255,129.8723,127.9784,129.7224,293900
2016-05-25,129.8801,130.2037,128.0336,128.3651,345400
2016-05-26,128.2231,128.8307,127.2998,128.3809,327400
2016-05-27,128.2152,129.0359,127.868,128.2704,337400
2016-05-31,128.4124,128.6255,127.1893,127.6943,461300
2016-06-01,126.9841,129.0989,126.3449,128.9727,356200
2016-06-02,128.9253,128.9253,126.3765,128.0652,645600
2016-06-03,127.6785,127.8442,125.3585,125.5479,739200
2016-06-06,125.9188,126.0056,124.893,125.469,358300
2016-06-07,125.6663,126.2108,125.327,125.8636,406300
2016-06-08,125.6585,126.4791,125.3507,125.982,422600
2016-06-09,125.7452,126.7079,125.0113,126.5343,278700
2016-06-10,125.469,125.469,122.7071,123.0228,504400
2016-06-13,122.4704,123.0385,121.3972,121.4524,265100
2016-06-14,120.9316,121.2631,119.7164,121.1368,417600
2016-06-15,121.1842,121.5077,120.6002,120.7738,257100
2016-06-16,119.9452,121.4524,119.3534,121.121,545300
2016-06-17,121.4209,121.7129,120.0005,120.7107,398300
2016-06-20,121.9732,123.3147,121.2709,121.6813,280600
2016-06-21,121.8312,122.4704,121.5156,121.9338,470800
2016-06-22,121.9101,122.2889,119.9847,120.2293,393400
2016-06-23,121.4288,122.8492,121.4288,122.8018,546800
2016-06-24,119.3376,119.9847,117.7199,118.4696,1045200
2016-06-27,117.3648,118.2881,116.3942,116.8125,627800
2016-06-28,118.2171,119.4166,117.791,119.3613,621400
2016-06-29,120.4819,121.8944,119.5823,121.6892,473500
2016-06-30,122.1784,124.5537,121.3972,124.5379,854100
2016-07-01,124.7036,125.5953,124.3091,124.68,657400
2016-07-05,123.8671,123.8671,121.4051,122.3441,557700
2016-07-06,121.989,123.5515,121.8943,123.37,549100
2016-07-07,123.149,124.3406,123.149,124.0881,375900
2016-07-08,125.2244,126.5107,124.9324,126.3844,485100
2016-07-11,126.85,127.7969,126.4791,127.3629,325100
2016-07-12,127.9153,128.4045,127.0709,128.3887,390200
2016-07-13,129.0043,129.0043,127.8679,128.152,264400
2016-07-14,129.2962,129.3988,127.9311,128.3887,373000
2016-07-15,128.6491,129.1542,128.0099,128.1599,293300
2016-07-18,127.6312,127.6312,126.8816,127.2919,484500
2016-07-19,126.2582,126.7711,125.5795,126.3134,440600
2016-07-20,126.7001,127.6154,126.416,127.5365,553000
2016-07-21,122.5572,126.1714,122.5572,123.1333,1007400
2016-07-22,123.7567,126.0136,123.4095,124.9009,454400
2016-07-25,124.6562,124.8772,124.5142,124.7983,443800
2016-07-26,125.2639,125.2639,124.0881,124.5142,398600
2016-07-27,123.9539,124.4826,123.007,123.0622,425500
2016-07-28,122.9044,123.3305,122.0206,122.6677,361600
2016-07-29,122.4388,124.3011,121.7286,124.0249,546000
2016-08-01,123.8908,124.6168,123.157,123.954,446500
2016-08-02,123.8356,123.8829,121.5235,121.7523,402700
2016-08-03,121.9102,122.0049,121.0106,121.7602,467300
2016-08-04,122.0048,122.0995,120.8133,121.0816,365600
2016-08-05,121.4761,123.4884,121.3341,123.4173,483300
2016-08-08,123.8514,124.0881,122.2021,122.4152,375800
2016-08-09,122.2494,123.946,122.2494,123.1569,340900
2016-08-10,123.1175,123.591,122.5178,122.9518,254400
2016-08-11,123.5436,124.2617,123.1806,123.733,282100
2016-08-12,123.2358,123.4726,120.8527,121.1447,498700
2016-08-15,121.3972,121.626,120.0636,121.2394,692000
2016-08-16,121.0105,121.8864,119.3376,119.961,322900
2016-08-17,120.1115,121.2128,119.4936,121.094,360100
2016-08-18,121.197,122.3855,120.8484,121.6249,464600
2016-08-19,121.3713,122.1874,120.8642,121.9497,403900
2016-08-22,121.5536,121.7041,120.69,121.3793,333800
2016-08-23,121.8229,122.8846,121.506,122.6073,386200
2016-08-24,122.3775,123.4075,121.9972,122.8212,441300
2016-08-25,122.425,123.3282,122.2824,123.0747,360100
2016-08-26,123.5818,123.9146,121.7912,122.0923,284800
2016-08-29,122.1715,123.3679,122.1715,122.9084,240000
2016-08-30,122.9559,122.9559,121.8942,122.4647,336700
2016-08-31,122.3934,122.5994,121.0782,121.4506,482200
2016-09-01,121.6407,122.1398,120.1512,121.3713,342600
2016-09-02,122.0685,122.0685,121.3158,121.7595,239400
2016-09-06,122.3379,122.6073,119.9531,121.0386,439500
2016-09-07,121.0465,121.4901,119.7471,119.8897,700200
2016-09-08,119.5728,120.6345,119.4143,119.858,489300
2016-09-09,118.8519,119.2163,116.8632,116.8791,690200
2016-09-12,116.2927,117.5128,115.9441,117.085,405200
2016-09-13,116.2214,117.0058,115.7381,116.2769,426800
2016-09-14,116.3244,117.0533,115.849,116.673,506900
2016-09-15,116.3799,118.1071,116.0234,117.6555,298300
2016-09-16,117.2039,117.4416,116.2373,117.2514,471900
2016-09-19,117.7901,118.6775,117.5208,118.3368,470400
2016-09-20,118.8043,118.8043,117.6792,118.4319,334100
2016-09-21,118.527,119.145,117.909,118.7647,361700
2016-09-22,119.0657,121.1257,119.0657,121.0623,416900
2016-09-23,120.7216,120.7296,119.9135,120.2621,307800
2016-09-26,119.9531,120.2304,119.343,119.6203,398200
2016-09-27,119.4777,120.3255,119.1449,119.5886,431900
2016-09-28,119.763,120.1987,118.6458,119.549,433000
2016-09-29,119.6045,120.3651,118.2021,118.2101,338400
2016-09-30,118.9944,120.8246,118.4398,120.3968,506700
2016-10-03,119.7788,121.0861,119.0261,119.3747,387500
2016-10-04,119.6124,120.0482,118.4081,119.1846,328400
2016-10-05,119.343,119.9056,119.1133,119.7709,355300
2016-10-06,119.4936,121.4902,118.6617,121.1495,597200
2016-10-07,120.9514,120.9514,119.0261,119.0736,516400
2016-10-10,119.549,119.8501,117.8614,118.2734,578800
2016-10-11,118.0516,118.0516,115.5638,116.2293,566600
2016-10-12,116.4274,117.0692,116.2373,116.7681,357600
2016-10-13,115.5955,116.1263,115.0171,115.651,470100
2016-10-14,116.57,117.8219,116.3957,116.7285,510700
2016-10-17,116.8711,118.8281,116.784,118.1863,592100
2016-10-18,119.2796,119.5332,118.3368,118.4953,402800
2016-10-19,118.218,118.4161,117.1564,118.1388,679800
2016-10-20,119.5965,130.4668,119.5965,126.022,2060700
2016-10-21,124.8812,126.1013,123.154,125.6338,1192300
2016-10-24,126.03,127.5274,124.9129,126.545,867900
2016-10-25,126.2042,126.2042,123.7006,124.1997,730800
2016-10-26,123.5977,124.2394,122.5994,122.7895,817800
2016-10-27,123.36,123.36,121.6407,121.7992,545800
2016-10-28,122.4013,122.8925,121.2525,121.3872,340500
2016-10-31,122.021,122.5994,121.2762,122.0923,350500
2016-11-01,122.4726,122.4726,120.167,120.5077,343700
2016-11-02,120.6187,121.5377,120.373,120.7137,317500
2016-11-03,120.7137,121.2129,120.2463,121.0227,282300
2016-11-04,120.8642,122.4647,120.3809,121.918,490700
2016-11-07,123.9542,125.1031,123.5026,124.9921,431100
2016-11-08,124.7386,125.7685,123.867,125.2377,363500
2016-11-09,123.3916,128.0186,123.3916,127.1075,544800
2016-11-10,128.185,132.0514,127.9949,132.0276,745100
2016-11-11,131.8375,133.43,131.1482,131.8929,750200
