date,open,high,low,close,volume
2016-04-18,124.4904,125.4246,124.2328,125.209,861100
2016-04-19,125.4186,125.4366,124.5682,124.7239,1007600
2016-04-20,123.6699,123.9993,121.7834,122.005,2636900
2016-04-21,121.9092,122.4601,119.2441,119.3519,1704600
2016-04-22,119.6513,121.3881,119.6513,121.0587,1397800
2016-04-25,120.7653,121.9751,120.4778,121.9751,1245500
2016-04-26,122.4183,122.538,120.9929,122.1428,1439000
2016-04-27,122.6039,123.053,121.5019,122.514,1407900
2016-04-28,121.5558,122.8734,121.5259,121.9691,759700
2016-04-29,121.5738,121.7954,119.849,120.4778,1504900
2016-05-02,121.442,122.7716,121.3821,122.4841,872800
2016-05-03,121.7355,122.8255,121.6756,122.7477,758100
2016-05-04,121.7355,124.4544,121.7355,124.3407,1107800
2016-05-05,123.7418,124.8856,123.3405,124.8317,1106000
2016-05-06,124.718,126.293,124.4065,126.2571,1091000
2016-05-09,126.1852,127.6166,125.3468,127.5866,1206100
2016-05-10,127.9759,128.6407,127.6166,128.1137,1133500
2016-05-11,127.8202,127.8441,121.1546,121.7175,4023100
2016-05-12,122.1787,122.9692,119.6274,122.1966,3067600
2016-05-13,121.2067,121.2067,117.7781,118.6051,3369700
2016-05-16,118.6293,120.8626,117.9894,120.3496,1797400
2016-05-17,119.6071,120.2288,117.3134,117.9894,1921900
2016-05-18,117.4884,118.2309,115.1826,116.7943,2428000
2016-05-19,115.8768,117.2591,115.4422,117.0116,1913900
2016-05-20,117.6574,118.8345,117.1263,117.7842,2266900
2016-05-23,117.9773,118.7681,117.2107,118.1584,1280800
2016-05-24,118.8405,120.3677,118.4602,119.2932,1493400
2016-05-25,119.4804,119.746,117.5669,118.3637,1531800
2016-05-26,118.4844,119.6071,117.7057,118.9914,843100
2016-05-27,119.0277,119.8667,118.7198,119.3778,886800
2016-05-31,119.9693,120.0538,118.3516,119.2993,1475100
2016-06-01,118.6655,120.2771,118.6655,119.6735,1205000
2016-06-02,119.0699,119.6977,118.3758,119.1544,1115000
2016-06-03,119.9089,120.6152,119.2872,120.416,1374800
2016-06-06,120.6816,121.581,119.2329,119.921,1370000
2016-06-07,119.921,121.249,119.9089,120.428,881400
2016-06-08,120.3375,121.8586,120.1262,121.5991,1211600
2016-06-09,121.5085,122.3837,120.7298,121.7198,824100
2016-06-10,121.1886,121.8224,120.6092,120.8808,830200
2016-06-13,121.2188,122.251,120.7239,121.7681,999200
2016-06-14,121.5749,123.3194,121.2852,122.426,1257600
2016-06-15,122.6373,123.923,122.6373,123.2711,1261300
2016-06-16,122.9753,124.5568,122.4139,124.4723,843200
2016-06-17,124.3938,124.3938,122.9089,124.2791,1452700
2016-06-20,125.4985,126.6212,124.6111,124.925,1214400
2016-06-21,125.1121,126.1201,124.9552,125.8123,1190800
2016-06-22,126.1625,126.4582,125.3959,125.9089,1087900
2016-06-23,126.6272,127.0256,125.8365,126.2107,730200
