date,open,high,low,close,volume
2016-04-21,37.3443,37.443,36.7158,36.7158,2359200
2016-04-22,36.8364,37.0483,36.6902,36.9606,2029000
2016-04-25,36.957,37.052,36.7048,37.0191,1822000
2016-04-26,37.147,37.3041,36.8948,36.9825,1795400
2016-04-27,37.0812,37.7792,36.7487,37.5928,2062600
2016-04-28,37.2895,37.8669,37.2895,37.6732,1832800
2016-04-29,37.4649,37.7975,37.3005,37.7682,2726800
2016-05-02,37.8121,38.4882,37.5965,38.331,3597400
2016-05-03,38.2726,38.4845,38.0606,38.331,3763400
2016-05-04,38.1556,39.0692,37.9363,38.3968,3815000
2016-05-05,38.3529,38.7622,38.0825,38.532,3635200
2016-05-06,38.4005,38.448,37.8559,38.2835,2453200
2016-05-09,38.3347,38.4041,38.0752,38.236,1984400
2016-05-10,38.3456,38.4407,38.1081,38.247,2001400
2016-05-11,38.3054,38.5795,37.9729,38.4991,2440400
2016-05-12,38.5101,38.7257,38.3127,38.5064,1970200
2016-05-13,38.4626,38.5247,38.0277,38.152,1558600
2016-05-16,38.1848,38.4407,37.9656,38.2287,2142400
2016-05-17,38.0716,38.2287,37.6878,37.9985,2832600
2016-05-18,37.7792,38.0862,37.1762,37.3918,2604400
2016-05-19,37.1982,37.6915,36.9716,37.633,2551400
2016-05-20,37.7683,37.9583,37.4978,37.8706,4996400
2016-05-23,37.9619,37.9656,37.5636,37.5782,1803600
2016-05-24,37.6878,38.1483,37.2859,38.1264,2550400
2016-05-25,38.1191,38.4407,37.8633,38.2177,2153400
2016-05-26,38.1117,38.4187,38.1008,38.2872,1833400
2016-05-27,38.3054,38.5211,38.1373,38.4991,1231200
2016-05-31,38.5064,39.2044,38.4955,39.146,4043800
2016-06-01,39.0619,39.1752,38.7988,39.0217,3073800
2016-06-02,38.8865,39.0984,38.7951,39.0034,2360600
2016-06-03,39.2373,40.1619,39.2373,40.0011,4087800
2016-06-06,39.8111,39.9609,39.4931,39.8439,3354400
2016-06-07,39.7745,39.9682,39.6503,39.7197,1618800
2016-06-08,39.7416,40.0376,39.7416,40.034,1576800
2016-06-09,39.9938,40.2971,39.833,40.1984,1541200
2016-06-10,40.1253,40.2642,39.811,39.9316,1766000
2016-06-13,39.9645,40.1144,39.833,39.9792,1665600
2016-06-14,39.9791,40.2386,39.8001,40.2276,2098600
