date,open,high,low,close,volume
2016-04-18,64.1172,65.5405,63.7119,65.4414,444300
2016-04-19,65.6666,65.8738,65.0811,65.3423,414600
2016-04-20,65.6486,65.8558,64.8469,65.3513,311100
2016-04-21,65.1622,66.2251,64.946,65.7026,435500
2016-04-22,65.6666,66.7475,65.3063,65.6936,462000
2016-04-25,65.3063,65.6756,64.7028,64.8919,543700
2016-04-26,64.8559,65.8017,64.7117,65.5675,384900
2016-04-27,65.7477,66.1981,65.009,65.2252,386400
2016-04-28,64.7748,65.3063,64.1623,64.3154,406500
2016-04-29,64.0632,64.0632,63.2165,63.6579,427000
2016-05-02,63.6398,64.3334,63.4507,63.5858,790200
2016-05-03,63.4146,63.4236,62.3967,62.694,509200
2016-05-04,62.4148,63.7029,62.2526,63.5227,690800
2016-05-05,63.5858,64.5947,63.5858,64.2974,365800
2016-05-06,63.811,64.4055,63.6128,64.2344,441300
2016-05-09,64.0362,65.4324,63.8921,64.91,383900
2016-05-10,65.2252,65.3333,64.1533,65.2973,379500
2016-05-11,65.3513,65.3513,64.5586,64.5767,277100
2016-05-12,64.5406,64.8559,64.0542,64.6397,484400
2016-05-13,64.2253,64.955,63.9281,64.0992,480800
2016-05-16,64.1173,65.3333,64.1173,65.1802,684900
2016-05-17,65.2342,65.2342,63.2885,63.3876,868500
2016-05-18,58.3613,62.5859,58.001,61.9284,2404200
2016-05-19,61.5951,63.1084,61.4419,63.0543,1031800
2016-05-20,63.2885,63.5227,62.676,62.9372,752900
2016-05-23,63.0814,63.1985,61.7662,61.8743,549700
2016-05-24,62.4238,63.3966,61.5951,62.9372,734200
2016-05-25,62.9913,63.3246,62.3427,62.5319,538800
2016-05-26,62.649,62.7841,61.478,61.6131,765100
2016-05-27,61.55,62.721,61.3248,62.4958,580900
2016-05-31,62.4959,62.658,62.0545,62.5409,598500
2016-06-01,62.5409,63.0994,62.1356,62.8021,663600
2016-06-02,62.649,63.2885,62.4238,62.8922,505700
2016-06-03,63.5858,64.6397,63.0994,63.5047,929200
2016-06-06,63.568,63.7397,62.9804,63.5228,631200
2016-06-07,63.6041,64.3093,63.2335,64.029,609600
2016-06-08,63.9567,64.8336,63.8121,64.6799,483100
