date,open,high,low,close,volume
2016-04-21,134.1298,134.6966,133.0736,133.2453,1188800
2016-04-22,133.1337,133.7435,132.2492,132.9792,1293800
2016-04-25,133.065,135.2119,133.0306,134.688,961000
2016-04-26,134.98,135.1604,134.0611,134.1814,703400
2016-04-27,133.9582,134.7912,133.0049,134.5163,863400
2016-04-28,133.6919,134.9886,133.1595,133.606,782500
2016-04-29,133.022,135.0315,132.8503,134.0182,858200
2016-05-02,134.0268,135.9762,134.0268,135.4867,916000
2016-05-03,134.7482,136.1394,134.1299,136.105,1147700
2016-05-04,135.2119,137.3932,134.5506,136.397,1195600
2016-05-05,136.0535,136.8865,135.4867,136.7061,1279200
2016-05-06,136.7406,137.5584,136.0604,137.3949,1085800
2016-05-09,137.6187,139.7452,137.6015,138.7035,1020100
2016-05-10,138.8584,140.8385,138.4624,140.7783,1614400
2016-05-11,140.7611,142.7498,139.8485,140.279,1596800
2016-05-12,140.52,140.6922,138.9015,139.3836,1056000
2016-05-13,139.4697,139.6936,138.075,139.0134,1388900
2016-05-16,138.273,140.5286,138.273,139.926,707100
2016-05-17,139.3578,139.3578,135.6472,136.1551,1523700
2016-05-18,135.5783,135.6042,132.1002,132.9956,3098800
2016-05-19,132.8061,134.4419,132.6512,134.3816,1248000
2016-05-20,135.0962,135.0962,132.3584,132.6684,2329700
2016-05-23,132.9353,133.7188,132.6512,132.832,1042000
2016-05-24,133.6412,136.1465,133.6412,135.7677,1229500
2016-05-25,135.6988,136.1207,134.2267,135.079,977500
2016-05-26,135.3545,136.1121,134.7777,135.983,1042800
2016-05-27,136.1551,136.8611,135.7333,135.8796,820500
2016-05-31,136.4995,136.4995,131.0413,131.8505,3243500
2016-06-01,131.8505,132.9525,131.4287,132.4187,1731800
2016-06-02,132.2035,133.2022,131.5836,132.7114,1008300
2016-06-03,132.3671,132.9955,131.7558,132.0658,1000300
2016-06-06,132.1088,133.6757,132.1088,133.5293,1093100
2016-06-07,130.8605,131.9367,128.5016,130.0943,3686700
2016-06-08,130.3439,133.5466,129.9996,132.634,1952600
2016-06-09,132.7631,132.9439,131.73,132.6684,1136700
2016-06-10,131.8591,132.5909,131.5062,132.0658,970100
2016-06-13,131.7214,132.5479,131.2565,131.6181,1238900
2016-06-14,133.0558,135.9744,133.0558,135.2684,2706600
2016-06-15,135.6989,136.1638,133.6585,134.5108,1193500
2016-06-16,133.34,135.0274,133.0128,134.9585,970100
2016-06-17,133.8737,134.3127,132.4359,132.6253,1941300
2016-06-20,134.1836,134.4505,132.8664,132.8664,1421500
2016-06-21,133.6929,134.0889,132.875,133.3055,1203500
2016-06-22,133.3141,134.0975,132.1518,132.281,1417700
2016-06-23,133.4518,134.33,132.677,134.2955,1200500
2016-06-24,129.9048,133.4432,129.9048,131.3167,3791500
2016-06-27,131.2048,132.3154,130.4558,131.8075,1491600
2016-06-28,132.9955,135.828,132.1863,135.7247,2338000
2016-06-29,136.93,138.0836,135.9485,137.2227,2480000
2016-06-30,141.5359,143.1028,139.771,142.3969,4467700
2016-07-01,142.6896,144.5578,140.3479,140.8558,1919700
2016-07-05,141.2346,143.7743,140.3392,142.8273,1574900
2016-07-06,142.6379,143.7313,142.0783,142.3452,1767600
2016-07-07,142.9134,143.3955,142.5518,142.922,1438300
2016-07-08,143.5677,144.0154,142.2677,142.9048,1017100
2016-07-11,142.5002,142.7584,141.1055,141.3724,1337700
2016-07-12,142.1385,142.2074,139.9862,140.959,1384700
2016-07-13,140.8644,141.8028,140.563,140.7783,990900
2016-07-14,141.1916,142.0439,139.9604,140.2532,1001200
2016-07-15,140.675,141.3035,140.3392,140.4081,931100
2016-07-18,140.1068,140.7611,139.6849,140.4339,680900
2016-07-19,140.1499,141.9234,140.0035,141.2002,861900
2016-07-20,141.5101,143.2922,140.6836,143.2061,1263200
2016-07-21,142.3366,142.7757,141.5962,142.3882,944900
2016-07-22,142.5518,144.7471,142.4743,144.3425,835300
2016-07-25,144.3425,144.5233,142.7154,143.1889,527100
2016-07-26,143.3353,143.5247,141.9406,142.3882,750800
2016-07-27,142.4657,142.6551,139.2545,140.3048,1264500
2016-07-28,140.4598,141.2002,139.7366,140.8386,815100
2016-07-29,140.9161,142.2333,140.8128,141.7339,801200
2016-08-01,142.0009,142.5691,140.8644,141.1313,947000
2016-08-02,141.183,141.2518,139.6936,140.0121,948500
2016-08-03,140.2532,140.279,139.4783,140.0724,632900
2016-08-04,140.5114,141.2604,140.2359,140.8644,680600
2016-08-05,140.8902,142.0438,140.2101,140.3995,873900
2016-08-08,140.6412,140.6757,139.3898,140.3736,569000
2016-08-09,140.4427,143.8517,140.365,142.0997,826700
2016-08-10,142.2636,143.4719,142.1514,143.3597,760600
2016-08-11,143.6704,144.4989,142.4622,142.5226,635000
2016-08-12,142.6003,143.2303,142.2464,142.8419,740600
2016-08-15,142.7728,142.7901,141.9961,142.4017,687200
2016-08-16,141.8926,142.8074,141.8839,141.9444,652200
2016-08-17,142.2723,142.8074,140.9519,142.6521,599300
2016-08-18,142.652,143.1785,142.3672,142.6348,1057000
2016-08-19,142.4018,142.98,142.186,142.8333,598000
2016-08-22,143.0145,143.8948,142.6866,143.0749,815000
2016-08-23,143.5669,143.7999,143.2907,143.5841,586300
2016-08-24,143.2993,144.1278,143.2648,143.7913,694000
2016-08-25,143.8258,144.6284,143.2648,143.8603,868900
2016-08-26,143.9984,145.5778,142.678,142.911,805500
2016-08-29,143.1612,144.0674,143.0404,143.9552,674400
2016-08-30,143.3166,144.3005,142.4277,143.3943,855800
2016-08-31,143.1957,143.1957,141.1158,141.5818,1247900
