date,open,high,low,close,volume
2016-04-22,86.5356,87.227,85.2527,85.7828,1463900
2016-04-25,85.752,85.9825,85.3987,85.6675,891200
2016-04-26,85.9979,86.8429,85.6752,86.6355,1257500
2016-04-27,86.743,87.3345,86.1976,86.9504,1334900
2016-04-28,86.2437,87.1809,85.8903,86.3512,1188900
2016-04-29,85.9825,86.5202,85.56,85.9748,1220100
2016-05-02,86.0517,86.5971,85.6829,86.0978,1108900
2016-05-03,85.3296,85.4141,84.1235,84.9455,1017500
2016-05-04,84.7457,84.9301,84.1926,84.7688,886700
2016-05-05,84.9916,85.2374,84.5076,84.7765,1269400
2016-05-06,84.6305,85.5216,84.3693,85.4986,781800
2016-05-09,85.1759,85.6445,84.9147,85.1606,800000
2016-05-10,85.5062,86.8429,85.2297,86.7968,831200
2016-05-11,86.8044,87.1578,86.2667,86.7814,777300
2016-05-12,87.1271,87.5342,86.5279,87.3038,888600
2016-05-13,87.1194,87.8415,86.236,86.9658,1141000
2016-05-16,86.7276,87.8031,86.5049,87.5803,1007200
2016-05-17,87.5496,88.0489,86.8736,87.1886,1109500
2016-05-18,87.0426,87.5803,86.4895,86.9965,779700
2016-05-19,86.3436,86.5126,85.3219,86.2898,795400
2016-05-20,86.8352,87.1348,86.2514,86.7814,1868800
2016-05-23,86.8429,87.1809,86.044,86.7507,661700
2016-05-24,87.3268,88.1104,86.8429,87.9337,649100
2016-05-25,88.1104,88.456,87.5726,87.734,862100
2016-05-26,87.8185,87.9875,87.1041,87.2808,627600
2016-05-27,87.5277,87.659,87.0569,87.3656,746200
2016-05-31,87.4197,87.6281,86.8253,87.3656,959100
2016-06-01,86.9643,87.7516,86.4934,87.6435,565000
2016-06-02,87.6126,87.9832,87.2498,87.9832,477400
2016-06-03,87.7053,87.7979,86.7713,87.4891,511500
2016-06-06,87.7748,87.8828,87.1572,87.7902,501800
2016-06-07,87.8211,88.3228,87.5509,88.1684,618000
2016-06-08,88.2302,88.5312,87.8597,88.0141,837200
2016-06-09,87.6512,88.3768,87.1958,88.2842,477500
2016-06-10,87.3039,87.6513,86.9179,87.1804,537300
2016-06-13,86.8176,87.4583,86.285,86.7095,957200
2016-06-14,86.4007,86.6092,85.652,85.7755,1120900
2016-06-15,85.9376,86.9874,85.5593,86.3313,1080200
2016-06-16,86.1537,86.6323,85.3355,86.4702,645000
2016-06-17,86.5552,87.0569,86.2155,86.9102,1334100
2016-06-20,87.8288,88.894,87.1186,88.2611,1155300
2016-06-21,88.2302,88.4309,87.8365,88.0526,954700
2016-06-22,88.0989,88.2765,87.6281,87.7284,671100
2016-06-23,88.5467,88.8091,88.1993,88.8091,397700
2016-06-24,85.3741,86.3158,82.4562,82.7727,2276700
2016-06-27,82.1012,82.1012,80.1714,80.4647,1645100
2016-06-28,81.2675,82.0394,81.0127,81.9931,1481500
2016-06-29,82.9811,83.4829,82.464,83.4288,1331400
2016-06-30,83.8534,85.8527,83.5601,85.8527,1520600
2016-07-01,85.899,86.9488,85.5902,86.7018,1181700
2016-07-05,86.2077,86.8176,85.2814,85.9916,832400
2016-07-06,85.4435,86.586,85.2506,86.5319,894300
2016-07-07,86.3776,87.466,86.3776,87.2035,792500
2016-07-08,87.9755,89.0484,87.8674,88.7474,1046700
2016-07-11,89.2337,89.7123,89.0561,89.4344,608400
2016-07-12,89.9902,90.6231,89.4807,90.1909,707500
2016-07-13,90.4842,90.7852,90.0287,90.4996,476400
2016-07-14,91.1326,91.4491,90.5768,90.6694,585900
2016-07-15,90.9319,91.0477,90.3298,90.5768,670000
2016-07-18,90.3529,90.7466,90.1214,90.5691,475600
2016-07-19,89.6736,90.3143,89.527,89.9978,755400
2016-07-20,90.1831,90.5305,89.8203,90.3066,688200
2016-07-21,89.9979,90.2217,88.3074,88.7474,1735500
2016-07-22,92.167,93.4792,91.2175,93.0084,2226100
2016-07-25,93.0933,93.9655,92.275,93.7803,1291800
2016-07-26,93.7108,94.5985,93.0161,94.4982,1243500
2016-07-27,94.6062,95.1775,93.9424,94.4519,1134300
2016-07-28,94.3283,94.5059,93.5024,94.3052,631300
2016-07-29,94.0196,94.3206,93.5101,93.9424,990700
2016-08-01,94.035,94.3283,93.4406,94.2357,799600
2016-08-02,94.2511,94.2511,93.3634,93.9038,890700
2016-08-03,94.3283,94.4827,93.4484,94.0119,643000
2016-08-04,94.1354,94.8841,93.9578,94.5599,758700
2016-08-05,94.7992,95.3318,94.5908,95.2932,864000
2016-08-08,95.3009,95.5016,94.9613,95.3241,854600
2016-08-09,95.1466,95.6869,95.0385,95.3241,720500
2016-08-10,95.6329,95.6329,94.8223,94.9922,586200
2016-08-11,95.4013,95.602,95.0462,95.3087,1044800
2016-08-12,95.2392,95.2701,94.8069,95.108,549500
2016-08-15,95.1311,95.7178,95.0539,95.3318,607300
2016-08-16,94.9459,95.2161,94.1122,94.1122,743500
2016-08-17,94.3052,94.5136,93.5024,94.4364,820600
2016-08-18,94.3361,94.5213,94.1585,94.3361,532500
2016-08-19,93.981,94.3746,93.7726,94.2666,782200
2016-08-22,93.8652,94.2974,93.3711,93.9269,653100
2016-08-23,94.1045,94.6988,93.9269,94.475,543900
2016-08-24,94.3824,94.3824,93.7185,93.8652,443500
2016-08-25,93.8112,94.174,93.4098,94.0119,489000
2016-08-26,94.4673,95.8027,94.228,94.7529,1336700
2016-08-29,94.7375,95.4939,94.7375,95.4168,1141800
2016-08-30,95.5711,96.2813,95.4167,96.0729,1193500
2016-08-31,96.0729,96.2435,95.6231,95.972,1407100
2016-09-01,95.8867,96.2202,95.2353,95.8324,694300
2016-09-02,96.2823,96.4762,95.5843,96.0186,397300
2016-09-06,96.0884,96.2435,95.0182,95.2896,702400
2016-09-07,95.2741,95.561,94.739,95.1345,723100
2016-09-08,95.0104,95.2973,94.7855,94.8941,632600
2016-09-09,94.103,94.3357,92.7691,92.8389,1055300
2016-09-12,92.3115,94.2581,92.0944,93.9401,1133400
2016-09-13,93.1336,93.7308,92.7381,92.8001,1291200
