date,open,high,low,close,volume
2016-04-18,98.2131,98.8931,97.712,98.7768,1039400
2016-04-19,98.8215,99.3047,97.542,98.1862,1388400
2016-04-20,98.0341,99.5463,97.8283,99.081,1969300
2016-04-21,100.6648,101.8728,97.0141,97.8104,3236900
2016-04-22,97.9268,98.4815,96.7367,97.891,1837800
2016-04-25,97.8283,98.0878,97.3988,97.9715,998400
2016-04-26,98.0162,98.5263,97.4973,97.9894,1137300
2016-04-27,98.7142,99.3226,97.6494,98.4636,1213600
2016-04-28,98.0252,98.8663,97.7567,98.0341,1526100
2016-04-29,95.484,97.9447,95.484,97.542,1486900
2016-05-02,97.8283,98.6247,97.5509,98.3742,917300
2016-05-03,97.9536,98.222,97.3451,97.6852,851300
2016-05-04,97.1841,97.6583,96.6472,97.1662,936700
2016-05-05,97.0946,98.5621,96.8888,98.5352,1707300
2016-05-06,98.2668,99.5106,97.9983,99.5106,1749300
2016-05-09,99.439,100.4232,99.43,99.609,960600
2016-05-10,99.6627,100.1369,99.4211,99.9938,1669900
2016-05-11,100.0474,100.5485,99.6537,99.7521,1439900
2016-05-12,99.7879,100.4948,99.1884,100.0564,1048200
2016-05-13,100.1369,100.2264,98.7947,99.2421,1050700
2016-05-16,99.1974,100.8349,99.1705,100.5306,1032100
2016-05-17,100.2622,100.5933,98.2131,98.5531,1168600
2016-05-18,98.2936,99.0273,97.6583,98.3026,998600
2016-05-19,97.7388,98.0789,97.193,97.9715,803800
2016-05-20,98.5799,99.0989,98.2489,98.6515,1325800
2016-05-23,98.58,98.9647,98.2668,98.6694,650600
2016-05-24,98.9647,100.1011,98.7858,99.9221,979900
2016-05-25,100.0832,100.6112,99.9311,100.1011,1086400
2016-05-26,100.0206,100.5664,99.7432,99.8416,764000
2016-05-27,99.8506,100.3069,99.5553,100.0116,696300
2016-05-31,99.6358,100.1727,98.9468,99.4658,2785500
2016-06-01,99.5821,100.0653,98.8395,99.9132,1002800
2016-06-02,100.0385,100.8169,99.5821,100.808,1145800
2016-06-03,100.5485,101.667,100.0832,101.6133,1618500
2016-06-06,101.488,102.1054,101.4164,101.5865,1490600
2016-06-07,101.5865,101.6491,100.7275,100.7454,1407400
2016-06-08,100.6648,102.2844,100.5664,102.2665,1237500
2016-06-09,102.3471,103.7072,101.8818,103.1971,1474300
2016-06-10,102.7676,102.9197,101.9086,102.5081,891800
2016-06-13,102.5081,103.385,102.3292,102.4007,1200200
2016-06-14,102.1234,103.2776,101.8818,103.2776,1453400
2016-06-15,103.2777,103.5998,101.9176,102.3113,1034300
2016-06-16,102.0339,102.7587,101.3091,102.5618,864500
2016-06-17,102.6334,103.045,101.3807,102.3471,1345400
2016-06-20,103.394,104.6825,103.3493,103.8772,1604100
2016-06-21,104.253,104.6198,103.6803,104.2082,1043800
2016-06-22,104.4588,104.933,104.2082,104.3514,1260700
2016-06-23,105.0225,106.1679,104.7988,105.9263,1967300
2016-06-24,102.7855,105.5146,102.3739,104.3246,4519300
2016-06-27,103.6713,104.2351,102.2755,102.705,1343300
2016-06-28,103.4681,104.2941,103.0551,104.1055,1637400
2016-06-29,105.0571,106.718,104.9404,106.6641,1545300
2016-06-30,106.7001,107.5799,106.305,107.5799,1814600
2016-07-01,107.7415,108.1904,107.3465,108.1006,874700
2016-07-05,107.6787,109.1689,107.4901,108.8188,1123400
2016-07-06,108.2532,109.0073,108.0198,108.7111,1499500
2016-07-07,108.6931,109.1689,108.4417,108.6572,1216700
2016-07-08,109.2946,109.8871,108.6931,109.7884,1283100
2016-07-11,109.9949,110.5156,109.7974,110.1116,885700
2016-07-12,110.363,110.6144,109.6896,110.2642,1228700
2016-07-13,110.6054,110.758,109.6717,109.9859,1238600
2016-07-14,110.6772,110.7939,109.6986,109.7974,1277700
2016-07-15,110.3989,110.9196,108.8906,109.5999,2063500
2016-07-18,109.7615,110.4258,108.5854,109.1869,1727400
2016-07-19,109.0522,109.9141,109.0073,109.3126,1271600
2016-07-20,109.7974,110.1116,109.3215,109.8512,1297400
2016-07-21,109.7166,110.1026,109.2318,110.0308,1359700
2016-07-22,106.1614,106.7808,103.9439,105.0661,4691900
2016-07-25,104.8776,105.4432,103.2077,104.0786,2027500
2016-07-26,103.9619,104.7519,103.513,104.5364,1596200
2016-07-27,104.303,104.4646,102.7499,103.091,1644200
2016-07-28,103.109,104.2851,102.696,103.2077,1215900
2016-07-29,103.2167,104.698,103.2167,104.3928,1453700
2016-08-01,104.4017,105.6227,104.3389,105.0571,1019400
2016-08-02,104.8148,104.9225,103.495,103.8721,1009600
2016-08-03,104.0337,104.1145,102.8307,103.082,1080200
2016-08-04,103.3514,103.5399,102.7409,103.109,942400
2016-08-05,103.2796,103.5399,102.6242,103.1539,988000
2016-08-08,103.2347,103.3065,102.4087,103.082,1013400
2016-08-09,103.3155,104.0606,103.1,103.6476,834500
2016-08-10,103.6835,103.7733,103.109,103.7195,615700
2016-08-11,103.7105,104.1863,103.3065,103.7195,782300
2016-08-12,103.5668,103.7554,103.0641,103.7554,622000
2016-08-15,103.6925,103.9618,103.4501,103.4501,568600
2016-08-16,103.1359,103.1628,101.879,101.879,1052100
2016-08-17,101.897,102.0227,101.1429,101.5828,1101700
2016-08-18,101.4661,102.2382,101.0441,102.1215,919400
2016-08-19,101.7354,102.1663,101.1788,102.1394,881300
2016-08-22,102.2112,102.705,102.0047,102.4716,726900
2016-08-23,102.5075,102.8935,101.8791,101.9958,893700
2016-08-24,102.0855,102.2112,100.9004,101.1069,1051300
2016-08-25,100.8376,102.0945,100.5683,101.7264,1203700
2016-08-26,102.0496,103.3155,101.6636,102.7409,1141900
2016-08-29,102.7409,104.4915,102.7319,104.3928,1668600
2016-08-30,104.2402,104.7609,103.6387,104.0875,874300
2016-08-31,104.0606,104.4826,103.3693,103.8362,814900
2016-09-01,104.0516,104.0516,102.7139,103.4501,939400
2016-09-02,104.4556,104.4556,103.4591,103.7823,866100
2016-09-06,103.7823,104.9404,103.2436,104.9404,1144200
2016-09-07,104.5364,104.8596,103.109,103.3963,1202000
2016-09-08,103.0551,103.7644,102.9204,103.1269,1372400
2016-09-09,102.4356,102.4626,99.1408,99.2396,2486300
2016-09-12,98.9523,101.3224,98.9523,101.1788,1740600
2016-09-13,100.7389,101.1429,99.0421,99.2216,1064900
2016-09-14,99.0421,99.868,98.8715,99.6615,1361900
2016-09-15,99.6077,102.4536,99.3025,101.897,1985700
2016-09-16,102.0855,102.7229,101.4481,102.6332,2436900
2016-09-19,102.6601,103.7644,102.5165,102.7229,1133400
2016-09-20,103.3334,103.504,102.8307,102.8846,990300
2016-09-21,102.9564,104.6442,102.9474,104.5364,1090800
2016-09-22,104.8776,106.745,104.4826,106.332,1964900
2016-09-23,105.9908,106.1165,105.0212,105.7215,1235100
2016-09-26,105.2008,105.4701,104.1055,104.3299,1387000
2016-09-27,104.716,105.7574,104.2222,105.7574,1156200
2016-09-28,105.7574,105.8745,104.9108,105.6583,918600
2016-09-29,105.2801,105.5773,103.6768,104.2082,662100
2016-09-30,104.7577,105.2981,104.4514,104.8477,1196900
2016-10-03,104.3524,104.9648,103.839,104.8838,805100
2016-10-04,104.9108,105.3071,104.2353,104.7126,1074100
2016-10-05,104.7847,105.3521,104.5235,105.0729,1151900
2016-10-06,105.0098,105.5052,104.4154,105.0639,781500
2016-10-07,105.4962,105.7124,104.1092,104.7576,920100
2016-10-10,105.289,106.3608,105.0819,106.1447,756000
2016-10-11,105.9105,105.9915,101.9025,102.4339,1433400
2016-10-12,102.587,103.1094,102.3078,102.605,829200
2016-10-13,102.1097,102.587,101.3441,102.2988,892500
2016-10-14,104.6406,104.6406,102.3258,102.3619,1253600
2016-10-17,102.4879,102.542,101.9655,102.2898,721700
2016-10-18,103.1454,103.6588,102.2177,103.4066,677600
2016-10-19,103.6948,103.7579,102.9023,102.9743,681000
2016-10-20,103.0644,103.4607,102.506,103.1725,613400
2016-10-21,102.6771,102.8842,101.7134,102.4159,832300
2016-10-24,103.0373,103.7579,102.8662,103.3346,674300
2016-10-25,103.3706,103.4156,101.8484,101.9475,1023600
2016-10-26,101.1099,101.299,98.9303,98.9753,2098700
2016-10-27,99.5247,99.6328,98.4529,98.8222,1751600
2016-10-28,100.4434,106.2438,99.6148,102.9203,3264800
2016-10-31,102.3168,104.1091,100.2903,103.893,2301300
2016-11-01,104.4694,105.0459,102.7942,103.3886,1806700
2016-11-02,103.5147,105.163,103.1364,104.0281,1489700
2016-11-03,104.3343,104.7936,103.938,104.1632,1456600
2016-11-04,104.4784,105.8294,104.2803,105.5142,1758800
2016-11-07,106.8202,108.4414,106.7481,107.7929,1497200
2016-11-08,107.7299,109.7384,107.1895,108.8467,1531600
2016-11-09,107.883,109.5402,102.0466,104.6946,3632400
2016-11-10,105.6313,105.6313,101.0288,102.7041,4375000
2016-11-11,102.1097,102.6591,99.1465,99.3986,2504200
2016-11-14,99.3716,99.7859,95.904,96.0841,3684200
2016-11-15,96.6876,99.7049,96.4894,98.8402,2744100
2016-11-16,98.8492,99.1284,97.6153,98.525,1096400
2016-11-17,98.4619,100.2723,97.7774,99.6598,1918300
2016-11-18,99.5877,100.4344,99.2635,100.3713,1501500
2016-11-21,100.3624,101.3801,100.0111,100.3984,1186600
2016-11-22,99.1645,100.0201,97.5342,99.7049,2946000
2016-11-23,99.2365,100.7406,99.0744,100.6506,1421400
2016-11-25,101.2811,101.8665,100.7767,101.6323,559300
2016-11-28,101.3261,102.1907,101.3261,101.7314,1323900
2016-11-29,102.8392,106.1987,102.4429,103.947,1873900
2016-11-30,103.6949,104.0731,102.3709,102.3709,1844300
2016-12-01,102.1007,102.7401,99.894,100.6506,1323000
2016-12-02,101.0559,101.8755,100.7316,100.9478,1210300
2016-12-05,101.3891,101.4972,100.4884,100.8847,1324700
2016-12-06,101.4431,101.9295,100.3984,101.4071,1236800
2016-12-07,101.0469,102.4159,100.1732,102.3799,1352000
2016-12-08,102.0286,104.2082,101.7764,104.0371,1405300
2016-12-09,104.2533,105.235,104.2533,104.9288,1040700
2016-12-12,104.8567,106.4419,104.8567,105.9015,1181000
2016-12-13,106.0456,106.8112,105.3791,105.9465,997000
2016-12-14,106.2528,106.6221,104.7216,105.1359,1914300
2016-12-15,106.2798,107.1985,105.19,107.0183,1657000
2016-12-16,107.3876,107.5047,106.541,106.9553,2196800
2016-12-19,106.9733,107.3246,106.6401,107.0093,871800
2016-12-20,107.1714,108.0271,106.9283,107.6398,1028700
2016-12-21,107.5497,108.0181,107.0544,107.5407,877400
2016-12-22,107.4957,108.7657,107.2795,108.5135,1190300
2016-12-23,108.3513,109.0719,108.2613,108.7656,523300
2016-12-27,109.0359,109.4322,108.6846,108.8467,443600
2016-12-28,108.6976,109.3574,108.327,108.3541,961400
2016-12-29,108.7428,109.4478,108.4716,108.9326,674700
2016-12-30,109.0591,109.2399,107.8751,108.2908,988100
2017-01-03,108.2908,108.336,106.5283,107.9474,1831500
2017-01-04,108.1372,109.0501,107.8841,108.553,1504800
2017-01-05,108.553,108.8241,107.0164,107.3599,1772200
2017-01-06,106.2029,106.9983,105.2991,106.4289,2464200
2017-01-09,106.5464,108.1462,106.3295,107.5768,1355700
2017-01-10,108.0649,110.9211,107.6039,110.1799,2310300
