date,open,high,low,close,volume
2016-04-22,35.2998,35.3848,34.9288,35.3771,3085300
2016-04-25,35.3771,35.8331,35.3307,35.7867,3219200
2016-04-26,35.8563,36.1036,35.7249,35.7867,2061900
2016-04-27,35.8795,36.0804,35.6167,35.8718,2384800
2016-04-28,35.7172,36.0341,35.6785,35.7558,3242000
2016-04-29,35.5626,35.7945,35.4235,35.609,5061000
2016-05-02,36.2196,37.6031,36.1655,37.5722,7711700
2016-05-03,37.4717,37.8659,37.3558,37.4949,4571800
2016-05-04,37.464,37.7886,37.3403,37.5027,3847100
2016-05-05,37.2553,37.7964,37.2167,37.7732,3152000
2016-05-06,37.8041,38.2524,37.6882,38.1596,4107700
2016-05-09,38.2138,38.8785,38.2138,38.4302,3833500
2016-05-10,38.4765,38.8321,38.4456,38.778,2574400
2016-05-11,38.778,38.948,38.6311,38.8166,2683000
2016-05-12,38.8939,39.1722,38.6543,38.7857,3612300
2016-05-13,38.7703,39.0331,38.6002,38.7625,3394100
2016-05-16,38.7316,39.033,38.6543,38.8089,2310700
2016-05-17,38.6543,38.8939,37.9973,38.1055,4348500
2016-05-18,37.9355,38.0514,37.4485,37.6418,4497800
2016-05-19,37.5799,37.9509,37.5413,37.9278,3488700
2016-05-20,37.9741,38.121,37.4485,37.5258,4101500
2016-05-23,37.5258,37.6495,37.3017,37.4022,3467300
2016-05-24,37.5258,37.7809,37.4176,37.6495,3683600
2016-05-25,37.6804,37.7345,37.5258,37.5568,3948400
2016-05-26,37.6495,37.8659,37.5799,37.75,3471200
2016-05-27,37.7423,37.8196,37.4254,37.6109,3323000
2016-05-31,37.6263,37.7809,37.178,37.1857,7958300
2016-06-01,37.2476,37.75,37.1935,37.7268,3972300
2016-06-02,37.6109,37.7423,37.4872,37.6882,3043300
2016-06-03,37.6881,37.8041,37.5568,37.7964,4232800
2016-06-06,37.8737,37.9819,37.5877,37.7036,3147700
2016-06-07,37.5954,37.8582,37.5568,37.6263,2005700
2016-06-08,37.665,37.665,37.4795,37.6263,2475300
2016-06-09,37.6418,37.9278,37.5954,37.8737,2396600
2016-06-10,37.7732,37.8582,37.4949,37.7036,2423600
2016-06-13,37.7191,37.8814,37.3635,37.4331,3221800
2016-06-14,37.379,37.5799,37.263,37.464,2857600
2016-06-15,37.5799,37.7577,37.4408,37.6109,3035300
2016-06-16,37.5877,38.492,37.5104,38.4611,4898400
2016-06-17,38.4534,38.6852,38.0514,38.492,6269800
2016-06-20,38.7857,38.9558,38.5538,38.6079,3922300
2016-06-21,38.7239,38.8321,38.5693,38.7007,2894900
2016-06-22,38.6698,38.778,38.4147,38.6234,2772100
2016-06-23,38.7857,38.9712,38.7239,38.8707,3527000
2016-06-24,38.0978,38.778,37.8814,38.5848,15632300
2016-06-27,38.4611,38.6698,38.3142,38.4224,4444100
2016-06-28,38.4225,38.4843,37.9278,38.2679,4129900
2016-06-29,38.6179,39.1001,38.439,39.0612,3873900
2016-06-30,39.0768,39.4734,38.9679,39.4657,5408800
2016-07-01,39.5434,39.6212,39.3879,39.4579,2574300
2016-07-05,39.4734,40.119,39.4423,39.8235,7096100
2016-07-06,39.7768,39.9557,39.6135,39.8779,4877200
2016-07-07,39.979,40.049,39.6679,39.8157,3004100
2016-07-08,39.9557,40.2124,39.7923,40.1268,5515100
2016-07-11,40.1268,40.2979,40.0412,40.1657,2577100
2016-07-12,40.1501,40.2124,39.6679,39.7301,4218500
