date,open,high,low,close,volume
2016-04-18,14.4466,14.5667,14.3978,14.5104,22947568
2016-04-19,14.5667,14.6156,14.4654,14.6118,21100058
2016-04-20,14.6381,14.6456,14.5142,14.5367,22222148
2016-04-21,14.4654,14.4842,14.2101,14.2138,42681258
2016-04-22,14.2101,14.3302,14.2101,14.2927,32173465
2016-04-25,14.2777,14.3528,14.2138,14.3452,23280024
2016-04-26,14.3865,14.4203,14.2289,14.3002,27672792
2016-04-27,14.2138,14.6081,14.165,14.5367,54837035
2016-04-28,14.5367,14.5968,14.4729,14.5067,26750361
2016-04-29,14.5067,14.5968,14.4466,14.5743,33557972
2016-05-02,14.593,14.6981,14.5592,14.6794,29211809
2016-05-03,14.6493,14.6719,14.5217,14.608,28897624
2016-05-04,14.548,14.6418,14.4842,14.5968,20496579
2016-05-05,14.6193,14.6381,14.5142,14.5442,21501098
2016-05-06,14.5592,14.6381,14.4429,14.6381,20738739
2016-05-09,14.6381,14.6831,14.578,14.5893,17867777
2016-05-10,14.6493,14.7845,14.6343,14.7582,23005427
2016-05-11,14.7432,14.7732,14.6493,14.7094,19085195
2016-05-12,14.7545,14.8934,14.7169,14.8483,24805008
2016-05-13,14.8258,14.8371,14.6831,14.6982,21833819
2016-05-16,14.6231,14.7545,14.6043,14.747,19936527
2016-05-17,14.7319,14.7657,14.6418,14.6831,29202541
2016-05-18,14.6756,14.6981,14.3678,14.4353,33592263
2016-05-19,14.3678,14.4429,14.1801,14.4316,36297195
2016-05-20,14.5067,14.5217,14.3828,14.4353,26803718
2016-05-23,14.4504,14.4579,14.364,14.3865,20364312
2016-05-24,14.4391,14.4766,14.4128,14.4541,18710371
2016-05-25,14.5179,14.5367,14.4353,14.4992,19475378
2016-05-26,14.5255,14.6381,14.5067,14.5818,21206508
2016-05-27,14.578,14.6381,14.4917,14.6381,20749331
2016-05-31,14.6531,14.7169,14.6193,14.6982,36992560
2016-06-01,14.6794,14.6869,14.4954,14.5405,22581747
2016-06-02,14.5405,14.5818,14.4842,14.5818,16287451
2016-06-03,14.6306,14.7432,14.6156,14.7207,25480248
2016-06-06,14.7244,14.822,14.7094,14.7695,22162568
2016-06-07,14.7807,14.976,14.7657,14.9384,32984150
2016-06-08,14.9122,14.9685,14.8821,14.9647,19100554
2016-06-09,14.9534,15.0811,14.8859,15.0511,27396738
2016-06-10,14.9985,15.2162,14.9722,15.1412,34245922
2016-06-13,15.0886,15.19,15.0661,15.0886,22097163
2016-06-14,15.0811,15.1937,14.991,15.1599,30471860
2016-06-15,15.1825,15.2313,15.1186,15.1261,25792182
2016-06-16,15.0924,15.2275,15.0698,15.2012,26619417
2016-06-17,15.22,15.3401,15.1412,15.2913,36100184
2016-06-20,15.4077,15.4115,15.2162,15.3101,26784123
2016-06-21,15.3289,15.5091,15.2275,15.419,26398044
2016-06-22,15.4152,15.6029,15.4152,15.5053,26803453
2016-06-23,15.5992,15.7268,15.5354,15.7231,25202340
2016-06-24,15.5616,15.8545,15.5053,15.5879,75662893
2016-06-27,15.5016,15.8019,15.5016,15.7794,49590950
2016-06-28,15.8207,15.832,15.7193,15.7756,45570756
2016-06-29,15.8507,15.9709,15.7982,15.9709,31341066
2016-06-30,16.0272,16.3012,15.9709,16.2224,42253342
2016-07-01,16.2224,16.35,16.1473,16.32,30766185
2016-07-05,16.3313,16.4777,16.2675,16.275,47114937
2016-07-06,16.3761,16.4219,16.1704,16.4219,35025361
2016-07-07,16.2771,16.3457,16.0523,16.117,31389260
2016-07-08,16.0523,16.2656,15.8884,16.2352,37659591
2016-07-11,16.1818,16.2313,16.0827,16.1971,28590059
2016-07-12,16.1551,16.2313,16.0904,16.159,24727818
2016-07-13,16.178,16.3342,16.1361,16.2275,19664445
2016-07-14,16.1742,16.3685,16.1742,16.2961,22051617
2016-07-15,16.3495,16.4142,16.2694,16.3418,22040098
2016-07-18,16.3304,16.3457,16.258,16.3266,16339087
2016-07-19,16.3037,16.3266,16.2618,16.2961,18093254
2016-07-20,16.2885,16.3114,16.2009,16.2733,18653042
2016-07-21,16.2123,16.2999,16.1323,16.2009,28652022
2016-07-22,16.2047,16.5514,16.1932,16.4257,40678973
2016-07-25,16.3571,16.3723,16.2733,16.3609,19319278
2016-07-26,16.338,16.3761,16.1094,16.1475,26584066
2016-07-27,16.1437,16.3533,16.1437,16.2923,26229896
2016-07-28,16.258,16.2618,16.1361,16.2237,17887770
2016-07-29,16.239,16.5324,16.178,16.4943,33425307
2016-08-01,16.479,16.5743,16.4257,16.4523,27340865
2016-08-02,16.4942,16.5019,16.3533,16.4447,25943780
2016-08-03,16.418,16.4676,16.3533,16.4371,18049430
2016-08-04,16.4523,16.4752,16.3647,16.4142,15747656
2016-08-05,16.4447,16.4676,16.2961,16.4447,25981117
2016-08-08,16.4485,16.4485,16.3075,16.3571,18580486
2016-08-09,16.3647,16.418,16.2999,16.4142,19539857
2016-08-10,16.4066,16.4981,16.4066,16.46,15535154
2016-08-11,16.5019,16.5666,16.4828,16.5324,15861123
2016-08-12,16.54,16.559,16.4561,16.4904,13956681
2016-08-15,16.4638,16.5057,16.3914,16.3914,21512352
2016-08-16,16.3838,16.3876,15.9684,15.9875,41899966
2016-08-17,16.0065,16.0332,15.7513,15.9494,38844439
2016-08-18,15.9037,15.9418,15.6636,15.7741,43099510
2016-08-19,15.7094,15.717,15.5036,15.6255,39007556
2016-08-22,15.5912,15.6179,15.4503,15.5874,23398655
2016-08-23,15.6179,15.6331,15.5379,15.5646,19930834
2016-08-24,15.5836,15.6179,15.4693,15.5722,21407624
2016-08-25,15.5722,15.6903,15.5265,15.6484,22380499
2016-08-26,15.6713,15.7322,15.4693,15.4998,23645978
2016-08-29,15.5455,15.6408,15.515,15.6217,17139048
2016-08-30,15.6217,15.6751,15.5188,15.5798,14852102
2016-08-31,15.6027,15.6408,15.4922,15.576,24812422
2016-09-01,15.5646,15.6217,15.4884,15.6065,20795936
2016-09-02,15.656,15.7665,15.5227,15.6027,25244708
2016-09-06,15.6293,15.7589,15.5493,15.7093,20565295
2016-09-07,15.7208,15.7513,15.6179,15.7246,17915441
2016-09-08,15.7246,15.7703,15.6408,15.6941,17906438
2016-09-09,15.6141,15.6522,15.1188,15.1302,50974132
2016-09-12,15.0769,15.5646,15.0692,15.5112,35568201
2016-09-13,15.4122,15.416,15.1531,15.2293,33801058
2016-09-14,15.2217,15.3398,15.1493,15.1988,35138298
2016-09-15,15.1645,15.4769,15.0959,15.4122,30367132
2016-09-16,15.3702,15.3969,15.2026,15.3169,54748194
2016-09-19,15.3169,15.3321,15.1874,15.2636,21426027
2016-09-20,15.3017,15.4045,15.195,15.2255,18797887
2016-09-21,15.2597,15.4807,15.2293,15.4579,25329312
2016-09-22,15.5188,15.6941,15.5074,15.6636,29503089
2016-09-23,15.6789,15.7703,15.5188,15.7284,24980702
2016-09-26,15.7284,15.7779,15.6636,15.6751,22040893
2016-09-27,15.7094,15.8884,15.6446,15.797,24414825
2016-09-28,15.6255,15.6484,15.4617,15.5646,34874425
2016-09-29,15.5265,15.6484,15.4083,15.5188,22569963
2016-09-30,15.5874,15.637,15.4693,15.4731,25661238
2016-10-03,15.4769,15.637,15.4312,15.5341,21954171
2016-10-04,15.515,15.5303,15.1302,15.2026,43930188
2016-10-05,15.3364,15.3441,15.0344,15.1621,29923592
2016-10-06,15.1505,15.1776,15.0653,15.1428,20853794
2016-10-07,15.1854,15.2125,14.9879,15.0499,25383728
2016-10-10,15.0731,15.1776,14.7943,15.1041,25183407
2016-10-11,15.077,15.2473,14.9453,15.1389,29544928
2016-10-12,15.1583,15.2899,15.1234,15.228,22746188
2016-10-13,15.2086,15.286,15.1079,15.2435,23231698
2016-10-14,15.2589,15.3248,15.1854,15.1854,17896508
2016-10-17,15.1389,15.2899,15.1196,15.2047,18383740
2016-10-18,15.1892,15.2744,15.1583,15.2396,21234974
2016-10-19,15.2783,15.3209,15.2202,15.2473,15506026
2016-10-20,15.1196,15.1312,14.9066,14.9647,41218106
2016-10-21,14.8679,14.9724,14.3103,14.5155,109580860
2016-10-24,14.1361,14.4536,14.0548,14.2716,133176129
2016-10-25,14.2716,14.3491,14.1516,14.2097,53603994
2016-10-26,14.1864,14.2368,14.0432,14.1051,43531399
2016-10-27,14.171,14.2832,14.1167,14.14,57172968
2016-10-28,14.1903,14.2523,14.109,14.1361,30748708
2016-10-31,14.1748,14.2561,14.14,14.2445,41552019
2016-11-01,14.3142,14.3994,14.0935,14.1555,36561201
2016-11-02,14.171,14.2097,14.0548,14.0819,34488611
2016-11-03,14.1555,14.322,14.0896,14.1826,33824096
2016-11-04,14.2406,14.2561,14.1322,14.1322,30791341
2016-11-07,14.2445,14.2755,14.1864,14.2523,28326186
2016-11-08,14.2523,14.3607,14.2523,14.322,23581499
2016-11-09,14.3142,14.531,14.1051,14.4962,46028066
2016-11-10,14.5078,14.5078,14.0935,14.1593,50308558
2016-11-11,14.1361,14.1593,14.0548,14.1361,33519443
2016-11-14,14.1748,14.1826,13.9774,13.989,34594531
2016-11-15,14.0006,14.2368,13.9928,14.2368,27656771
2016-11-16,14.2948,14.4149,14.2677,14.3839,27586467
2016-11-17,14.442,14.593,14.4304,14.4846,28048808
2016-11-18,14.5001,14.562,14.442,14.5426,22484433
2016-11-21,14.5852,14.6123,14.5039,14.6123,22835558
2016-11-22,14.7091,14.9995,14.6433,14.926,34625248
2016-11-23,14.8756,15.0886,14.8718,14.9957,28258662
2016-11-25,15.0111,15.1815,14.9957,15.1815,14357986
2016-11-28,15.1699,15.3596,15.166,15.3093,35293206
2016-11-29,15.3248,15.3441,15.2047,15.286,26290933
2016-11-30,15.1815,15.1815,14.9531,14.9569,43267393
2016-12-01,14.9569,15.0654,14.775,15.0537,36275482
2016-12-02,15.0382,15.1467,14.895,14.9492,21319313
2016-12-05,14.984,15.0925,14.9569,14.9569,27503982
2016-12-06,15.015,15.2628,14.984,15.2357,31206415
2016-12-07,15.2899,15.6771,15.2706,15.6616,43643542
2016-12-08,15.5842,15.7778,15.5609,15.6461,29126808
2016-12-09,15.5958,15.65,15.5532,15.6345,22647285
2016-12-12,15.7042,16.0139,15.6926,15.921,42248972
2016-12-13,15.9791,16.0914,15.9597,16.014,28015708
2016-12-14,15.9907,16.0875,15.8475,15.9133,34865422
2016-12-15,15.8358,16.1379,15.8165,16.0682,32420258
2016-12-16,16.1262,16.165,16.0372,16.134,37011758
2016-12-19,16.134,16.3314,16.0488,16.3082,27226604
2016-12-20,16.3276,16.556,16.316,16.4437,28021666
2016-12-21,16.4244,16.4824,16.3895,16.4011,18208972
2016-12-22,16.3547,16.5637,16.3237,16.5405,23250234
2016-12-23,16.5676,16.5715,16.4437,16.5444,12770510
2016-12-27,16.5444,16.587,16.4631,16.5134,15136895
2016-12-28,16.5134,16.5792,16.4437,16.4631,14599616
2016-12-29,16.467,16.5715,16.467,16.5173,16403301
2016-12-30,16.556,16.5831,16.436,16.467,22076376
2017-01-03,16.5289,16.6605,16.4631,16.6567,34432738
2017-01-04,16.6257,16.6489,16.5367,16.5599,30720772
2017-01-05,16.5909,16.6063,16.467,16.5134,34041629
2017-01-06,16.5051,16.5129,16.2023,16.2456,43278780
2017-01-09,16.2338,16.277,16.0411,16.0411,33741743
2017-01-10,15.9861,16.1434,15.821,16.0451,28494996
2017-01-11,15.876,16.0018,15.8367,15.9664,32486194
2017-01-12,15.9507,16.163,15.9232,16.1237,26347997
2017-01-13,16.0883,16.1905,16.0372,16.104,18446233
2017-01-17,16.1198,16.1748,16.0254,16.163,29837399
2017-01-18,16.1787,16.2141,16.0333,16.0411,25786886
2017-01-19,16.0765,16.1276,16.0057,16.1198,22101929
2017-01-20,16.2495,16.4618,16.2338,16.2967,33318328
2017-01-23,16.3006,16.5405,16.2731,16.5129,33379761
2017-01-24,16.277,16.4107,16.1394,16.2613,38000124
2017-01-25,16.2495,16.3045,16.0765,16.2731,28413702
2017-01-26,16.1866,16.454,16.104,16.4225,37253785
2017-01-27,16.5051,16.6309,16.4146,16.5169,25180229
2017-01-30,16.4893,16.564,16.3793,16.4422,21019956
2017-01-31,16.3871,16.5876,16.3478,16.5758,33636750
2017-02-01,16.623,16.6938,16.4579,16.5365,42477230
2017-02-02,16.5208,16.5405,16.1001,16.1905,38600293
2017-02-03,16.3085,16.3242,16.1984,16.2181,25355924
2017-02-06,16.2259,16.2259,16.1119,16.1434,15060368
2017-02-07,16.1512,16.1866,16.049,16.1669,22921220
2017-02-08,16.1866,16.2456,16.1473,16.2023,20771309
2017-02-09,16.2023,16.2888,16.1709,16.2416,15043818
2017-02-10,16.2181,16.2888,16.1984,16.2692,16067534
2017-02-13,16.049,16.1748,15.9193,15.9822,45494096
2017-02-14,15.9114,16.0333,15.8878,16.0215,26089817
2017-02-15,15.9861,16.1748,15.9468,16.1669,30878990
2017-02-16,16.1669,16.2613,16.1316,16.2181,21951523
2017-02-17,16.1866,16.3321,16.0372,16.3085,31983074
2017-02-21,16.2652,16.4146,16.2456,16.4068,23175826
2017-02-22,16.3871,16.4264,16.2967,16.3517,20729206
2017-02-23,16.391,16.509,16.3321,16.4933,25445294
2017-02-24,16.5562,16.6545,16.5287,16.6545,22565197
2017-02-27,16.6309,16.6309,16.4068,16.4422,22956174
2017-02-28,16.4068,16.4618,16.3714,16.4304,25604306
2017-03-01,16.4264,16.5837,16.3399,16.5287,31644924
2017-03-02,16.4736,16.5522,16.45,16.5404,17454557
2017-03-03,16.5326,16.5365,16.4186,16.5169,22745526
2017-03-06,16.4461,16.5129,16.3989,16.4972,18770348
2017-03-07,16.4736,16.509,16.4028,16.4657,21516192
2017-03-08,16.4657,16.4657,16.3871,16.4225,23674444
2017-03-09,16.4579,16.564,16.4146,16.4893,23398522
2017-03-10,16.5247,16.682,16.5208,16.6505,26128213
2017-03-13,16.5994,16.6781,16.5837,16.6584,19706681
2017-03-14,16.6623,16.6859,16.5326,16.5483,13324471
2017-03-15,16.568,16.7646,16.5483,16.7449,27878012
2017-03-16,16.7488,16.7724,16.6466,16.6859,19332783
2017-03-17,16.7449,16.7685,16.6584,16.7528,32767544
2017-03-20,16.7528,16.7881,16.6387,16.6781,15691783
2017-03-21,16.6899,16.7134,16.5129,16.5444,26875876
2017-03-22,16.5522,16.5601,16.3006,16.3753,24556360
2017-03-23,16.3675,16.4775,16.281,16.3753,19410370
2017-03-24,16.4186,16.4697,16.3321,16.3871,18803448
2017-03-27,16.3517,16.4146,16.2692,16.3124,17457205
2017-03-28,16.281,16.3596,16.222,16.3399,20635996
2017-03-29,16.3321,16.4146,16.277,16.2967,18673961
2017-03-30,16.2731,16.4461,16.2495,16.4186,19560644
2017-03-31,16.4304,16.4697,16.336,16.336,23214354
2017-04-03,16.3557,16.4225,16.2652,16.3439,23804990
2017-04-04,16.3439,16.3989,16.277,16.391,16619775
2017-04-05,16.4068,16.4107,16.3046,16.3203,26421479
2017-04-06,16.3957,16.4077,16.2159,16.2159,27131805
2017-04-07,16.2159,16.3198,16.184,16.2119,26924732
2017-04-10,16.2159,16.2479,16.1001,16.1281,24116660
2017-04-11,16.1281,16.1321,16.0042,16.1001,25964567
2017-04-12,16.0602,16.204,16.0043,16.2,29387239
2017-04-13,16.18,16.2798,16.0761,16.0881,23244409
2017-04-17,16.0961,16.172,16.0642,16.0961,16045026
2017-04-18,16.0642,16.148,16.0482,16.0761,21078345
2017-04-19,16.1041,16.156,16.0522,16.0761,31510538
2017-04-20,15.9723,16.18,15.9443,16.1201,28751587
2017-04-21,16.0682,16.1201,15.9004,15.9483,31641084
2017-04-24,16.0162,16.0362,15.9204,15.9843,31820751
2017-04-25,16.0082,16.0761,15.8525,15.9523,50812207
2017-04-26,15.9843,16.2,15.9164,16.152,45482445
