date,open,high,low,close,volume
2016-04-22,142.5633,143.6944,139.8697,141.7321,445700
2016-04-25,141.7571,142.0633,139.7198,140.2572,498500
2016-04-26,140.9321,144.6381,140.6509,144.3006,419700
2016-04-27,143.7382,146.0942,143.307,145.388,549300
2016-04-28,144.6506,145.7255,143.5194,143.6819,361200
2016-04-29,142.8007,143.6319,141.3446,142.407,609300
2016-05-02,142.557,143.7444,140.8696,140.9259,439500
2016-05-03,139.5073,142.2008,139.4323,141.5446,956100
2016-05-04,140.8009,142.0133,140.5759,141.5821,357700
2016-05-05,142.0945,142.7632,141.4008,142.1195,388800
2016-05-06,141.2446,142.432,139.776,140.026,839900
2016-05-09,138.4261,142.157,137.5574,141.0321,890600
2016-05-10,147.8003,156.7183,147.8003,155.9247,2495700
2016-05-11,155.9184,156.5496,154.0061,154.431,898300
2016-05-12,155.4872,156.2184,152.7937,154.3623,754900
2016-05-13,153.7686,155.9997,153.7686,155.5309,769000
2016-05-16,155.306,156.8558,154.7185,155.9809,877900
2016-05-17,155.5872,157.1621,154.5935,155.5497,528200
2016-05-18,155.2997,156.3246,154.0873,155.006,608100
2016-05-19,154.706,155.3872,152.7124,154.8185,362900
2016-05-20,156.0122,157.0121,154.956,156.1684,277700
2016-05-23,156.1059,156.2184,154.906,155.4497,344300
2016-05-24,156.2371,159.7181,153.0686,159.1431,700700
2016-05-25,159.0994,160.7993,158.7119,159.7806,577300
2016-05-26,160.1431,160.1431,158.3307,159.2244,533400
2016-05-27,159.4056,160.1368,158.6682,159.9681,423000
2016-05-31,165.8676,166.1551,164.124,164.699,2665700
2016-06-01,163.574,167.105,163.2116,166.2926,1803100
2016-06-02,166.4675,167.055,164.5552,166.1363,9761000
2016-06-03,165.6176,166.0489,163.799,165.2239,1120300
2016-06-06,165.6114,166.4613,164.2365,165.7988,631900
2016-06-07,166.0801,166.955,164.9739,166.655,623400
2016-06-08,166.4301,167.4862,165.3301,165.5989,646500
2016-06-09,165.0489,166.5738,164.9552,166.3801,498100
2016-06-10,166.9675,166.9675,162.6741,163.174,599000
2016-06-13,162.9866,164.1802,160.1681,161.7554,453000
2016-06-14,161.3742,162.5679,160.7618,162.0929,538700
2016-06-15,162.7178,163.1866,161.5492,162.2679,401400
2016-06-16,162.1491,162.3741,159.8993,162.1366,514100
2016-06-17,162.2991,162.3179,160.4493,162.1491,774100
2016-06-20,164.049,164.5927,163.1991,163.4053,420100
2016-06-21,163.1053,164.7739,162.3679,164.199,535700
2016-06-22,163.9177,164.8802,162.5116,163.6553,493000
2016-06-23,164.3989,165.9738,163.6553,165.8301,543200
2016-06-24,161.243,165.1489,160.6805,161.018,944800
2016-06-27,159.7806,160.1056,155.9497,157.3996,634800
2016-06-28,158.6432,160.9367,158.3995,160.693,429600
2016-06-29,162.9991,163.5928,161.7804,163.0491,327200
2016-06-30,163.0491,164.9177,162.4491,164.7927,549700
2016-07-01,164.7364,166.4738,163.3741,164.1865,480700
2016-07-05,163.1553,163.7365,160.7868,162.3679,609600
2016-07-06,161.5492,164.1802,161.3867,163.9365,277200
2016-07-07,164.0677,165.5551,163.4678,164.024,386400
2016-07-08,165.5551,168.7861,165.1301,168.6173,610800
2016-07-11,168.3674,168.6486,167.3237,167.6799,388600
2016-07-12,169.0861,170.186,167.8362,168.4299,301200
2016-07-13,168.7361,170.061,168.4299,169.4173,398300
2016-07-14,170.9859,170.9859,169.1548,170.4485,335900
2016-07-15,170.8234,170.8234,168.9173,169.6423,342400
2016-07-18,170.0047,170.0485,169.2611,169.9485,397600
2016-07-19,169.436,172.5733,169.436,171.3734,485600
2016-07-20,171.7796,172.3171,170.9734,171.2671,298200
2016-07-21,171.2109,171.4796,168.6736,169.3048,431400
2016-07-22,169.486,171.5296,168.5111,171.3359,268700
2016-07-25,170.6672,171.3359,169.9485,171.1484,209300
2016-07-26,171.3734,173.4357,171.3296,173.2982,343300
2016-07-27,174.0544,174.4731,172.917,173.8294,302600
2016-07-28,173.742,174.6856,172.9545,174.3544,422400
