date,open,high,low,close,volume
2016-04-21,51.1932,51.4275,50.5657,51.1179,2074000
2016-04-22,50.7666,51.7538,50.7666,51.2183,1671800
2016-04-25,51.0343,51.21,50.298,50.3566,1601200
2016-04-26,50.6076,50.9841,50.5406,50.8753,1874900
2016-04-27,50.6745,51.1765,50.5741,50.9924,1486200
2016-04-28,50.5909,50.9171,50.1725,50.298,1395500
2016-04-29,50.1976,50.1976,49.3275,49.7626,1587500
2016-05-02,49.7542,50.1056,49.4196,50.0303,1251300
2016-05-03,49.771,50.3064,49.4614,49.9885,2186700
2016-05-04,49.7208,50.2227,49.361,49.6455,3433800
2016-05-05,49.7124,50.0721,49.3443,49.6873,1676300
2016-05-06,49.3777,49.7626,49.0598,49.6371,1969900
2016-05-09,48.8841,49.7291,48.8841,49.3108,1523800
2016-05-10,49.5451,49.955,49.3359,49.6957,1509200
2016-05-11,49.4698,49.8797,49.2857,49.3275,1000800
2016-05-12,49.5702,49.5869,48.767,49.1268,1669600
2016-05-13,49.0347,49.4363,48.2734,48.3069,1330200
2016-05-16,48.2483,49.1351,48.1228,48.8423,1495600
2016-05-17,48.7586,49.0766,48.4407,48.767,1931500
2016-05-18,48.6833,49.1686,48.3821,48.6917,1210900
2016-05-19,48.3905,48.7921,48.0559,48.3152,1395900
2016-05-20,48.4742,48.8088,48.2567,48.3822,2110900
2016-05-23,48.516,48.5411,48.1814,48.4574,1633600
2016-05-24,48.675,49.4781,48.3571,49.4028,1536000
2016-05-25,49.5207,49.8238,49.2092,49.6975,1399700
2016-05-26,49.6386,49.9332,49.4365,49.807,1194500
2016-05-27,49.9669,50.2195,49.647,50.2111,964600
2016-05-31,50.1521,50.5899,50.0595,50.5142,2299900
2016-06-01,50.3037,50.6573,49.5291,50.1858,2448200
2016-06-02,50.1437,50.6994,50.1437,50.6573,1184000
2016-06-03,50.4805,50.8341,50.169,50.733,1430400
2016-06-06,50.9351,51.3897,50.6068,51.3055,1485800
2016-06-07,51.4318,52.3411,51.3561,52.2569,2292300
2016-06-08,52.2316,52.7031,52.0127,52.5937,1678900
2016-06-09,52.3663,52.7199,52.1895,52.4253,1324400
2016-06-10,51.9286,52.0633,51.4992,51.6676,1134000
2016-06-13,51.5749,51.8107,50.9435,50.9604,1260100
2016-06-14,50.7499,51.0782,50.6236,50.8509,1184600
2016-06-15,50.9772,51.1372,50.5983,50.632,1188900
2016-06-16,50.2784,50.8425,49.9838,50.7499,1251400
2016-06-17,50.8088,51.1203,50.5394,51.0361,3253500
2016-06-20,51.7265,52.3832,51.6086,51.7686,1326800
2016-06-21,51.8444,52.0548,51.5665,52.0043,1374200
2016-06-22,51.9538,52.4758,51.7939,52.1475,1300700
2016-06-23,52.7115,53.0399,52.4505,53.0399,1057000
2016-06-24,50.4805,51.1119,48.2158,48.2579,4832100
2016-06-27,47.7106,47.7696,45.9174,46.1615,3374900
2016-06-28,46.6835,46.8771,46.212,46.5656,2071500
2016-06-29,46.9782,47.4833,46.5825,47.2223,2040400
2016-06-30,47.3149,48.0811,47.0623,48.0811,2122000
2016-07-01,48.0811,48.4178,47.7864,47.8369,1631600
2016-07-05,47.5001,47.5591,46.6919,46.9361,1551100
2016-07-06,46.7003,46.9108,46.1194,46.7424,1641500
2016-07-07,46.8098,47.6854,46.8098,47.5001,1490500
2016-07-08,47.719,48.6199,47.5927,48.4347,1496000
2016-07-11,48.6872,49.1755,48.5188,49.0071,1242500
2016-07-12,49.3018,49.9753,49.2345,49.8322,1389600
2016-07-13,49.9838,50.0174,49.4618,49.6722,1706900
2016-07-14,50.1858,50.3374,49.807,50.1606,1598900
2016-07-15,50.5562,50.6489,50.1521,50.5647,1294200
2016-07-18,50.3795,50.8257,50.2279,50.27,1691200
2016-07-19,50.2111,50.4973,49.9585,50.169,2226700
2016-07-20,49.6975,52.3158,49.6975,52.0885,2489300
2016-07-21,51.9538,52.3411,51.5581,51.8107,1907800
2016-07-22,51.7854,51.9033,51.3813,51.5834,1583900
2016-07-25,51.6002,51.878,51.4992,51.6339,1465400
2016-07-26,51.7265,51.9454,51.415,51.7012,1493900
2016-07-27,51.9286,52.1643,51.4066,51.6002,1205600
2016-07-28,51.4823,51.6255,50.7499,50.9772,1255100
2016-07-29,50.9856,51.154,50.5142,50.7499,2034900
2016-08-01,50.8172,51.0614,50.531,50.6152,1161900
2016-08-02,50.5394,50.6067,48.704,48.8724,2210900
2016-08-03,48.9482,49.3018,48.8809,49.0829,1789500
2016-08-04,49.1082,49.3102,48.8303,48.9398,987500
2016-08-05,49.2429,49.7143,49.1082,49.6554,1693400
2016-08-08,49.849,50.1016,49.5965,49.7901,978600
2016-08-09,49.8827,50.11,49.7059,50.0595,1353900
2016-08-10,50.1774,50.371,49.9838,50.2868,1518800
