date,open,high,low,close,volume
2016-04-22,61.4877,61.6658,60.9388,61.0723,3208300
2016-04-25,60.9388,61.2726,60.5308,61.2726,3163700
2016-04-26,61.3023,61.6509,61.1465,61.2726,2933800
2016-04-27,61.3245,61.9922,60.9759,61.7845,3580200
2016-04-28,61.4358,61.5619,60.197,60.3306,3833000
2016-04-29,59.789,59.8483,58.6095,58.973,6838700
2016-05-02,58.9359,59.4626,58.6318,59.433,4891900
2016-05-03,59.3217,59.5961,59.025,59.3365,3231300
2016-05-04,59.0991,59.5442,58.9211,59.1288,3214500
2016-05-05,59.0175,59.1288,57.5785,57.9568,5655500
2016-05-06,57.9568,58.4983,57.7491,58.4093,3467700
2016-05-09,58.6689,59.5665,58.4315,59.292,4391500
2016-05-10,59.2401,59.7223,58.8247,59.381,3855000
2016-05-11,57.1631,57.393,56.1394,56.1542,11492700
2016-05-12,55.8797,56.6735,55.8649,56.08,9124900
2016-05-13,55.8278,55.9242,54.7299,54.8041,9456800
2016-05-16,54.976,56.3215,54.5649,55.7684,8756400
2016-05-17,55.7983,56.1346,54.6098,55.0209,9292800
2016-05-18,50.4389,51.2911,48.959,50.8276,36405600
2016-05-19,50.9472,51.3583,49.9232,50.125,12987700
2016-05-20,50.3716,51.6797,50.0801,51.3209,9325800
2016-05-23,51.4106,51.6125,50.723,50.7753,7890200
2016-05-24,50.8799,51.7395,50.8425,51.3434,7586700
2016-05-25,51.4405,52.0833,51.0668,51.7844,8697700
2016-05-26,52.046,52.4048,51.4256,51.5078,7018000
2016-05-27,51.5601,51.9712,51.3957,51.5003,4811900
2016-05-31,51.7844,51.9264,51.1789,51.4106,8560500
2016-06-01,51.5452,51.5452,50.8351,51.1341,8786700
2016-06-02,50.6333,51.1416,50.6333,51.0668,13664100
2016-06-03,51.1117,51.5975,50.8799,51.3135,7251000
2016-06-06,51.291,51.7395,50.9995,51.433,5623900
2016-06-07,51.7395,52.0534,50.9696,51.007,5375400
2016-06-08,51.0892,51.5078,50.9173,51.291,5708900
2016-06-09,51.2611,51.4779,50.3492,50.5959,6122900
2016-06-10,50.4165,50.9248,50.1175,50.7379,4743600
2016-06-13,50.7155,50.8949,49.9605,49.9979,4603700
2016-06-14,49.8335,50.0353,49.2804,49.8858,5271800
