date,open,high,low,close,volume
2016-04-18,141.326,142.4728,140.6846,142.3464,907600
2016-04-19,141.7633,142.638,141.0636,141.4912,1312100
2016-04-20,141.7147,142.7254,140.9178,142.3173,1323100
2016-04-21,142.0063,143.6098,141.6661,143.2017,1329200
2016-04-22,143.3183,143.775,141.5398,142.7157,1014600
2016-04-25,142.6088,143.0947,142.1812,142.4338,1396700
2016-04-26,142.0161,142.259,140.4708,141.5107,1794200
2016-04-27,141.5106,143.5904,141.0733,142.9975,1497800
2016-04-28,143.0656,143.7361,139.2462,141.2288,3063500
2016-04-29,139.8488,140.5096,137.1568,140.1889,2205700
2016-05-02,140.9275,142.638,140.8984,142.3756,1537100
2016-05-03,142.0452,142.1132,139.6836,140.7915,981700
2016-05-04,139.1976,140.947,138.9547,140.4805,982500
2016-05-05,140.1209,141.6758,139.7419,141.0539,1224000
2016-05-06,140.9178,143.3766,140.7818,142.8324,1257400
2016-05-09,143.1433,144.3192,142.6477,143.3085,1191200
2016-05-10,144.1832,144.6983,142.9393,144.64,1471500
2016-05-11,144.8052,145.7285,143.7848,143.8042,972200
2016-05-12,144.1152,145.0579,143.4252,144.7274,1203300
2016-05-13,144.193,145.1454,143.2503,143.7265,1531100
2016-05-16,143.7362,146.195,143.5418,146.0103,1473000
2016-05-17,145.9617,146.7003,143.8917,144.6303,1815800
2016-05-18,144.2512,146.9627,143.8431,145.8839,1715100
2016-05-19,145.3008,145.3494,142.7934,144.2415,1428000
2016-05-20,145.1453,146.0783,144.1735,144.6594,1420900
2016-05-23,144.6594,145.2328,143.707,144.6497,994100
2016-05-24,145.0384,146.8072,144.6011,146.4379,1097600
2016-05-25,146.5934,147.4097,146.3602,146.9044,1311800
2016-05-26,146.6809,147.575,146.2727,146.9433,914300
2016-05-27,147.2542,147.8859,146.1172,147.8471,1847600
2016-05-31,147.7208,147.8374,146.2824,147.4973,2177300
2016-06-01,147.0307,149.1299,146.3893,148.7508,1730000
2016-06-02,148.2844,149.3729,148.022,149.2271,809600
2016-06-03,148.4107,148.9647,147.0307,148.5662,831700
2016-06-06,148.4982,149.5673,147.7499,148.8773,1015000
2016-06-07,148.8869,149.2854,148.2358,148.3913,1415600
2016-06-08,148.6537,149.956,147.711,149.8005,1395000
2016-06-09,149.2757,150.4516,148.7023,149.8102,1002600
2016-06-10,148.7315,148.9647,147.1571,147.5264,1303100
2016-06-13,147.3804,148.1975,146.3492,146.427,956800
2016-06-14,145.6683,145.7461,143.1195,143.9562,1755900
2016-06-15,144.355,144.6177,143.2558,143.4017,1131800
2016-06-16,142.6526,143.3919,141.2809,143.2265,1335100
2016-06-17,143.1098,143.3725,141.8646,142.2635,1418500
2016-06-20,143.7033,145.143,143.5379,144.3356,1264400
2016-06-21,144.8998,146.0088,144.355,144.8609,1257900
2016-06-22,145.0457,147.3804,144.9971,145.7753,936000
2016-06-23,147.3804,148.0517,146.6995,148.003,1136900
2016-06-24,142.6429,144.7928,140.6876,141.3977,3149400
2016-06-27,139.9287,140.7166,136.3974,137.0978,2842400
2016-06-28,138.4987,139.3742,137.6524,139.2575,2075100
2016-06-29,140.5416,141.6895,139.1991,141.2129,1998800
2016-06-30,141.6311,143.7616,141.1837,143.7421,2419800
2016-07-01,143.9172,145.7753,143.46,145.1721,1433100
2016-07-05,144.1702,144.6955,142.6526,143.246,1878200
2016-07-06,142.4191,145.3181,141.7868,145.0554,1869400
2016-07-07,144.7928,145.6586,144.4134,145.0068,1331900
2016-07-08,146.3784,149.2482,146.2714,148.5381,1153700
2016-07-11,148.9078,149.472,147.8766,148.1976,959100
2016-07-12,149.0633,150.5615,148.3045,150.1821,1188000
2016-07-13,150.795,150.9507,149.9001,150.5908,844200
2016-07-14,152.3418,153.7718,151.4662,153.441,2033500
2016-07-15,154.0636,154.0636,152.4877,152.7698,1628200
2016-07-18,152.3904,153.0422,151.8164,152.7795,1098900
2016-07-19,152.0207,152.6725,151.33,152.3807,679200
2016-07-20,152.5267,153.8011,152.2835,153.4022,686900
2016-07-21,153.2464,153.4994,151.4857,151.9526,1103200
2016-07-22,152.5558,153.0909,151.7776,152.6239,901900
2016-07-25,152.7309,153.2757,152.0402,152.7114,1119400
2016-07-26,152.7309,154.8029,152.0499,154.5695,1508200
2016-07-27,155.0559,155.1629,153.1978,154.5792,1536800
2016-07-28,152.8866,154.9295,152.3029,154.5014,1654700
2016-07-29,154.6182,155.6397,154.0734,154.5209,1438600
2016-08-01,154.4333,156.3108,154.2582,155.2213,1794000
2016-08-02,155.192,155.445,151.651,152.1861,1711300
2016-08-03,152.5655,152.5655,151.437,151.7581,1039700
2016-08-04,152.3612,153.4021,152.0012,152.1666,893300
2016-08-05,153.0422,153.5189,152.5558,153.2271,935600
2016-08-08,153.1589,153.5188,151.9137,152.2639,833800
2016-08-09,152.2834,152.9741,152.0013,152.4196,584900
2016-08-10,152.5266,153.0908,151.369,151.7678,687300
2016-08-11,151.9915,153.2659,151.6024,153.1784,781100
2016-08-12,152.5072,152.5753,150.834,151.262,864700
2016-08-15,151.4565,152.2055,151.0673,151.7289,959100
2016-08-16,151.3884,151.7192,150.7561,150.7561,861300
2016-08-17,151.2327,151.3106,149.4914,150.4642,916400
2016-08-18,150.0265,150.2697,148.5867,149.1801,2155800
2016-08-19,148.7229,149.6276,148.3533,149.4039,1498000
2016-08-22,149.5011,150.0751,149.112,149.8027,705900
2016-08-23,150.3572,151.9429,149.9778,150.3475,1064700
2016-08-24,150.1627,150.2989,146.68,147.147,1513700
2016-08-25,147.1761,148.2462,146.6508,147.2345,1358100
2016-08-26,147.789,148.8883,147.3318,148.2171,1158300
2016-08-29,148.1392,149.9194,148.0321,149.3357,986700
2016-08-30,149.6179,149.8514,147.9252,148.9953,966500
2016-08-31,149.005,149.2288,147.4388,148.0517,1053800
2016-09-01,148.4992,148.6743,146.3103,146.8454,1306000
2016-09-02,147.1178,147.7112,146.573,147.0691,1104200
2016-09-06,147.1372,147.2734,146.573,146.894,1498000
2016-09-07,146.5341,147.3123,146.2033,146.4076,1527300
2016-09-08,146.3104,147.1276,146.2909,146.5536,1399400
2016-09-09,144.0632,144.4815,139.7731,139.7731,2995200
2016-09-12,139.2964,142.7693,139.1213,142.4191,1932500
2016-09-13,141.4453,142.0393,139.3614,141.3479,1933900
2016-09-14,141.2116,143.9966,141.2116,143.9772,3221700
2016-09-15,144.4836,146.8597,144.0746,146.0709,2085500
2016-09-16,146.2365,146.4507,145.0484,146.1196,1985500
2016-09-19,146.2462,147.3174,145.9833,146.0709,1058900
2016-09-20,147.405,148.5346,146.5188,147.6484,1488200
2016-09-21,148.4665,151.5437,148.1354,151.3489,1791200
2016-09-22,152.313,153.9685,151.6021,153.5302,1599000
2016-09-23,152.7415,154.0074,152.6051,153.5302,1626200
2016-09-26,152.8681,152.8681,151.534,152.0696,1650500
2016-09-27,152.352,154.8546,151.7482,154.7183,1874200
2016-09-28,154.9228,154.9228,153.0239,154.4846,946700
2016-09-29,154.4749,155.0981,151.2711,151.9722,1473900
2016-09-30,152.5954,155.3513,152.5954,154.8936,1985900
2016-10-03,153.8126,155.0493,153.4425,154.9519,1304500
2016-10-04,154.8157,155.2636,152.3714,153.4426,1124700
2016-10-05,154.2606,154.6404,153.5497,154.134,1171500
2016-10-06,154.358,154.358,153.092,154.2898,998100
2016-10-07,154.8352,154.8352,152.8876,154.0659,1087000
2016-10-10,155.0689,155.9064,154.397,154.9423,927800
2016-10-11,151.9138,152.4883,149.7616,150.8426,2697500
2016-10-12,150.9302,151.1931,149.5668,149.7713,1088600
2016-10-13,148.7489,149.1287,147.1518,148.0477,2191800
2016-10-14,148.8852,148.9241,147.5316,147.7361,1477900
2016-10-17,147.8724,147.8724,146.363,146.8304,1614000
2016-10-18,148.2035,148.3301,147.1031,147.6971,1727300
2016-10-19,147.1518,148.0477,147.0544,147.8238,1859500
2016-10-20,147.8335,148.1354,147.1324,147.6875,2005200
2016-10-21,146.7525,146.8402,145.8371,146.7136,1589500
2016-10-24,147.7556,149.3819,147.0058,149.0995,2098500
2016-10-25,145.4379,146.7136,143.8798,144.094,2431300
2016-10-26,143.3151,144.2596,142.3218,144.1623,3958100
2016-10-27,148.0088,149.265,144.6394,145.3113,2999800
2016-10-28,145.584,145.8177,143.1884,143.354,1805900
2016-10-31,143.5877,144.5226,143.1106,143.1787,1345800
2016-11-01,144.1233,144.1233,140.5591,142.1951,1900600
2016-11-02,141.942,143.1105,141.7082,141.9809,1791000
2016-11-03,142.0101,143.0034,141.8835,142.2536,1821200
2016-11-04,142.3802,143.8116,142.3802,142.7307,1365700
2016-11-07,144.9803,148.3983,144.2888,147.8335,2027200
2016-11-08,147.444,150.0051,146.6357,148.5638,1620000
2016-11-09,150.5894,152.907,145.5353,148.0672,2441500
2016-11-10,149.7714,151.5242,148.8657,150.307,2247900
2016-11-11,149.3721,149.5668,146.7136,147.2881,1766300
2016-11-14,148.5249,149.041,143.8603,144.1427,2517100
2016-11-15,144.6004,145.1457,143.2079,144.766,2114300
2016-11-16,144.9803,146.1878,144.7368,145.5743,1591500
2016-11-17,145.6716,145.9443,144.5322,144.9802,1552100
2016-11-18,144.8731,145.2918,141.8154,141.9906,2631700
2016-11-21,142.6529,142.6626,140.9487,142.3412,2975500
2016-11-22,142.7113,142.7113,138.037,139.2543,3277500
2016-11-23,138.3779,139.8483,137.7546,139.7509,2582700
2016-11-25,139.712,140.4326,138.9816,140.4034,803900
2016-11-28,139.1958,139.6243,135.8751,136.6445,3667300
2016-11-29,137.0145,138.2805,136.0797,137.5696,2576600
2016-11-30,138.3097,138.6894,136.2744,136.44,2166600
2016-12-01,136.7905,136.9755,135.4272,135.9725,2703400
2016-12-02,135.9433,139.41,135.6706,138.1928,3166100
2016-12-05,139.3029,141.0558,137.4429,137.6767,2920800
2016-12-06,137.8617,140.637,137.5793,139.8288,3759200
2016-12-07,139.1374,139.1764,136.3913,138.1344,2413500
2016-12-08,138.0662,140.0138,137.2969,139.3224,1819400
2016-12-09,140.0431,141.8349,139.9846,141.6012,1620400
2016-12-12,140.491,142.2244,140.491,141.3771,1390800
2016-12-13,141.8938,142.7906,141.5526,142.2252,1254300
2016-12-14,141.9036,142.352,139.6225,140.1781,1657300
2016-12-15,140.3731,140.6948,139.2715,139.8857,1849300
2016-12-16,139.8662,141.6501,138.6672,138.9499,2710500
2016-12-19,138.7549,139.798,137.1757,137.6924,1591400
2016-12-20,138.014,138.9985,137.1659,138.2284,1871300
2016-12-21,138.1701,138.2285,136.8833,137.2245,1502600
2016-12-22,137.3998,137.5363,136.3568,136.9807,1191100
2016-12-23,137.3024,138.4137,136.3569,138.2675,1047700
2016-12-27,138.5892,139.5835,138.2967,138.8232,879500
2016-12-28,138.9693,139.1838,137.5558,137.6631,1015300
2016-12-29,137.4584,138.7939,137.4487,137.9166,771600
2016-12-30,138.5794,138.7549,136.9125,137.5461,1063200
2017-01-03,138.8036,140.2074,138.6477,140.0514,1966400
