date,open,high,low,close,volume
2016-04-22,14.5753,14.6933,14.5753,14.6048,23400
2016-04-25,14.6441,15.2338,14.6441,15.0373,211500
2016-04-26,14.8554,15.0373,14.7994,15.0373,45900
2016-04-27,15.2034,15.8225,15.1532,15.3724,75600
2016-04-28,15.6908,15.7252,15.1572,15.1847,60300
2016-04-29,15.0471,15.2338,14.7198,14.8898,65700
2016-05-02,14.939,15.3773,14.9232,15.0373,63900
2016-05-03,14.8318,15.224,14.8318,15.0638,41400
2016-05-04,15.223,15.3321,14.8653,14.8721,201600
2016-05-05,14.9685,15.0864,14.6933,14.9193,59400
2016-05-06,14.939,14.939,14.7542,14.8898,43200
2016-05-09,14.7866,15.0146,14.6933,14.6933,172800
2016-05-10,14.8014,15.4795,14.594,15.4795,117900
2016-05-11,15.4579,15.8697,15.4294,15.8265,129600
2016-05-12,15.8255,16.0692,15.8196,15.9316,56700
2016-05-13,15.8235,16.1184,15.7095,16.1184,75600
2016-05-16,16.2147,16.2166,15.7606,16.025,90000
2016-05-17,16.0918,16.1184,15.6761,15.6761,91800
2016-05-18,16.0407,16.0574,15.5984,15.8048,91800
2016-05-19,15.8235,15.8235,15.4461,15.627,75600
2016-05-20,15.2584,15.9071,15.2584,15.7252,68400
2016-05-23,15.6918,16.0732,15.6918,15.9228,83700
2016-05-24,16.1832,16.3228,15.9857,16.1184,99000
2016-05-25,16.0476,16.2098,15.7744,15.9808,81900
2016-05-26,16.0329,16.197,15.8727,15.9218,84600
2016-05-27,15.8294,16.3071,15.6279,16.3071,112500
2016-05-31,16.1773,16.7081,16.138,16.7081,75600
2016-06-01,16.6098,17.1749,16.6098,17.1012,157500
2016-06-02,17.1061,17.1081,16.3149,16.5803,99900
2016-06-03,16.4476,16.8614,16.4368,16.8614,83700
2016-06-06,16.709,16.9036,16.5066,16.8712,143100
2016-06-07,16.9243,16.9793,16.7945,16.7945,90900
2016-06-08,16.943,16.9715,16.7739,16.8122,85500
2016-06-09,16.7208,16.9842,16.6098,16.6638,94500
2016-06-10,16.7081,16.7081,16.2668,16.3464,85500
2016-06-13,16.2294,16.7081,16.1508,16.3346,45000
2016-06-14,16.1734,16.4132,15.9739,16.4132,68400
2016-06-15,16.3149,16.7975,16.2176,16.6098,77400
2016-06-16,16.4181,16.6029,15.9788,16.6029,55800
2016-06-17,16.4486,16.7012,16.4486,16.7012,49500
2016-06-20,16.6147,16.8054,16.5076,16.7572,99900
2016-06-21,16.654,17.0452,16.654,16.8643,112500
2016-06-22,16.8879,17.0373,16.7012,16.9479,108000
2016-06-23,17.0894,17.0894,16.5371,16.5371,111600
2016-06-24,16.2855,16.6776,16.1872,16.2157,149400
2016-06-27,16.0604,16.2068,15.8383,16.0466,97200
2016-06-28,16.0899,16.1213,15.9218,16.1184,65700
2016-06-29,16.1076,16.5459,16.0299,16.5115,92700
2016-06-30,16.4476,16.6265,15.9601,16.5754,26100
2016-07-01,16.3857,17.0019,16.3857,16.8555,56700
2016-07-05,16.6776,16.6776,16.5518,16.6294,20700
2016-07-06,16.541,16.7552,16.2166,16.7081,48600
2016-07-07,16.7081,16.9046,16.6157,16.8132,70200
2016-07-08,16.7395,16.8928,16.6068,16.8653,54000
2016-07-11,16.8624,16.8643,16.4732,16.7071,74700
2016-07-12,16.4918,16.8565,16.4918,16.7867,118800
2016-07-13,16.7081,16.8447,16.4741,16.654,79200
2016-07-14,16.6196,16.8054,16.4879,16.5941,63000
2016-07-15,16.5115,16.7071,16.3542,16.7061,27900
2016-07-18,16.5528,16.6707,16.5459,16.6098,35100
2016-07-19,16.6098,16.7061,16.2186,16.7061,35100
2016-07-20,16.6294,16.6294,16.2697,16.6098,67500
2016-07-21,16.5233,16.6098,16.4122,16.5115,36000
2016-07-22,16.3975,16.7081,16.311,16.7071,37800
2016-07-25,16.5872,16.6579,16.4132,16.6579,60300
2016-07-26,16.4977,16.5999,16.2658,16.2658,82800
2016-07-27,16.3631,16.3837,15.9218,16.0417,101700
2016-07-28,15.9464,16.1626,15.7616,15.7921,47700
2016-07-29,15.8442,15.8736,15.455,15.7252,125100
2016-08-01,15.798,15.9247,15.3567,15.3911,99900
2016-08-02,15.4628,16.1125,15.3321,15.9424,121500
2016-08-03,16.0004,16.6098,16.0004,16.5115,58500
2016-08-04,16.5115,17.1012,16.3641,16.9754,118800
2016-08-05,17.0334,17.1995,16.8063,17.1985,97200
2016-08-08,17.1995,17.7646,17.1995,17.5002,202500
2016-08-09,17.5179,17.6909,17.1995,17.3862,91800
2016-08-10,17.339,17.3469,17.1022,17.2486,68400
2016-08-11,17.2781,17.4943,17.1307,17.1307,108900
2016-08-12,16.9557,17.2525,16.7081,17.2525,112500
2016-08-15,17.2525,17.4943,17.1965,17.3715,120600
2016-08-16,17.2987,17.4943,17.2221,17.2722,63000
2016-08-17,17.2584,17.4943,17.1828,17.4432,97200
2016-08-18,17.4973,17.6909,17.3734,17.6811,185400
2016-08-19,17.6486,17.6486,17.4255,17.5484,62100
2016-08-22,17.3499,17.6457,17.2948,17.627,57600
2016-08-23,17.5159,17.6476,17.2811,17.3174,129600
2016-08-24,17.283,17.3764,17.2034,17.3223,134100
2016-08-25,17.2584,17.3862,16.8309,16.9764,121500
2016-08-26,17.0855,17.1385,16.7081,17.0619,48600
2016-08-29,17.0196,17.4933,17.0196,17.2123,98100
2016-08-30,17.3557,17.573,17.3017,17.4452,64800
2016-08-31,17.3685,17.6172,17.0137,17.3666,92700
2016-09-01,17.2997,17.4019,17.2506,17.3508,75600
2016-09-02,17.3322,17.4933,17.3322,17.3764,132300
2016-09-06,17.3783,17.6231,17.2191,17.4983,226800
2016-09-07,17.6712,18.3228,17.6221,18.1882,316800
2016-09-08,18.2629,22.7623,18.1823,21.692,3198600
2016-09-09,21.748,21.9171,19.2683,19.3617,1196100
2016-09-12,19.3008,20.0389,18.9764,19.5583,383400
2016-09-13,19.4069,19.8531,19.175,19.5681,349200
2016-09-14,19.4855,21.1701,19.4855,20.43,389700
2016-09-15,20.5067,21.4256,20.5067,21.23,234900
2016-09-16,21.3755,21.8188,20.8428,21.6212,270000
2016-09-19,21.575,21.7873,20.89,21.2232,267300
2016-09-20,21.0296,21.7215,20.9382,21.5249,114300
2016-09-21,21.6537,21.7716,21.2143,21.5701,134100
2016-09-22,21.7205,21.8178,21.4266,21.575,245700
2016-09-23,21.577,21.7686,21.4325,21.4325,69300
2016-09-26,21.6124,22.2905,21.5573,21.9436,126000
2016-09-27,21.9229,22.4448,21.7372,22.3102,102600
2016-09-28,22.433,23.0375,22.433,22.9009,258300
2016-09-29,22.9883,23.182,22.8763,23.0316,258300
2016-09-30,23.1878,23.8355,23.0149,23.522,214200
2016-10-03,23.5102,23.5888,23.0994,23.5318,331200
2016-10-04,23.8552,24.1775,23.4257,23.5053,225900
2016-10-05,23.9338,24.8262,23.5879,24.2444,222300
2016-10-06,24.5697,24.7427,24.0793,24.7417,223200
2016-10-07,25.011,25.6272,24.8449,25.2587,346500
2016-10-10,25.5535,25.9663,25.2361,25.412,225000
2016-10-11,25.2154,25.4945,25.2154,25.4208,113400
2016-10-12,25.3746,26.8302,25.3746,26.4498,344700
2016-10-13,26.5422,26.6887,26.2543,26.6887,247500
2016-10-14,26.9049,27.3265,26.4135,27.0081,386100
2016-10-17,27.2489,27.471,26.8135,26.8135,162900
2016-10-18,26.957,27.5192,26.8636,26.897,205200
2016-10-19,26.7968,27.5821,26.7968,27.5663,174600
2016-10-20,27.6607,27.8632,27.2145,27.3216,185400
2016-10-21,27.3079,28.0194,27.2735,28.0096,208800
2016-10-24,28.4224,29.3364,28.3054,29.1909,400500
2016-10-25,29.2077,30.0008,29.2077,29.9271,494100
2016-10-26,29.8092,29.8288,28.0863,28.3054,332100
2016-10-27,28.3742,28.6357,24.8164,25.5525,630000
2016-10-28,24.7781,26.7879,24.6621,26.4813,234000
2016-10-31,26.3388,26.7015,26.0724,26.0724,159300
2016-11-01,26.2847,26.5874,26.0449,26.1648,63900
2016-11-02,26.1216,26.1432,24.9609,25.9162,204300
2016-11-03,25.9152,25.9152,25.0169,25.0169,169200
2016-11-04,25.0051,25.0051,24.5274,24.6719,231300
2016-11-07,24.9147,25.013,24.7181,24.9147,117000
2016-11-08,24.7525,24.9363,24.5972,24.8095,137700
2016-11-09,24.4724,26.1098,24.4724,26.1098,165600
