date,open,high,low,close,volume
2016-04-22,33.532,33.7371,33.3105,33.4828,643669
2016-04-25,33.4418,33.5566,33.212,33.5238,772808
2016-04-26,33.6715,34.4591,33.6715,34.172,1179771
2016-04-27,34.254,34.2786,33.7289,34.0735,966467
2016-04-28,34.0079,34.2376,33.6961,33.7453,777815
2016-04-29,33.6879,33.7782,33.3679,33.7453,971089
2016-05-02,33.3269,33.893,33.2777,33.852,788312
2016-05-03,33.5894,33.8192,33.1464,33.2777,865930
2016-05-04,33.0726,33.3925,32.9167,33.3187,702797
2016-05-05,33.491,33.491,33.1218,33.1628,917643
2016-05-06,33.089,33.3187,32.9413,33.2449,682286
2016-05-09,33.1382,33.4254,33.089,33.409,568844
2016-05-10,33.532,34.0161,33.5238,33.9997,654936
2016-05-11,33.852,33.9751,33.5402,33.6387,693553
2016-05-12,33.9094,34.0407,33.6387,33.9833,668226
2016-05-13,33.8356,33.8438,33.6141,33.7371,826447
2016-05-16,33.7453,34.0899,33.5812,33.9997,721576
2016-05-17,33.8756,33.9749,33.3461,33.6357,1165326
2016-05-18,33.4454,33.768,33.2882,33.4868,735636
2016-05-19,33.2303,33.5116,33.0732,33.462,726198
2016-05-20,33.5861,34.2727,33.5199,34.132,1200380
2016-05-23,34.0576,34.0989,33.7267,33.735,746325
2016-05-24,33.9666,34.3968,33.9666,34.2809,1084916
2016-05-25,34.4877,34.7276,34.3719,34.4877,1052174
2016-05-26,34.678,34.8104,34.5539,34.6532,679782
2016-05-27,34.4629,35.0255,34.4629,34.9758,590993
2016-05-31,34.9676,35.0586,34.678,34.7856,960593
2016-06-01,34.8187,35.0089,34.587,34.7856,587526
2016-06-02,34.587,34.8187,34.5043,34.8021,839832
2016-06-03,35.0337,35.0999,34.7773,35.0006,596386
2016-06-06,35.0007,35.2571,34.9345,35.1082,628646
2016-06-07,35.1247,35.2654,34.9841,35.224,692204
2016-06-08,35.3895,35.4143,35.1247,35.2985,513183
2016-06-09,35.0503,35.1661,34.9179,35.1165,642610
2016-06-10,34.9676,35.0751,34.5787,34.6946,647618
2016-06-13,34.4712,34.7277,34.3637,34.4712,578956
2016-06-14,34.3471,34.4298,34.0907,34.2809,734480
2016-06-15,34.2561,34.3058,34.0328,34.0989,799772
2016-06-16,33.826,34.0907,33.462,34.041,825773
2016-06-17,34.1899,34.2313,33.8342,33.9666,856300
2016-06-20,34.2727,34.5374,34.2065,34.2396,729473
2016-06-21,34.2147,34.4546,34.1899,34.2975,671307
2016-06-22,34.3554,34.5456,34.1982,34.2396,973689
2016-06-23,34.6201,34.769,34.496,34.7028,575778
2016-06-24,33.0153,33.644,32.8167,33.0732,3001190
2016-06-27,32.2625,32.4031,31.6255,31.8902,1854257
2016-06-28,32.1632,32.3535,31.9647,32.2046,1112554
2016-06-29,32.5024,33.1642,32.4527,33.1145,810942
2016-06-30,33.1559,33.5447,33.0401,33.4372,1280116
2016-07-01,33.4372,33.8839,33.3875,33.7432,648966
2016-07-05,33.5861,33.917,33.4372,33.462,1251900
2016-07-06,33.4289,33.5199,32.9904,33.4868,646558
2016-07-07,33.6522,33.8094,33.2965,33.3958,575970
2016-07-08,33.644,33.917,33.5447,33.826,872863
2016-07-11,33.8177,34.4547,33.8094,34.314,815083
2016-07-12,34.7028,34.951,34.6201,34.8435,754125
2016-07-13,34.8435,35.2488,34.8352,35.2075,722539
2016-07-14,35.5218,35.7782,35.3729,35.6459,800542
2016-07-15,35.6707,35.8693,35.3894,35.4639,655610
2016-07-18,35.3977,35.9272,35.3481,35.8362,762600
2016-07-19,35.6045,35.9023,35.5549,35.7783,803046
2016-07-20,35.8361,36.134,35.77,35.9851,514146
2016-07-21,35.9851,36.076,35.7452,35.8113,490071
2016-07-22,35.8693,35.9851,35.679,35.9106,763563
2016-07-25,35.7783,36.0347,35.7369,35.9023,626817
2016-07-26,35.9437,36.0926,35.8113,36.0595,502686
2016-07-27,36.0843,36.0843,35.77,35.8527,632980
2016-07-28,35.5218,35.6045,34.8848,34.9924,1506614
2016-07-29,34.9262,35.0503,34.7442,34.8352,942103
2016-08-01,34.4133,34.678,34.1734,34.6036,1094642
2016-08-02,34.7525,34.7856,34.1734,34.1899,837714
2016-08-03,34.2975,34.4216,34.1403,34.2975,613335
2016-08-04,34.2975,34.4216,34.1568,34.2561,687871
2016-08-05,34.132,34.3719,34.0907,34.1569,758940
2016-08-08,34.1982,34.223,33.9749,34.1569,566244
2016-08-09,34.1651,34.6697,34.1651,34.5953,900020
2016-08-10,34.8435,34.8435,34.4464,34.5705,476396
2016-08-11,34.7194,35.0503,34.6367,34.8931,817106
2016-08-12,34.9014,35.0255,34.587,34.6615,540339
2016-08-15,34.7028,34.86,34.6697,34.7111,443654
2016-08-16,34.7612,34.8029,34.4192,34.4276,591378
2016-08-17,34.3608,34.7778,34.2024,34.6944,577704
2016-08-18,34.6944,35.0114,34.6194,34.928,615164
2016-08-19,34.6611,34.8028,34.4359,34.7028,722154
2016-08-22,34.5943,34.8112,34.4192,34.6444,524642
2016-08-23,34.9947,34.9947,34.636,34.6694,834632
