date,open,high,low,close,volume
2016-04-22,53.7014,54.0199,53.3622,53.7084,1525000
2016-04-25,53.4937,53.8953,53.0161,53.2861,1897100
2016-04-26,54.3314,54.6914,52.8361,53.6668,2740300
2016-04-27,53.4384,53.9853,53.2238,53.6253,1952500
2016-04-28,53.2653,53.466,52.2268,52.4553,1759900
2016-04-29,51.9568,52.4414,51.7561,52.123,1431700
2016-05-02,52.3722,52.5592,51.7145,52.3999,1334800
2016-05-03,51.9845,51.9845,51.1884,51.8738,1186900
2016-05-04,51.7076,51.8946,51.2576,51.4307,1205100
2016-05-05,51.6592,51.853,51.2784,51.4653,1895300
2016-05-06,51.0569,51.9984,51.0222,51.9845,1422900
2016-05-09,51.7838,52.2061,51.5415,51.9499,1345900
2016-05-10,52.0953,52.5661,51.9499,52.5176,1447500
2016-05-11,52.2338,52.663,52.1507,52.1646,1346000
2016-05-12,52.3999,52.7391,51.9707,52.3445,914200
2016-05-13,52.1922,52.6145,50.9323,51.3199,1050400
2016-05-16,51.3753,51.9776,51.3753,51.7422,1008800
2016-05-17,51.4792,51.7907,51.0707,51.2853,1191100
2016-05-18,51.2438,51.7284,50.9323,51.5276,1787600
2016-05-19,51.223,51.4238,50.5653,51.05,1216800
2016-05-20,51.3199,51.9707,51.2715,51.8391,3992000
2016-05-23,51.5899,51.943,51.5207,51.583,1054400
2016-05-24,52.0191,53.1545,51.7838,53.0091,1278000
2016-05-25,53.1199,53.743,53.0853,53.556,1084700
2016-05-26,53.4522,53.653,53.0507,53.0714,723800
2016-05-27,53.2307,53.653,53.113,53.3968,701300
2016-05-31,53.7637,53.7914,52.9953,53.3484,1943100
2016-06-01,52.9607,53.3622,52.753,53.3207,901000
2016-06-02,52.9953,53.2653,52.7461,53.2653,1006600
2016-06-03,52.4761,52.8015,51.9015,52.6007,1054200
2016-06-06,52.6007,53.2584,52.6007,52.8984,1036000
2016-06-07,52.9053,52.9399,52.1715,52.2476,885000
2016-06-08,52.123,52.4207,51.7561,51.9776,978400
2016-06-09,51.8392,51.8392,51.2992,51.4861,838300
2016-06-10,50.9669,51.0707,50.2261,50.42,1047000
2016-06-13,50.3432,50.678,49.9945,50.0224,1348100
2016-06-14,49.8341,50.0712,49.3807,49.6179,1304200
2016-06-15,49.8968,50.5455,49.7504,49.9108,1521700
2016-06-16,49.3877,49.7643,49.0111,49.6876,1129800
2016-06-17,49.5969,49.9805,49.3807,49.7783,1353100
2016-06-20,50.4757,50.964,50.3153,50.3642,1104900
2016-06-21,50.5176,50.8036,49.9736,50.1131,1309800
2016-06-22,50.2874,50.6013,49.8968,50.2177,770600
2016-06-23,50.7687,51.2848,50.2944,51.2778,973900
2016-06-24,48.8367,49.9666,47.4976,48.5438,3841600
2016-06-27,47.8951,47.9858,46.9675,47.1628,2421600
2016-06-28,47.7277,48.474,47.3302,48.3903,2245600
2016-06-29,48.9971,49.8062,48.8227,49.7573,1961300
2016-06-30,49.7992,50.8942,49.5621,50.8942,1856100
2016-07-01,50.8524,51.1941,50.2316,50.4548,1222300
2016-07-05,50.0084,50.1619,49.3737,49.7643,1114600
2016-07-06,49.7643,50.2944,49.2482,50.1898,1245100
2016-07-07,50.0294,50.4897,49.4714,49.9317,1369400
2016-07-08,50.7129,51.1174,50.6362,51.0826,1357900
2016-07-11,51.3057,51.6475,50.8314,51.1523,1027100
2016-07-12,51.6405,51.9683,51.4383,51.9404,1273200
2016-07-13,52.066,52.2543,51.3057,51.5359,1207300
2016-07-14,52.2334,52.3938,51.6614,51.7033,1157000
2016-07-15,51.9474,52.0799,51.4731,52.066,1052500
2016-07-18,52.0799,52.2543,51.9056,52.0241,1067400
2016-07-19,51.9056,51.9056,51.3615,51.6684,1217700
2016-07-20,51.4243,51.7172,50.7268,51.6614,1239000
2016-07-21,51.7661,51.8916,51.4452,51.5289,993500
2016-07-22,51.7312,51.7521,51.3406,51.6963,976700
2016-07-25,51.7103,51.8498,51.1244,51.3964,1719700
2016-07-26,50.2177,50.3781,49.1366,49.2064,3335600
2016-07-27,49.2761,49.576,47.7835,49.297,2836700
2016-07-28,49.1157,49.3249,48.7042,49.1296,1722400
2016-07-29,48.9622,49.4854,48.76,49.304,2357100
2016-08-01,49.2133,49.304,48.6065,48.7112,1888200
2016-08-02,48.6763,48.6763,47.9718,48.1253,1768600
2016-08-03,48.5159,48.5368,47.9788,48.195,1692700
2016-08-04,48.1323,48.5089,47.9858,48.1602,1019400
2016-08-05,48.6414,48.8855,48.4531,48.7112,1613800
2016-08-08,48.8646,48.9204,48.4949,48.5996,1548000
