date,open,high,low,close,volume
2016-04-18,93.5364,93.6169,92.8926,93.3594,2349800
2016-04-19,94.0032,94.3493,93.4238,93.5686,1216400
2016-04-20,93.8583,93.8986,92.6592,93.1904,1962600
2016-04-21,89.7541,90.4301,87.1145,87.5491,5073700
2016-04-22,87.8468,89.4644,87.7985,89.1988,2023500
2016-04-25,88.9654,89.0459,88.1285,88.7964,1482300
2016-04-26,89.0298,89.2712,88.1687,88.4987,1614900
2016-04-27,88.6274,88.6274,87.6215,88.1446,2342000
2016-04-28,87.4927,88.4182,87.2111,87.8227,1448300
2016-04-29,87.6859,88.6194,87.3157,88.4424,1697600
2016-05-02,88.5309,89.5448,88.5309,89.2551,1413900
2016-05-03,88.2653,89.0781,88.217,88.7884,1256500
2016-05-04,88.1365,88.6757,87.4605,88.3055,1348400
2016-05-05,88.8367,89.4564,88.7401,89.1264,1590000
2016-05-06,88.9252,88.9976,88.3055,88.885,1272700
2016-05-09,88.6114,89.3678,88.5309,89.1747,942300
2016-05-10,89.3276,90.3577,89.1183,90.3496,1267100
2016-05-11,90.3818,91.0336,90.0518,90.1082,1519500
2016-05-12,90.2853,90.9693,89.8346,90.6474,1274800
2016-05-13,90.8002,90.9451,90.076,90.6715,1608200
2016-05-16,90.3416,90.8244,90.084,90.3255,1155000
2016-05-17,90.1967,90.3416,88.6033,88.8608,1490500
2016-05-18,88.7401,90.0438,88.5067,89.569,1346700
2016-05-19,88.9494,89.3034,88.4102,88.6033,1638300
2016-05-20,89.1264,90.5025,88.9091,90.0438,1805800
2016-05-23,89.8909,90.2852,89.4966,89.6414,1110700
2016-05-24,89.8185,91.3395,89.73,91.2912,1386400
2016-05-25,91.5487,92.0476,91.2027,91.3717,1180200
2016-05-26,91.3234,91.5487,90.9451,91.4199,1205200
2016-05-27,91.428,92.0155,91.3797,91.8867,1031200
2016-05-31,91.9269,92.5466,91.3314,91.8545,2135700
2016-06-01,91.5406,92.442,91.2348,92.4178,1398800
2016-06-02,92.3535,92.4581,91.9108,92.442,1130800
2016-06-03,91.8384,92.5144,91.1624,92.2408,1087400
2016-06-06,92.5466,92.8122,91.8384,92.0074,1339200
2016-06-07,92.2327,92.5546,91.9269,92.2086,1888800
2016-06-08,91.9172,92.6862,91.9172,92.4596,1280900
2016-06-09,92.1439,92.5972,91.901,92.4596,918800
2016-06-10,92.3867,92.6133,91.6905,92.1276,1203600
2016-06-13,91.9657,92.7347,91.3829,91.4719,1363400
2016-06-14,91.5691,91.6743,90.8648,91.1077,1530100
2016-06-15,91.3748,91.5286,90.4115,90.5087,1174600
2016-06-16,90.0473,91.302,89.853,91.2696,1143000
2016-06-17,91.5286,91.5529,90.1201,90.5492,2102200
2016-06-20,91.1725,91.9496,91.0753,91.1563,1171200
2016-06-21,91.3991,91.5934,91.0348,91.2453,1056100
2016-06-22,91.3991,91.5286,90.4358,90.5248,1565800
2016-06-23,91.65,92.2005,91.0915,92.16,1132500
2016-06-24,88.4849,91.0024,88.3878,89.8692,2424000
2016-06-27,89.424,89.7154,88.5011,89.3268,1868900
2016-06-28,90.5572,92.4029,89.9177,92.3867,2062600
2016-06-29,92.9938,94.5885,92.8643,94.5561,2190900
2016-06-30,94.637,96.3693,94.5723,96.3613,2584300
2016-07-01,96.2965,96.5717,95.7056,96.2075,1353400
2016-07-05,95.7217,96.3612,95.5356,96.0698,1406100
2016-07-06,95.827,96.3046,95.5599,96.1346,1360400
2016-07-07,96.086,96.1589,94.7504,95.1227,1237100
2016-07-08,95.8432,95.8675,95.1551,95.5841,1197300
2016-07-11,95.7784,95.8999,95.4465,95.6165,1019500
2016-07-12,95.8432,96.2479,95.2523,95.5922,1201000
2016-07-13,95.7946,95.9403,95.487,95.5194,1231800
2016-07-14,96.3289,96.3936,95.827,96.1184,1090300
2016-07-15,96.4422,96.4827,95.827,96.0375,1546800
2016-07-18,95.916,96.2156,95.0013,95.0175,2037200
2016-07-19,94.6532,94.9689,94.3537,94.7504,1384400
2016-07-20,95.0742,95.2361,94.6614,94.718,1662000
2016-07-21,94.2161,94.6047,93.0909,94.4832,1799700
2016-07-22,94.4832,95.2037,93.7952,94.8313,1068000
2016-07-25,94.7099,95.1389,94.2809,95.0742,1265500
2016-07-26,95.2846,95.6246,94.7099,95.2361,1358100
2016-07-27,94.8232,95.1147,94.0542,94.2485,1976900
2016-07-28,94.3699,95.2604,94.0704,95.2037,1268300
2016-07-29,94.9851,95.2604,94.0057,94.0785,2169100
2016-08-01,94.1109,94.6289,93.9004,94.5561,1508400
2016-08-02,94.4752,94.8394,94.3133,94.7342,1106300
2016-08-03,94.9365,95.5113,94.8151,95.5032,1337900
2016-08-04,95.6003,95.8836,95.1146,95.4222,1905100
2016-08-05,95.8513,96.1346,95.487,95.9889,1236000
2016-08-08,95.8594,96.2074,95.2765,95.6408,1226500
2016-08-09,95.7622,95.9484,95.5922,95.6651,976700
2016-08-10,95.4789,95.8108,95.3737,95.7056,953700
2016-08-11,96.086,96.2479,95.8189,96.0051,986900
2016-08-12,95.9889,96.2155,95.8189,95.9322,815700
2016-08-15,95.9889,96.1265,95.5842,95.8027,1029700
2016-08-16,95.4708,95.8755,94.6937,94.6937,1102800
2016-08-17,94.7909,95.2199,94.3942,95.0499,1223800
2016-08-18,95.0094,95.3737,94.7504,95.3737,1271300
2016-08-19,95.0175,95.2037,94.6937,95.0904,1108600
2016-08-22,95.0337,95.0337,94.1514,94.6694,1137100
2016-08-23,94.9366,95.2765,94.3942,94.4104,871000
2016-08-24,94.4347,94.9042,93.8761,94.799,1014000
2016-08-25,94.8152,95.5599,94.6937,95.317,823100
2016-08-26,95.5761,96.167,94.4185,94.8232,1579000
2016-08-29,95.2199,96.1022,95.1066,95.908,1277800
2016-08-30,95.9079,96.4098,94.8394,95.8998,1482400
2016-08-31,95.6894,96.3694,95.5356,96.0941,1589600
2016-09-01,96.2479,96.2479,95.2523,95.8027,1462500
2016-09-02,95.568,96.5879,95.568,96.1993,1090300
2016-09-06,95.9403,96.5798,95.8351,96.5636,1156400
2016-09-07,96.4578,96.7671,96.2624,96.6125,1149600
2016-09-08,96.0915,96.3357,95.1553,95.1635,1585000
2016-09-09,94.7401,94.7401,93.1446,93.1609,2010900
2016-09-12,92.9085,94.2273,92.5585,94.04,2343800
2016-09-13,93.0957,93.462,92.762,93.0143,1664100
2016-09-14,93.1202,93.2097,92.3794,92.5666,1612100
2016-09-15,92.3712,93.7958,92.3712,93.5679,1385500
2016-09-16,93.2179,93.6981,92.4771,93.3481,3499800
2016-09-19,93.7226,94.4308,93.1446,93.69,1227000
2016-09-20,94.325,94.3657,93.3888,93.4458,1080800
2016-09-21,93.5272,94.4145,93.2911,94.3738,1496600
2016-09-22,94.7727,95.2286,94.5366,95.0251,1107000
2016-09-23,94.9437,94.9844,93.8691,93.8691,1141100
2016-09-26,93.6737,93.6737,92.6154,92.7538,1618000
2016-09-27,92.7131,93.4539,92.591,93.1364,1758600
2016-09-28,93.3725,93.69,92.9492,93.6249,862000
2016-09-29,93.4621,93.6656,92.5096,92.6968,1212600
2016-09-30,92.9492,93.6656,92.9492,93.2504,1361200
2016-10-03,93.0225,93.1446,91.663,91.9886,1234600
2016-10-04,92.241,92.241,90.5803,91.4351,1532700
2016-10-05,91.9398,92.4038,91.5734,92.07,1098700
2016-10-06,92.1433,92.3387,91.2641,92.1351,1336200
2016-10-07,92.6154,93.4946,92.4119,93.2341,1604500
2016-10-10,93.5679,93.9993,93.3155,93.7307,803600
2016-10-11,93.1934,93.5109,92.534,92.8027,1180700
2016-10-12,92.7375,94.0482,92.5829,93.9016,1468100
2016-10-13,93.6086,93.8691,92.9248,93.6656,1237200
2016-10-14,94.3005,94.5936,93.6819,93.6819,1350600
2016-10-17,93.6167,93.9668,93.3888,93.6004,1350000
2016-10-18,94.5448,94.5855,93.6086,93.7633,1454000
2016-10-19,94.154,95.1716,93.7144,94.618,2728800
2016-10-20,91.8502,92.4038,88.9359,89.1557,4606500
2016-10-21,88.3498,88.9115,86.9903,88.2033,3768300
2016-10-24,88.8138,89.1231,88.594,88.7893,2524800
2016-10-25,89.0254,89.465,88.5451,88.7568,2569800
2016-10-26,88.5126,89.001,87.9509,88.5858,2644600
2016-10-27,88.9929,88.9929,87.8939,87.9346,2546000
2016-10-28,88.4068,88.7568,87.5846,88.2684,2245100
2016-10-31,88.6754,88.7487,87.8206,88.0648,2162100
2016-11-01,88.4067,88.4067,86.3065,86.4855,2564600
2016-11-02,86.5181,86.7705,85.7611,85.9809,1718600
2016-11-03,86.3065,86.6728,85.9076,86.0623,1691100
2016-11-04,86.3472,86.3472,85.1261,85.2075,1864900
2016-11-07,86.4693,86.4693,85.411,85.7692,1804200
2016-11-08,85.8262,88.0486,85.6064,87.9265,2082600
2016-11-09,84.2144,87.5276,84.2144,87.0554,3662200
2016-11-10,87.3485,89.3755,86.8112,89.2371,2748900
2016-11-11,89.1231,90.0186,88.8138,89.7744,1962300
2016-11-14,90.1733,91.3781,90.0756,91.3211,3220100
2016-11-15,91.1583,91.199,90.6536,91.0525,1823900
2016-11-16,90.7268,90.8164,90.1163,90.6454,1717300
2016-11-17,90.3361,90.7512,89.8721,90.507,1505600
2016-11-18,90.564,91.2722,90.214,91.028,1718000
2016-11-21,91.1827,91.4513,90.564,91.0443,1388200
2016-11-22,91.1257,91.6793,91.0362,91.5002,1647700
2016-11-23,91.72,92.1759,91.5328,92.0456,1004600
2016-11-25,92.3712,92.705,92.07,92.3549,686300
2016-11-28,92.2735,92.9981,92.2735,92.648,1467300
2016-11-29,92.7213,92.9004,92.3956,92.5585,1783400
2016-11-30,92.4852,92.8108,92.1352,92.2736,2756400
2016-12-01,92.9818,94.04,92.6806,93.9505,2347500
2016-12-02,93.576,94.3982,93.5028,94.1459,1885300
2016-12-05,94.4715,94.5366,93.4539,94.325,2041500
2016-12-06,94.7483,95.139,94.268,95.1065,1785800
2016-12-07,95.3685,96.9077,95.1556,96.6048,2316800
2016-12-08,96.9241,97.6446,96.7521,96.9241,2046200
2016-12-09,97.1861,97.5873,96.5065,97.5873,2138800
2016-12-12,98.144,99.061,97.8902,98.9955,1890900
2016-12-13,99.1347,100.2728,99.0201,99.4213,2383700
2016-12-14,99.3476,99.4295,98.1604,98.5534,2393500
2016-12-15,99.0119,99.6505,98.4142,98.578,1856400
2016-12-16,99.102,99.8307,98.7417,99.5605,3222000
2016-12-19,99.5687,100.0517,99.3804,99.6833,1399800
2016-12-20,100.0108,100.5594,99.7734,100.2482,1132700
2016-12-21,99.8389,100.7805,99.8389,100.3547,1575300
2016-12-22,100.0926,100.6003,99.5768,99.9862,1443100
2016-12-23,99.9944,100.2482,99.626,99.9862,885300
2016-12-27,100.1091,100.1091,99.6014,99.8716,607600
2016-12-28,100.2155,100.5184,99.8634,99.9535,867600
2016-12-29,99.9453,100.3792,99.8143,100.1254,767800
2016-12-30,100.5348,100.5757,99.9289,100.2318,1014300
2017-01-03,100.764,100.764,98.4633,98.9873,1955400
2017-01-04,98.9628,99.6751,98.4306,98.4552,1780200
2017-01-05,97.6692,97.8411,96.0235,96.8832,2696500
2017-01-06,96.4738,97.1943,96.3018,96.834,1532300
2017-01-09,96.7358,96.8176,96.0398,96.0562,1526200
2017-01-10,95.5404,96.3837,95.3439,95.9416,1758800
2017-01-11,95.9743,96.7357,95.9497,96.3264,1433600
2017-01-12,95.9989,96.0153,94.8772,95.5895,1679200
2017-01-13,96.0153,96.4902,95.5486,95.8352,1543800
2017-01-17,95.8024,96.744,95.4831,96.1708,1607900
2017-01-18,96.6785,97.096,95.9088,97.0551,1486800
2017-01-19,97.358,97.3908,96.1381,96.6048,994700
2017-01-20,97.0797,97.3417,96.31,96.6293,1222300
2017-01-23,96.744,96.8258,96.1463,96.6457,1593300
2017-01-24,97.0633,97.5545,95.1065,95.6632,3038300
2017-01-25,96.0644,97.1452,96.0644,96.3428,1536100
2017-01-26,96.3264,96.965,96.3264,96.7194,1360800
2017-01-27,96.9404,96.965,96.1463,96.6948,961500
2017-01-30,96.6293,96.6293,95.9252,96.2118,1201000
2017-01-31,96.2363,96.4574,95.8024,96.4328,1478000
2017-02-01,96.3591,96.8094,95.1801,95.4176,1402600
2017-02-02,95.4258,96.4574,95.4258,96.31,1082000
2017-02-03,96.9568,97.1451,96.2855,96.4328,1355200
2017-02-06,95.3521,96.5638,95.3521,96.3428,988000
2017-02-07,96.6948,96.7931,96.1217,96.4165,1161700
2017-02-08,96.1954,96.5966,96.089,96.4574,905100
2017-02-09,96.5229,97.5709,96.4901,97.2516,1099900
2017-02-10,97.4317,98.4224,97.4235,98.0294,1202500
2017-02-13,96.0971,98.3323,96.0316,98.013,1519200
2017-02-14,98.013,98.5125,97.8329,98.447,1397100
2017-02-15,98.7827,99.061,98.3405,99.0528,1416100
2017-02-16,99.1102,99.716,98.8482,99.716,1502900
2017-02-17,99.6587,99.888,99.1347,99.847,1334400
2017-02-21,99.7324,100.2564,99.1183,99.5195,1245600
2017-02-22,99.4131,100.2319,99.2903,99.8061,1184100
2017-02-23,100.2237,100.7722,99.6505,100.1827,1134100
2017-02-24,100.1827,100.4447,99.6751,100.1091,1698600
2017-02-27,99.7734,100.5102,99.5687,99.9207,914300
2017-02-28,99.9289,100.674,99.716,100.0845,1966000
2017-03-01,101.3699,102.4753,100.6904,102.3361,2619600
2017-03-02,102.7454,102.7454,101.9103,101.9512,1531400
2017-03-03,101.9512,102.4752,101.5173,101.6319,1512900
2017-03-06,101.5501,101.7547,100.1254,100.15,2417900
2017-03-07,100.4038,100.4038,99.626,100.0026,1773900
2017-03-08,100.7271,101.0646,99.6568,99.8133,2193500
2017-03-09,100.1508,100.6859,99.912,100.3566,1707300
2017-03-10,100.7024,101.1469,100.2331,101.1222,1281600
2017-03-13,100.8835,101.1963,100.2825,100.5624,1069100
2017-03-14,100.2496,101.1387,100.2331,100.9494,903600
2017-03-15,101.2622,101.3857,100.6942,101.254,1117800
2017-03-16,101.2458,101.6903,100.6695,101.0482,1166600
2017-03-17,101.221,101.4022,100.5789,101.3775,3103600
2017-03-20,101.2458,101.2458,100.4472,100.7353,1485900
2017-03-21,101.0893,101.1387,99.945,100.1837,1240200
2017-03-22,100.3731,100.5872,99.7556,100.4637,996400
2017-03-23,100.1425,100.6694,99.7227,99.8544,1054200
2017-03-24,99.9285,99.9532,98.99,99.4263,1334200
2017-03-27,98.9324,99.7062,98.8006,99.6239,1087700
2017-03-28,99.4181,100.3484,99.1546,100.2743,1187300
2017-03-29,100.0355,100.0931,99.204,99.2287,1133700
2017-03-30,99.0888,99.8297,99.0888,99.6404,1093100
2017-03-31,99.558,99.6157,98.9323,99.237,1114300
2017-04-03,99.2616,99.4592,98.6277,99.1052,1135500
2017-04-04,99.3193,99.4428,98.9571,99.2946,901800
2017-04-05,99.5992,100.0602,99.2452,99.5416,1284600
2017-04-06,99.6157,99.6733,98.9488,99.237,1226500
2017-04-07,98.7924,99.4345,98.6277,98.9159,1063600
2017-04-10,98.8171,99.9614,98.8006,99.7062,997600
2017-04-11,99.344,99.9203,99.1052,99.7721,1262600
2017-04-12,99.6733,100.1343,99.2205,99.9944,1352900
2017-04-13,99.7391,99.9779,99.0887,99.2287,1062300
2017-04-17,99.7968,100.3895,99.4016,100.3731,874400
2017-04-18,99.9697,100.1343,99.2123,99.4098,1086500
2017-04-19,99.8297,99.9532,98.7512,99.1217,1050900
2017-04-20,97.1952,98.3067,96.6025,97.8703,3559900
2017-04-21,98.4219,98.4219,97.574,98.0515,2100700
2017-04-24,99.5827,99.9285,98.5948,99.2617,1957600
2017-04-25,99.7227,100.1919,99.5498,99.8791,1763300
2017-04-26,99.9944,101.254,99.945,100.4472,2433200
2017-04-27,100.5295,100.8012,100.1261,100.5707,1658200
2017-04-28,100.5789,100.7353,100.0355,100.159,1290200
2017-05-01,100.266,100.266,99.7392,99.7638,1660800
2017-05-02,99.6157,99.9285,98.883,99.0888,1162700
2017-05-03,98.8747,99.7063,98.8747,99.4593,841500
2017-05-04,99.9615,100.1508,99.0147,99.4593,1036000
2017-05-05,99.6321,99.8791,99.2864,99.8627,1286300
2017-05-08,99.8627,100.0685,99.4263,99.6239,1390500
2017-05-09,99.558,99.7474,98.6277,98.7512,1466800
2017-05-10,98.4878,99.5992,98.4878,99.3604,1448800
2017-05-11,98.9241,99.4016,98.5372,99.237,1370800
2017-05-12,98.9159,99.5992,98.8089,99.2781,1127500
2017-05-15,99.2617,99.912,98.9241,98.9982,1174600
2017-05-16,99.0147,99.344,98.5948,98.7348,1168000
2017-05-17,98.7348,99.2617,98.0268,98.9982,1399400
2017-05-18,98.8994,100.3319,98.5866,99.5169,2123500
