date,open,high,low,close,volume
2016-04-21,49.5777,49.8274,48.6178,49.1173,5211300
2016-04-22,49.1875,49.4528,48.7973,49.2187,3647200
2016-04-25,49.3046,50.4361,49.1641,50.0069,3579800
2016-04-26,50.0928,50.7795,49.9991,50.4752,3382500
2016-04-27,50.5532,51.3414,50.5298,50.9824,2124600
2016-04-28,50.7327,51.9501,50.6625,51.1307,2815300
2016-04-29,50.9512,51.5755,50.7483,51.3648,2644400
2016-05-02,51.4975,52.4027,51.3648,52.0281,3397100
2016-05-03,52.0671,52.3637,51.6301,51.7862,2870300
2016-05-04,51.5365,52.3637,51.3258,52.0437,1995900
2016-05-05,52.0593,52.3481,51.755,51.8018,2437900
2016-05-06,51.6145,52.551,51.5677,52.4807,4532200
2016-05-09,54.2756,54.9702,52.9022,53.2533,5998100
2016-05-10,53.745,54.0649,52.988,54.0571,3999000
2016-05-11,54.0337,54.4083,53.308,53.4406,3255000
2016-05-12,53.3392,53.7996,52.7773,53.5733,2849600
2016-05-13,53.6669,54.5332,53.3548,53.6513,2933800
2016-05-16,53.6279,53.9869,53.308,53.3392,3230700
2016-05-17,53.1207,53.5187,51.6535,51.8955,3051300
2016-05-18,51.6926,51.8955,50.6859,51.1853,4059100
2016-05-19,50.7249,51.2165,50.4049,50.7405,4208700
2016-05-20,50.998,51.0917,50.2411,50.4986,2915300
2016-05-23,50.5766,51.1151,50.483,50.7093,3992000
2016-05-24,50.7327,51.0917,50.4596,50.8029,2781700
2016-05-25,50.8966,50.998,50.3659,50.5532,3469500
2016-05-26,50.6,51.0839,50.4518,50.8341,2326500
2016-05-27,50.9984,51.3113,50.5369,50.8967,3277100
2016-05-31,51.0297,51.2174,49.7547,49.8877,5934200
2016-06-01,49.8877,50.8263,49.8486,50.3022,3272600
2016-06-02,50.3726,50.3726,48.8787,48.9647,4063000
2016-06-03,49.0038,49.6139,48.2295,49.4419,4300400
2016-06-06,47.9479,48.7613,47.1813,47.6194,6284400
2016-06-07,47.6898,48.3624,47.4942,47.5881,4083100
2016-06-08,47.6115,47.7132,46.5478,46.7433,5841100
2016-06-09,46.7981,48.1278,46.6416,47.9322,5104900
2016-06-10,47.7758,48.0105,47.1422,47.3769,3836900
2016-06-13,47.1501,47.5724,46.5008,46.8763,3454500
2016-06-14,46.9623,47.5881,46.8372,47.1579,3605400
2016-06-15,47.1813,47.5255,46.9467,47.2126,2446000
2016-06-16,47.2126,48.1121,47.0797,48.0965,3951700
2016-06-17,47.9557,48.0887,47.4942,47.8853,4925600
2016-06-20,48.12,48.5423,47.9322,47.9401,2757600
2016-06-21,48.1043,48.9334,48.1043,48.6362,3398200
2016-06-22,48.7692,49.1759,48.6597,49.0273,3669700
2016-06-23,49.2932,49.567,49.0429,49.5592,3180700
2016-06-24,48.6519,50.6933,48.5032,49.7234,6870800
2016-06-27,49.4262,51.2096,49.3245,51.0297,5015300
2016-06-28,50.6699,50.9593,49.5748,50.2162,4005100
2016-06-29,50.5213,50.5604,49.4027,50.2397,3261500
2016-06-30,50.3022,52.2577,50.2475,52.2421,4877700
2016-07-01,52.1091,52.4454,51.5772,51.6398,2565400
2016-07-05,51.6554,52.4063,51.4912,52.1638,3318400
