date,open,high,low,close,volume
2016-04-21,42.1977,42.6017,42.0055,42.085,1423958
2016-04-22,42.2043,42.7077,42.1049,42.6879,1791323
2016-04-25,42.4428,42.5951,42.0387,42.4163,2678413
2016-04-26,44.4234,44.7017,43.0986,43.3172,5282580
2016-04-27,43.4298,43.92,43.2509,43.761,2878853
2016-04-28,43.5623,43.9995,43.178,43.2774,2385810
2016-04-29,43.1383,43.5888,43.0257,43.4165,3163722
2016-05-02,43.6352,44.0856,43.2509,43.814,2559696
2016-05-03,43.4364,43.8008,43.1582,43.7213,2056084
2016-05-04,43.4364,43.549,42.7475,42.9595,2179828
2016-05-05,43.1781,43.4099,42.7674,42.9595,2126463
2016-05-06,42.8336,43.4364,42.7872,43.4099,1631616
2016-05-09,43.2509,43.4033,43.0389,43.2244,1675313
2016-05-10,43.496,44.0194,43.2973,43.9465,1671060
2016-05-11,43.8538,44.2843,43.6153,43.6815,2097074
2016-05-12,43.9067,44.0459,43.2907,43.6683,1634968
2016-05-13,43.5358,43.9332,43.1648,43.4497,2097332
2016-05-16,43.6351,44.1916,43.6351,43.9399,2715536
2016-05-17,43.8471,44.1585,43.337,43.4762,2104421
2016-05-18,43.3569,43.7941,42.88,43.1913,2548353
2016-05-19,42.8866,42.9528,42.191,42.403,3334643
2016-05-20,42.7077,43.0257,42.5156,42.5289,2210119
2016-05-23,42.5554,42.9131,42.2374,42.7806,1372785
2016-05-24,43.0787,43.602,42.9859,43.4232,1287840
2016-05-25,43.708,44.1055,43.6749,43.9134,1617179
2016-05-26,44.0591,44.344,43.8405,43.9067,1442907
2016-05-27,43.9134,44.1254,43.6351,44.0392,1838759
2016-05-31,44.079,44.3572,43.92,44.2578,2375369
2016-06-01,43.9531,44.1055,43.1648,44.0525,2096558
2016-06-02,43.867,44.0989,43.7279,44.0989,1177630
2016-06-03,43.9001,43.9995,43.2907,43.5888,2137935
2016-06-06,43.6815,43.7743,43.2178,43.655,4564865
2016-06-07,43.7941,44.1519,43.4099,43.6153,2725204
2016-06-08,43.8017,44.0679,43.6419,43.8283,1765930
2016-06-09,43.542,43.775,43.3756,43.7284,1252006
2016-06-10,43.3024,43.3357,42.6567,42.9296,1320581
2016-06-13,42.7033,42.8764,42.3039,42.3039,1486088
2016-06-14,42.1375,42.3971,41.9378,42.3771,2053119
2016-06-15,42.5169,43.0694,42.4237,42.8165,2854104
2016-06-16,42.6567,43.0228,42.224,42.9696,1774437
2016-06-17,43.0494,43.4755,42.903,43.3623,2414813
2016-06-20,43.9281,44.3276,43.8816,43.9148,1738088
2016-06-21,43.8882,44.0014,43.5088,43.5354,1430146
2016-06-22,43.6352,43.9548,43.3956,43.5088,1212820
2016-06-23,44.048,44.1412,43.7684,44.1278,1373301
2016-06-24,42.1708,42.8165,41.798,41.8512,5939712
2016-06-27,41.2987,41.332,39.3416,39.3949,5555074
2016-06-28,39.9074,40.1471,39.5014,40.1471,4003634
2016-06-29,40.7063,41.2521,40.3268,41.1656,3131754
2016-06-30,41.2921,42.4104,41.1789,42.3904,3819436
2016-07-01,42.4503,42.9163,42.224,42.6101,2396509
2016-07-05,42.4104,42.457,41.7847,41.991,2278823
2016-07-06,41.7847,42.65,41.5783,42.6434,2971145
2016-07-07,42.7632,43.2625,42.6101,42.9496,1797253
2016-07-08,43.3623,43.8416,43.3623,43.7617,1568069
2016-07-11,43.9348,44.2676,43.8483,43.8549,2010969
2016-07-12,44.2344,44.667,44.1478,44.5605,1900759
2016-07-13,44.5872,44.9666,44.454,44.9466,2029402
2016-07-14,45.2728,45.6789,45.2063,45.2728,2089211
2016-07-15,45.4858,45.6722,45.1996,45.2262,2006844
2016-07-18,45.0598,45.0598,43.775,44.687,3558027
2016-07-19,44.494,44.6737,44.2809,44.6737,1531332
2016-07-20,44.8202,45.1197,44.4474,44.9533,1270696
2016-07-21,44.8734,45.0531,44.5206,44.6071,2405919
