date,open,high,low,close,volume
2016-04-21,44.7391,44.9215,44.4808,44.7163,3376700
2016-04-22,44.6784,45.2785,44.3973,44.5796,5359900
2016-04-25,44.6024,44.9215,44.534,44.8379,4670200
2016-04-26,44.9367,45.5292,44.8759,45.1266,3928800
2016-04-27,44.8455,45.5824,44.6404,45.5216,7123900
2016-04-28,45.8734,46.3321,44.7189,44.8718,9417800
2016-04-29,44.1225,44.4971,43.4497,43.6103,10774700
2016-05-02,43.809,44.3136,43.5414,44.2295,6464200
2016-05-03,43.7479,44.0308,43.5797,43.7326,5696400
2016-05-04,43.5414,43.7326,43.0674,43.1439,5081900
2016-05-05,43.2203,43.6485,43.0751,43.3044,4078200
2016-05-06,42.9986,43.809,42.9604,43.7326,8054500
2016-05-09,43.7097,43.9849,43.4879,43.5109,3773500
2016-05-10,43.6714,44.0843,43.4191,44.0614,4545600
2016-05-11,44.0537,44.4742,43.9237,44.0614,4494200
2016-05-12,44.1837,44.3442,43.2586,43.702,5183200
2016-05-13,43.6408,44.0384,43.5644,43.6714,4062800
2016-05-16,43.9314,44.7342,43.7861,44.3595,4265300
2016-05-17,44.1455,44.4589,43.7097,43.9085,4713900
2016-05-18,43.7555,44.7342,43.7173,44.3519,4676900
2016-05-19,43.9925,44.2525,43.4191,43.7555,4326500
2016-05-20,43.9543,44.9788,43.939,44.7494,6337000
2016-05-23,44.9635,45.3229,44.803,44.9024,3690900
2016-05-24,45.1012,46.011,45.0935,45.9422,4544700
2016-05-25,45.988,46.2633,45.8504,46.2097,5785100
2016-05-26,46.1409,46.5003,45.988,46.4621,3367000
2016-05-27,46.5003,46.6991,46.3703,46.6532,3807100
2016-05-31,46.6532,46.7985,46.0951,46.3321,6196400
2016-06-01,46.2633,46.8214,46.0339,46.6914,4011100
2016-06-02,46.5156,46.5844,46.2021,46.4544,3583300
2016-06-03,46.7679,46.7679,45.988,46.2786,2749500
2016-06-06,46.3932,46.9972,46.2939,46.8596,8259200
2016-06-07,47.0202,47.2266,46.9437,47.0661,5021200
2016-06-08,47.0966,47.6242,47.089,47.4636,4749700
2016-06-09,47.6242,47.6242,47.0278,47.5095,5285600
2016-06-10,46.9514,47.5401,46.8826,47.3337,7484700
2016-06-13,47.2495,47.6395,46.9514,47.0431,6697300
2016-06-14,47.0431,47.4866,46.7985,47.326,5170300
2016-06-15,47.6089,47.6165,46.959,47.1654,4943600
2016-06-16,46.9361,47.5019,46.7067,47.4483,3632600
2016-06-17,47.4636,47.5019,46.5615,47.1119,6101300
2016-06-20,47.7312,47.8535,47.3719,47.4101,4023600
2016-06-21,47.5171,47.6701,47.2419,47.433,3462200
2016-06-22,47.6548,47.8077,47.3489,47.4483,4112700
2016-06-23,47.8994,48.404,47.6853,48.3964,3638100
2016-06-24,46.2633,47.326,46.1486,46.2862,8505700
2016-06-27,45.7739,45.8733,44.8106,45.1623,7459800
2016-06-28,45.4223,46.1027,45.1852,46.0798,5163300
2016-06-29,46.4085,46.8749,46.1792,46.829,6690500
2016-06-30,47.0278,47.8994,46.7602,47.8994,6632000
2016-07-01,47.6548,47.7389,47.3184,47.4866,4934500
2016-07-05,47.089,47.2801,46.6303,46.829,5538700
2016-07-06,46.6303,46.9055,46.225,46.6838,6064100
2016-07-07,46.6914,47.3566,46.6685,47.2266,6876800
2016-07-08,47.6242,48.3811,47.4407,48.3734,5345300
2016-07-11,48.5493,48.8398,48.3658,48.4728,4533900
2016-07-12,48.7557,49.245,48.7251,49.2221,5405100
2016-07-13,49.3444,49.5432,49.1992,49.3444,4068500
2016-07-14,49.6961,49.8643,49.4897,49.5509,3999900
2016-07-15,49.8949,49.8949,49.3444,49.5814,5952300
2016-07-18,49.5815,50.0937,49.5815,49.8414,3452500
2016-07-19,49.612,49.8949,49.5126,49.6503,3065900
2016-07-20,49.9408,50.216,49.6961,50.0402,4744100
2016-07-21,49.9943,50.0784,49.5432,49.6273,5391700
2016-07-22,49.7955,50.2084,49.4973,50.0708,5555900
2016-07-25,50.0784,50.6289,49.9408,50.6289,9945900
2016-07-26,54.0159,55.4914,53.4654,54.6046,22033100
2016-07-27,54.2682,54.7193,53.6412,54.4899,13973400
2016-07-28,54.29,54.4284,53.6751,53.9826,9143200
2016-07-29,54.0517,54.167,53.5214,53.6136,7963100
2016-08-01,53.6751,54.0056,53.4368,53.7135,5983000
2016-08-02,53.5675,53.7135,52.6067,52.9218,6391300
2016-08-03,52.9141,53.1063,52.6605,52.9449,4231800
2016-08-04,53.4215,53.5829,52.6836,53.506,4382100
2016-08-05,53.8058,53.9672,53.5829,53.9211,4547400
2016-08-08,53.8289,54.0518,53.7981,53.9134,4865900
2016-08-09,54.1286,54.4591,53.9364,53.9979,3434300
2016-08-10,53.9826,54.0441,53.6598,53.7212,5012500
2016-08-11,53.8058,53.9595,53.629,53.8058,3002900
2016-08-12,53.8058,53.9749,53.6367,53.6828,3445000
2016-08-15,53.9518,54.3438,53.752,54.0594,4148800
2016-08-16,53.875,54.0594,53.6674,53.6674,3682600
2016-08-17,53.7443,53.8211,53.4522,53.6674,5914700
2016-08-18,53.7904,53.9365,53.6444,53.9057,3816700
2016-08-19,53.898,54.2209,53.7597,54.0133,3482000
2016-08-22,54.0748,54.2747,53.6828,53.8058,4361400
2016-08-23,54.1286,54.2209,53.752,53.7904,4779200
2016-08-24,53.8903,53.9749,53.5829,53.7289,3749300
2016-08-25,53.7289,53.8519,53.5752,53.6674,3044900
2016-08-26,53.7981,54.0748,53.3446,53.6136,4160900
2016-08-29,53.7289,54.0902,53.6905,53.7904,3669100
2016-08-30,53.8058,53.9595,53.1063,53.2754,4382800
2016-08-31,53.3139,53.506,53.2139,53.4522,3870200
2016-09-01,52.868,53.6444,52.4991,53.5752,4536000
2016-09-02,53.8212,53.8827,53.237,53.5598,4584200
2016-09-06,53.752,53.8288,53.237,53.6444,3870300
2016-09-07,53.6136,53.8058,53.237,53.4138,4214100
2016-09-08,53.2216,53.3523,52.8065,53.0294,4151600
2016-09-09,52.4145,52.5913,51.2462,51.2462,6995600
2016-09-12,50.9695,52.2839,50.9618,52.2224,6049900
2016-09-13,52.2762,52.6913,51.7074,51.8457,5472600
2016-09-14,51.8534,52.3223,51.6689,52.1071,4011500
2016-09-15,52.1148,53.3138,51.961,53.2062,6257900
2016-09-16,53.7827,53.7827,52.6374,53.3139,6506200
2016-09-19,53.6751,54.0287,53.26,53.4522,4100600
2016-09-20,53.629,53.7289,53.0448,53.1755,3026700
2016-09-21,53.3523,53.5829,52.9065,53.4676,4202100
2016-09-22,53.8135,53.9057,53.3984,53.6213,3566300
2016-09-23,53.8058,53.8058,53.0218,53.0218,3088100
2016-09-26,52.6912,52.8603,52.3684,52.5913,3475600
2016-09-27,52.5683,53.3984,52.33,53.383,4560200
2016-09-28,53.3446,53.6367,53.2062,53.6059,3241300
2016-09-29,53.5214,54.021,53.2062,53.6828,4337900
2016-09-30,53.7674,54.2516,53.6828,53.9442,5071000
2016-10-03,53.8673,54.0056,53.3984,53.5444,3627800
2016-10-04,53.5444,53.7366,53.114,53.4906,4089500
2016-10-05,53.6905,54.4514,53.0448,54.267,4789600
2016-10-06,54.144,54.5744,53.8289,54.5437,4061500
2016-10-07,54.5745,54.6206,54.1517,54.4745,3673600
2016-10-10,54.6359,54.8281,53.7289,53.752,4893200
2016-10-11,53.752,53.7827,52.3146,52.8527,5204400
2016-10-12,52.9065,52.9065,52.2608,52.6221,3563900
2016-10-13,52.1993,52.2377,51.5459,52.0917,3897700
2016-10-14,52.476,53.2062,52.4299,52.6451,4329300
2016-10-17,52.6528,53.0294,52.5529,52.5913,2620900
2016-10-18,53.6982,53.752,53.1678,53.2293,3590700
2016-10-19,52.9526,53.506,52.7297,53.4138,5530800
2016-10-20,53.36,53.8442,52.8603,53.6136,3850400
2016-10-21,53.3523,53.8365,52.8834,53.7827,7027500
2016-10-24,54.0056,55.1432,53.9826,55.0971,5888000
2016-10-25,55.0126,55.2278,54.6359,54.7282,4614200
2016-10-26,54.5744,55.297,54.3977,55.1202,8151000
2016-10-27,54.8819,55.4814,54.1209,54.3669,9627000
2016-10-28,54.5437,55.1048,54.2055,54.4207,6360100
2016-10-31,54.8127,54.9126,54.4207,54.4591,5411400
2016-11-01,54.6743,54.6743,52.9756,53.3753,7375300
2016-11-02,53.4753,53.7674,52.8219,52.9141,6516800
2016-11-03,53.1929,53.2084,52.287,52.5735,6723600
2016-11-04,51.7837,52.6509,51.7218,52.3412,6056300
2016-11-07,53.2935,53.7968,52.8754,53.4329,5751100
2016-11-08,53.4329,54.1762,53.3865,54.0678,5409600
2016-11-09,52.496,54.1607,52.3412,54.0368,5697800
2016-11-10,54.1995,54.7569,52.7516,53.5336,7190600
2016-11-11,53.4407,54.2459,53.4252,54.0833,4974900
2016-11-14,54.3078,54.4704,53.9207,54.2149,6493000
2016-11-15,54.3543,55.2525,54.2382,54.997,4736500
2016-11-16,54.9815,55.206,54.6331,55.1286,4880400
2016-11-17,55.1053,55.9648,54.6872,55.8099,3773800
2016-11-18,55.6241,56.6384,55.5544,56.2126,5484200
2016-11-21,56.3287,57.0875,56.29,57.0488,5447000
2016-11-22,57.3662,57.7921,57.3198,57.6063,6824100
2016-11-23,57.5908,57.7224,57.2346,57.343,3995500
2016-11-25,57.1959,57.7689,57.0875,57.6295,1978800
2016-11-28,57.5211,57.9857,57.3275,57.7069,4512000
2016-11-29,57.8076,58.2644,57.4746,57.6063,6347000
2016-11-30,57.8153,57.8308,57.2423,57.2423,6768200
2016-12-01,57.2036,57.2269,54.1685,54.5169,9631100
2016-12-02,54.1917,55.0976,54.1375,54.7569,5946400
2016-12-05,55.237,55.3841,54.4937,54.5943,6405100
2016-12-06,55.0589,55.2757,54.6718,55.2602,7039800
2016-12-07,55.3609,56.0809,55.0666,55.9029,6045900
2016-12-08,55.9958,56.1971,55.6551,55.8487,5473600
2016-12-09,56.019,56.2513,55.4073,55.7403,6101200
2016-12-12,55.6628,55.6938,55.1209,55.539,3340600
2016-12-13,55.7093,56.9868,55.5699,56.6771,6950900
2016-12-14,56.9481,57.0643,56.0577,56.1351,6474100
2016-12-15,56.3132,56.9791,56.0964,56.8707,5079500
2016-12-16,56.801,57.103,56.2745,56.4371,6478700
2016-12-19,56.6075,57.3585,56.4913,56.9636,3818000
2016-12-20,57.2423,57.4437,56.9868,57.3275,3182000
2016-12-21,57.4669,57.854,57.405,57.4282,4272200
2016-12-22,57.4901,57.5443,57.103,57.4514,3470700
2016-12-23,57.3817,57.5985,57.2966,57.5908,1690800
2016-12-27,57.6218,58.187,57.4205,57.9702,2037200
2016-12-28,58.0399,58.1096,57.2811,57.3353,2683400
2016-12-29,57.1727,57.6063,57.1417,57.4127,3292600
2016-12-30,57.6295,57.6527,56.3442,56.4991,4311800
2017-01-03,56.9326,57.5366,56.561,56.9714,4847900
2017-01-04,57.0256,57.2733,56.7159,56.9017,4507100
2017-01-05,56.7468,57.0643,56.4371,56.4603,4301100
2017-01-06,56.4294,57.5134,56.1119,57.4127,5244600
