date,open,high,low,close,volume
2016-04-21,69.3401,70.9815,68.2191,69.9166,9851900
2016-04-22,70.4611,71.9904,70.3089,71.7662,7055800
2016-04-25,71.3338,71.502,69.5723,70.1488,4631700
2016-04-26,69.8685,71.1336,69.7484,71.0696,4831700
2016-04-27,71.0936,71.9023,70.9975,71.3979,3851800
2016-04-28,70.9095,71.8703,70.6773,70.8694,3863100
2016-04-29,70.349,71.4459,69.4442,69.8445,5221100
2016-05-02,70.453,70.8614,69.3801,70.5571,3492700
2016-05-03,69.7965,69.9326,68.6034,69.4762,4164300
2016-05-04,68.8036,69.6764,68.3232,68.5714,3532900
2016-05-05,68.9637,69.308,68.131,68.2111,4425800
2016-05-06,67.7067,69.0759,67.6586,68.6435,4009800
2016-05-09,68.5874,68.5874,67.3704,67.7627,4154700
2016-05-10,68.2832,69.4522,67.9469,68.9397,3341200
2016-05-11,68.9397,69.1799,67.6426,67.6506,4343600
2016-05-12,67.9389,68.2912,67.0021,67.1302,4178300
2016-05-13,66.8819,67.1301,65.4887,65.6569,4463300
2016-05-16,65.7289,66.4175,65.5608,65.6729,4194400
2016-05-17,65.6729,66.8419,65.2885,65.809,5320400
2016-05-18,65.793,66.8339,65.4167,66.0412,4426300
2016-05-19,65.2966,65.5127,64.6,65.2085,3776700
2016-05-20,65.6249,66.1053,65.4487,65.9852,4366100
2016-05-23,65.857,66.1453,65.2165,65.2485,3649100
2016-05-24,65.7049,65.761,64.7521,65.0884,4679400
2016-05-25,65.5288,66.6337,65.2966,66.3855,3408500
2016-05-26,66.5628,67.1512,66.2888,66.3694,2978300
2016-05-27,66.3936,66.9659,65.9261,66.8772,3848200
2016-05-31,66.99,68.1265,66.587,67.8605,6086500
2016-06-01,67.4092,67.8606,66.8288,67.7961,4298500
2016-06-02,67.4495,68.2152,67.3931,68.1991,3507000
2016-06-03,68.9568,69.8434,68.1991,69.6258,4946700
2016-06-06,69.658,70.2384,69.2631,70.0046,4361500
2016-06-07,69.8676,70.9961,69.8676,70.585,3824500
2016-06-08,70.7946,72.6565,70.7704,71.7699,6135400
2016-06-09,71.3588,72.1648,70.9638,72.052,3844800
2016-06-10,71.0928,71.657,71.0122,71.5603,4315800
2016-06-13,71.3265,72.2293,71.1089,71.5039,4367800
2016-06-14,71.3427,71.9472,70.585,70.9155,3993400
2016-06-15,71.2218,71.4716,70.4883,70.5608,3963500
2016-06-16,69.9966,70.3754,68.9165,70.1981,3530300
2016-06-17,70.1256,70.7704,70.0208,70.5931,4141900
2016-06-20,71.2218,71.9391,70.9155,71.0041,4312100
2016-06-21,69.9563,71.0041,69.3195,70.6495,4146000
2016-06-22,70.7381,70.9638,70.3835,70.5205,3400000
2016-06-23,71.5684,71.7376,70.8752,71.3669,2691400
2016-06-24,68.8762,69.6177,67.8203,68.715,14194000
2016-06-27,68.046,68.0782,66.0631,66.4903,5885200
2016-06-28,67.119,68.4006,66.9014,68.3523,5954400
2016-06-29,69.118,69.9321,69.0213,69.5452,3763800
2016-06-30,69.916,70.4399,68.3523,70.3271,5839500
2016-07-01,70.327,71.0847,70.2223,70.3996,3772700
2016-07-05,70.0046,70.5205,69.9402,70.2545,4305700
2016-07-06,69.7951,70.5447,69.3276,70.4802,3740500
