date,open,high,low,close,volume
2016-04-22,60.7046,63.8355,60.4147,63.7872,4653900
2016-04-25,63.565,64.8792,62.1928,62.6373,2381000
2016-04-26,63.2751,64.8019,63.1011,64.6473,1946400
2016-04-27,64.5989,66.0678,64.1931,65.7779,1666500
2016-04-28,65.4203,66.5219,64.4153,64.5603,1285300
2016-04-29,64.5023,65.5459,63.6616,64.6763,1397200
2016-05-02,64.9178,65.1691,62.8016,63.5553,1460800
2016-05-03,62.9659,63.2751,60.8303,61.3521,2069900
2016-05-04,61.0332,61.8449,59.4291,59.7866,2175200
2016-05-05,60.3858,60.7047,58.83,58.9846,1990800
2016-05-06,57.0423,59.6513,56.849,59.4291,2681100
2016-05-09,59.0909,59.6224,58.714,58.9653,1747300
2016-05-10,59.2648,61.2361,59.0232,60.8206,1510600
2016-05-11,60.55,61.1492,59.0426,59.6803,1604600
2016-05-12,60.0572,60.7626,58.5304,58.8203,1598900
2016-05-13,58.5981,59.2745,57.4288,57.8153,1644200
2016-05-16,58.2792,59.7093,58.1729,58.888,1411500
2016-05-17,59.5934,64.2317,59.5934,62.1155,4490000
2016-05-18,61.555,64.0385,61.4101,62.676,2381600
2016-05-19,61.9899,62.5407,60.5404,61.9416,1874500
2016-05-20,62.3571,63.449,62.1928,63.0721,1254800
2016-05-23,62.9175,63.2461,62.0478,62.7726,1043500
2016-05-24,63.3137,63.8066,62.3667,63.536,1083900
2016-05-25,63.8742,66.0194,63.5456,65.7972,1787500
2016-05-26,66.1934,67.7298,65.372,65.9035,1564100
2016-05-27,65.8552,66.2707,65.2947,66.0968,1053100
2016-05-31,66.1161,67.4399,65.8648,67.324,1336400
2016-06-01,66.5702,67.1307,65.4107,67.1114,2049100
2016-06-02,66.7055,68.7831,66.3673,68.6962,1528000
2016-06-03,68.5899,69.2277,66.7442,68.8701,1789200
2016-06-06,69.2083,71.4212,68.7348,71.1893,1667300
2016-06-07,71.083,72.2329,70.6288,71.972,1219900
2016-06-08,72.1653,73.4795,71.9527,72.3972,1336800
2016-06-09,71.3729,71.8464,70.2423,71.6145,934900
2016-06-10,70.3969,70.8124,68.358,69.102,2098600
2016-06-13,68.7831,69.2856,67.8265,67.9424,1402800
2016-06-14,67.8458,69.2277,66.232,67.6429,2021100
2016-06-15,67.9231,68.9474,66.9568,67.4883,1346600
2016-06-16,65.2657,65.5749,62.8499,64.7536,4257800
2016-06-17,65.3623,66.4736,64.9468,65.343,3108900
2016-06-20,67.1597,67.7395,66.5123,66.5316,1959000
2016-06-21,66.8698,67.1404,65.6619,66.6379,1224500
2016-06-22,67.121,67.6815,66.5026,66.6862,1105700
2016-06-23,67.9907,69.8171,67.9907,69.7978,1452700
2016-06-24,66.1161,67.5076,63.7292,64.0191,2941000
2016-06-27,63.2364,63.4587,59.6997,60.1732,2057100
2016-06-28,61.3617,61.9222,59.748,60.8496,2265900
2016-06-29,61.7483,63.7776,61.3618,63.2847,1701100
2016-06-30,63.6809,64.8599,62.502,64.8405,1741300
2016-07-01,64.7052,65.2271,63.594,64.338,2127400
2016-07-05,63.6616,64.1061,60.521,61.3328,1722900
2016-07-06,60.695,61.7096,59.835,61.5164,1897500
2016-07-07,61.9899,63.5263,61.6516,62.4537,1971300
2016-07-08,63.3814,65.3237,63.3814,65.1691,1274300
2016-07-11,65.7972,66.8892,65.7586,65.9615,966400
2016-07-12,67.0438,68.184,66.8891,67.9231,1699900
2016-07-13,68.1067,68.5029,66.1547,66.9085,1536400
2016-07-14,66.4253,67.7008,65.5266,67.2467,1330000
2016-07-15,67.6235,68.5705,67.1887,67.7588,1403300
2016-07-18,67.5173,67.5173,66.3383,66.8505,1500400
2016-07-19,66.1064,66.319,64.8309,65.6426,1816200
2016-07-20,65.7102,67.7298,65.3624,67.5076,2774400
2016-07-21,73.5085,77.9632,72.8707,73.6824,9557400
2016-07-22,74.3009,75.9339,72.9673,75.5861,3600000
2016-07-25,75.4701,76.6587,75.2672,75.702,2383800
2016-07-26,75.6634,77.6444,75.6151,77.3448,2316200
2016-07-27,77.8859,78.7556,76.8037,77.8376,1841100
2016-07-28,77.6347,77.8859,76.2818,77.1515,1533300
2016-07-29,76.9389,77.3061,76.0113,76.9873,1582600
2016-08-01,76.9486,76.9679,74.2042,74.7454,2461800
2016-08-02,74.9676,75.4218,71.8271,72.7837,2224600
2016-08-03,72.9287,74.1269,72.7837,74.0206,1284700
2016-08-04,73.6051,74.6197,73.3732,74.3395,1222900
2016-08-05,74.9096,77.1032,74.6294,76.7747,1803900
2016-08-08,77.2675,78.0406,76.4171,76.794,1017500
2016-08-09,76.4365,78.0985,75.8857,76.1852,1409800
2016-08-10,76.5717,76.6297,75.1222,75.2382,1056400
2016-08-11,75.847,76.7457,75.3831,76.2335,1389700
2016-08-12,76.0306,76.794,75.2285,75.731,1223300
2016-08-15,76.0209,77.0066,75.9919,76.5621,1160200
2016-08-16,76.4171,76.5814,75.1512,75.2575,1154200
2016-08-17,75.2962,75.4218,74.5618,75.0063,1035200
2016-08-18,75.5281,78.63,75.5281,78.0889,2106100
2016-08-19,77.5381,77.857,76.4558,77.5284,1387900
2016-08-22,76.9969,77.799,76.3495,77.4318,1128400
2016-08-23,78.0116,79.722,77.9729,79.3548,1774600
2016-08-24,79.2002,80.0409,77.9633,78.2338,1482300
2016-08-25,78.0116,78.8619,77.8859,78.4754,933000
2016-08-26,78.8233,80.9395,78.6783,79.49,1867700
2016-08-29,79.4804,80.7752,79.2968,80.0988,1067200
2016-08-30,80.0988,80.8526,79.49,80.0312,1019100
2016-08-31,79.7219,79.8186,78.0599,79.5383,1695500
2016-09-01,79.2388,79.5287,77.0162,78.4271,1383800
2016-09-02,79.1905,80.2438,78.9296,79.2001,936700
2016-09-06,79.2001,79.577,78.601,79.2001,978900
2016-09-07,79.7413,81.1714,79.2291,81.0941,1869400
2016-09-08,81.0555,81.7802,80.0602,81.0555,1333000
2016-09-09,79.6253,79.9249,75.2575,75.2769,2616300
2016-09-12,74.4361,77.3351,73.9627,77.1902,2000400
2016-09-13,76.0113,76.4268,73.953,74.4168,2349500
2016-09-14,74.5714,76.4268,74.04,76.0403,1829500
2016-09-15,76.0692,76.9486,75.5571,76.6394,1339000
2016-09-16,75.6827,76.0306,74.4748,75.0256,2139400
2016-09-19,76.1176,77.625,75.8083,76.5137,1172100
2016-09-20,76.8133,76.8133,73.0156,73.0156,2470500
2016-09-21,73.7694,74.3782,72.088,73.1123,2639000
2016-09-22,73.8467,74.3009,72.4455,72.8514,2331000
2016-09-23,72.7451,74.6391,72.4648,73.006,2158100
2016-09-26,72.8224,73.4408,71.3342,71.4599,1994300
2016-09-27,71.0443,71.4599,70.3969,70.7544,1916200
