date,open,high,low,close,volume
2016-04-22,72.7155,73.9833,72.0442,73.7503,18216000
2016-04-25,73.3587,73.4986,72.5477,72.846,11184600
2016-04-26,73.135,73.368,72.818,73.2096,6071800
2016-04-27,73.0977,73.6477,72.874,73.424,6319400
2016-04-28,73.0418,73.8994,72.3426,72.4172,8322600
2016-04-29,72.268,72.7248,71.6527,72.007,8092700
2016-05-02,72.5384,73.1536,71.9324,73.1443,7636800
2016-05-03,72.1841,73.0511,71.718,71.9604,7666300
2016-05-04,71.373,72.1375,71.1773,71.8485,8854000
2016-05-05,71.9138,72.4358,71.7926,72.1189,6002300
2016-05-06,71.9977,72.529,71.5782,72.4545,6172600
2016-05-09,72.4265,73.0511,72.3239,72.9206,9242300
2016-05-10,73.107,73.9554,73.0977,73.8342,6802600
2016-05-11,73.9089,74.0863,72.1812,72.1905,8432500
2016-05-12,72.6575,73.0217,71.9757,72.7415,7512800
2016-05-13,72.5734,73.1057,71.7516,71.7516,7562700
2016-05-16,71.929,72.9003,71.873,72.6575,8597900
2016-05-17,72.4427,72.7695,71.4621,71.7142,7169900
2016-05-18,71.6395,72.7322,71.35,72.3119,6288500
2016-05-19,71.7889,72.1438,71.1819,71.7983,5552200
2016-05-20,72.2279,72.8816,72.0785,72.5361,6302100
2016-05-23,72.6201,72.8349,72.0411,72.1065,5934300
2016-05-24,72.5267,74.2451,72.5267,74.133,7582300
2016-05-25,74.2451,74.4038,73.7314,73.8342,5846700
2016-05-26,74.1517,74.1517,73.6567,73.7782,4284000
2016-05-27,73.6287,74.3945,73.6287,74.3945,4374600
2016-05-31,74.5813,74.5906,73.554,73.7221,8639600
2016-06-01,73.4887,74.077,73.3766,73.9836,4507000
2016-06-02,74.0303,74.6653,73.7128,74.6653,5627500
2016-06-03,74.2918,74.8988,73.9275,74.656,7628000
2016-06-06,74.9829,75.5526,74.8708,75.2164,7620100
2016-06-07,75.3658,75.646,75.2164,75.2724,5515700
2016-06-08,75.2724,76.309,75.151,76.253,8860900
