date,open,high,low,close,volume
2016-04-18,41.0677,41.6096,41.0351,41.6096,1682200
2016-04-19,41.6358,42.021,41.466,41.7402,1424100
2016-04-20,41.7402,41.7663,40.676,40.7217,1871600
2016-04-21,40.6695,40.676,38.8022,38.9719,3800200
2016-04-22,39.1808,39.6509,39.0307,39.4942,2815700
2016-04-25,39.4355,40.0688,39.3571,40.0688,1575000
2016-04-26,40.2255,40.787,40.2059,40.6042,1441900
2016-04-27,40.5911,40.9371,40.1014,40.8131,2225700
2016-04-28,40.4997,40.9894,40.454,40.6499,1890500
2016-04-29,39.4616,40.6238,39.3441,40.5585,3009900
2016-05-02,40.7805,41.2963,40.6891,40.8849,1528000
2016-05-03,40.6891,41.4464,40.6107,41.4203,1837400
2016-05-04,41.2375,43.0787,41.231,42.7327,3914100
2016-05-05,42.6216,43.0003,42.4715,43.0003,2601400
2016-05-06,42.8959,43.2223,42.4454,43.157,2335300
2016-05-09,43.2811,43.7446,43.1897,43.5227,2605800
2016-05-10,43.6663,43.7185,43.0787,43.6794,2119000
2016-05-11,43.5031,43.5031,42.5106,42.8371,1954400
2016-05-12,42.9155,43.7316,42.6086,43.5618,1361600
2016-05-13,43.3725,43.6663,43.033,43.588,1926400
2016-05-16,43.5031,44.0841,43.4574,43.8948,1799800
2016-05-17,43.7904,43.8099,43.046,43.3333,1622100
2016-05-18,43.1505,43.2484,42.0732,42.6869,2319100
2016-05-19,42.2495,42.4323,41.9687,42.3801,1994300
2016-05-20,42.6347,42.8306,42.4193,42.6282,2113400
2016-05-23,42.7653,42.9154,42.5498,42.7653,1654900
2016-05-24,42.9938,43.4378,42.9481,43.0983,2802200
2016-05-25,43.1309,43.255,42.478,43.0983,1278300
2016-05-26,43.0264,43.2941,42.8893,43.0852,1150000
2016-05-27,43.0852,43.6271,43.0134,43.2941,1238300
2016-05-31,43.2941,43.4835,42.9807,43.3072,1930100
2016-06-01,43.2354,43.6467,43.1309,43.4704,1646900
2016-06-02,43.2922,43.5695,42.9951,43.5629,1454400
2016-06-03,43.9985,44.5597,43.8467,44.4144,2839700
2016-06-06,44.4276,44.5069,43.8401,44.0778,1549300
2016-06-07,44.1306,44.8237,44.0316,44.6455,1553800
2016-06-08,44.5729,44.8831,44.3484,44.7709,1716300
2016-06-09,44.7577,45.1868,44.6125,45.167,1573500
2016-06-10,44.969,45.4773,44.8963,45.2726,1592400
2016-06-13,45.3518,45.8535,45.3518,45.7743,2666700
2016-06-14,45.6819,45.8403,45.1406,45.2924,2313200
2016-06-15,45.3188,46.0582,45.3056,45.7545,1814100
2016-06-16,45.6357,46.144,45.4971,46.1308,1425200
2016-06-17,46.0318,46.0978,45.6687,46.0846,2240600
2016-06-20,46.21,46.4147,45.5829,45.6291,1822300
2016-06-21,45.6885,46.2232,45.5763,46.1308,2115600
2016-06-22,45.7479,45.9922,45.2924,45.5301,2342500
2016-06-23,45.7677,45.9922,45.4179,45.4839,1666000
2016-06-24,44.8303,46.5071,44.52,46.0582,5040700
2016-06-27,46.078,46.8966,45.7083,46.8768,2511900
2016-06-28,47.0418,47.6095,46.7051,47.5831,2568600
2016-06-29,47.6821,47.9924,47.4445,47.5633,3524600
2016-06-30,47.5567,48.1112,47.1804,48.0716,2435100
2016-07-01,48.1904,48.5469,47.9858,48.3225,2144400
2016-07-05,48.3423,48.7384,48.164,48.7252,1830700
2016-07-06,47.9462,48.4215,47.9066,48.2829,6947800
2016-07-07,48.3423,48.3819,47.5567,47.6293,2452000
2016-07-08,47.9132,48.1707,47.5303,47.9462,2635200
2016-07-11,47.999,48.3687,47.3719,48.3225,2350900
2016-07-12,48.3555,48.4215,47.2861,47.4379,2793400
2016-07-13,47.5567,47.7482,47.2398,47.6425,2470500
2016-07-14,47.6557,47.6557,46.7381,46.8173,2577600
2016-07-15,46.9164,47.5831,46.7513,47.5303,1936500
2016-07-18,47.7283,47.9594,47.5963,47.9198,1264200
2016-07-19,48.0782,48.2235,47.7614,48.2235,1331300
2016-07-20,48.3159,48.3159,48.0056,48.2433,1106000
2016-07-21,48.0848,48.4083,47.8934,48.3951,1224800
2016-07-22,48.2961,49.0288,48.2961,48.7714,1296600
2016-07-25,48.7714,48.976,48.613,48.8374,1340900
2016-07-26,48.8638,49.075,48.4281,48.6591,1314500
2016-07-27,48.6063,48.7054,48.0716,48.5469,1682200
2016-07-28,48.4743,49.3853,48.4413,49.1939,1718500
2016-07-29,49.5702,50.699,49.3787,50.2765,3188800
2016-08-01,50.0719,50.5472,50.0521,50.5406,1722400
2016-08-02,50.2171,50.3887,49.0552,49.1477,2690100
2016-08-03,49.0816,49.1014,48.4215,48.6591,1981900
2016-08-04,48.7186,48.7714,48.4677,48.7054,1099500
2016-08-05,48.778,48.778,47.9528,48.0122,2245700
2016-08-08,47.9924,48.197,47.5039,47.9528,2130100
2016-08-09,47.9924,48.7714,47.5369,48.6724,1851000
2016-08-10,48.7912,49.4381,48.6724,49.1741,1652300
2016-08-11,49.0882,49.1476,48.3885,48.8176,1561900
2016-08-12,48.9166,49.6164,48.8506,49.1345,1381200
2016-08-15,49.1741,49.2929,48.778,48.8308,1202100
2016-08-16,48.6196,48.7846,48.0386,48.1905,1227600
2016-08-17,48.3225,48.976,47.933,48.9364,1580700
2016-08-18,48.8308,49.0883,48.5997,48.9694,1108800
2016-08-19,48.7582,48.976,48.2234,48.4677,2137100
2016-08-22,48.5403,48.8176,48.3357,48.4743,1757700
2016-08-23,48.7582,49.1345,48.4875,48.8374,1887700
2016-08-24,48.8374,48.9034,47.9924,48.3093,1301200
2016-08-25,48.3753,48.811,48.2301,48.5403,1174100
2016-08-26,48.778,48.9364,47.1672,47.6227,1795800
2016-08-29,47.834,48.7054,47.6557,48.5733,1487100
2016-08-30,48.5337,48.613,48.0122,48.3621,1505200
2016-08-31,48.3159,48.3159,47.6425,47.9726,2949700
2016-09-01,48.065,48.0981,47.5501,47.7482,1914300
2016-09-02,47.9528,49.1675,47.9396,48.4611,1779000
2016-09-06,48.3489,48.9958,48.1574,48.9034,2715100
2016-09-07,48.8968,49.0618,48.7318,48.9694,1612800
2016-09-08,48.6922,48.7582,48.1376,48.1773,3594200
2016-09-09,47.8736,47.8736,45.3056,45.4575,3924300
2016-09-12,45.4442,46.4807,45.1868,46.1044,2645200
2016-09-13,45.7842,46.0577,44.49,44.9169,3828300
2016-09-14,45.2238,45.4773,44.9303,45.1104,2960800
2016-09-15,44.997,45.4773,44.7902,45.3372,2748800
2016-09-16,45.1237,45.444,44.7368,45.3906,6189600
2016-09-19,45.484,45.8309,45.4373,45.7842,1718400
2016-09-20,46.051,46.3846,46.011,46.1911,2312900
2016-09-21,46.2378,46.8916,45.5574,46.7448,2337000
2016-09-22,47.0984,47.7589,47.0984,47.6588,1863100
2016-09-23,47.6388,48.386,47.1918,48.1791,2726600
2016-09-26,48.0124,48.8329,47.8989,48.6061,2264800
2016-09-27,48.7662,48.8529,47.939,48.0057,2736000
2016-09-28,48.1991,48.7195,47.9456,48.6528,1943300
2016-09-29,48.3059,48.4393,47.5587,47.9723,1962800
2016-09-30,48.3059,48.6862,47.0917,47.1184,2540000
2016-10-03,46.8115,46.965,45.9576,46.1578,2157900
2016-10-04,46.1378,46.1378,45.0637,45.4573,2449200
2016-10-05,45.6508,45.8776,44.5967,44.9836,3169900
