date,open,high,low,close,volume
2016-04-22,39.5112,40.0542,38.7575,39.1384,2749100
2016-04-25,37.9713,38.0929,36.4557,36.4881,8934000
2016-04-26,36.8771,36.8771,35.4993,36.4638,6889700
2016-04-27,36.3503,36.5772,35.864,36.0504,6421500
2016-04-28,35.5642,35.5642,34.4133,34.5267,8658300
2016-04-29,34.3403,34.6321,33.4812,33.8054,7688100
2016-05-02,34.1215,34.6564,33.6433,34.6159,5999500
2016-05-03,35.1508,36.1153,33.9189,35.4102,11911900
2016-05-04,35.1751,35.2562,33.7,33.9918,5547600
2016-05-05,33.9108,34.0647,33.0354,33.5541,9059200
2016-05-06,32.6707,33.4083,31.1713,32.1358,11473500
2016-05-09,32.8409,33.311,32.5491,33.0435,5440000
2016-05-10,33.1327,33.5298,32.8733,33.076,4606600
2016-05-11,32.9949,33.0273,32.071,32.1277,3858300
2016-05-12,32.1358,32.3303,30.8066,31.301,7383700
2016-05-13,31.1065,31.8683,30.839,31.7387,5623300
2016-05-16,31.9899,32.849,31.7711,32.7842,4879400
2016-05-17,32.7437,33.8135,32.5897,33.2462,6066900
2016-05-18,33.3758,34.6564,33.3515,34.0728,5298800
2016-05-19,33.9027,34.3808,32.8247,33.3272,3702100
2016-05-20,33.3677,34.1134,33.3029,33.6433,3550100
2016-05-23,33.6838,33.7649,33.1894,33.4001,3710900
2016-05-24,33.6757,34.5267,33.6352,34.397,3702800
2016-05-25,34.4214,34.8266,34.1539,34.5916,3340100
2016-05-26,34.5754,34.8509,34.3727,34.7375,1953700
2016-05-27,34.8996,35.5317,34.7618,34.8996,3054000
2016-05-31,35.0211,35.3291,34.8266,35.1265,3456000
2016-06-01,35.0454,36.3584,34.8266,36.0342,5554800
2016-06-02,36.2693,37.023,36.1072,36.4395,6713800
2016-06-03,36.4314,36.7069,35.2805,36.0829,2792700
2016-06-06,36.5691,37.7281,36.3098,37.7038,4955900
2016-06-07,37.5093,37.8335,36.8123,37.7768,4569600
2016-06-08,37.8254,38.0929,37.4283,37.6957,4764000
2016-06-09,37.5174,37.8578,37.0473,37.0879,3919200
2016-06-10,35.9775,36.1315,34.8509,36.091,7341000
2016-06-13,35.783,36.7718,35.7019,36.2855,4893100
2016-06-14,36.2044,36.8204,35.7424,36.3665,4302800
2016-06-15,36.4476,37.1203,36.1963,36.2612,3455300
2016-06-16,35.9856,36.5691,35.7343,36.5124,3046000
2016-06-17,36.5124,36.942,36.0423,36.48,9207200
2016-06-20,37.0068,37.4526,36.5448,36.7799,3812700
2016-06-21,36.9258,37.1122,35.71,36.3746,5221100
2016-06-22,36.2612,37.5174,36.2288,36.4719,3360400
2016-06-23,36.9906,37.4607,36.8447,37.4121,2964200
2016-06-24,35.4021,36.5854,35.013,35.3048,9367100
2016-06-27,34.9968,35.0049,33.7324,33.8864,5270300
