date,open,high,low,close,volume
2016-04-21,29.7243,29.7949,29.0835,29.4127,32172200
2016-04-22,29.4833,29.7654,29.4245,29.7184,17823300
2016-04-25,29.7067,29.9536,29.5597,29.8419,12439500
2016-04-26,29.9712,29.983,29.5597,29.6538,10064300
2016-04-27,29.6655,30.4592,29.6655,30.3886,17012400
2016-04-28,30.1593,30.3122,29.9359,29.9947,13055600
2016-04-29,29.9536,30.0124,29.7713,29.9477,13684800
2016-05-02,30.1123,30.2475,30.0065,30.1711,11103800
2016-05-03,30.0477,30.1711,29.6067,29.7949,12900700
2016-05-04,29.6773,29.9771,29.5127,29.8889,9033800
2016-05-05,29.9771,30.0065,29.7655,29.8889,10788800
2016-05-06,29.9301,30.0653,29.7537,30.0535,9782300
2016-05-09,30.1123,30.2358,29.9888,30.03,8719800
2016-05-10,30.2064,30.3063,30.1417,30.3004,7903500
2016-05-11,30.2652,30.3945,30.03,30.0712,8508900
2016-05-12,30.1123,30.3357,30.0359,30.2593,9917100
2016-05-13,30.224,30.271,29.8948,29.9477,9561300
2016-05-16,29.8478,30.177,29.7713,30.1182,7903400
2016-05-17,30.1006,30.1888,29.789,29.9242,10466800
2016-05-18,29.936,30.0006,29.4304,29.6244,10443100
2016-05-19,29.3951,29.4068,28.8777,29.1776,16022400
2016-05-20,29.2775,29.2775,29.0835,29.1952,15345800
2016-05-23,29.1952,29.2657,28.8366,28.8895,13263100
2016-05-24,29.0188,29.1717,28.9248,29.1482,11827300
2016-05-25,29.1775,29.4009,29.0423,29.3069,9490400
2016-05-26,29.3069,29.5597,29.2716,29.4891,11044000
2016-05-27,29.6244,29.9007,29.5009,29.7596,10649500
2016-05-31,29.9124,30.077,29.7419,29.9242,15834500
2016-06-01,29.9065,29.9712,29.5244,29.6479,10670800
2016-06-02,29.6714,29.8478,29.4656,29.8478,8721100
2016-06-03,29.8478,29.983,29.7537,29.9359,9500700
2016-06-06,30.0182,30.0359,29.7772,29.8125,10075600
2016-06-07,29.7478,30.565,29.7478,30.4239,15210900
2016-06-08,30.2828,30.3945,30.1241,30.2887,10546200
2016-06-09,30.3592,30.5709,30.2005,30.5415,9790700
2016-06-10,30.4886,31.0588,30.4063,30.9648,15629000
2016-06-13,30.8648,31.0588,30.7061,30.906,12394200
2016-06-14,30.7884,31.2176,30.759,31.1529,10735900
2016-06-15,31.1411,31.2822,31.0177,31.0647,10289000
2016-06-16,31.0647,31.441,30.906,31.4292,11914500
2016-06-17,31.4116,31.6173,31.1647,31.6173,18836300
2016-06-20,31.7467,31.8584,31.4116,31.6056,14344300
2016-06-21,31.682,32.0348,31.4175,31.8055,11893000
2016-06-22,31.8819,31.9818,31.7408,31.7643,12959200
2016-06-23,31.9818,32.1465,31.8643,32.1406,12329900
2016-06-24,32.023,32.4639,31.8231,31.9995,43842700
2016-06-27,31.782,32.2582,31.6761,32.1817,22570200
2016-06-28,32.1935,32.3287,31.9466,32.2288,17780600
2016-06-29,32.2288,32.511,32.2288,32.3699,18184100
2016-06-30,32.4933,32.8754,32.2111,32.8284,22143300
2016-07-01,32.8343,33.093,32.6814,33.0577,16092300
2016-07-05,33.1106,33.481,33.1106,33.2341,20703200
2016-07-06,33.3796,33.4508,32.9282,33.4092,15761500
2016-07-07,33.3142,33.338,32.7204,32.8867,13574100
2016-07-08,32.8926,33.2727,32.667,33.1955,15946200
2016-07-11,33.1064,33.2549,32.9045,33.2133,12434700
2016-07-12,33.1064,33.2311,32.8807,32.9401,14897600
2016-07-13,33.0054,33.2786,32.8807,33.2549,11405600
2016-07-14,33.0292,33.3142,33.0292,33.1598,11098500
2016-07-15,33.2846,33.3024,33.0173,33.1598,13949700
2016-07-18,33.1777,33.2549,33.1123,33.2133,9623300
2016-07-19,33.2311,33.2549,32.9876,33.0767,10270100
2016-07-20,33.0054,33.0589,32.8451,33.0292,12008700
2016-07-21,32.9758,33.0589,32.8035,32.8807,9802100
2016-07-22,32.9223,33.3736,32.8926,33.3142,10973200
2016-07-25,33.3142,33.3142,33.0411,33.1777,10848700
2016-07-26,33.1658,33.4033,32.4769,32.5482,18753900
2016-07-27,32.6313,32.9223,32.3285,32.851,17074600
2016-07-28,32.7798,32.7857,32.4472,32.5779,10672300
2016-07-29,32.6551,33.0886,32.6432,32.9045,15508900
2016-08-01,33.0055,33.148,32.2869,32.3641,17434600
2016-08-02,32.3344,32.4176,31.9009,32.0672,18428200
2016-08-03,32.1622,32.1859,31.8475,32.0078,10429400
2016-08-04,32.0672,32.1503,31.9662,32.0256,11309800
2016-08-05,32.0315,32.0612,31.6693,31.8534,13460100
2016-08-08,31.8534,31.9128,31.7109,31.8237,9830400
2016-08-09,31.8296,31.9365,31.6693,31.8653,7906200
2016-08-10,31.9603,32.0553,31.8237,31.9544,8875700
2016-08-11,31.9543,32.0612,31.9128,31.984,7824800
2016-08-12,32.0434,32.0553,31.7821,31.8593,7655000
2016-08-15,31.8653,31.9781,31.7881,31.8356,8250900
2016-08-16,31.7703,31.7762,31.313,31.3308,13933100
2016-08-17,31.414,31.5743,31.1052,31.5743,12930100
2016-08-18,31.4437,31.509,31.1883,31.3961,11204900
2016-08-19,31.408,31.4199,30.9745,31.1467,11991000
2016-08-22,31.2239,31.2893,30.9805,31.2061,8183900
2016-08-23,31.2714,31.3665,31.1527,31.2536,7775100
2016-08-24,31.2061,31.3071,30.9805,31.1942,8900700
2016-08-25,31.1943,31.3487,31.0755,31.3249,8680100
2016-08-26,31.2596,31.4793,30.8201,30.9211,15105300
2016-08-29,31.0933,31.2893,30.9745,31.1764,11960400
2016-08-30,31.2239,31.2299,30.8973,31.0398,9161900
2016-08-31,31.0102,31.1527,30.927,31.0755,10390500
2016-09-01,30.9626,31.3011,30.9033,31.2121,9988800
2016-09-02,31.3546,31.5565,31.1883,31.4021,13275300
2016-09-06,31.5268,31.9722,31.3724,31.7762,17235600
2016-09-07,31.7703,31.9425,31.6396,31.895,10612300
2016-09-08,31.8297,31.9959,31.7287,31.8297,9005300
2016-09-09,31.5506,31.6159,30.7429,30.7726,18258500
2016-09-12,30.731,31.3783,30.7073,31.218,15678600
2016-09-13,30.9092,30.9508,30.3748,30.5529,17602400
