date,open,high,low,close,volume
2016-04-18,36.4843,36.9607,36.2272,36.9305,18225800
2016-04-19,37.059,37.7471,37.0363,37.7169,18673400
2016-04-20,37.7925,38.2008,37.6261,38.1479,22647700
2016-04-21,38.2235,38.3974,37.7547,37.8454,20255400
2016-04-22,37.8454,38.3671,37.8454,38.2764,16365700
2016-04-25,38.042,38.2613,37.8983,38.1932,11689100
2016-04-26,38.1932,38.5562,38.1479,38.5033,13333500
2016-04-27,38.4654,38.8738,38.352,38.5108,15342700
2016-04-28,38.1932,38.5108,37.9588,38.1176,15506300
2016-04-29,38.1554,38.1554,37.5656,37.7925,17887000
2016-05-02,38.0193,38.3369,37.921,38.2537,14780300
2016-05-03,37.7017,37.9059,37.4598,37.8076,16246400
2016-05-04,37.3809,37.5409,37.0914,37.2895,22402500
2016-05-05,37.3123,37.48,37.1599,37.3047,15953600
2016-05-06,37.1142,37.4266,37.0685,37.3504,14189600
2016-05-09,37.3504,37.5028,37.1904,37.2438,13877000
2016-05-10,37.3352,37.7238,37.3352,37.64,14234400
2016-05-11,37.6095,37.8838,37.3961,37.3961,17344300
2016-05-12,37.5942,37.7771,37.3733,37.4876,13589600
2016-05-13,37.4114,37.6628,36.7333,36.7561,25251700
2016-05-16,36.6647,37.0533,36.5275,36.779,19655300
2016-05-17,36.6799,36.7028,36.2304,36.2837,21495600
2016-05-18,36.3294,37.1218,36.2837,37.0685,30028200
2016-05-19,36.9085,37.3047,36.6952,36.8628,13604100
2016-05-20,37.0456,37.4952,36.9999,37.1447,13222800
2016-05-23,37.1523,37.2438,36.8399,37.1066,10644000
2016-05-24,37.3733,37.6171,37.099,37.4876,16597700
2016-05-25,37.7771,38.7295,37.7238,38.4781,22478600
2016-05-26,38.4933,38.6,38.4019,38.5162,14983300
2016-05-27,38.5543,38.7524,38.4705,38.7448,13430500
2016-05-31,38.8743,39.0038,38.4705,38.6457,19725000
2016-06-01,38.2952,38.8896,38.2267,38.8591,16774300
2016-06-02,38.8286,38.9429,38.6381,38.9429,14206700
2016-06-03,38.2267,38.3333,37.8,38.2419,25452600
2016-06-06,38.28,38.76,38.2419,38.4705,14528500
2016-06-07,38.6533,38.6533,38.3029,38.3029,15310100
2016-06-08,38.2876,38.4324,37.899,38.0971,18168500
2016-06-09,37.8304,37.8533,37.2209,37.4419,19464400
2016-06-10,36.9466,37.1142,36.7028,36.8323,16815300
2016-06-13,36.6723,36.9618,36.5428,36.5504,16150100
2016-06-14,36.4666,36.6647,35.438,35.7199,25311700
2016-06-15,36.017,36.238,35.6132,35.6437,20142000
2016-06-16,35.4075,35.7046,35.0189,35.697,15619300
2016-06-17,35.697,35.8113,35.4456,35.5065,25661300
2016-06-20,36.1847,36.497,35.7503,35.758,19490100
2016-06-21,36.0323,36.0704,35.6361,35.9866,11731600
2016-06-22,35.9256,36.2532,35.758,35.7884,17072100
2016-06-23,36.2989,36.5047,36.1085,36.5047,16270000
2016-06-24,34.8665,35.7884,34.5008,34.8284,46744100
2016-06-27,34.4398,34.5389,33.9064,34.295,35030100
2016-06-28,34.9655,35.1332,34.5465,35.1256,27525700
2016-06-29,35.5294,35.8037,35.1636,35.7884,20856400
2016-06-30,35.9942,36.0856,35.4532,36.0627,22538800
2016-07-01,35.8723,36.0246,35.7046,35.8342,19013600
2016-07-05,35.5827,35.6284,34.9046,35.2094,22213000
2016-07-06,34.9655,35.5522,34.8208,35.5446,19024100
2016-07-07,35.4913,35.9789,35.3846,35.6589,17946200
2016-07-08,36.1542,36.5123,36.1542,36.4132,19775700
2016-07-11,36.6494,36.9161,36.5275,36.6342,16008700
2016-07-12,36.8933,37.0533,36.7409,36.8399,15067900
2016-07-13,36.8094,36.9314,36.558,36.779,14389600
2016-07-14,37.3733,37.4495,37.0837,37.2895,17578400
2016-07-15,37.2209,37.2438,36.1237,36.3523,35121000
2016-07-18,36.4285,36.8247,36.4056,36.7866,24139200
2016-07-19,36.6342,36.9923,36.6113,36.8552,15982900
2016-07-20,37.0228,37.099,36.878,37.038,16569900
2016-07-21,37.0685,37.1904,36.7942,36.8018,15532000
2016-07-22,36.8171,36.8475,36.6494,36.8171,13588500
2016-07-25,36.7561,36.7714,36.459,36.6647,12122200
2016-07-26,36.5961,36.7028,36.4209,36.5504,16130100
2016-07-27,36.5351,36.7409,36.4056,36.5732,17886800
2016-07-28,36.5275,36.7409,36.3294,36.6723,12562600
2016-07-29,36.5352,36.7028,36.5352,36.5504,13111700
2016-08-01,36.558,36.6113,36.2913,36.4285,16026600
2016-08-02,36.3142,36.4437,36.1084,36.3447,17033100
2016-08-03,36.3523,36.5904,36.3523,36.5367,14913500
2016-08-04,36.5597,36.867,36.5367,36.7441,14662600
2016-08-05,37.1665,37.4046,36.9668,37.3892,19064700
2016-08-08,37.466,37.6734,37.4353,37.5659,14871600
2016-08-09,37.6504,37.7502,37.4891,37.5812,10449800
2016-08-10,37.4967,37.5812,36.9284,37.0052,16782700
2016-08-11,37.0436,37.251,36.8055,37.0513,14614100
2016-08-12,36.9053,36.9284,36.7364,36.7901,13227500
2016-08-15,36.9053,37.1281,36.89,37.0743,11758900
2016-08-16,36.9898,37.3278,36.913,37.2049,13957600
2016-08-17,37.1511,37.3739,37.105,37.3355,13062900
2016-08-18,37.251,37.3739,37.1204,37.274,12189200
2016-08-19,37.2049,37.4276,37.0206,37.3662,12557700
2016-08-22,37.3585,37.4353,37.251,37.3508,9212600
2016-08-23,37.3585,37.443,37.1665,37.1819,15430200
2016-08-24,37.251,37.4583,37.1358,37.3508,16315800
2016-08-25,37.3431,37.3969,37.0974,37.1588,13643200
2016-08-26,37.3124,37.5121,37.082,37.2586,15527300
2016-08-29,37.443,38.211,37.3969,38.0651,21201400
2016-08-30,38.1957,38.8946,38.1573,38.8792,25055800
2016-08-31,38.9407,39.1097,38.5874,39.0175,24533600
2016-09-01,39.1097,39.1711,38.4876,38.7333,17017100
2016-09-02,38.7487,38.91,38.5413,38.8255,12684000
2016-09-06,38.8332,38.8409,38.1189,38.3954,21832200
2016-09-07,38.2418,38.4261,38.1343,38.2264,12437300
2016-09-08,38.2571,38.3954,38.0651,38.3263,14169200
2016-09-09,38.0114,38.2955,37.4199,37.4199,32147200
2016-09-12,37.1511,37.3585,36.8516,37.2817,35588400
2016-09-13,36.7133,36.7594,35.7302,36.0682,59000500
2016-09-14,36.1603,36.5444,35.7148,35.7302,44841700
2016-09-15,35.423,35.5996,34.7087,35.446,60827800
2016-09-16,35.1004,35.231,34.7548,34.893,51871400
2016-09-19,35.039,35.5536,34.9314,35.3385,33562400
2016-09-20,36.2141,36.2525,35.423,35.7609,51510400
2016-09-21,35.7225,35.7456,34.8162,35.2002,64530200
2016-09-22,35.2003,35.423,34.8469,35.1158,36964400
2016-09-23,34.9468,35.2617,34.893,35.1311,28710500
2016-09-26,34.8469,34.9468,34.2939,34.4706,30938000
2016-09-27,34.4015,34.6396,34.3016,34.6319,24359000
2016-09-28,34.8393,34.9314,34.532,34.8009,28220300
2016-09-29,34.7087,34.7624,33.956,34.0789,45266700
2016-09-30,34.0482,34.3554,33.8715,34.0097,54117700
2016-10-03,33.8869,33.9176,33.4568,33.6641,38197700
2016-10-04,33.5028,33.8638,33.4491,33.6027,44008300
2016-10-05,33.6641,34.6242,33.6641,34.5551,40459000
2016-10-06,34.701,34.8623,34.4322,34.701,29878200
2016-10-07,34.7164,34.9084,34.509,34.8162,24893600
2016-10-10,35.1004,35.2694,34.9007,35.062,21804900
2016-10-11,35.1772,35.1926,34.678,34.9084,25442600
2016-10-12,34.9545,35.2002,34.8085,34.8085,21780500
2016-10-13,34.7471,34.7471,34.0097,34.3707,44174600
2016-10-14,34.6933,34.9621,34.0405,34.34,45418600
2016-10-17,34.2095,34.3784,34.0405,34.1787,18861300
2016-10-18,34.3707,34.5628,34.1096,34.5244,23877600
2016-10-19,34.4552,34.9698,34.4552,34.7624,26977000
2016-10-20,34.5397,34.7855,34.3016,34.509,27210600
2016-10-21,34.3631,34.7932,34.3016,34.6319,21490800
2016-10-24,34.9084,35.085,34.7855,34.9622,19303800
2016-10-25,34.9238,35.1772,34.8777,35.1158,20402000
2016-10-26,34.9161,35.4614,34.9007,35.446,25181900
2016-10-27,35.6534,35.9529,35.5305,35.6457,25661000
2016-10-28,35.7686,35.8224,35.2386,35.5075,20882000
2016-10-31,35.638,35.7609,35.3308,35.3385,20115900
2016-11-01,35.423,35.5459,35.0236,35.3231,20020200
2016-11-02,35.145,35.2457,34.9049,35.0366,19566600
2016-11-03,35.1063,35.4625,35.0443,35.114,14982700
2016-11-04,35.1295,35.176,34.4558,34.5409,27391600
2016-11-07,35.0211,35.3851,35.0134,35.1605,25769400
2016-11-08,34.9901,35.4858,34.75,35.2689,19462600
2016-11-09,35.8807,37.6465,35.6252,37.1663,67615000
2016-11-10,37.8943,40.2177,37.7859,39.9854,100988800
2016-11-11,39.5672,40.2642,39.2884,40.0628,46594900
