date,open,high,low,close,volume
2016-04-18,9.9715,10.5124,9.0072,9.8068,34744700
2016-04-19,9.9362,10.6123,9.9009,10.5888,16079400
2016-04-20,10.483,11.2591,10.3301,11.0709,20954600
2016-04-21,11.1121,11.5177,10.9474,11.2532,15719700
2016-04-22,11.3296,11.653,11.2532,11.4884,10089400
2016-04-25,11.5177,11.6412,10.9416,11.2061,5983500
2016-04-26,11.3178,11.5824,11.1532,11.4002,8527200
2016-04-27,11.5001,12.0939,11.5001,11.7588,16189700
2016-04-28,11.8235,12.0939,11.5119,11.5471,8025900
2016-04-29,11.6882,11.8411,10.9651,11.4002,8848200
2016-05-02,11.3884,11.3884,10.8534,11.0592,9313900
2016-05-03,11.0827,11.4413,10.8475,11.4002,9217300
2016-05-04,11.2355,11.4237,10.7887,11.312,9709200
2016-05-05,10.8299,12.1292,10.824,12.0939,14791200
2016-05-06,12.0645,12.3467,11.5765,11.5824,9335800
2016-05-09,11.3825,11.4354,10.9063,11.1356,9273100
2016-05-10,11.1826,11.5119,11.0768,11.2532,5430300
2016-05-11,11.359,11.7,11.065,11.4648,5567600
2016-05-12,11.6588,11.747,11.1062,11.2003,6455900
2016-05-13,11.1238,11.6824,11.0827,11.3766,13797400
2016-05-16,11.4354,12.141,11.4354,12.1057,17362000
2016-05-17,12.1057,12.917,12.0175,12.6466,11858700
2016-05-18,12.6407,12.7936,12.1468,12.2468,7545300
2016-05-19,12.0116,12.6936,11.8235,12.6642,10950500
2016-05-20,12.8465,13.0875,12.7348,13.0229,12608400
2016-05-23,12.9112,13.0581,12.2879,12.9053,11343400
2016-05-24,12.9523,13.1111,12.6113,13.0111,14955500
2016-05-25,13.1111,13.1287,12.3115,12.4937,15269800
2016-05-26,12.5996,12.6466,12.1527,12.235,9040400
2016-05-27,12.1645,12.676,12.0645,12.629,7897000
2016-05-31,12.7348,13.5226,12.7348,13.0288,10498400
2016-06-01,12.8406,13.3462,12.7348,13.2816,7214200
2016-06-02,13.0875,13.4462,12.9406,13.2874,5449200
2016-06-03,13.3521,13.4697,13.064,13.4227,4765200
2016-06-06,13.6402,13.9342,13.4815,13.746,8687700
2016-06-07,13.9224,14.0459,13.6755,13.8577,7338400
2016-06-08,13.7637,13.893,13.3992,13.6285,7498000
2016-06-09,13.4756,13.8695,13.3933,13.6872,7747100
2016-06-10,13.3992,13.4403,12.8465,12.9582,8063400
2016-06-13,12.7936,13.1052,12.7171,12.8171,5986300
2016-06-14,12.7407,12.9582,12.3409,12.4526,9003500
2016-06-15,12.3467,13.2404,12.2762,12.7995,11693000
2016-06-16,12.6844,13.4779,12.4481,13.4052,13474700
2016-06-17,13.5082,13.8232,13.4476,13.6475,11845700
2016-06-20,13.7444,13.8777,13.1144,13.5203,17733700
2016-06-21,13.4779,13.8716,12.1392,13.1266,36802500
