date,open,high,low,close,volume
2016-04-22,13.0414,13.2421,13.0343,13.2397,2045925
2016-04-25,13.2066,13.2421,13.1028,13.1854,1668263
2016-04-26,13.1996,13.3271,13.183,13.2987,1316250
2016-04-27,13.4593,13.5324,13.2255,13.4404,2709113
2016-04-28,13.3223,13.3625,13.1901,13.2208,5018963
2016-04-29,13.2515,13.2609,13.1122,13.2208,2019600
2016-05-02,13.2421,13.3601,13.1807,13.2185,2522138
2016-05-03,13.1594,13.2208,13.091,13.1453,2594025
2016-05-04,13.0862,13.1169,12.9729,13.0343,3014213
2016-05-05,13.1004,13.1453,12.9847,13.0508,2927475
2016-05-06,13.0249,13.0532,12.9304,12.9776,1931850
2016-05-09,12.9824,13.0319,12.8808,13.0036,2027363
2016-05-10,13.098,13.2161,12.98,13.209,1407713
2016-05-11,13.1523,13.2798,13.1523,13.1878,1194075
2016-05-12,13.2043,13.3152,13.1523,13.294,1272713
2016-05-13,13.2775,13.327,13.1783,13.2468,1508963
2016-05-16,13.2161,13.3082,13.1854,13.268,1016888
2016-05-17,13.2586,13.2893,13.0225,13.0721,1213988
2016-05-18,13.0249,13.3105,13.0201,13.2326,1413113
2016-05-19,13.1594,13.183,13.0131,13.15,822488
2016-05-20,13.1547,13.2846,13.1335,13.2279,1334138
2016-05-23,13.2137,13.2208,13.0862,13.1453,1016213
2016-05-24,13.2208,13.3577,13.1335,13.3318,1128938
2016-05-25,13.3341,13.3837,13.3082,13.3389,1465088
2016-05-26,13.3389,13.3412,13.2444,13.2633,1430325
2016-05-27,13.2916,13.3979,13.2916,13.3837,802238
2016-05-31,13.4002,13.5254,13.3719,13.464,2329088
2016-06-01,13.405,13.4781,13.3412,13.4734,985838
2016-06-02,13.4498,13.549,13.412,13.4829,844088
2016-06-03,13.405,13.4309,13.2562,13.3436,1421213
2016-06-06,13.3554,13.4002,13.2751,13.3011,1037138
2016-06-07,13.3247,13.3271,13.235,13.2916,856913
2016-06-08,13.2728,13.3389,13.2515,13.3153,971325
2016-06-09,13.2869,13.3412,13.2255,13.3247,450225
2016-06-10,13.235,13.2964,13.1807,13.2444,634838
2016-06-13,13.2089,13.2468,13.1166,13.1403,1612575
2016-06-14,13.093,13.1829,13.093,13.1356,897075
2016-06-15,13.1592,13.1592,13.0291,13.0409,1000350
2016-06-16,12.9676,13.2018,12.9557,13.1971,998663
2016-06-17,13.1924,13.2515,13.1403,13.2302,2292638
2016-06-20,13.3201,13.403,13.2113,13.2184,1399950
2016-06-21,13.2184,13.3367,13.2018,13.2775,1116788
