date,open,high,low,close,volume
2016-04-21,69.3461,69.9341,68.9122,69.1918,268600
2016-04-22,68.9797,69.9052,68.9315,69.7702,309100
2016-04-25,69.7606,69.8185,69.24,69.6739,260300
2016-04-26,69.6642,69.8571,68.7966,69.3654,430600
2016-04-27,69.5582,69.886,68.9508,69.51,465000
2016-04-28,69.5678,70.7633,68.6423,69.6739,298600
2016-04-29,69.5678,69.5678,67.7843,68.6423,507500
2016-05-02,68.9508,69.3075,68.3724,69.269,333200
2016-05-03,68.9026,69.2111,67.9578,68.1892,250500
2016-05-04,67.6686,67.6975,67.0998,67.4951,255100
2016-05-05,67.254,68.3531,67.254,68.1506,283000
2016-05-06,67.8903,68.1121,67.283,67.8614,323500
2016-05-09,67.8325,68.893,67.4951,68.6905,315400
2016-05-10,69.0376,69.2497,68.4109,69.2497,247000
2016-05-11,69.5485,69.9052,68.7676,69.6835,339900
2016-05-12,69.5293,69.5293,68.0542,68.7098,278900
2016-05-13,68.6326,69.24,68.2856,69.0858,263700
2016-05-16,68.999,70.9175,68.4206,70.609,517600
2016-05-17,70.5222,70.9754,68.4591,68.5748,556000
2016-05-18,68.2567,69.1725,68.0928,68.6423,307400
2016-05-19,68.1602,69.2207,68.112,68.7001,231000
2016-05-20,69.0569,70.1848,68.7484,70.1173,589500
2016-05-23,70.4258,70.7922,69.6353,69.7028,282700
2016-05-24,70.0016,71.5538,69.9534,71.3706,387700
2016-05-25,71.737,72.0069,70.5705,71.1489,298200
2016-05-26,71.1103,71.4767,70.7633,71.0525,203000
2016-05-27,71.3417,71.9009,71.1007,71.9009,200200
2016-05-31,71.8912,72.5275,71.6309,72.3829,346800
2016-06-01,72.113,72.7975,71.602,72.489,311400
2016-06-02,72.3154,73.0096,72.0744,73.0096,212400
2016-06-03,73.0867,73.2409,72.2287,72.5468,248700
2016-06-06,72.4118,72.9517,71.978,72.6721,321700
2016-06-07,72.6818,73.7423,72.6239,73.5302,271100
2016-06-08,73.482,74.4846,73.106,74.3014,309700
2016-06-09,74.2918,74.9184,74.2918,74.6389,252700
2016-06-10,74.3111,74.446,73.6555,73.8772,285800
