date,open,high,low,close,volume
2016-04-21,106.6113,107.933,106.0201,106.9591,1055400
2016-04-22,107.3678,108.4634,106.5852,107.6374,695300
2016-04-25,107.1243,107.82,106.2287,107.2113,460000
2016-04-26,107.7852,108.2199,107.0896,108.1678,532900
2016-04-27,108.333,108.6808,107.0635,108.4199,462600
2016-04-28,107.42,108.3591,106.6722,107.9504,910700
2016-04-29,107.6461,108.8373,106.1244,108.6025,889600
2016-05-02,109.0721,110.2024,108.5156,109.5242,734700
2016-05-03,108.3069,109.9329,107.5243,109.7938,1304800
2016-05-04,109.0286,110.2372,108.6634,110.0459,1598200
2016-05-05,110.1329,111.1154,109.7329,111.0024,1917500
2016-05-06,110.7415,110.7415,105.4201,105.6983,3221500
2016-05-09,106.3244,107.507,105.3854,107.3331,919800
2016-05-10,107.7243,109.5503,106.7853,109.1329,1991600
2016-05-11,109.2981,109.5068,107.8808,108.0026,594800
2016-05-12,108.2026,108.3156,106.0897,107.7243,475800
2016-05-13,107.7417,109.7938,106.7331,106.9244,715100
2016-05-16,107.0548,108.3504,106.8374,107.7417,528500
2016-05-17,107.2982,107.9678,105.3331,107.3069,580000
2016-05-18,107.1418,109.0373,106.5331,108.9243,629700
2016-05-19,108.2721,109.0982,106.6809,108.7938,598200
2016-05-20,108.8199,109.359,107.733,109.1851,816700
2016-05-23,109.1069,109.759,108.4808,109.5155,640800
2016-05-24,109.6721,110.4981,108.8373,110.0981,761100
2016-05-25,110.4981,111.3502,109.5068,109.959,462100
2016-05-26,109.872,110.4111,109.0547,110.0894,627000
2016-05-27,110.0025,111.2894,109.6634,111.2198,722500
2016-05-31,111.7328,111.898,110.5937,111.3154,1384200
2016-06-01,111.0111,111.4198,110.2111,111.3589,441500
2016-06-02,111.2893,112.0197,110.4024,111.9502,423600
2016-06-03,111.1328,111.1676,109.5677,110.8459,496700
2016-06-06,111.0372,111.9502,108.3938,111.0198,536700
2016-06-07,111.3415,112.7762,111.0285,112.3849,429400
2016-06-08,112.1589,112.5241,111.3241,112.1936,719100
2016-06-09,111.9328,112.7501,111.4198,112.6719,394500
2016-06-10,112.0545,112.1154,109.8199,110.4372,548000
2016-06-13,110.5155,110.9937,108.959,109.0982,263300
2016-06-14,108.446,109.2982,107.7678,108.6547,329300
2016-06-15,109.5155,109.5155,107.5591,107.9417,378700
2016-06-16,107.2461,108.5765,106.7331,108.5504,404800
2016-06-17,108.4026,109.3416,107.3244,108.9764,659300
2016-06-20,110.0024,111.5241,109.6372,109.7938,550300
2016-06-21,110.0286,110.8024,108.9938,110.7155,485600
2016-06-22,110.5068,111.2198,109.846,109.9851,561900
2016-06-23,111.2458,111.2458,110.0807,110.9937,512300
2016-06-24,105.2114,105.4288,100.803,101.7421,1638000
2016-06-27,99.6987,100.9334,98.2466,98.6031,884400
2016-06-28,99.3802,102.7159,99.2318,102.6548,795200
2016-06-29,103.3359,105.6674,103.0827,105.6587,1049700
2016-06-30,105.973,108.6538,104.8466,108.549,1162100
2016-07-01,108.6974,109.5968,107.1257,108.2783,858400
2016-07-05,104.9513,107.8766,104.9513,107.8242,761400
2016-07-06,107.6845,109.1428,107.1082,109.038,749900
2016-07-07,108.5228,109.5706,108.2608,108.6625,591100
2016-07-08,110.0596,110.0596,108.8022,109.2039,692800
2016-07-11,109.2388,110.1207,108.3132,109.6055,482600
2016-07-12,109.9287,111.1773,109.4746,111.0726,844000
2016-07-13,111.4306,111.5441,110.1557,110.3914,630000
2016-07-14,111.4393,111.4917,110.0073,110.0597,567100
2016-07-15,110.374,110.374,108.3394,108.7935,512200
2016-07-18,109.0031,109.0031,107.9465,108.2608,462200
2016-07-19,107.5797,108.7411,107.2828,108.4267,706100
2016-07-20,108.7236,108.776,106.2612,108.2783,533900
2016-07-21,107.9989,108.7149,107.4487,107.6932,374700
2016-07-22,107.5972,108.3307,107.0558,108.2259,373800
2016-07-25,107.9028,108.4879,107.4662,108.2783,365700
2016-07-26,108.5315,109.3,107.9203,108.0687,313900
2016-07-27,108.1299,108.8197,107.5448,108.5141,401000
2016-07-28,108.287,108.5403,107.7456,108.0513,275500
2016-07-29,107.7718,108.322,107.2654,107.9465,426700
2016-08-01,108.1648,109.4397,107.9989,108.1386,574600
2016-08-02,107.9377,108.418,107.3876,107.5535,793200
2016-08-03,107.8504,108.6974,107.7631,108.1211,446900
2016-08-04,107.8941,110.0247,107.8941,108.3569,766700
2016-08-05,106.2961,107.4749,103.2661,104.7156,1865200
2016-08-08,104.41,106.0254,103.1089,105.3006,930800
2016-08-09,105.0387,106.1651,103.8249,105.8595,502700
2016-08-10,106.2262,106.9073,105.6848,106.3747,709700
2016-08-11,106.4096,107.3876,106.4009,107.1868,563900
2016-08-12,106.9772,107.2566,105.7198,106.0691,342900
2016-08-15,106.5319,106.7327,105.9817,106.1215,478800
2016-08-16,105.9817,106.5144,105.222,106.0778,501800
2016-08-17,106.4446,106.724,106.0429,106.4707,410300
2016-08-18,106.3048,107.1693,106.0603,107.0209,443800
2016-08-19,106.6192,107.4487,105.1609,107.1606,1414800
2016-08-22,107.0121,108.3918,106.689,107.3614,570700
2016-08-23,107.6146,108.2783,107.0558,107.5011,391300
2016-08-24,107.4924,108.5053,106.4882,106.7152,425200
2016-08-25,106.366,107.1955,106.3572,106.7152,526300
2016-08-26,107.0383,108.6712,106.6279,107.3964,514700
2016-08-29,107.5361,108.9419,107.3265,108.2084,456500
2016-08-30,108.4355,108.6974,106.4271,108.2259,414100
2016-08-31,108.2695,108.6014,106.6279,108.287,464500
2016-09-01,108.2783,109.3611,107.9203,109.0205,526200
2016-09-02,109.5881,110.5574,109.0118,110.4875,487300
2016-09-06,110.7408,111.4743,110.0771,111.4743,752300
2016-09-07,111.4742,112.6269,111.125,112.2514,632500
2016-09-08,111.6489,112.0157,109.4834,109.5183,728300
2016-09-09,108.6188,109.0118,106.5668,106.5668,641100
2016-09-12,106.2786,109.5532,106.0603,109.3698,655500
2016-09-13,108.2783,108.322,107.2828,107.4837,488900
2016-09-14,107.3177,107.9203,106.1913,106.7938,741900
2016-09-15,106.7327,109.5881,105.8333,109.2563,713400
2016-09-16,108.4791,108.7062,107.1169,108.2346,1847200
2016-09-19,108.8022,109.1515,108.3831,108.8721,310700
2016-09-20,109.9636,110.3565,109.5182,109.7453,311000
2016-09-21,109.9112,112.2078,109.2476,112.1204,927700
2016-09-22,112.6443,113.308,111.71,112.8015,716500
2016-09-23,112.3911,112.6182,111.8235,111.8497,797000
2016-09-26,111.6052,111.7973,111.1512,111.7711,410300
2016-09-27,112.1379,113.2381,111.9545,112.557,503600
2016-09-28,112.7498,113.3984,111.2686,112.1801,567200
2016-09-29,112.2678,114.5729,112.0049,113.7578,1504500
2016-09-30,113.2144,116.9219,113.2144,116.3697,1461900
2016-10-03,116.0892,116.3434,113.9681,115.7912,1142100
2016-10-04,115.6948,115.7737,114.3713,115.3179,1068500
2016-10-05,115.1514,116.2557,114.7219,115.6597,700200
2016-10-06,115.537,116.2557,114.9235,115.7737,767200
2016-10-07,115.9665,116.247,114.8183,114.8709,855100
2016-10-10,115.6422,116.1944,114.8096,114.8359,423800
2016-10-11,114.3976,115.1865,112.3379,112.8287,575700
