date,open,high,low,close,volume
2016-04-18,54.9629,55.5386,54.2449,55.4869,9097000
2016-04-19,55.5321,55.8297,55.1246,55.765,10354500
2016-04-20,55.7779,56.5606,55.6097,56.1466,15247100
2016-04-21,56.0108,56.8194,55.9979,56.1402,12075300
2016-04-22,56.4312,56.69,56.1596,56.6188,9150800
2016-04-25,56.3342,56.5348,55.8556,56.4895,8076400
2016-04-26,56.7611,56.884,56.3148,56.6835,9425900
2016-04-27,56.8905,57.3886,56.4895,57.2204,10463500
2016-04-28,56.8323,57.4274,56.5994,56.9423,11276200
2016-04-29,57.3627,58.0743,56.7547,57.1816,17885900
2016-05-02,57.0781,57.8802,56.9746,57.6538,10273700
2016-05-03,57.1816,57.3304,56.5089,56.994,10137400
2016-05-04,57.1169,57.4015,56.6641,56.884,10601100
2016-05-05,57.4145,57.5503,56.6771,56.9487,8721100
2016-05-06,56.5736,57.3627,56.5736,57.2528,7968400
2016-05-09,57.311,57.4145,56.4248,57.2916,11159500
2016-05-10,57.505,58.2165,57.4533,58.2101,12509100
2016-05-11,58.1579,58.4971,57.8709,57.9296,11660200
2016-05-12,58.5754,58.6602,58.1514,58.4906,10720500
2016-05-13,58.2362,58.484,57.7339,57.8318,9721100
2016-05-16,58.184,58.4906,58.0535,58.4253,8638700
2016-05-17,58.2296,58.6471,58.1579,58.3992,9835600
2016-05-18,58.5754,58.7058,57.8252,58.2818,9680300
2016-05-19,57.7992,58.8102,57.6948,58.7776,14397900
2016-05-20,58.9602,58.9667,58.3014,58.5362,13191900
2016-05-23,58.0535,58.6406,57.9361,58.4449,11766100
2016-05-24,58.6341,58.9667,58.4123,58.4906,10056600
2016-05-25,58.608,58.9472,58.4384,58.8754,9578400
2016-05-26,58.8689,59.0059,58.2296,58.5754,7867900
2016-05-27,58.3145,58.7385,58.2623,58.7124,7505900
2016-05-31,58.7058,58.8363,57.8774,58.0666,13178800
2016-06-01,57.6817,58.3471,57.486,58.2101,7994800
2016-06-02,57.5382,57.747,57.1469,57.747,9837500
2016-06-03,57.6883,57.9426,57.4208,57.6426,9367100
2016-06-06,57.9687,58.3797,57.8513,58.2753,8573000
2016-06-07,58.5427,59.3059,58.5167,59.1689,12889100
2016-06-08,59.3777,59.5538,59.0515,59.2211,9983000
2016-06-09,58.8232,59.3777,58.7776,59.1428,8974300
2016-06-10,58.9667,59.3059,58.5623,58.6928,10353800
2016-06-13,58.6536,59.6386,58.5101,59.0907,11370000
2016-06-14,58.9993,59.2733,58.608,58.9863,10161000
2016-06-15,58.8559,59.2929,58.7058,58.8102,10655800
2016-06-16,58.5101,59.6125,58.1253,59.5016,12824800
2016-06-17,59.6777,59.743,58.8298,59.1755,17483200
2016-06-20,59.5473,59.743,59.4038,59.4364,9388500
2016-06-21,59.1755,59.7756,58.8689,59.7038,8557500
2016-06-22,59.906,59.9647,59.3646,59.469,8785400
2016-06-23,59.9647,60.056,59.482,59.8799,9464500
2016-06-24,58.6275,59.2276,58.1514,58.3079,20010500
2016-06-27,57.9883,58.1188,57.473,57.9622,14169400
2016-06-28,58.5297,59.3124,58.3927,59.2994,13254300
2016-06-29,59.6256,60.467,59.4364,60.3105,13920600
2016-06-30,60.2257,61.2041,60.2061,61.1454,14073700
2016-07-01,60.8975,61.3019,60.7084,61.2106,9946300
2016-07-05,60.741,61.0541,60.1735,60.6757,10744100
2016-07-06,60.891,61.3933,60.2974,61.3737,13144400
2016-07-07,61.5368,61.6346,60.2387,60.6366,12240700
2016-07-08,60.9171,61.1715,60.6105,61.0149,9807600
2016-07-11,61.1519,61.5824,61.0867,61.2432,8335700
2016-07-12,61.752,61.9346,61.3737,61.9346,9870800
2016-07-13,61.739,61.9151,61.3867,61.889,9458200
2016-07-14,61.9999,62.313,61.7194,61.9346,9293500
2016-07-15,62.2543,62.326,61.7324,62.0455,10334500
2016-07-18,61.9151,62.0651,61.5759,61.8498,9865900
2016-07-19,61.8107,61.9281,61.4454,61.6215,5901800
2016-07-20,61.4781,61.5889,61.1845,61.2693,7383800
2016-07-21,61.2432,61.4846,60.9627,61.2171,6854600
2016-07-22,61.3867,61.5041,61.1323,61.3215,7139700
2016-07-25,60.9693,61.0671,59.8539,60.1409,10845900
2016-07-26,59.7691,60.03,59.4299,59.7038,12143500
2016-07-27,59.6908,59.8864,59.1167,59.2994,10037900
2016-07-28,59.0581,59.182,58.4514,58.8363,12439200
2016-07-29,57.1469,58.0601,56.1749,58.0209,23928100
2016-08-01,57.4534,57.4991,55.8292,56.0054,22908400
2016-08-02,56.3902,56.9577,55.8227,56.775,18919200
2016-08-03,56.7555,57.0686,56.488,57.0686,14632900
2016-08-04,57.0751,57.1729,56.7685,57.0621,13451400
2016-08-05,57.2251,57.2904,56.8468,57.1142,9617300
2016-08-08,57.4339,57.9818,57.4208,57.7861,10492700
2016-08-09,57.8057,57.897,57.5187,57.8578,9654600
2016-08-10,57.746,57.8381,56.5816,56.8448,12714800
2016-08-11,57.0289,57.4105,56.7461,57.0487,11616000
2016-08-12,57.2066,57.8776,57.1671,57.7921,9986900
2016-08-15,58.167,58.2197,57.6539,57.7658,6432600
2016-08-16,57.7789,58.0092,57.4763,57.8381,6817900
2016-08-17,57.8381,58.0091,57.6671,57.9631,7104600
2016-08-18,58.1407,58.5091,57.9697,58.4894,10342700
2016-08-19,58.3052,58.3776,57.7526,57.7592,8615300
2016-08-22,57.4368,57.9565,57.1342,57.8842,8235400
2016-08-23,57.7855,57.9039,57.6013,57.7065,6514800
2016-08-24,57.5618,57.996,57.4631,57.9039,7985400
